bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,1619.899364999961,1619.899364999961,space,20.586532599758357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
,,,,,,,,,1640.5219585997984,1640.5219585997984,space,28.301208700053394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,0,0,0,0,,,,,,,,,1668.838333999738,None,1669.855007499922,1669.855007499922,1669.855007499922,1669.855007499922,1669.855007499922,1669.855007499922,r,0.5213758000172675,1670.461089400109,1670.461089400109,1670.461089400109,1670.461089400109,1670.461089400109,1670.461089400109,1670.7008401998319,1670.7008401998319,1672.612112400122,1672.612112400122,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1672.6668575997464,1675.171501299832,1675.171501299832,1675.171501299832,1675.171501299832,1675.171501299832,43,70,49,43,43,68,4.0,2.458546600304544,1677.6984850997105,1679.4764446998015,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,1,0,1,0,,,,,,,,,,None,1679.4764446998015,1679.4764446998015,1679.4764446998015,1679.4764446998015,1679.4764446998015,1679.4764446998015,i,1.000181700102985,1680.5097777000628,1680.5097777000628,1680.5097777000628,1680.5097777000628,1680.5097777000628,1680.5097777000628,1680.806735499762,1680.806735499762,1681.8367860997096,1681.8367860997096,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1681.8536012000404,1684.3625384997576,1684.3625384997576,1684.3625384997576,1684.3625384997576,1684.3625384997576,48,80,45,41,45,44,4.0,2.990256800316274,1687.3710408001207,1689.166796399746,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,2,0,2,0,,,,,,,,,,None,1689.166796399746,1689.166796399746,1689.166796399746,1689.166796399746,1689.166796399746,1689.166796399746,f,0.7348025999963284,1689.9353036996908,1689.9353036996908,1689.9353036996908,1689.9353036996908,1689.9353036996908,1689.9353036996908,1690.2307874998078,1690.2307874998078,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1691.8760436000302,1694.3853279999457,1694.3853279999457,1694.3853279999457,1694.3853279999457,1694.3853279999457,53,72,58,37,72,35,6.0,2.725013399962336,1697.12777859997,1699.0234388997778,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,3,0,3,0,,,,,,,,,,None,1699.0234388997778,1699.0234388997778,1699.0234388997778,1699.0234388997778,1699.0234388997778,1699.0234388997778,j,0.24816739978268743,1699.2915385998785,1699.2915385998785,1699.2915385998785,1699.2915385998785,1699.2915385998785,1699.2915385998785,1699.5887500997633,1699.5887500997633,1700.8183312998153,1700.8183312998153,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1700.8349770000204,1703.3447020999156,1703.3447020999156,1703.3447020999156,1703.3447020999156,1703.3447020999156,40,77,42,30,30,47,4.0,2.0101832998916507,1705.371834000107,1707.350742300041,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,4,0,4,0,,,,,,,,,,None,1707.350742300041,1707.350742300041,1707.350742300041,1707.350742300041,1707.350742300041,1707.350742300041,f,0.5997776002623141,1707.9843705999665,1707.9843705999665,1707.9843705999665,1707.9843705999665,1707.9843705999665,1707.9843705999665,1708.2816828996874,1708.2816828996874,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1709.2787929000333,1711.7879021000117,1711.7879021000117,1711.7879021000117,1711.7879021000117,1711.7879021000117,44,76,51,41,76,57,5.0,1.7782980999909341,1713.5827794000506,1715.4286527996883,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,5,0,5,0,,,,,,,,,,None,1715.4286527996883,1715.4286527996883,1715.4286527996883,1715.4286527996883,1715.4286527996883,1715.4286527996883,f,0.6828235001303256,1716.145333999768,1716.145333999768,1716.145333999768,1716.145333999768,1716.145333999768,1716.145333999768,1716.442507099826,1716.442507099826,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1717.955064999871,1720.4643581998535,1720.4643581998535,1720.4643581998535,1720.4643581998535,1720.4643581998535,50,69,43,28,69,65,5.0,1.8939351998269558,1722.376129299868,1724.0721704000607,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,6,0,6,0,,,,,,,,,,None,1724.0721704000607,1724.0721704000607,1724.0721704000607,1724.0721704000607,1724.0721704000607,1724.0721704000607,i,0.8895354000851512,1724.988032899797,1724.988032899797,1724.988032899797,1724.988032899797,1724.988032899797,1724.988032899797,1725.285139199812,1725.285139199812,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1726.2158654998057,1728.7248752997257,1728.7248752997257,1728.7248752997257,1728.7248752997257,1728.7248752997257,57,77,39,31,39,66,3.0,1.976637199986726,1730.7193935997784,1732.6149268997833,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,7,0,7,0,,,,,,,,,,None,1732.6149268997833,1732.6149268997833,1732.6149268997833,1732.6149268997833,1732.6149268997833,1732.6149268997833,f,0.567892599850893,1733.2207018998452,1733.2207018998452,1733.2207018998452,1733.2207018998452,1733.2207018998452,1733.2207018998452,1733.5131414998323,1733.5131414998323,1734.4930536998436,1734.4930536998436,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1734.5100282998756,1737.0192708997056,1737.0192708997056,1737.0192708997056,1737.0192708997056,1737.0192708997056,53,79,35,26,79,64,5.0,1.8776274998672307,1738.913882999681,1740.6761906999163,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
