,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a_0[1],-0.09382076013607316,0.0004295197808886761,0.03198416249209703,-0.1613381699812314,-0.11446844288789275,-0.09207166919252868,-0.07138890831103192,-0.03560088442884966,5545.026519245123,1.0004493687792448
phi_a_0[2],-0.014335710435374219,0.00034928524737903887,0.02839433293856736,-0.07159272093384192,-0.03292466654730722,-0.01420666418681489,0.004868091280840482,0.04011682475895022,6608.499400165657,1.0001126487596095
phi_a_0[3],-0.056243006851008914,0.0003334815385040977,0.033567073807889494,-0.12419766527137596,-0.0789966087744754,-0.05554367390181606,-0.03293361259885355,0.007118561320399345,10131.724549547453,1.0002378289481002
phi_a_0[4],-0.03849963811544924,0.00027712879904252265,0.023327202416966765,-0.08389197762220282,-0.05385698181165903,-0.03850815232403651,-0.022536841807387728,0.0063207374374908264,7085.361225257577,0.9999018359013018
phi_a_0[5],-0.07413464953718037,0.000309734662196015,0.03183713280763518,-0.13563489739135834,-0.09564867380414152,-0.07458224997665033,-0.053215200282127284,-0.010026260396117887,10565.45680463172,0.9997854031020631
phi_a_0[6],-0.060376435214681834,0.00034160119982944045,0.027325068127099898,-0.11549620404858503,-0.07819674641398694,-0.06002383418600295,-0.04198041326214447,-0.007646288568767487,6398.58188249051,1.0003037841005264
phi_a_0[7],0.007504581886511364,0.0003477729547859866,0.031432721369264574,-0.0495767338001506,-0.0137739730516031,0.005624301875343796,0.026681840894862134,0.07554671310377277,8169.06506445662,0.9996936738049853
phi_a_0[8],0.01055020655896498,0.0002719250739906775,0.02386179026533332,-0.037274950863208,-0.005569510181134301,0.010797438761015424,0.026570727085089042,0.05683856769634524,7700.298086826797,1.0000781512424464
phi_a_0[9],-0.11529341829895935,0.0004971039853933196,0.044512651746243234,-0.21658521286316973,-0.14297938666297128,-0.11059406742806835,-0.08181580674810524,-0.04401046203248818,8018.118020920586,0.9996995113587088
phi_a_0[10],-0.053761253544035506,0.00036407920703749344,0.030488438921829262,-0.11740593167233568,-0.07362116380337291,-0.053016658944632374,-0.03260103159375827,0.0033102192572160884,7012.592823143963,1.000174789598687
persev_a_0[1],-0.14909491440368122,0.002704984454833028,0.2053451041831948,-0.545806224766939,-0.2909503591339406,-0.1480236078137046,-0.012741050838693164,0.2566143090745851,5762.874455756198,1.0010175048132681
persev_a_0[2],0.9134508871668459,0.0019827337809881843,0.17611809676813878,0.5805729595702782,0.7909172715191775,0.9089581762959973,1.0328436475086624,1.2658640504193768,7890.039096166048,1.0000762303129103
persev_a_0[3],0.4584728566351497,0.004031310204354847,0.3598525107893296,-0.1151736159288298,0.20150922471233312,0.4122597694411835,0.661987540820083,1.2709444925862727,7968.134178349297,1.0001210963070106
persev_a_0[4],0.3739129970890603,0.0016596213499398607,0.1412062637981353,0.10997937065504026,0.27879265064911546,0.366496996090921,0.46714299626157274,0.6651357416544033,7239.18871163587,0.9999224427895591
persev_a_0[5],1.0234386365022554,0.00557742255215364,0.49209478286008973,0.2201985760744163,0.6750980690512476,0.957614708540517,1.3150564070094046,2.144378137061386,7784.494652022822,1.0000342270757505
persev_a_0[6],0.17286027236372153,0.0023820568449510423,0.19991637928626213,-0.21307080720573168,0.04072262873729665,0.17189892929643755,0.3064551767152571,0.5684832733564084,7043.564774747221,0.9998900764388183
persev_a_0[7],0.18745840626451865,0.005024008665867574,0.46158642944243417,-0.7063975286216735,-0.12320202664445815,0.18383288854079488,0.5005595915617933,1.0956974478034058,8441.221659460794,0.9996658296662161
persev_a_0[8],0.9886098358789548,0.0024212853707355876,0.21438241583228804,0.585018886435131,0.8406941474286315,0.9827864681826477,1.1281406165772045,1.435549639849616,7839.463909097776,0.9997138881504231
persev_a_0[9],0.5704255623057329,0.006518318356074041,0.6212965030833346,-0.4942062935718511,0.12273994558420302,0.5204869645052694,0.9598427012590598,1.909446429829718,9085.036638574986,0.9996852073294676
persev_a_0[10],0.384574235098532,0.002054152934793567,0.17660215978630164,0.04266596870331788,0.2639483487400562,0.3814232991259746,0.5034304767074764,0.7403964302394206,7391.396031214707,0.9998024575861711
beta_b[1],0.05309004678000176,0.000270788393171277,0.023402624707481997,0.009187112661901314,0.03695100556350488,0.052513199842500746,0.06845063223082042,0.10190054782970873,7469.113275744079,0.9999319538009573
beta_b[2],0.07604443353562454,0.00013710104875031985,0.014962130221656092,0.04676535624353613,0.06605566092727863,0.07578609021038385,0.0855717652644409,0.10669712822270003,11909.822986442969,0.9997666403265238
beta_b[3],0.009114075146711342,6.833527256950901e-05,0.005650028465215061,0.0006478030366023668,0.0047496054475849704,0.008398800277062413,0.012763771704038453,0.021709443388176566,6836.1472622553165,0.9999933359437031
beta_b[4],0.05325400181173063,0.00012132224501269075,0.01281990918885359,0.028642681866901894,0.044512189715922926,0.05323628411468628,0.061832519759182705,0.0786513232917965,11165.778835601212,0.999667642676079
beta_b[5],0.061838382613862236,0.0001182255084582212,0.012783345455971947,0.037075610994927094,0.053223305042838676,0.061601201414978546,0.07019099090299813,0.08774993754122809,11691.404051479954,0.9999625563888134
beta_b[6],0.06570255001057422,0.000230069372950548,0.02124350047109468,0.025157980700924967,0.05134012588338266,0.06570265841958522,0.07947716308389151,0.10877099421656448,8525.78828078065,0.9998146833532553
beta_b[7],0.24489063597823302,0.0006198622397610693,0.06466730267424016,0.1306258725100532,0.2004384148017018,0.24074166258854224,0.28576970646082056,0.3840047307662211,10883.764366768266,0.9998139233330579
beta_b[8],0.07399123545808883,0.0001759767974540168,0.018138634529785144,0.03868287430960385,0.06181265576898605,0.07399712080465104,0.08574468843804313,0.11031113887344637,10624.251946599463,0.9999174347956917
beta_b[9],0.10591187951753182,0.00026670403976389285,0.028210645832185584,0.05484009224350313,0.08623450488541126,0.10404050208902049,0.1237392957994004,0.16619090627841981,11188.371268994195,0.9997515372686878
beta_b[10],0.042897571074973,0.00017905947922149524,0.016424058490556295,0.011840969415620201,0.03151768645981806,0.04235489405655468,0.05371730581524059,0.07672458544103632,8413.29916155673,1.0002282674266896
phi_b[1],-0.3508990301884361,0.0014450418553998352,0.1074743089563605,-0.5860172414711735,-0.4175931214695675,-0.34426624441104925,-0.27591167030325436,-0.16136094261289796,5531.570726171728,1.0005191774613236
phi_b[2],-0.09790281069418942,0.0014918904863155966,0.12424358657871058,-0.35360059085179735,-0.18034920433338614,-0.09312401175229712,-0.013679789609615968,0.13385178161109226,6935.440826223224,1.000308582627616
phi_b[3],0.19103586256858882,0.0011206034477359008,0.10541853115678484,-0.017152271627292996,0.12186361336319806,0.19092370281388643,0.2588648307254668,0.4003183938715428,8849.72983570075,0.9999256169861984
phi_b[4],-0.08400260066980587,0.0009859310872456575,0.08274365667984192,-0.2510081823660133,-0.13828619169397463,-0.08192636940948642,-0.028144703418680923,0.07337029247084556,7043.301806944628,0.9997099047554509
phi_b[5],-0.19211737227528283,0.0005819739906187031,0.05722910259499782,-0.3118505872069276,-0.22929358557174406,-0.18968679051330456,-0.15195194515346122,-0.08752907911211011,9670.00547917413,1.000010641786324
phi_b[6],-0.2216134309714356,0.00116075651096467,0.0955986502576334,-0.4233434796174435,-0.2824973027857878,-0.2168894478080785,-0.15583707160849614,-0.04778269390822126,6782.99136747933,0.9998949481076225
phi_b[7],-0.005588275328043134,0.0008707990332531418,0.08284367413979264,-0.17419544639849222,-0.05831394748776207,-0.0036937485954086796,0.05081221717536415,0.15079896539710325,9050.713697464613,1.0001657898699416
phi_b[8],0.006535587339603806,0.0008264020331314941,0.06996749769156561,-0.13475548078231225,-0.03923628916485569,0.008299315102616297,0.05512249375789064,0.1384245038585934,7168.196967212257,1.0002157552038224
phi_b[9],-0.2170605350445847,0.0006991198063109083,0.06833572156133379,-0.35971921604237145,-0.2611503277250562,-0.2137450173709301,-0.16992352246088244,-0.0928877017040246,9554.15663476788,0.9997848533331387
phi_b[10],-0.22532193147566273,0.0012130857671271453,0.09772151742669057,-0.4394322499755575,-0.2868300587684339,-0.21724963898408223,-0.15671908954188374,-0.05686972757639661,6489.2930912704705,1.0006375996373398
persev_b[1],1.2332571275472182,0.00904938441455145,0.6786566597693615,-0.07681005841417517,0.7759872929975888,1.2224356388554916,1.6730509879676951,2.611380047565752,5624.218128870695,1.0007114538509911
persev_b[2],2.174326753685558,0.007228897411971944,0.604889240100348,1.0298456307636814,1.7609100308683356,2.1555262145534493,2.5765655476218905,3.3894194542596034,7001.766046922204,1.0001478220442983
persev_b[3],-1.45822011305559,0.005939107091355815,0.5854233145071612,-2.6888099467637225,-1.8340250474028723,-1.4222126531305994,-1.0546486287653893,-0.3917720047531967,9716.228411768403,0.9997128281567622
persev_b[4],1.0304927439668652,0.005222588009360984,0.433357835873497,0.199886954637834,0.7383552028639202,1.0189376737564553,1.3140274135746055,1.8963268231933013,6885.282644118364,0.9998040269109735
persev_b[5],-0.3789148100963688,0.002273617459091853,0.23172099977758867,-0.8393337450109423,-0.5344765873594759,-0.376566659581111,-0.2240393550989932,0.06974644089159149,10387.140263167646,1.0001649261422185
persev_b[6],1.447053263486393,0.006397753850246956,0.535862693920995,0.4431127854053834,1.080995919567956,1.4260078909065315,1.7977914013586485,2.5595544222352755,7015.392795753666,0.9999132293626962
persev_b[7],1.338486026490797,0.009814156473664144,0.9187368488921595,-0.43002930260611927,0.7076282412951141,1.3222107034071877,1.9284695029023682,3.2161936931466486,8763.474254154324,0.9999722115269583
persev_b[8],2.352988578829069,0.005967463080353296,0.5059666585654896,1.4048117895846224,2.0044405133420455,2.339824429508445,2.689034465052739,3.37663104462139,7188.931029582186,0.9998225061478352
persev_b[9],-0.5144451961806135,0.0057020826815594354,0.5975194357655402,-1.7117674295806835,-0.9027312579230697,-0.5105122076087381,-0.11059442852709792,0.6331455253044267,10980.877631085004,0.9999054450184539
persev_b[10],1.6786744623423868,0.006550072318373047,0.5614108441043423,0.6032165859880747,1.2939084658865139,1.6616275456888645,2.0578153766524916,2.80123915704136,7346.3125961964615,0.9996995019661844
lp__,-1053.172122994841,0.09406599288135743,5.19733820664108,-1064.2502996663275,-1056.3984729598499,-1052.8248279594852,-1049.5788490699324,-1043.9429704298907,3052.788165362103,1.0008517359237095
