,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
persev_a_0[1],0.21794782938485308,0.0015645617683700068,0.15135784428182442,-0.06381494444995628,0.11284129912968174,0.2143944444796978,0.31909455278424664,0.5229090241301193,9358.892095678519,0.9997999449536595
persev_a_0[2],0.34110498626611097,0.001050500196393185,0.09996924191906943,0.1503656213232928,0.27340004072816254,0.33919236439892486,0.4077377181469685,0.5444735601491519,9056.085659109918,0.9998723429487753
persev_a_0[3],0.30737261279472433,0.001263751978963524,0.1278503859766712,0.07423167093833058,0.21865247129441379,0.30168861737662256,0.3903241448550776,0.5734071079263021,10234.824253638595,1.0005167377085833
persev_a_0[4],0.23183488057968019,0.0009292664186510586,0.09400801959954669,0.05382126799933073,0.1672628278981263,0.230700879581025,0.2948775080131282,0.42092394478076,10234.092108165973,0.9998105971042517
persev_a_0[5],0.9304997139476024,0.0017926021440145936,0.18582106682280128,0.5806713718991792,0.8032232070569048,0.9234633004092602,1.0565437651549456,1.30747032770121,10745.387339391811,0.9998979589349156
persev_a_0[6],0.44541563956970764,0.0011117820389750968,0.11466597325146666,0.2271826814764794,0.36582599141049676,0.44230689204875784,0.522628468529964,0.6787108334712361,10637.261010402774,1.0000923874236112
persev_a_0[7],0.30139390370680963,0.0012527909931674282,0.11791977117971285,0.07594734046244551,0.21869264472996833,0.3008930119159572,0.3811931537504759,0.5365709422448427,8859.638684205353,1.0001761068828032
persev_a_0[8],0.2142176474640846,0.0009532793182686193,0.08606863379845062,0.05151568340138039,0.1567958914511153,0.21206206271914518,0.27085954906663945,0.38657440164246815,8151.724182397129,1.0003453990286548
persev_a_0[9],0.39671541618804745,0.0012839374279250764,0.12411783704173307,0.16016268345763762,0.3109641870595023,0.3928943672334072,0.47916740068399366,0.6517350596049849,9345.029552696107,0.9996350156108693
persev_a_0[10],0.48769696305601645,0.0010483368937766844,0.09456379288282907,0.3125943807884336,0.4233247784119799,0.4844905834860665,0.5497553016934937,0.6805823589594524,8136.694796556016,0.9996478837805901
beta_b[1],0.05245276102007411,0.00011175034409909394,0.011539222498476567,0.030507327110453897,0.04442670327012872,0.0522430344922325,0.06034207461458404,0.0753709702905802,10662.409470103947,1.0000029272966307
beta_b[2],0.018785700046967592,0.00010711199641658403,0.008788025124286917,0.0030037954474447315,0.012462980115728366,0.018440760524644495,0.02451757711561941,0.03698368678848943,6731.414775464076,0.9999028942460655
beta_b[3],0.04400905951750247,9.369738109085441e-05,0.009353031947716561,0.025806033773816538,0.037648199791317075,0.04383162125471268,0.050288172190828345,0.06257515930634708,9964.37196492685,0.9998267136000997
beta_b[4],0.04146648389258457,0.00012880100544889866,0.012192604220716911,0.018155339745744598,0.03303604674786599,0.041319892667878055,0.049656037842754,0.06616756930419826,8960.958100650305,0.9999279925673116
beta_b[5],0.04931706181076542,0.00016867268030208173,0.01611689795495004,0.019271601047322333,0.037987802783647814,0.048841457531869914,0.06000870167451773,0.08256772172025384,9130.055551527614,0.9996543765444562
beta_b[6],0.01024638586206571,8.286843103940341e-05,0.007378074782308326,0.00036171629759921826,0.004292025969136798,0.00899934830456156,0.014627553183939422,0.027595757751958806,7926.982016025912,0.9998903731473558
beta_b[7],0.09449798744635064,0.00017221776248798248,0.01811992459342208,0.06104453575466863,0.08197501775793817,0.09403567567682403,0.1061689653558444,0.1318994387380749,11070.23619680722,0.999752073562456
beta_b[8],0.044679264113863394,0.0001239991128343211,0.011465951263005794,0.022672015646114638,0.03695050532667482,0.04450332867544854,0.05227600079069502,0.06779390649480585,8550.332959043753,0.9996134833398287
beta_b[9],0.06049274591978643,0.00017696034959349962,0.0175767224702841,0.02759201704895012,0.04823212172176809,0.05975909531965151,0.07208316948186948,0.09642593343045242,9865.6080107057,0.9998645956640968
beta_b[10],0.024780024614188316,0.00013536934774309662,0.01146117457916489,0.0037122712431707184,0.016552373125059805,0.024307506071241047,0.03251427773365996,0.048249914112349086,7168.323279056217,1.000270115348388
phi_b[1],-0.17281765633645352,0.00048404368742135115,0.05109868373710102,-0.28154702705748746,-0.20539053037507266,-0.170124303616838,-0.13735529957752557,-0.08006956577729935,11144.23611378059,0.9997493992544204
phi_b[2],0.026558920236054242,0.00045566423025080084,0.04721736749497738,-0.06767946525835056,-0.004580865186953985,0.027351913843036122,0.05869952729899612,0.11618358463680611,10737.759314502326,0.9997200904962698
phi_b[3],-0.05026185259886141,0.0005895194094689165,0.0603641073222372,-0.1705262080519096,-0.0893922437449051,-0.049461127011820455,-0.008926145340470926,0.06330941039882806,10484.82891227463,0.9995743485532401
phi_b[4],-0.16917641485543947,0.0005083100552409055,0.05242867677448122,-0.2773292035083641,-0.20400343618438796,-0.16729204574245612,-0.1328693748831448,-0.07057118850317892,10638.49985507932,0.9996713870561831
phi_b[5],-0.026505018326878634,0.0005748952417796544,0.05615478623508801,-0.14014257905550517,-0.06355451832727553,-0.025506803062414932,0.011720663930121184,0.08137993547908709,9541.049047163442,0.9998796512305358
phi_b[6],-0.1506265709081059,0.00045854659578888236,0.048501735406824904,-0.24932148306121757,-0.18319272513487644,-0.15020063953676194,-0.1171723400289646,-0.05911116640291983,11187.875088721941,0.9998519492196224
phi_b[7],-0.043369639325972445,0.0005545030222916364,0.05613761330314928,-0.15845143546455429,-0.07941171248986695,-0.04226649825724997,-0.00503101121472652,0.06317280109288892,10249.438031872216,0.9997387952734271
phi_b[8],-0.033580947953279844,0.0005554711191506585,0.05664195785822909,-0.14994872258123337,-0.07053346869877422,-0.03207035257268823,0.004326069076743926,0.07550342018016681,10398.089381678374,0.9998111110903687
phi_b[9],-0.12886012342667783,0.0005095140231709388,0.052597098285130234,-0.23734592797509285,-0.16202060314147687,-0.12681325185392528,-0.09284593809507884,-0.029972643143885955,10656.418990451519,0.9996391842102168
phi_b[10],-0.21419590047921053,0.00041681012019469327,0.04611763619645512,-0.3087916925344675,-0.2439031356762199,-0.21263322014616443,-0.18262881265829511,-0.12897199217985864,12242.14637095042,0.9998266712308926
persev_b[1],-0.13858334754741805,0.0032955935553531926,0.313881047129906,-0.7709981346294845,-0.34030711565087834,-0.13428527244379843,0.07173789098647128,0.46658073329133376,9071.161430822014,1.0003502066887346
persev_b[2],1.717782524590402,0.0031704603309997853,0.2919150246856924,1.152740951350336,1.5195420129311477,1.7185237200920085,1.9143658348758796,2.2873743228515746,8477.50880631338,0.9999241043011813
persev_b[3],-0.31077032980968045,0.003454634272315777,0.3274667840693185,-0.9576540623063525,-0.5336902678248371,-0.30918409063958796,-0.08607433109149207,0.31982119384057583,8985.25393099199,0.9998418801794025
persev_b[4],0.558428738451694,0.002895581841029704,0.27158655155584066,0.03307939804520875,0.3714515477980984,0.5606685173238855,0.7423375208910985,1.094849494093227,8797.207436012424,0.9998326335924604
persev_b[5],2.111159853461575,0.00401779757920485,0.3800599150858376,1.3837603797292468,1.8547178905681965,2.1028229890398706,2.360350840823824,2.888714002671815,8948.042299747474,1.0002803790936394
persev_b[6],0.5343675014716573,0.0034032376129483665,0.31110086758462846,-0.09382875918102601,0.3260949988511599,0.5350636857402362,0.7456977924171102,1.1207320881569633,8356.374586040169,0.9998740006455327
persev_b[7],1.3318420295678326,0.00537674032384575,0.5012771969903367,0.3821394612274649,0.9884738358080302,1.319464768047403,1.66747712075284,2.3589297811142846,8691.961094816907,1.0001699904475787
persev_b[8],0.8897662337712982,0.004167708392344826,0.36565559508367,0.1866580868998953,0.6393487519416126,0.8877260857911481,1.1381799134914314,1.6135811822136874,7697.501768772716,1.0002386167197745
persev_b[9],2.0096444134915887,0.005588482711569808,0.5249667902897186,1.0147108776338587,1.653716289984699,1.9939634551868863,2.3523302545632756,3.0856346788611044,8824.210053707506,0.9996483600561228
persev_b[10],1.6646445377501595,0.004869658002936896,0.4017283675538304,0.9024141570033642,1.391817067795146,1.659360212966253,1.924105916061821,2.475270276059834,6805.625962554963,0.9999305203996547
lp__,-1504.9946886541695,0.0878302809512227,4.764989610378083,-1515.3788699227039,-1507.9588297931791,-1504.5781496681707,-1501.6202024325607,-1496.7710659974744,2943.3057043146177,1.0016024189210737
