,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
persev_a_1[1],0.117836537,0.000823936,0.133729405,-0.139454967,0.026605292,0.11694389,0.208038114,0.379708575,26343.09323,0.999786335
persev_a_1[2],-0.331068222,0.00077513,0.122792399,-0.579190853,-0.413189012,-0.328209216,-0.248358928,-0.098083837,25095.38503,0.999880435
persev_a_1[3],-0.420639669,0.001185051,0.17944292,-0.780756612,-0.538965692,-0.416034137,-0.298166268,-0.077033356,22928.63824,0.999806108
persev_a_1[4],0.485197799,0.000997016,0.150807848,0.203744544,0.38104528,0.480962373,0.585079979,0.791550753,22879.35694,0.999855315
persev_a_1[5],0.538058431,0.00135735,0.214380834,0.13617985,0.391439981,0.530959622,0.675352818,0.975575014,24945.26815,0.999877866
persev_a_1[6],0.318217646,0.000957003,0.150726952,0.027260937,0.215053975,0.316240755,0.41873267,0.625366564,24805.91823,1.000050467
persev_a_1[7],-0.235795083,0.001493489,0.224969673,-0.661573101,-0.390916248,-0.240437484,-0.087784885,0.224737743,22690.49053,0.99994222
persev_a_1[8],0.545212365,0.001303794,0.199210533,0.172525103,0.409136758,0.536764596,0.675738324,0.953589226,23345.69484,0.999807586
persev_a_1[9],0.649204989,0.00367596,0.441432098,-0.053546134,0.333724146,0.597357318,0.903599115,1.661874735,14420.69457,0.999812002
persev_a_1[10],-0.097611896,0.001545912,0.23075056,-0.540185526,-0.254985986,-0.100809105,0.057725838,0.362689138,22280.04406,0.999811761
persev_a_1[11],0.067234996,0.001884668,0.281326569,-0.474346559,-0.119016121,0.060808986,0.247900237,0.648830902,22281.87492,1.00009565
persev_a_1[12],1.617787995,0.009322634,0.836488553,0.448801789,1.031798548,1.458795153,2.032934145,3.681142177,8050.867678,1.000607627
persev_a_1[13],0.269764711,0.002174396,0.349313575,-0.433356325,0.040659322,0.275980341,0.504191315,0.946710977,25807.9643,0.999896926
persev_a_1[14],0.436255169,0.001145939,0.179159206,0.097878455,0.312066775,0.429688464,0.552931638,0.804156176,24443.03397,0.999970237
persev_a_1[15],0.007428558,0.000814216,0.141648819,-0.267151608,-0.089797665,0.00714855,0.103549031,0.287014622,30265.38725,0.999845401
persev_a_1[16],0.127739767,0.001330659,0.203318655,-0.260368014,-0.008474623,0.124179526,0.260606965,0.542143067,23346.44439,0.999907947
persev_a_1[17],0.779166835,0.003879857,0.530650758,-0.139365775,0.411149028,0.739085201,1.098447369,1.955437196,18706.22425,0.999922881
persev_a_1[18],0.873526442,0.001872119,0.289738996,0.347233888,0.672379238,0.857982764,1.056014457,1.491798131,23952.28856,0.999817891
persev_a_1[19],-0.052432178,0.002081886,0.329934186,-0.687311241,-0.277819619,-0.052879837,0.165422364,0.600733168,25115.44928,0.99991673
persev_a_1[20],0.131569119,0.001501688,0.227525086,-0.293174456,-0.023745628,0.124193107,0.277923812,0.604620731,22956.1646,0.999936102
persev_a_1[21],0.021903112,0.001879006,0.265702723,-0.532948624,-0.147896862,0.033250105,0.201732469,0.513930114,19995.66743,0.99995989
persev_a_1[22],0.342172896,0.001588876,0.236229526,-0.082700171,0.178341985,0.328938286,0.492408771,0.836253377,22104.89121,0.999888018
persev_a_1[23],0.271584019,0.001061786,0.164305562,-0.038744504,0.159375684,0.268122323,0.378933946,0.604676283,23945.87499,0.999842893
persev_a_1[24],-0.304968046,0.000967079,0.15006633,-0.602827874,-0.405093142,-0.304157634,-0.203283048,-0.01051707,24079.21319,1.000037376
persev_a_1[25],0.317935358,0.001517258,0.230133216,-0.111784809,0.161193523,0.310947816,0.470087727,0.78791502,23005.93506,0.999826246
persev_a_1[26],0.654714915,0.00267605,0.422184552,-0.13001781,0.367450362,0.641224078,0.925726306,1.536933163,24889.50614,0.999896977
persev_a_1[27],0.212818687,0.000959019,0.147901174,-0.076000134,0.113271121,0.211303014,0.310670418,0.508255369,23784.23014,0.999929828
persev_a_1[28],0.099219017,0.001210913,0.183161456,-0.259664524,-0.023937682,0.096746253,0.219931366,0.465381645,22879.28441,0.999919976
persev_a_1[29],0.303675245,0.001667971,0.246385598,-0.15493513,0.133573378,0.294964228,0.463171834,0.815132687,21819.93441,0.999867737
persev_a_1[30],0.470664993,0.001126243,0.178735808,0.130901581,0.3469338,0.466880759,0.590589238,0.835800649,25185.97368,0.999822112
persev_a_1[31],-0.212641344,0.000695622,0.109540578,-0.427833135,-0.28551689,-0.212321163,-0.137162897,-0.000973024,24797.27355,0.99993833
persev_a_1[32],0.050957283,0.001165115,0.187428824,-0.30814271,-0.077153163,0.04611183,0.178332395,0.428340186,25878.26941,0.999927701
persev_a_1[33],-0.222165935,0.001439297,0.217656803,-0.657275593,-0.368186027,-0.219382683,-0.074014565,0.194023949,22868.80355,0.999826354
persev_a_1[34],0.291367768,0.001068712,0.172058261,-0.034082199,0.173623699,0.287762087,0.40592616,0.640544473,25919.66329,0.999815239
persev_a_1[35],0.818525726,0.001703522,0.264872123,0.32826126,0.636584863,0.805993087,0.990123403,1.371507797,24175.59686,0.999907742
persev_a_1[36],-0.099564054,0.000851684,0.133652103,-0.367812606,-0.189743049,-0.097187432,-0.007836664,0.156536576,24626.05697,1.000016373
persev_a_1[37],-0.090597549,0.001026607,0.162661016,-0.410778027,-0.199840918,-0.090024754,0.018124682,0.229266344,25104.92436,0.999955631
persev_a_1[38],0.565924151,0.001301575,0.210135679,0.172457776,0.423198046,0.559492181,0.702757217,0.998694677,26065.20143,1.000009526
persev_a_1[39],0.677631543,0.00129568,0.20228492,0.299509536,0.537502847,0.670999698,0.813345592,1.089436709,24374.28228,0.9998973
persev_a_1[40],0.190304905,0.001929738,0.302351076,-0.371204507,-0.013930568,0.178305831,0.385094504,0.816242409,24548.59032,0.999825875
persev_a_1[41],0.187738514,0.001070305,0.168124222,-0.133228306,0.073061953,0.184195861,0.297954263,0.533795539,24674.35045,0.999807115
persev_a_1[42],1.80E-05,0.000678449,0.108171217,-0.209237702,-0.073365912,0.000638522,0.073349822,0.211025656,25420.75559,0.999813895
persev_a_1[43],0.223956204,0.001152546,0.178500306,-0.111121033,0.103098903,0.219342148,0.340840648,0.587976792,23986.18608,0.999878416
persev_a_1[44],0.171953801,0.001143754,0.184325118,-0.180453103,0.045933909,0.166429312,0.29611419,0.538608837,25971.91488,0.999845978
persev_a_1[45],0.595298463,0.001331826,0.201527616,0.216894531,0.456665773,0.59054948,0.727044944,1.009166921,22896.76086,0.999970556
persev_a_1[46],0.515123384,0.001411726,0.221913078,0.105627703,0.362226439,0.504814603,0.658516613,0.977003774,24709.55686,0.999795128
persev_a_1[47],-0.06404753,0.001529386,0.22396164,-0.495801278,-0.213646759,-0.068623338,0.08241146,0.386200426,21444.36657,0.999874106
persev_a_1[48],0.404051417,0.000875243,0.141357855,0.135234968,0.306080459,0.401156811,0.498491339,0.690827349,26084.48148,1.000037509
persev_a_1[49],0.351846594,0.002592041,0.371930001,-0.409448638,0.113414793,0.359170379,0.601850709,1.056348709,20589.16182,0.999850282
persev_a_1[50],0.62676302,0.001307525,0.195793823,0.26407288,0.491318828,0.620138373,0.75252915,1.036037776,22423.22639,1.000006903
persev_a_1[51],-0.39102226,0.001824538,0.256432106,-0.934468187,-0.550650688,-0.380913661,-0.214717317,0.080367678,19753.26517,0.999885447
persev_a_1[52],0.005911719,0.001138876,0.172919987,-0.33073101,-0.110275334,0.005977816,0.121507316,0.343905859,23053.51731,0.999848784
persev_a_1[53],-0.316092444,0.002074758,0.289338747,-0.92536652,-0.495469718,-0.302888585,-0.113879003,0.211844753,19448.15314,0.999874873
persev_a_1[54],-0.192423898,0.000876664,0.137576556,-0.466577315,-0.283940252,-0.189592264,-0.099725994,0.072399919,24627.59854,0.999834413
persev_a_1[55],-0.25539933,0.001219828,0.183769615,-0.617431531,-0.377301044,-0.256113452,-0.132284576,0.105178319,22696.0506,0.999980401
persev_a_1[56],0.189767288,0.00091873,0.148131063,-0.09069514,0.086596135,0.187428481,0.289108453,0.488366124,25996.62101,0.999960872
persev_a_1[57],0.18242197,0.000823185,0.129922446,-0.067729207,0.09495761,0.181943139,0.268437306,0.441157358,24909.98072,0.999939741
persev_a_1[58],0.123323308,0.002217758,0.319743536,-0.457569451,-0.097989519,0.108377261,0.32422945,0.805398731,20786.20414,0.999797222
persev_a_1[59],0.161168873,0.000932979,0.148763278,-0.130361678,0.060649947,0.16140251,0.259827745,0.455595972,25424.25085,0.999858761
persev_a_1[60],0.182577452,0.001127604,0.166462236,-0.12389929,0.068182801,0.176688686,0.291258729,0.525489234,21793.0706,0.999993666
persev_a_0[1],0.108474095,0.001245133,0.196903205,-0.263414619,-0.026534416,0.104484836,0.237872074,0.50364282,25007.70306,0.999855769
persev_a_0[2],0.640509046,0.000994613,0.156228485,0.346542383,0.533728127,0.634637132,0.742263566,0.963623867,24672.42996,0.999924779
persev_a_0[3],0.672035963,0.001399844,0.210753891,0.276170748,0.526590816,0.664065195,0.81133991,1.104455151,22666.87501,0.999872855
persev_a_0[4],-0.064655704,0.000815455,0.128622267,-0.313811212,-0.150493775,-0.06614265,0.019956469,0.192628333,24878.97893,0.99984785
persev_a_0[5],0.48035975,0.001632385,0.25494741,0.003751846,0.306191439,0.472478851,0.644637754,1.003536112,24392.47074,0.999824376
persev_a_0[6],0.29478737,0.000931207,0.149006515,0.007779415,0.192925987,0.292564756,0.39403389,0.592586605,25604.6239,1.000030058
persev_a_0[7],0.491407437,0.001286171,0.200485537,0.111394027,0.354194846,0.487621545,0.624670825,0.891264301,24297.91154,0.999941479
persev_a_0[8],-0.022663907,0.000739822,0.119254796,-0.255793045,-0.102899114,-0.023192771,0.058477309,0.211948068,25983.49137,0.999937942
persev_a_0[9],0.253482321,0.001031509,0.166206717,-0.063150312,0.141832717,0.250061382,0.363360602,0.590485452,25962.79774,0.999813988
persev_a_0[10],0.560130031,0.001002832,0.152693094,0.27129432,0.454863394,0.556590737,0.661641363,0.865797719,23183.67188,0.999862781
persev_a_0[11],0.380409729,0.001484282,0.226930823,-0.053769297,0.229431134,0.376190722,0.527114781,0.837132378,23375.14066,0.999781158
persev_a_0[12],0.580797707,0.001233335,0.207275005,0.189222036,0.438581449,0.57615512,0.717423696,1.000982833,28244.34093,0.999806152
persev_a_0[13],0.4361516,0.004210439,0.499104167,-0.386910934,0.092044164,0.376660408,0.714158372,1.580006401,14051.6569,0.999975196
persev_a_0[14],0.246825825,0.000963316,0.152405674,-0.042246071,0.14189983,0.24347838,0.347098085,0.559274745,25030.21828,0.999901018
persev_a_0[15],2.061244491,0.013846034,1.160404706,0.531272089,1.255758808,1.820058979,2.596583888,4.978896934,7023.735541,1.000469388
persev_a_0[16],0.415026946,0.0013501,0.212400118,0.005298718,0.271116276,0.410823374,0.554651666,0.846830399,24750.13135,0.999783286
persev_a_0[17],-0.354423101,0.003498679,0.55390446,-1.498105383,-0.713268179,-0.338504187,0.019693656,0.713274995,25064.63874,0.999940616
persev_a_0[18],0.370934445,0.001551765,0.235839571,-0.077677895,0.213358241,0.362613092,0.521576894,0.861293948,23098.37237,0.999827507
persev_a_0[19],2.508439668,0.010403204,1.428711682,0.055114599,1.491222406,2.411520494,3.390001574,5.616520398,18860.57593,1.000187296
persev_a_0[20],0.562055456,0.00136041,0.20475506,0.174009274,0.422907605,0.556716269,0.694922286,0.982540429,22653.19427,0.99992159
persev_a_0[21],0.001226972,0.000911659,0.14788846,-0.292511995,-0.096668699,0.001754947,0.10015318,0.288482766,26315.03779,0.999950642
persev_a_0[22],0.212107567,0.000871509,0.136611238,-0.053589786,0.120213647,0.210872052,0.302555578,0.484845755,24571.37373,0.999879138
persev_a_0[23],0.150103667,0.000930757,0.144325517,-0.131861741,0.052638872,0.149316006,0.244139107,0.440255236,24044.38718,0.999921586
persev_a_0[24],0.345012795,0.000705118,0.11203754,0.132900546,0.269926461,0.341974836,0.418597683,0.572759311,25246.66635,1.000051181
persev_a_0[25],0.501836913,0.001432073,0.221380921,0.085462686,0.349082544,0.493670593,0.648402201,0.956157607,23897.35573,0.999967618
persev_a_0[26],-0.378842593,0.003606085,0.550165545,-1.484616579,-0.737812182,-0.371646247,-0.010521363,0.685427352,23276.34748,0.999876522
persev_a_0[27],0.182462596,0.000869791,0.1307621,-0.071092238,0.093425711,0.180848483,0.269535485,0.441725775,22601.317,0.999955884
persev_a_0[28],0.643840476,0.001193052,0.17853444,0.31438248,0.519780651,0.637607419,0.758513472,1.014228311,22393.68801,0.999909174
persev_a_0[29],0.085841557,0.001315194,0.20322044,-0.304594493,-0.049945335,0.08204413,0.219671894,0.493330066,23875.63124,0.999978645
persev_a_0[30],-0.112941105,0.001085621,0.168713032,-0.440783873,-0.227201122,-0.113360091,0.000727329,0.217879889,24151.29754,0.999902511
persev_a_0[31],0.164536712,0.000833182,0.128432451,-0.081799329,0.077608599,0.163029439,0.248985987,0.426049201,23761.25347,0.99991526
persev_a_0[32],0.293808505,0.001273535,0.200248343,-0.086175059,0.158206797,0.289455783,0.42661176,0.696404205,24723.86661,0.999910787
persev_a_0[33],0.088806442,0.001619009,0.242502616,-0.380705881,-0.075633269,0.087168633,0.247610382,0.580280097,22435.44039,0.999894754
persev_a_0[34],0.532522212,0.001703356,0.26081057,0.053386688,0.351407385,0.521398194,0.698568345,1.07754155,23444.42956,0.99987143
persev_a_0[35],0.622309324,0.001931591,0.299479539,0.069956281,0.417963787,0.60912136,0.815221223,1.240544119,24038.3124,0.999852122
persev_a_0[36],-0.293705072,0.00088678,0.138811252,-0.57227829,-0.386513319,-0.291089568,-0.198886198,-0.026097169,24502.91863,0.999863242
persev_a_0[37],0.484454802,0.001175148,0.173426519,0.155164948,0.367069857,0.480295249,0.597485185,0.836957439,21779.39406,0.99995612
persev_a_0[38],1.346047027,0.00830098,0.978292621,-0.236818049,0.672948762,1.223079074,1.888741409,3.639352493,13889.25196,0.999872256
persev_a_0[39],-0.091480378,0.001573058,0.236904407,-0.549732836,-0.252695401,-0.095465029,0.064307106,0.382387785,22680.70473,1.000037644
persev_a_0[40],0.112445595,0.001478283,0.232144613,-0.336736827,-0.043700914,0.107148185,0.265410893,0.577382671,24660.49466,0.999939214
persev_a_0[41],0.075253491,0.000831793,0.131458042,-0.17868303,-0.013517391,0.073245472,0.162565179,0.335008546,24977.22895,0.999823692
persev_a_0[42],0.163058759,0.001192329,0.183756005,-0.182786249,0.035566359,0.158929693,0.282934558,0.537611873,23751.50874,0.999811176
persev_a_0[43],0.447049589,0.001325423,0.202478863,0.061390914,0.308665332,0.443782477,0.581132178,0.852788885,23337.28104,0.99981346
persev_a_0[44],0.543498709,0.001398442,0.216735931,0.139091117,0.395374354,0.535671068,0.682067564,0.995817604,24019.99207,0.999914765
persev_a_0[45],0.351052852,0.001777844,0.265801689,-0.131249224,0.168671975,0.340804854,0.524538594,0.90771422,22352.61441,0.999969732
persev_a_0[46],0.125548203,0.008056579,0.793709207,-1.080267056,-0.439792569,0.004113891,0.551856534,2.041751458,9705.580424,1.000108013
persev_a_0[47],0.187254771,0.001018303,0.161595179,-0.123997678,0.079042669,0.185088978,0.292632018,0.510088814,25182.70387,0.999891733
persev_a_0[48],0.108572452,0.002824399,0.374337708,-0.548330294,-0.148564632,0.079597292,0.336678628,0.938818298,17566.09242,1.000014734
persev_a_0[49],-0.399699427,0.001544574,0.236785444,-0.891596198,-0.55302153,-0.391075546,-0.233320853,0.039737624,23501.33377,0.999884261
persev_a_0[50],-0.034840237,0.000797287,0.125142944,-0.281771371,-0.118500767,-0.034431883,0.050380145,0.206100981,24636.75011,0.999940436
persev_a_0[51],0.020603855,0.001077245,0.164128167,-0.303623176,-0.08888976,0.021653484,0.130755035,0.340757508,23213.30258,0.999939464
persev_a_0[52],0.159618183,0.001036171,0.161424957,-0.147833424,0.049188604,0.156943164,0.268939074,0.481649369,24270.50664,0.999950389
persev_a_0[53],0.078481863,0.001316312,0.205831236,-0.328345926,-0.060983505,0.079971362,0.217473484,0.485284608,24451.48294,0.999962694
persev_a_0[54],0.741975259,0.001685682,0.245100124,0.285488157,0.572225784,0.731161694,0.899570647,1.254592272,21141.49219,1.000048844
persev_a_0[55],0.778774007,0.001359079,0.204076039,0.405779412,0.635441576,0.772521211,0.913678759,1.201756682,22547.28952,0.999870592
persev_a_0[56],0.343899795,0.001195649,0.178809444,0.002496231,0.221465571,0.339945494,0.463620818,0.703028082,22365.24173,0.999897141
persev_a_0[57],0.259940896,0.001102238,0.175265985,-0.071386566,0.139938474,0.255177858,0.375746613,0.616194409,25283.92985,1.000067067
persev_a_0[58],0.70761193,0.001519539,0.235713545,0.268645227,0.545280289,0.699583239,0.860514176,1.199641277,24062.74474,0.999834615
persev_a_0[59],0.569390315,0.00151062,0.233084807,0.13418502,0.407480813,0.561284385,0.723316429,1.043490763,23807.69665,0.999913256
persev_a_0[60],0.230500367,0.000908459,0.139658761,-0.040471758,0.135849679,0.22944571,0.324282873,0.505691932,23633.39011,1.000115939
beta_b[1],0.051825166,7.21E-05,0.011662183,0.029886447,0.043863066,0.051389109,0.059451116,0.075609198,26150.59891,0.999917891
beta_b[2],0.022022256,5.76E-05,0.009515724,0.00376778,0.015444411,0.022028987,0.028325116,0.040916995,27298.33712,0.999894296
beta_b[3],0.047612111,5.93E-05,0.009769619,0.029230552,0.040949353,0.047364656,0.054025539,0.067261424,27158.562,0.999821349
beta_b[4],0.042377979,7.73E-05,0.012553911,0.018251776,0.033822982,0.042205831,0.050742474,0.067348262,26351.35937,0.999816437
beta_b[5],0.042453881,9.87E-05,0.016055515,0.012171031,0.031529242,0.041932667,0.053160545,0.075030574,26445.35345,0.999950593
beta_b[6],-0.001800573,7.00E-05,0.011576311,-0.024575096,-0.009511026,-0.001864772,0.005868843,0.021014324,27356.57538,0.999790276
beta_b[7],0.094047194,0.000114242,0.018240478,0.059358833,0.081682046,0.093594888,0.106027509,0.13085531,25492.86481,0.999852556
beta_b[8],0.042134757,7.05E-05,0.011549216,0.020127242,0.034119815,0.041914058,0.049858236,0.06527837,26806.65306,0.999853363
beta_b[9],0.060228419,0.000110749,0.017237756,0.027487514,0.048418875,0.059772172,0.071544253,0.094961167,24226.05502,0.999836639
beta_b[10],0.023757281,7.21E-05,0.011994839,0.000362266,0.015791984,0.023645454,0.031614284,0.047684086,27649.88971,0.999886372
beta_b[11],0.054430061,0.000164369,0.026100303,0.004178979,0.036811279,0.053885856,0.071729928,0.107077894,25214.41492,0.999911196
beta_b[12],0.079816043,9.57E-05,0.015420712,0.050382188,0.069268213,0.079567798,0.090084254,0.110800146,25986.5761,0.9999236
beta_b[13],0.007275051,4.25E-05,0.006947037,-0.00617069,0.002621099,0.007150686,0.011926734,0.021044132,26689.36909,0.99984922
beta_b[14],0.048982203,7.69E-05,0.012999907,0.023879311,0.040345387,0.048904641,0.057487727,0.075374956,28577.73191,0.999768238
beta_b[15],0.063081303,8.21E-05,0.013105107,0.038267709,0.054127343,0.062812305,0.071897572,0.089131996,25452.09744,0.999975979
beta_b[16],0.059857796,0.000123951,0.021422068,0.019000011,0.045478557,0.059736254,0.074030453,0.103103919,29869.22797,0.999927372
beta_b[17],0.216234938,0.000478509,0.068230991,0.098335363,0.168331488,0.211401556,0.258004041,0.363748318,20332.14505,0.999884833
beta_b[18],0.069336154,0.000112796,0.018593776,0.033431393,0.056738314,0.06913044,0.081568876,0.106507989,27173.58195,0.999835665
beta_b[19],0.109572412,0.000214209,0.03095992,0.053398799,0.087851487,0.108164115,0.129852829,0.174203429,20889.26383,1.00006935
beta_b[20],0.038117916,9.83E-05,0.016217235,0.006983977,0.027176856,0.037811872,0.048914845,0.070720774,27191.58455,0.999879898
beta_b[21],-0.010566345,3.47E-05,0.005703309,-0.021895598,-0.014321885,-0.010559762,-0.006730745,0.000547342,26946.48204,0.999959162
beta_b[22],0.033516518,7.43E-05,0.01199254,0.010185481,0.025322871,0.033482282,0.041744463,0.056995331,26034.30785,0.999908855
beta_b[23],0.014067138,5.80E-05,0.009233833,-0.004115091,0.007955718,0.013969783,0.020225231,0.032514471,25374.00344,0.999826046
