,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_0[1],0.002013795663111564,6.15124552657502e-05,0.004224457380701662,-0.006343182014791531,-0.0007826784727946628,0.002003037131638203,0.004748802216329439,0.010313785697196626,4716.455504199681,1.0005693584932864
beta_a_0[2],0.07344138341481249,0.0010232444828905767,0.06309682892902443,-0.0061877405928561485,0.023010169571865413,0.061174307405874595,0.11039722883335114,0.22071490025407353,3802.3863594410745,1.000282068859467
beta_a_0[3],0.016094583736246143,0.0011596945761447096,0.035039059453448804,-0.01646305378149151,-0.0012924412727077172,0.007372958958105634,0.018117714780393555,0.13104058310665304,912.8882726292089,1.0072234098232156
beta_a_0[4],0.00027133829625137427,8.996559931180392e-05,0.005229512878640054,-0.009471098356235946,-0.0031244757161637215,0.0002619967165710419,0.003460274721973202,0.010266157893531871,3378.854720529238,1.0006330229864413
beta_a_0[5],0.09406843314015895,0.0009337138661718782,0.05942002026403105,0.012955747449249697,0.04802537139245654,0.08263996583897074,0.12907944737672666,0.23297873449029072,4049.841015013475,1.0004683988244358
beta_a_0[6],0.022462910216922354,0.0014558062667931848,0.03469820941411774,-0.00788156740197691,0.006966864130744349,0.014615082775478044,0.023809678540234164,0.13805948297198162,568.0766760436529,1.0141807629384794
beta_a_0[7],-0.002424152527617977,6.786174532726222e-05,0.00403158316575635,-0.010452759657377119,-0.0051924220178648246,-0.002367770856656162,0.00029023956387471734,0.005483266662371373,3529.4025583843472,1.000306581134544
beta_a_0[8],0.08318984764694319,0.0009885252873171135,0.05932967071786999,0.004999934546949551,0.03678230768195421,0.07155690628505122,0.1171275923288994,0.22618626767884492,3602.2040415792103,1.0009874665661707
beta_a_0[9],0.08069999815243645,0.0009437272467330952,0.059801980322466364,0.003942299119985648,0.03424445992242462,0.06844897924151953,0.11566186050426289,0.22482337624884252,4015.486254852545,1.0000170122298628
beta_a_0[10],0.07500208871361198,0.0010688487883768025,0.06214600359614889,0.0004634092810934965,0.024024944784106037,0.06163206779472108,0.11200333112170878,0.2250608456573344,3380.6006694210746,1.0004200758227604
phi_a_0[1],-0.02350266380724679,0.0002316798236774346,0.01553612967742631,-0.05422196693353573,-0.03396090297153227,-0.023321520952762673,-0.012918552676952001,0.006860272828533044,4496.858759307696,1.0006452525627119
phi_a_0[2],-0.04441998123036215,0.0003253357157731444,0.029810135745865534,-0.10101586074351973,-0.06480820514621578,-0.045013765965808236,-0.024470509822341325,0.015321055975619082,8395.84516411569,0.9999664375677175
phi_a_0[3],-0.07502734931279487,0.00029586731859291074,0.02168653168729974,-0.11857703441164466,-0.08933138459779147,-0.07471475701218312,-0.06023939089010957,-0.034116426391702384,5372.62106716934,1.0004905568934415
