,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_0[1],0.07829614507493307,0.0011005852594691415,0.06101529908464115,-0.0020750066567606354,0.029157373751505358,0.06710246008884305,0.11522653833161237,0.2224115857566901,3073.4779744140237,1.0004182114260738
beta_a_0[2],-0.00993639030711052,0.00010185253216466589,0.006960703235559909,-0.02449168045057786,-0.014358718177690542,-0.009710853164668479,-0.005169274455359628,0.0030837984217779776,4670.4913884551925,0.9999716838099402
beta_a_0[3],0.0479690646953771,0.0011706808407526282,0.06829059508396643,-0.053360138676679186,-0.0010036111582963389,0.03363267482877598,0.08660311198979674,0.21057377499979954,3402.8654141513316,1.000229029960549
beta_a_0[4],0.08732554353701082,0.0009332181134411005,0.05856456739860987,0.0068736784989902105,0.04181096773305469,0.07585794383667821,0.12173306989190535,0.22603565858815003,3938.252522098967,1.0010687140914836
beta_a_0[5],0.013864045180329142,0.00022880723288805905,0.010668841785136132,-0.004282678747654074,0.0072303570533009676,0.013379524805875618,0.019917558039624222,0.034110376277750404,2174.1777733454014,1.000648361125147
phi_a_0[1],-0.014495818662785029,0.0004228758253774689,0.02559068432902115,-0.06252008708434684,-0.031862572518017857,-0.014717290887949229,0.0020847927443680614,0.037374964555711154,3662.166473212341,1.000573665024066
phi_a_0[2],-0.00940728306358945,0.00034572810988915486,0.020128269272574766,-0.04872893229819786,-0.0225418672484616,-0.009505496751609277,0.004065892093398302,0.030413413490706146,3389.561231233485,1.0003096921331163
phi_a_0[3],0.020221318165514077,0.0009705654631159748,0.06251598187709091,-0.09676548533379155,-0.021829759510553444,0.017903607342401623,0.06085523249542525,0.14872758049320764,4148.895028227497,1.0006413195475907
phi_a_0[4],-0.04887643823494153,0.0005758475707108684,0.03849312081015827,-0.12368526402586338,-0.07566405611793894,-0.04900594139879988,-0.023441880113199483,0.027238984402055126,4468.390989168716,0.9999691696337112
phi_a_0[5],-0.041573194681422065,0.000698777970185037,0.037796360511803954,-0.11878582439573959,-0.06673623974541722,-0.040164443671144606,-0.015968458311197378,0.029954571833599272,2925.6445176876605,1.0007440070059972
persev_a_0[1],-0.45104080118049344,0.0026775592667819237,0.14550434232083626,-0.7564122758544435,-0.5449553349845428,-0.44713364764543373,-0.3542404668753516,-0.17764629002371232,2953.069875950786,1.000590711878752
persev_a_0[2],0.4693735661148958,0.002778619398529689,0.16585216393921876,0.15452574702547273,0.35543773842970006,0.4647956598234276,0.5773972310010367,0.8095034240171292,3562.7402308619207,1.0002290314253761
persev_a_0[3],1.48750520218284,0.009443254956246786,0.6120132150814153,0.3449432782349756,1.0722439206527328,1.469525068103851,1.8844930283499917,2.7404603732244093,4200.279292491337,1.0003091613010353
persev_a_0[4],0.32483255933590444,0.0029843663937484423,0.2010824251491535,-0.05415260522693195,0.18669778379987195,0.3218619921263259,0.4568412430357893,0.736015271705935,4539.875541598737,1.0002329574298787
persev_a_0[5],-0.014295210020294095,0.003085065129253039,0.18813574560080876,-0.39180476210627485,-0.1396824745405318,-0.012945323303233227,0.11192170388127493,0.3503902516723213,3718.89540577304,1.000310923650211
beta_b[1],0.007335920309025707,7.319269615484267e-05,0.006125265903288489,0.00021877363280539854,0.0025838953888666694,0.0057100867973255975,0.010618579169868931,0.023232571854353606,7003.488220533475,1.0000481705443105
beta_b[2],0.0590626528517477,0.0002716139387939519,0.018710423633903846,0.022921802272036267,0.04640744881186492,0.05869302919278774,0.07114502740919132,0.09730655412705824,4745.294106068584,0.9998363035218016
beta_b[3],0.10145156906661654,0.0003992598377332655,0.030118433425299868,0.045391855256557825,0.08050626479492806,0.10061687958938448,0.12104831744896236,0.16492978667230895,5690.540331701621,1.0004153204757193
beta_b[4],0.0581779345337486,0.00029017607840527,0.01844734679741834,0.022499375967961414,0.04575510100152385,0.05786430718540503,0.07014190560160743,0.09582175808642329,4041.5188647865684,1.0002969202550998
beta_b[5],0.14545203996991665,0.0007932721293769738,0.04383205020317676,0.0651603498966739,0.11454851870438673,0.14307578900122725,0.17362585791360335,0.23991410935765323,3053.0869813763898,1.000638117210907
phi_b[1],-0.11406205370710591,0.0009861997030919066,0.06190016279492561,-0.23861073094805862,-0.15474006194956047,-0.11294654975184032,-0.07165340070096468,0.002720798727907969,3939.615591082336,1.000318056554739
phi_b[2],-0.1127709220464544,0.0011667053267150084,0.06613362095424635,-0.2491057106123932,-0.1568128133667959,-0.11032702421672735,-0.06702067344221457,0.011007400736889966,3213.0852051299944,0.9997326604911546
phi_b[3],-0.19891167192655046,0.0008846054694942709,0.056768556617904385,-0.3153003457197293,-0.23740406056661156,-0.19630292590403664,-0.1593768872353525,-0.09464593942977265,4118.2856223036,1.0004811387022656
phi_b[4],-0.24151856765686874,0.0011916349629990408,0.07574370958648131,-0.39831222735111566,-0.28908318240061487,-0.2402028437679126,-0.18916104911246878,-0.10069061534388912,4040.235385769032,1.0001771749013226
phi_b[5],-0.16731349126830022,0.0023183352276285388,0.11377468839457973,-0.4291803115800512,-0.2355428365855306,-0.15543749355516062,-0.08918533916527081,0.02443654569823677,2408.4566872594255,1.0012328015369902
