,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a_1[1],0.002994621,3.02E-05,0.005097011,-0.006975431,-0.000498046,0.002951348,0.006413481,0.013096105,28529.30732,0.999916788
beta_a_1[2],0.004916051,3.55E-05,0.005383744,-0.005149054,0.001196396,0.004771098,0.00845562,0.015934162,23019.47926,0.999812152
beta_a_1[3],0.005861075,3.71E-05,0.005887358,-0.005805305,0.001948919,0.005863128,0.009779695,0.017582903,25167.91698,0.999877537
beta_a_1[4],0.000946116,5.17E-05,0.007933204,-0.014131936,-0.004416699,0.000824113,0.006178167,0.016924599,23590.30019,1.000150116
beta_a_1[5],0.038584817,7.53E-05,0.011981789,0.016578862,0.030325465,0.038046938,0.046227693,0.063635976,25341.14784,0.999948273
beta_a_1[6],0.036272779,6.75E-05,0.010759498,0.016706481,0.028780968,0.035722246,0.043270909,0.058524617,25419.46678,0.999981393
beta_a_1[7],0.002052593,7.16E-05,0.010636094,-0.017745532,-0.005282357,0.00162267,0.008873329,0.02373006,22093.40638,0.999895603
beta_a_1[8],0.032538645,9.45E-05,0.013601912,0.008233037,0.022899403,0.031867972,0.041245866,0.061115444,20719.34133,0.999973999
beta_a_1[9],0.055516165,0.000220544,0.028637422,0.007839075,0.034928027,0.052718724,0.072876205,0.120079297,16860.79784,1.000058561
beta_a_1[10],-0.009449075,7.14E-05,0.011437873,-0.031329974,-0.017105552,-0.009380344,-0.00203507,0.013252282,25645.53793,0.999944765
beta_a_1[11],0.016497477,0.000121327,0.019952451,-0.021033964,0.002536749,0.016087248,0.02992675,0.056372043,27044.48275,1.000071444
beta_a_1[12],0.033028715,0.000100303,0.014482154,0.006887367,0.02284772,0.032085813,0.042209718,0.063936959,20846.65187,0.999899519
beta_a_1[13],-0.007844201,4.14E-05,0.006567829,-0.020782488,-0.012202461,-0.007751478,-0.003394232,0.004705017,25205.84478,0.99982326
beta_a_1[14],0.012164851,4.98E-05,0.007844153,-0.002581559,0.006781564,0.011936761,0.017317836,0.028118926,24773.09452,0.999905444
beta_a_1[15],0.008737018,4.21E-05,0.006662552,-0.004179994,0.004305589,0.008644953,0.013191028,0.022094173,25031.56505,1.00011597
beta_a_1[16],-0.00928232,7.62E-05,0.012263307,-0.03280464,-0.01759152,-0.009500144,-0.001091705,0.015231691,25919.95778,0.999816485
beta_a_1[17],0.073607801,0.000330614,0.045830028,9.56E-05,0.041065209,0.06818096,0.100316185,0.179360307,19215.74552,1.000247016
beta_a_1[18],0.056963275,9.85E-05,0.015347455,0.028774337,0.046395748,0.056468714,0.066856729,0.088604841,24291.17592,0.999988316
beta_a_1[19],-0.013135218,0.000103424,0.01515317,-0.044019657,-0.023091029,-0.012674072,-0.002921496,0.015290637,21466.67414,0.99990313
beta_a_1[20],0.025715406,9.58E-05,0.014367646,-0.000676337,0.015540525,0.025173517,0.034935998,0.055810228,22482.83644,1.000178581
beta_a_1[21],0.004715027,3.51E-05,0.005504408,-0.00622829,0.001050379,0.00473064,0.008411428,0.015487277,24575.82421,0.999972973
beta_a_1[22],0.037530672,0.000145911,0.018290235,0.006955247,0.02445053,0.035731917,0.048530895,0.078006899,15713.01978,0.999951038
beta_a_1[23],0.002103501,3.73E-05,0.005925627,-0.009396379,-0.001860544,0.002082459,0.006074895,0.013941782,25265.635,0.999860447
beta_a_1[24],-0.00418211,3.65E-05,0.005823358,-0.015371849,-0.008170969,-0.004229973,-0.000285134,0.007536147,25394.40851,0.999814432
beta_a_1[25],0.037515638,0.000113458,0.016799932,0.006673537,0.025991072,0.036684753,0.048314217,0.07280843,21925.1345,0.999849488
beta_a_1[26],0.02154636,0.000175288,0.027667006,-0.030100918,0.002608709,0.020335918,0.039295333,0.079713198,24912.68066,0.999963952
beta_a_1[27],0.010852853,4.40E-05,0.006681884,-0.001972497,0.006282494,0.010745712,0.015177714,0.024468516,23080.58076,0.999835944
beta_a_1[28],0.016813211,5.91E-05,0.009056681,-1.32E-05,0.010604808,0.016479269,0.022723542,0.035416013,23503.30998,0.999982761
beta_a_1[29],0.014923924,8.52E-05,0.012423273,-0.008497919,0.006516965,0.014558568,0.02278815,0.0408031,21247.76117,0.999850847
beta_a_1[30],0.019914024,6.03E-05,0.009273589,0.0024359,0.013554241,0.019711494,0.025954659,0.038835436,23639.34677,0.999889206
beta_a_1[31],-0.003423783,1.76E-05,0.002808164,-0.008972755,-0.005262899,-0.00338899,-0.001527764,0.001929776,25532.53352,0.999812805
beta_a_1[32],0.038787188,0.000118031,0.016978779,0.008442534,0.02688865,0.037688146,0.049488745,0.074760468,20692.89046,1.00007821
beta_a_1[33],0.011147408,4.47E-05,0.007294566,-0.002844194,0.006119893,0.011063517,0.016042911,0.025610822,26597.40116,0.999881173
beta_a_1[34],0.020025315,5.01E-05,0.008225478,0.004335976,0.014363767,0.019908969,0.025457216,0.036481595,26902.45093,0.999938044
beta_a_1[35],0.015643702,7.37E-05,0.011829056,-0.007042603,0.007650087,0.015419836,0.023433792,0.039435555,25772.58388,0.999965913
beta_a_1[36],-0.001183411,3.92E-05,0.00640397,-0.013826139,-0.00555731,-0.001194857,0.003086885,0.011348028,26676.91729,0.999874819
beta_a_1[37],0.000566879,4.39E-05,0.007242132,-0.013513394,-0.004238002,0.000556383,0.005405568,0.014634662,27236.62582,0.999962295
beta_a_1[38],0.033385258,8.90E-05,0.015533737,0.003561217,0.023021954,0.033159037,0.043603662,0.064701293,30469.92895,0.999991605
beta_a_1[39],0.035241112,6.17E-05,0.010183677,0.015807012,0.028278297,0.034973578,0.041990101,0.05581392,27273.91674,0.999829733
beta_a_1[40],0.008805812,0.000103826,0.015790658,-0.019719428,-0.002047415,0.007938858,0.018858713,0.042601483,23130.81947,0.999874524
beta_a_1[41],0.002731218,3.55E-05,0.005646738,-0.007970677,-0.001125872,0.00259355,0.006451319,0.01409422,25293.5957,0.999920307
beta_a_1[42],0.003548054,3.40E-05,0.005702292,-0.00768305,-0.00025889,0.003519433,0.007476231,0.014641644,28082.50651,0.999943908
beta_a_1[43],-0.001582579,8.20E-05,0.013487603,-0.027812814,-0.010805388,-0.001611447,0.007449121,0.025124714,27023.72645,0.999943401
beta_a_1[44],0.000983426,3.63E-05,0.005536042,-0.009791184,-0.002797824,0.000950387,0.004734026,0.011845376,23268.55218,0.999858455
beta_a_1[45],0.015978216,5.42E-05,0.008722278,-0.000832592,0.010064354,0.015916553,0.021742945,0.033168165,25925.32735,0.999926039
beta_a_1[46],0.020916345,4.48E-05,0.007352735,0.007294893,0.015893389,0.020560855,0.02560732,0.036280975,26880.62276,0.999762869
beta_a_1[47],0.010875417,4.62E-05,0.007008275,-0.001970761,0.006037073,0.010544483,0.015407051,0.025475714,22980.94334,0.999945124
beta_a_1[48],0.012596095,2.71E-05,0.004661929,0.003748436,0.009386861,0.012499848,0.015658511,0.022081441,29549.40087,0.999838473
beta_a_1[49],-0.012807903,6.67E-05,0.01045627,-0.033653331,-0.019812917,-0.012589255,-0.005760766,0.007092686,24578.17814,1.000089736
beta_a_1[50],0.019830706,5.67E-05,0.008685851,0.003277823,0.013955761,0.01959805,0.025501981,0.037544648,23433.97849,0.999785277
beta_a_1[51],-0.001285606,1.94E-05,0.003262762,-0.007746906,-0.003472225,-0.00128904,0.000888798,0.005058899,28264.37033,0.999854167
beta_a_1[52],0.002301863,4.03E-05,0.006625261,-0.010672708,-0.002189731,0.002275227,0.006780478,0.015492215,27018.15985,0.999948873
beta_a_1[53],0.002538427,3.60E-05,0.005802197,-0.009023052,-0.001350544,0.002594375,0.006388773,0.01377133,26014.14174,0.999903975
beta_a_1[54],-0.0013106,2.30E-05,0.003712152,-0.008635481,-0.00378414,-0.001337275,0.001200101,0.006051409,26143.4533,0.999828927
beta_a_1[55],-0.003922125,3.80E-05,0.00605989,-0.015275917,-0.008151269,-0.004064006,6.06E-05,0.008462749,25388.0707,0.999991799
beta_a_1[56],0.005149115,5.64E-05,0.009018478,-0.012613259,-0.001003517,0.005154413,0.011236762,0.022993963,25564.3996,0.999812513
beta_a_1[57],0.004756848,3.09E-05,0.0050016,-0.004813313,0.001355211,0.004644081,0.008068903,0.014774551,26145.44789,0.999869021
beta_a_1[58],0.070795316,0.000257713,0.035127006,0.011331349,0.046083578,0.067734074,0.091941237,0.149703841,18578.41099,0.99999353
beta_a_1[59],0.007988013,4.24E-05,0.007109035,-0.005632266,0.003137133,0.007869749,0.012734122,0.022091481,28085.00107,1.000035127
beta_a_1[60],0.044430897,9.30E-05,0.013820531,0.019998309,0.0347466,0.0435127,0.053225565,0.074269055,22094.15151,0.999837726
beta_a_0[1],-0.003469307,4.42E-05,0.007315514,-0.017839329,-0.00847664,-0.003423375,0.001642435,0.010671523,27444.56055,0.999814796
beta_a_0[2],-0.006745003,3.32E-05,0.005267575,-0.017158932,-0.01026775,-0.00664739,-0.003174193,0.003359638,25224.56233,0.999926883
beta_a_0[3],-0.00145095,3.02E-05,0.005111134,-0.011607341,-0.004875714,-0.001394906,0.001958281,0.008477869,28655.96709,0.99985794
beta_a_0[4],0.009832053,3.80E-05,0.006205788,-0.00218296,0.005675924,0.009770908,0.013921302,0.022171608,26622.21131,0.999864826
beta_a_0[5],-0.007837076,5.64E-05,0.009715821,-0.026893584,-0.014295115,-0.007827029,-0.001306976,0.011126272,29624.47667,0.999849407
beta_a_0[6],0.000891246,3.87E-05,0.006608676,-0.011912392,-0.003623962,0.000851756,0.005349196,0.013855791,29151.63067,0.999966062
