,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_1[1],-0.12116131508179859,0.0007709437559266343,0.059149215171090126,-0.24879340970431063,-0.1589699696049393,-0.11706078699922556,-0.07908423239468368,-0.01933901580285375,5886.438112218286,1.0003775911512116
beta_a_1[2],-0.08006390962108656,0.0012951962701739756,0.06706618599107053,-0.23247192164168867,-0.12512322335615353,-0.06709009316037046,-0.02021792153047871,-0.00032142344387295157,2681.242210524897,1.0004876748383542
beta_a_1[3],0.03919549868919226,0.0009326107920485619,0.05396218931336826,-0.10652323335454783,0.017433874282375424,0.04381422963783761,0.07036213483019815,0.12714296518985282,3347.9444924908357,1.0007417186892387
beta_a_1[4],-0.011729652783000127,0.0007002024011082499,0.023624412035454106,-0.07438595593058667,-0.016792631391013852,-0.008239355649564573,-0.00011753433751360378,0.01475036179210414,1138.3474153006707,1.003340957158019
beta_a_1[5],0.04923482274014879,0.00021215562934411407,0.018473654779947352,0.016202951485939983,0.036356923258206574,0.04798180836486869,0.06085732495984258,0.08817308967565204,7582.222551679955,1.0002310816730406
phi_a_1[1],0.004659224764033239,0.0005618638736705385,0.03461782673566356,-0.06421369346176224,-0.018275236934269547,0.005445008446235337,0.028312969053284877,0.07107925110567136,3796.097704123031,1.001288085393544
phi_a_1[2],-0.08229478335463972,0.0005888360884962191,0.042064549953871135,-0.16771427209906153,-0.10925135058332522,-0.08127429543101339,-0.054329579806391345,-0.0014094600864002675,5103.212528345345,1.0000186933125683
phi_a_1[3],-0.05351693643282437,0.0009245135071005912,0.08369411892655904,-0.22222808262714422,-0.11004118432865315,-0.05119114048185437,0.005182391639192598,0.10216245189784975,8195.271813158844,0.9997733668663795
phi_a_1[4],0.007477731785645117,0.0004129923221750198,0.026181304175675598,-0.04473669774991103,-0.009875772307891864,0.007611420244786692,0.02477856699947977,0.05918903502525272,4018.820389360278,1.000407145318067
phi_a_1[5],-0.07800494806795734,0.0007057805259684428,0.06198746368174717,-0.20243000855996618,-0.11965829292184849,-0.07640883502497098,-0.034606954430168854,0.03993776608525581,7713.800303888759,0.9997651284816897
persev_a_1[1],0.38795490186517256,0.003040207489989253,0.19782091898929854,0.015197318349506484,0.2515445897124324,0.3825437939706384,0.5174760121352483,0.7922065435095378,4233.8745032371435,1.0000680250032024
persev_a_1[2],0.022240357046827097,0.0028383167334150696,0.19362595979014663,-0.3624728260446437,-0.1070836496248879,0.025613121721768467,0.15440803346925586,0.40263168571199176,4653.775745819858,0.9999221052325303
persev_a_1[3],-0.07210287156909201,0.005951622300547314,0.4047506224659549,-0.8409209250446555,-0.35028176742991235,-0.07250019992913773,0.19948037352735123,0.7322159508363639,4624.921075396762,1.0005199404182161
persev_a_1[4],0.2901033223835435,0.0028294468205135015,0.19613346908557036,-0.09493477520121138,0.15815458090254808,0.2903419824017719,0.42295373625046245,0.6786532670448382,4805.076964551303,0.9997653045792437
persev_a_1[5],-0.5422319919209381,0.003709793203456138,0.26406535894483146,-1.0702126674892982,-0.7190938805192821,-0.5420504309623588,-0.36414610569826167,-0.03648192359605425,5066.67984432993,1.0000199448812737
beta_a_0[1],0.009150416064816369,0.0002287292343746459,0.015384556665840463,-0.01919068665351204,-0.0016514680677415586,0.008666935066287029,0.019082760107395486,0.040983120847059386,4524.041904902713,1.0008314932856257
beta_a_0[2],0.031609638300183165,0.0009680806286778194,0.03779291416883792,-0.0021357362850604354,0.009577479331510794,0.020652890651181973,0.03835898293022434,0.14489517848464045,1524.0446909342347,1.0002957618035553
beta_a_0[3],0.04354125229074768,0.002608941936235852,0.06888869558249057,-0.015535702418697138,-0.003864835395591057,0.007969161167033147,0.08055281484331624,0.21947780347085183,697.2155994504445,1.0094473385826461
beta_a_0[4],0.016859728955460646,0.0013818072517429534,0.029071832009423385,-0.009456732338781316,0.003097853183891044,0.010823549341224668,0.020950056006272928,0.10260102200276278,442.63919334282986,1.0090761335943181
beta_a_0[5],0.02851836549791175,0.0017846257115337822,0.05298399667214734,-0.007512365323658038,-0.0018034069855814821,0.00312249717180791,0.03935875772209451,0.18460540128098846,881.444836796356,1.006873720482533
phi_a_0[1],-0.09365273480944614,0.0006127279038465297,0.03819847636525666,-0.1719236022805523,-0.11889273728270136,-0.09209073156228298,-0.06726482055473798,-0.022094722910594153,3886.4829197543195,1.0011271317074748
phi_a_0[2],-0.044961459945688065,0.0005246591156856225,0.03502719632833097,-0.11318121814964163,-0.06859801596847086,-0.04471287084328103,-0.021625099462969477,0.024504689473560277,4457.140326093999,1.0003845863862475
phi_a_0[3],-0.09562226975351638,0.00047197661876445594,0.033411513808301846,-0.16402464393429694,-0.11709291359975668,-0.09389438174303287,-0.07269051529901532,-0.03467119104743125,5011.310782214245,1.0000500558601428
phi_a_0[4],-0.012258843843894496,0.0006056635112533683,0.0402286441097955,-0.09267919890940018,-0.038712877822826855,-0.012106353619425164,0.014056038620958795,0.06731123349414936,4411.7202954149525,1.0006878511123352
phi_a_0[5],0.004663331539252274,0.0004181901043394688,0.028196670140834282,-0.05144940309120041,-0.01401786378060921,0.0048995887588111145,0.02356324199866341,0.06039525821058288,4546.195877070595,1.0010989955018608
persev_a_0[1],0.037964476085506516,0.0032663385169471823,0.2149085757295696,-0.38766050547063935,-0.10479437981688411,0.037930996147098474,0.18266516100353786,0.4614903112749837,4328.975297406915,1.0004134807472738
persev_a_0[2],0.13571631064590026,0.0028546252456379886,0.20340168257400718,-0.2636213987814645,-0.0003545114886676991,0.1324661764163761,0.27047838414685244,0.5418945548585388,5077.043422037755,0.9999974963684097
persev_a_0[3],0.18969059559492227,0.0043354761617629516,0.2507422886562929,-0.30783360686745,0.021653506410371535,0.18911290528742672,0.35739757359390845,0.6862651891724498,3344.8878877478905,1.0010832193987702
persev_a_0[4],0.4250870382877051,0.003459987923669191,0.24575678855462002,-0.04771856805727502,0.2569183849587229,0.4240804951607498,0.5870550295277367,0.9264175437603994,5045.008246370493,0.9999778957839852
persev_a_0[5],0.25070244624075316,0.0032938603453244574,0.1638353735716208,-0.06613032748338882,0.14172573698418467,0.2489225867700009,0.3605258044910229,0.5722674200568498,2474.0301499567313,1.0018263299819148
beta_b[1],0.13052731924518463,0.000857917564674029,0.058170559264410567,0.026861654876937945,0.08868266741942474,0.1279021984593668,0.1683028936368096,0.2503329784155841,4597.432477249501,1.0014815966077952
beta_b[2],0.08724417195659823,0.0005310330694861853,0.03742452895630945,0.02558675177931087,0.06053283438928915,0.08312383145099644,0.10948696473716155,0.17177026780725463,4966.718560495076,0.9998679669171509
