,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a_1[1],-0.005396921,6.33E-05,0.007668424,-0.020199586,-0.010598859,-0.005468172,-0.000423973,0.00998215,14656.18482,1.000078723
beta_a_1[2],0.013160684,5.48E-05,0.007065366,-6.78E-05,0.008305145,0.012971861,0.017769195,0.027746533,16621.03951,0.999899041
beta_a_1[3],0.012916896,6.36E-05,0.008035584,-0.002213906,0.007434225,0.012674018,0.018153829,0.029219044,15975.35091,0.999881345
beta_a_1[4],-0.025847957,8.18E-05,0.010750547,-0.046682624,-0.033061529,-0.025810591,-0.018563025,-0.00479869,17273.05795,1.000125771
beta_a_1[5],0.010771141,0.000121256,0.015459107,-0.017815626,-2.51E-05,0.010286681,0.020993887,0.0425436,16254.16894,0.999975856
beta_a_1[6],0.029328503,8.92E-05,0.011971253,0.007261302,0.021154948,0.028815771,0.037188492,0.054249378,17998.6297,0.999988579
beta_a_1[7],0.015569281,0.000161244,0.018660734,-0.019704376,0.002788481,0.015180358,0.027643637,0.054004,13393.33883,1.00017143
beta_a_1[8],0.011554592,0.000112256,0.015304829,-0.016318742,0.000841691,0.010695732,0.021534042,0.043791001,18588.16661,0.999957657
beta_a_1[9],0.039051504,0.000362341,0.045869296,-0.046034776,0.007923824,0.037626554,0.068172805,0.133333433,16025.4447,0.999965268
beta_a_1[10],-0.037919377,0.000112,0.014650784,-0.06675113,-0.04785449,-0.037792138,-0.027970676,-0.009597195,17111.46597,0.99978059
beta_a_1[1],0.007235997,0.000202746,0.025709972,-0.041431551,-0.010416745,0.006702823,0.024097951,0.058775149,16080.40297,0.999909235
beta_a_1[2],-0.022772028,0.000475202,0.053785964,-0.141030235,-0.052615784,-0.019160991,0.011281423,0.075692128,12810.94002,0.999916297
beta_a_1[3],-0.013013904,5.09E-05,0.006674752,-0.026449398,-0.017437544,-0.012807072,-0.008448024,-0.000121968,17168.52547,0.999818437
beta_a_1[4],-0.014666346,9.02E-05,0.011230122,-0.036125348,-0.022304872,-0.014819026,-0.007151191,0.007409416,15498.83605,1.000069775
beta_a_1[5],0.000488331,6.90E-05,0.008609058,-0.016356967,-0.005347806,0.000566964,0.006332595,0.017280754,15564.07678,1.000103598
beta_a_1[6],-0.052767645,0.000140658,0.019616487,-0.092394083,-0.065787713,-0.05240582,-0.039573777,-0.015217823,19449.62071,0.999878046
beta_a_1[7],0.058504335,0.000535439,0.067223551,-0.044909672,0.009663208,0.04940951,0.0974514,0.215910272,15762.3968,0.999936913
beta_a_1[8],0.014962546,0.00018744,0.023088739,-0.029605395,-0.000925018,0.014760777,0.03048945,0.060559684,15173.15086,0.999848019
beta_a_1[9],-0.045935206,0.000195108,0.022674238,-0.093055841,-0.060657714,-0.044890215,-0.030536571,-0.00401779,13505.5995,1.000273382
beta_a_1[10],-0.011783974,0.000137927,0.020234253,-0.050657882,-0.025376624,-0.012310378,0.001400148,0.029562817,21521.59739,0.999934495
beta_a_1[1],0.004553091,4.07E-05,0.005838967,-0.006716793,0.000642362,0.004430226,0.008395702,0.016247958,20547.12513,1.000112774
beta_a_1[2],0.048872349,0.000280267,0.033837898,-0.007807776,0.024773711,0.045648253,0.069111503,0.124649907,14576.77418,1.000203299
beta_a_1[3],-0.013914355,6.56E-05,0.008628042,-0.031066538,-0.019714307,-0.013784132,-0.008071535,0.002703122,17302.62283,0.999824073
beta_a_1[4],-0.010790564,6.38E-05,0.008222687,-0.027159774,-0.016182297,-0.010773983,-0.005318689,0.005075252,16596.4079,0.999891399
beta_a_1[5],0.057881874,0.000251937,0.029001962,0.003733246,0.037725933,0.05680749,0.077076782,0.117202826,13251.63985,1.000025816
beta_a_1[6],0.018429238,0.000295252,0.037314589,-0.049710986,-0.007146872,0.016284861,0.041636611,0.09788837,15972.41814,1.000087219
beta_a_1[7],0.000492872,5.83E-05,0.007781971,-0.014327221,-0.004786847,0.000303888,0.005718414,0.016068615,17791.91777,0.99993207
beta_a_1[8],0.006420379,8.47E-05,0.011247619,-0.015504568,-0.001143198,0.006247049,0.013957573,0.028906805,17637.41941,1.000204282
beta_a_1[9],0.009203587,0.000159706,0.018475261,-0.025223474,-0.003412555,0.008679605,0.021206253,0.047321282,13382.50762,0.999952433
beta_a_1[10],0.010693548,9.37E-05,0.012213829,-0.012533008,0.002307239,0.010507249,0.018875927,0.035075749,16997.53653,1.00012684
beta_a_1[1],-0.001052513,2.59E-05,0.003514583,-0.007911156,-0.003432521,-0.00104264,0.00132841,0.005799965,18343.30287,0.999930951
beta_a_1[2],0.049506587,0.000199086,0.026292746,0.001136009,0.031249571,0.048445024,0.066837975,0.103055579,17441.83166,0.999958965
