,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a[1],0.004024067938842188,0.00016056147965288909,0.016975004270284897,-0.028525639833091955,-0.007450837954897607,0.003909242007344373,0.015520377256828458,0.03734728299728139,11177.303946453861,1.0002627130403543
phi_a[2],-0.03740413070708705,0.00018935165519818895,0.01918989914075025,-0.07585955390468664,-0.04985788682009975,-0.03747126525359048,-0.024600169331006054,-0.00013391819998846474,10270.868589509826,1.000028629170731
phi_a[3],0.010227973407106824,0.00013907332589660438,0.015309904278537656,-0.019778561957679533,-0.0002629503068072773,0.010209776633798535,0.020615923908915382,0.039908184713248196,12118.73445029155,1.0002349693685855
phi_a[4],0.004795532957136845,0.00015013764083736378,0.014831544759438714,-0.02401710043051162,-0.0052817460344669175,0.004823176970499044,0.014470980679697262,0.03367236436658705,9758.736660723931,1.00011447791763
phi_a[5],-0.021919707002933535,0.00016165534809645397,0.015431519684293947,-0.053155059834426185,-0.03227617011032852,-0.021444946017996687,-0.011352771309396653,0.007287735663308904,9112.49368033496,0.9998119242284679
phi_a[6],-0.028513237646990014,0.00014455908773147193,0.013877431067007806,-0.05725039294755804,-0.03746074800500216,-0.028154560251023322,-0.01908975080553544,-0.002465306826806326,9215.679440436754,0.9995593005601806
phi_a[7],-0.06184984155409095,0.0001844308074535842,0.017969457428740516,-0.09882204169555703,-0.07335159188547849,-0.06150379893958338,-0.049594340230191776,-0.027628801584039922,9492.989337901148,1.000092889472273
phi_a[8],-0.10139692355591995,0.0003713952413776276,0.03067351560651722,-0.16497223295220292,-0.12102575760332934,-0.09973807853261418,-0.07947732855892217,-0.04655626464544319,6821.100370661728,1.0000091976120842
phi_a[9],0.00278621046100913,0.0001087366113900244,0.010990834804046308,-0.01908844302697133,-0.004546299679055059,0.002943841610957852,0.010153301193637054,0.024142638426600804,10216.679534806532,0.9997814363722027
phi_a[10],-0.03475180766181748,0.0002044905961841389,0.01839966480264097,-0.07165310756666414,-0.04677070751367294,-0.03426291252380484,-0.02217489846167263,0.00012624556071037923,8096.049230692541,0.9999345080498714
persev_a[1],-0.13373596763569764,0.000853637747427457,0.08291162906970916,-0.29809371374324567,-0.18849139186382352,-0.13167274019789477,-0.07723016241639705,0.02480577474260856,9433.735043974792,0.9999032993222764
persev_a[2],-0.0002668485351777902,0.0006881249206584625,0.07359793248304441,-0.14295816376477888,-0.04978277353151618,-0.0013192325492977488,0.0495772687179925,0.14275852130160246,11439.226417129048,0.999931564274875
persev_a[3],-0.05735197776243663,0.000812789619429365,0.08447978795466153,-0.22845689512299716,-0.11316287337950476,-0.05453673222806227,-0.0011071280390249605,0.10352483480607325,10803.123314804656,1.0004099829215916
persev_a[4],0.159605599866972,0.000818144478359418,0.07923032589484649,0.006791064513676847,0.10598893872057469,0.15875020300156964,0.2126022758777239,0.3132588688656905,9378.273137928843,0.9999324667020564
persev_a[5],0.16807000151263923,0.0009848407132121175,0.10029315679135777,-0.021111966588422487,0.09968106660654079,0.1656957518212558,0.2342163133637672,0.3671854656379885,10370.760729336014,0.9996863530418899
persev_a[6],0.14944527493727508,0.0007847344327088966,0.07768020561864358,0.0021829397989952533,0.09678192888735923,0.14831310725924057,0.20072713759228633,0.3039701411962196,9798.854630485084,0.9996190671598632
persev_a[7],-0.009244911149861383,0.0008504554673712579,0.0890529600358342,-0.18308968610106685,-0.06854369458844185,-0.009531294458129107,0.05066356031064043,0.1646371724092871,10964.619476306276,0.9999763514655933
