,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a[1],0.0005773648509231221,1.5499367515874865e-05,0.0014768976255108066,-0.002321724760674981,-0.0003430101191478815,0.0005676137812690024,0.0015062590879160172,0.0035887182494105793,9079.72786223923,1.0002532429618236
beta_a[2],0.005028042236667924,3.807937776086062e-05,0.0032201251358592795,-0.00026165552103198173,0.0027217456208432755,0.00471322648074899,0.006989143099485,0.012111557147283576,7150.984086913404,0.9999482900947997
beta_a[3],0.0003521787412473934,2.7625914141899815e-05,0.0024420941392714556,-0.003971902878415102,-0.0013395499245305868,0.00010251620795084039,0.0018804896719517594,0.005672900935837598,7814.325315944103,1.0002180805262282
beta_a[4],-0.0007856471094205879,1.9718948073804844e-05,0.0017245924578868366,-0.004262446484405319,-0.0018712077537639514,-0.0007592652807151485,0.0003629597345916373,0.002480430252069921,7649.014394754995,0.999698375988506
beta_a[5],-0.007590555141936616,4.4210348664705985e-05,0.00390573997280217,-0.015419192687105246,-0.010157689624005418,-0.007473706412293283,-0.0049153528188972005,-0.00023035503438333105,7804.7459850725145,0.9997725675700626
beta_a[6],-0.010269264466796416,0.00010259435384635466,0.006783856713935227,-0.025169289203955957,-0.014640444815142355,-0.009467447507264484,-0.005439014246875448,0.0012615409441500327,4372.264347316143,1.0000855215074695
beta_a[7],-0.0010639564255525266,3.9427902949760095e-05,0.003093485700908716,-0.007654117049033359,-0.0029268537085609565,-0.0009275688716816443,0.0009251620242531659,0.00462080993011052,6155.861895796412,0.9999151692161887
beta_a[8],0.01913442407317784,0.0007734742863165818,0.027728776342508546,-0.011022052843618246,0.0026506842240875653,0.010212734599874632,0.02325241167111432,0.09671568167186062,1285.1968391158032,1.0012326690184805
beta_a[9],0.0015809152284288865,3.814397292379907e-05,0.003643657642925538,-0.005558433892863063,-0.0008825056907032305,0.0015729363202233232,0.003940098433267456,0.008764718861432588,9124.798380631084,0.9997490661813014
beta_a[10],0.021366157642116045,0.0005312233469479714,0.016735853549068844,0.002483824458301051,0.008035876329413893,0.014181912417920111,0.033771020176342724,0.05903984034139457,992.5249346194954,1.0064699898852807
phi_a[1],0.0175772642031215,0.0001390718772859458,0.014750048141286583,-0.011264754407935076,0.00745672429495566,0.017663490790790954,0.02743632688483207,0.046207166931351115,11248.852997376149,0.9997516268783183
phi_a[2],-0.032123593382442694,0.00017585375755978334,0.016318848078911246,-0.06504357912842532,-0.04293121906397545,-0.031777224476492894,-0.02126041513323982,-0.0006107109944749969,8611.438287016937,1.0001005391783808
phi_a[3],0.014533364432100985,0.00014687634320942707,0.01410041188921455,-0.013313153843229486,0.0052028403661876325,0.014612546476546502,0.02410990500554782,0.04250846786992614,9216.369870578894,0.9995977414983593
phi_a[4],-0.017183137398530356,0.00012387808038749574,0.011885806583738865,-0.04035129060181944,-0.0252288360813926,-0.0171111192543855,-0.00919164345991419,0.005648221342862338,9205.945164642366,0.99981439641319
