,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a[1],-0.002712363,8.34E-06,0.003048,-0.008652816,-0.004771504,-0.002727159,-0.000647994,0.003259353,133616.4048,0.999993184
beta_a[2],-0.002717712,5.64E-06,0.002126968,-0.006846424,-0.004154802,-0.002735058,-0.001302825,0.001532555,142133.2191,0.999980476
beta_a[3],-0.001370326,6.28E-06,0.002383482,-0.006063002,-0.002974201,-0.00136714,0.000232339,0.003336229,144161.6913,0.999971444
beta_a[4],0.004396753,9.73E-06,0.00325902,-0.001928215,0.002186457,0.004378796,0.00657931,0.010837967,112211.0393,0.999975086
beta_a[5],0.003732222,1.58E-05,0.005245527,-0.006211432,0.000152482,0.003621328,0.007181595,0.014411503,110505.0373,0.999982654
beta_a[6],0.011229877,1.06E-05,0.003577547,0.004456613,0.008775167,0.011139887,0.013585707,0.018489812,114591.2052,1.000004102
beta_a[7],-0.007164852,1.65E-05,0.005039533,-0.016711663,-0.010593168,-0.007268758,-0.003874084,0.003098205,92891.99769,0.999969442
beta_a[8],0.00635755,1.24E-05,0.00393878,-0.001070207,0.003649115,0.006233798,0.008923178,0.014411153,100978.8533,0.999975451
beta_a[9],0.003319021,2.38E-05,0.006822804,-0.009155296,-0.001466602,0.003035566,0.007773304,0.017455403,82398.72317,0.999985479
beta_a[10],-0.002692342,1.12E-05,0.003555325,-0.009295014,-0.005133779,-0.00283527,-0.000405375,0.004648428,101635.9112,0.999978653
beta_a[1],-0.000812238,2.35E-05,0.007400053,-0.014701696,-0.005854817,-0.001028275,0.004011985,0.014337278,99582.15751,0.999987564
beta_a[2],-0.007895906,2.95E-05,0.006870786,-0.020315767,-0.012793736,-0.008197593,-0.003338936,0.006219563,54278.251,1.000104433
beta_a[3],-0.000973434,5.15E-06,0.001774186,-0.004461287,-0.002161079,-0.000970844,0.000212772,0.002525968,118890.8112,0.999978505
beta_a[4],0.001714889,1.34E-05,0.003731265,-0.005478932,-0.000811256,0.001675159,0.004199928,0.009154167,77602.85552,1.000051485
beta_a[5],0.000492607,9.48E-06,0.003212912,-0.005972122,-0.001616718,0.000549023,0.002677306,0.006643731,114956.4983,0.999972814
beta_a[6],-0.011125254,2.53E-05,0.007029917,-0.024891227,-0.015832167,-0.011141196,-0.006394554,0.002618503,76978.80218,0.999992829
beta_a[7],-0.000576254,7.62E-05,0.020177221,-0.037809147,-0.014814846,-0.001201332,0.013106857,0.040035443,70049.3769,0.999989853
beta_a[8],-0.002088824,2.10E-05,0.006319576,-0.01448325,-0.006353334,-0.002136645,0.002114914,0.010374103,90250.99541,0.999987537
beta_a[9],-0.008503331,4.86E-05,0.011153028,-0.032958318,-0.015296675,-0.007527157,-0.000670217,0.010583008,52684.23014,1.000039442
beta_a[10],-0.003657228,2.30E-05,0.006071115,-0.015088741,-0.007804123,-0.003839182,0.000314988,0.008758152,69588.97191,0.999965974
beta_a[1],0.002362059,3.09E-06,0.001155961,0.000193911,0.00157014,0.002325525,0.003112496,0.004740993,139680.2508,0.999972694
beta_a[2],0.007341612,1.76E-05,0.005155976,-0.002283401,0.003783269,0.007189698,0.010715674,0.017880562,85962.90781,0.999965474
beta_a[3],0.000415651,6.69E-06,0.002171554,-0.003685204,-0.001079951,0.000359522,0.001849882,0.004820238,105456.2421,0.999998685
beta_a[4],-0.003874862,7.02E-06,0.002558063,-0.008950111,-0.005578188,-0.003850935,-0.002144835,0.001106567,132830.0831,1.000008187
beta_a[5],0.009846848,2.89E-05,0.008369734,-0.005795406,0.00409231,0.009579989,0.015344464,0.02694245,83725.8014,0.99996645
beta_a[6],0.021184867,5.30E-05,0.015528057,-0.005909182,0.01039879,0.019964429,0.030699663,0.055055206,85785.94602,1.000001894
beta_a[7],0.005096883,7.27E-06,0.002329316,0.000687579,0.003504305,0.005037069,0.006633126,0.009798753,102579.7149,0.99997515
beta_a[8],-0.004273452,1.17E-05,0.003597016,-0.011160589,-0.006740255,-0.004334655,-0.001860463,0.002949662,93731.52172,1.000023371
beta_a[9],0.002705425,1.94E-05,0.005701669,-0.007818228,-0.001211446,0.002444521,0.006363527,0.014608035,86683.7742,0.999981336
beta_a[10],0.004706271,1.12E-05,0.00406761,-0.003195883,0.00197601,0.004680269,0.007432787,0.012737805,133006.3678,0.99997114
beta_a[1],0.000177836,3.31E-06,0.001203536,-0.002176506,-0.000633922,0.000175217,0.000987833,0.002549299,132033.4429,0.999972184
beta_a[2],0.005488376,2.42E-05,0.006915562,-0.007779973,0.000759267,0.005378203,0.010096048,0.019300209,81419.16457,0.999981487
beta_a[3],0.002235577,6.49E-06,0.002685364,-0.002980708,0.000416342,0.002224524,0.004038647,0.007520127,171267.2244,0.999969256
beta_a[4],0.002505222,1.26E-05,0.004361759,-0.006105466,-0.00038953,0.002509137,0.005463965,0.011034495,119509.2992,0.999970826
beta_a[5],0.005252468,1.87E-05,0.006632449,-0.007378466,0.000728103,0.005132073,0.009637453,0.01866234,126226.8042,0.999973637
beta_a[6],-9.24E-05,5.80E-06,0.002226934,-0.004354537,-0.001606034,-0.00012349,0.001379015,0.004353392,147221.1691,0.999964482
beta_a[7],-0.004987743,1.01E-05,0.003727179,-0.012479912,-0.007462073,-0.004911851,-0.002461882,0.002156851,135565.6876,0.999974744
beta_a[8],-0.00245151,3.99E-05,0.012081591,-0.027353139,-0.010315957,-0.002006991,0.005836745,0.020206476,91830.77454,0.999975269
beta_a[9],0.006782534,1.06E-05,0.004316733,-0.001554229,0.003844537,0.006737129,0.009669562,0.015377454,164785.8759,0.999955869
beta_a[10],0.010096226,2.79E-05,0.007221941,-0.003225283,0.005093019,0.009770783,0.014724722,0.025193811,67064.72475,1.000013076
beta_a[1],0.001783599,1.03E-05,0.00292837,-0.00389367,-0.000201708,0.00175746,0.003732635,0.007648281,80611.77337,0.999986055
beta_a[2],-0.001738668,6.88E-06,0.002711576,-0.007172389,-0.003530221,-0.001709294,8.77E-05,0.003517396,155432.0565,0.99996734
beta_a[3],-0.000321869,1.59E-05,0.005860967,-0.011545577,-0.004290009,-0.000408968,0.003576848,0.011422188,136577.3096,0.999959829
beta_a[4],-0.005922121,1.12E-05,0.003248456,-0.012345282,-0.008106513,-0.005898332,-0.003727345,0.000402243,83619.51059,0.999980938
beta_a[5],0.0071894,8.88E-06,0.003441158,0.000605306,0.004844559,0.007126064,0.009460005,0.01414681,150015.2667,0.999962644
beta_a[6],0.005486318,2.28E-05,0.006440955,-0.007433142,0.001269698,0.005610805,0.009801278,0.01786147,79522.71704,0.999980111
beta_a[7],-0.003263691,1.27E-05,0.003184848,-0.009353634,-0.00545153,-0.003292106,-0.001138104,0.003091467,62690.71063,1.000012023
beta_a[8],0.004340388,5.56E-06,0.002011636,0.000336639,0.003010492,0.004363356,0.005692486,0.008242089,130709.3165,0.999969018
