,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a[1],0.001299552163071265,3.421208547101949e-05,0.0026767902030394686,-0.00388560409920075,-0.0004914175632058347,0.0012782619594837092,0.003104214406734367,0.006567116062350489,6121.665166726406,1.0008786443517952
beta_a[2],-0.003580231888485187,5.057216149457869e-05,0.004922445668403633,-0.014370021383441924,-0.006532348389956694,-0.003011036652129368,-0.0002088545418122637,0.0049529473266319395,9474.118890113501,1.000117291035196
beta_a[3],0.0008840179369071696,7.239343664208281e-05,0.006435497016608513,-0.012301376640071231,-0.0030300974472410444,0.0009390753064528218,0.004848070590253186,0.013542762721257394,7902.52355412385,0.9998213123243576
beta_a[4],-0.0032606481000266967,3.476499932848246e-05,0.0027437847607940003,-0.009006745943687288,-0.00495429144834051,-0.0032204171559177546,-0.0014430818851297986,0.0018922685161958754,6228.961242823863,1.0003568572485455
beta_a[5],0.00837006067658215,5.179743868537934e-05,0.004362792918522613,0.001264434007303156,0.005387445025143357,0.007774437300478467,0.010829474278903297,0.018702051995641247,7094.350302169174,1.0003080863321827
beta_a[6],0.011135169812535477,8.851061713902801e-05,0.005345437447438851,0.0019095489783292367,0.007651209732569787,0.010733051933696329,0.014022322298203995,0.02311153980029576,3647.3359375744126,1.0005761179977626
beta_a[7],-0.005379015804971588,6.165809970540765e-05,0.003682678763000293,-0.01222155585479772,-0.0080502188974996,-0.005355551026787759,-0.002716302051150129,0.001701268021072783,3567.3638193071433,1.000191823323359
beta_a[8],0.0037806123933561966,2.2262812852096645e-05,0.0021525372105205597,-0.0004181353281468189,0.00249959930721381,0.0037831804416384703,0.005180812141561012,0.0077828833393725795,9348.485623454197,1.0001788303603123
beta_a[9],0.002702535660451331,3.411910840443564e-05,0.002827135675070277,-0.0014593439189304709,0.000698271193947916,0.002178226812229491,0.0041612907406456045,0.00970722388192077,6865.907598253155,0.999680119878067
beta_a[10],0.005043099835878151,6.48763540913467e-05,0.005275755636576235,-0.003276678903992368,0.0012746420322757544,0.004166010083476966,0.008160082620425828,0.01728873494975306,6612.968777535069,1.000177770577332
persev_a[1],0.0982477039935992,0.00101336874924642,0.0786831256896975,-0.04985600550999302,0.04255655229490023,0.09690995240793648,0.1505243577196902,0.2601278048166567,6028.762751988812,1.000608835530311
persev_a[2],0.04146590109727457,0.0005986708239413518,0.058448026393192756,-0.07030621640447651,0.0013413402304403841,0.040996520800554354,0.07990764718446652,0.15782373132553718,9531.549663673766,0.9998648135528432
persev_a[3],0.32489282285843774,0.0007804724621248168,0.07536985008856523,0.18456684408831903,0.2733169085170119,0.3221696794243911,0.3736804781880316,0.4804176316021575,9325.671957432916,0.9999631212780645
persev_a[4],0.41005432565244265,0.0011544521125086073,0.09821733131330213,0.21582601753706185,0.34444828871465105,0.41060413004168406,0.47841282320302597,0.5984816652294939,7238.097246279133,0.9999833940649923
persev_a[5],0.4336359387391051,0.0008921300326283979,0.08771641903599468,0.27649268850778574,0.37304815584066675,0.4275353267294686,0.48964151317149696,0.6197995071792011,9667.306049657725,0.9997005250928602
persev_a[6],0.11633726471068612,0.002193797307360351,0.1849825755398126,-0.21407232556089523,-0.015117998087743702,0.1083663945465062,0.23825072787995122,0.5063852181223601,7109.98436319839,0.9999335060781531
persev_a[7],0.1786667727390624,0.0012809635506563595,0.08763087538622817,-0.008731658082936303,0.12402540767860085,0.18474684864467755,0.23805954396675466,0.3355536070704223,4679.945070645649,0.9999058510714292
persev_a[8],0.26455595130128645,0.0011166925047761502,0.09094345150215451,0.09794250777583337,0.2025030832834615,0.260845264210228,0.3222196554863067,0.4529904134557521,6632.4756293677165,1.0000158314525962
persev_a[9],-0.15448740705442804,0.001295267567533408,0.103673975471106,-0.37304724787221477,-0.2204540535471532,-0.14759046498137174,-0.08153327528700074,0.029650750582941282,6406.495449112427,1.0001984151758707
persev_a[10],0.19541956619999923,0.0005610512701640829,0.05328753974978084,0.09424333917030023,0.15976214365674415,0.1950177816562147,0.2309079125915962,0.3015148383845995,9020.824618682525,0.9999259508131292
beta_b[1],0.05726821499339515,0.00017804870092102566,0.0139302714062353,0.030684895142126745,0.047878670360993095,0.057172061542014097,0.06643496346053764,0.08545320002688045,6121.27001778333,1.0008087111676915
beta_b[2],0.010571343975224625,9.010256485910891e-05,0.008375093899388548,0.00036000309670285115,0.003812333326507572,0.008614048192902513,0.01553914281311615,0.03071363476046367,8639.827315510584,0.9999145988795362
beta_b[3],0.060865072981477766,0.0002993702209941505,0.02178851009026219,0.015760250935429015,0.046620133646568175,0.06097900240118259,0.07520078307838866,0.10412887886208333,5297.096345029853,0.9998229340791185
beta_b[4],0.03175142270609084,0.00017700661656174353,0.012331859128736276,0.006941452814493078,0.023574770106659503,0.031751403724982086,0.03998062575930107,0.056785755890910776,4853.757878697274,1.0002964056656964
beta_b[5],0.02836859136809186,0.00020149752018952695,0.013863278050878053,0.0030482087382734937,0.018220090438421578,0.028413868636564532,0.03806155514123839,0.05580399372504187,4733.609809414155,0.9999037138283466
beta_b[6],0.10067454501201065,0.0004807426571886073,0.027733538110794848,0.03766845770974677,0.08395670722412087,0.10103424174181719,0.11834974643059751,0.15414960617249684,3328.014711473003,0.9997282902434863
beta_b[7],0.024200530420647896,0.0002751461572114888,0.016303848107142017,0.0007764216265391949,0.010195571034065494,0.022744797264210137,0.0356587105406799,0.05870074171142523,3511.1819713567384,1.000210488892257
beta_b[8],0.008049529458802567,6.337583908501083e-05,0.006033007092727653,0.00035440203159976206,0.0032017224119467334,0.00688144549320957,0.011551282246300382,0.022569766250484728,9061.920067311054,1.0002279560952823
beta_b[9],0.005574215601618321,4.8642054859619986e-05,0.004992182135375782,0.00017337965296497339,0.0018763446583876465,0.004197570038655396,0.007835324825517355,0.018615787498750886,10533.11964208152,0.9999228537862517
beta_b[10],0.011833347012622486,0.0001138532957238258,0.009805781461783005,0.0003320924122114466,0.003933020304041368,0.00939655710561621,0.01750533159634985,0.03555966216099348,7417.767326600707,1.0002400301619654
phi_b[1],0.005184104183232517,0.0005323295596213448,0.05171611203841701,-0.09913602061209065,-0.029370140495904085,0.005649913290556796,0.04020749576623858,0.10541097518382855,9438.23029238652,0.9999692128318528
phi_b[2],-0.23188104652425387,0.0005399837183027623,0.053458998366578234,-0.34096834002944776,-0.2668402107550876,-0.23007980611406734,-0.19488942118679436,-0.1321798919527971,9801.223768045813,0.9999613240836946
phi_b[3],-0.010444377725907113,0.0005710339472120166,0.04897684981912667,-0.10797558525790131,-0.042148261734802975,-0.010149013916122107,0.022976023521056592,0.0842794985498488,7356.27305713766,1.0004096011336645
phi_b[4],-0.018547199751732794,0.0004943168727564617,0.04810668653403881,-0.11541246869716427,-0.0507588653406678,-0.017906724041448815,0.014260730521194864,0.07427728162821942,9471.091236908449,0.999740020298488
phi_b[5],-0.06684140292614689,0.00036769017781785777,0.03553331317228331,-0.14271346965767698,-0.08908476034810596,-0.06540881671540413,-0.04235423051586226,-0.0015337663726984205,9339.149978913429,0.9997156830224219
phi_b[6],0.05819862465992815,0.0012106589829351075,0.09903813018895663,-0.13858940999705827,-0.007792425615846596,0.05919170932027812,0.12582940607798782,0.251233918889412,6692.08128147569,0.9995722435733216
phi_b[7],-0.11205066825301566,0.0005293430954388842,0.053399471200983976,-0.21876026224485695,-0.1470920505907834,-0.11106843978943341,-0.07656716380764807,-0.009461785393533081,10176.522739733844,0.9999785891279094
phi_b[8],0.08919920131261046,0.0005934070756982388,0.06442048756463642,-0.037112362851600314,0.046896043666498494,0.08931961115189901,0.131899955297672,0.21609270214964996,11785.352422034099,0.999972886158818
phi_b[9],0.6740454174434124,0.0010807714010759829,0.11717409748843563,0.4476528195780402,0.5954437970311499,0.6719020847329511,0.7518218503833443,0.9100750477370505,11754.266854326479,0.9996374322700151
phi_b[10],0.03379855110269934,0.0005830342611335164,0.05384388417369061,-0.07551443892836439,-0.002179213902770953,0.034457008601466235,0.07045766748025813,0.1355873787411752,8528.734801339851,0.999898880363962
persev_b[1],1.1120655844044662,0.004962086227035127,0.40636774887446825,0.32630307341996756,0.8409458666092957,1.1066833700495031,1.3751620617367264,1.936079043821632,6706.715017394405,1.000751559494169
persev_b[2],-0.014280335705236803,0.00322538015574394,0.2786019558399646,-0.5708807093904498,-0.20026410516551024,-0.014656755695904666,0.1752569226189168,0.5259846965316793,7461.1625661947855,0.9999306497046037
persev_b[3],1.1764996553300695,0.003803975873381424,0.3293956887937392,0.5470542886580438,0.9549739876683188,1.1725108043353092,1.3943157385489067,1.8304844290337456,7498.2568667294545,0.999970379944725
persev_b[4],0.933563082619954,0.004414934130248365,0.386465162078988,0.1512683274487474,0.675553120958957,0.9383258931290089,1.1991359429604773,1.682910982815535,7662.530995034258,0.9999161818777638
persev_b[5],0.13657407219886605,0.0037045855917716528,0.3464785012112598,-0.5718109891733438,-0.0895299822701924,0.14617560183099576,0.37221549301486656,0.7950117022744039,8747.285821821932,0.9997261767136322
persev_b[6],-1.7076428407606399,0.007814059694950469,0.7194608572751396,-3.259164092098489,-2.1575331793769243,-1.684469861681705,-1.2096711686842783,-0.3597955955518864,8477.365193253672,1.0000479307140362
persev_b[7],1.3072124759539452,0.007204085275197888,0.494081105027433,0.2703829202275886,1.0006104789307968,1.3342207603882676,1.64271928012491,2.2233402508804065,4703.691189668951,0.9996994572668528
persev_b[8],-0.7111026822531046,0.0056968587338606285,0.4521905250875482,-1.6549551347559475,-1.01784373156074,-0.6879059386404038,-0.39303411990279435,0.11424403042473857,6300.456475518026,1.0002342350144644
persev_b[9],-0.9423320682800055,0.007913817888588848,0.5898309506172464,-2.2089745430323404,-1.320131797823593,-0.8992392457351828,-0.5284198291466442,0.0873435125701123,5554.9865461260015,1.0000978578502069
persev_b[10],1.459147261671488,0.0035374365108011047,0.29652984280049877,0.884090607178409,1.2589364579364188,1.4533875676004309,1.6564355541489024,2.0517663653106286,7026.8309703565155,1.000591177106752
lp__,-1355.1941412954407,0.11483722253616718,5.5839267288303995,-1367.179977465485,-1358.7036776796904,-1354.7925118192952,-1351.3244155183465,-1345.4812176830942,2364.3624952466935,1.0015520988760533
