,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
comparison_level[1],0.0788640573440195,0.0005527401792399973,0.059351859979280545,0.0031162514529863186,0.03215899128267208,0.06707109899332478,0.11334523089265808,0.22203454372623602,11529.928043559945,0.9996004657076691
comparison_level[2],0.09242235404586358,0.0006437276793825251,0.0641312732585172,0.004539325676892533,0.041370139640947295,0.0816089446555657,0.1315061328033359,0.24051975624545704,9925.110662984287,0.9999755169158905
comparison_level[3],0.08037183674380029,0.0005711635253634276,0.060504276362446215,0.003175934028979081,0.032247839763780525,0.06771959183369021,0.115747251309371,0.22200830101994629,11221.507683979798,0.9998264081227681
comparison_level[4],0.10565668684296042,0.0007326724777284506,0.07005476987292492,0.0060085576580651565,0.04951443163820289,0.09599114416240971,0.14978897022085652,0.26517366242339335,9142.304154937568,0.9998256322652068
comparison_level[5],0.11478717307701777,0.0008343573924868874,0.07515115195842474,0.005783406184997333,0.05506514343878386,0.10455539459548516,0.16321161842591742,0.2815692748448084,8112.730473185209,1.0004824164022554
comparison_level[6],0.07918621045312381,0.0005406169541739493,0.05983256270042617,0.0039357630369890985,0.031730632247870066,0.06584360291628584,0.1147622126298948,0.2233632945320369,12248.866079582403,0.9998420887855239
comparison_level[7],0.0948105416862702,0.0007029663757131996,0.0673336796798955,0.004230686648425906,0.040986059530243694,0.08302945738286875,0.13634065984601587,0.24956728825245772,9174.778592408406,1.000296457173808
comparison_level[8],0.09555681420588126,0.0006590895999304825,0.06806872746524419,0.00404301560391163,0.041754476651313696,0.08442778443072022,0.13721658852826873,0.25583728515669174,10666.11705890238,0.9998179566426973
comparison_level[9],0.09037607689055813,0.0006476272692483565,0.06451626853977496,0.004064518405339616,0.038858950594916924,0.07786943433601728,0.13047046229957127,0.2389757635113704,9924.033640717245,0.9997879001805094
comparison_level[10],0.08305098646072677,0.0006524937341663255,0.06185319562747017,0.0032476004972969786,0.034117248692059135,0.07136062246016917,0.119572096028674,0.23151369710197492,8986.107162474489,0.999885149105206
beta_b[1],0.020627414719287442,4.889818861988357e-05,0.005017303588449666,0.011145026645069086,0.017223142668410758,0.020558890962110943,0.02399926154402009,0.0307714718655767,10528.226450527976,0.9998210223769282
beta_b[2],0.12650343168408462,0.00023974376652065128,0.021759831353957693,0.08541675064931273,0.11149798920301185,0.125775156391781,0.14062696756010473,0.1706758108590874,8237.897843707537,1.0000300366069097
beta_b[3],0.007899139327321338,5.658803301407241e-05,0.006042490452415555,0.00032426738583758887,0.003095337388004943,0.006718071977303397,0.011369328920890032,0.02259239366704282,11402.044962758722,0.9997833930415992
beta_b[4],0.08593471595060985,0.00015079956323191832,0.014253963183112651,0.05930466623478811,0.07603970091096435,0.08571604066224353,0.09509651829192932,0.11478750006727342,8934.517382146287,0.9997541745073533
beta_b[5],0.0761614647810977,0.00014127963413437062,0.014525419759915564,0.048841312523131,0.0662479890461696,0.07564436427881577,0.08563616051315137,0.1057974617952437,10570.5664361265,1.0000232808661706
beta_b[6],0.0024770192656978192,2.0888469030725117e-05,0.002328360453380725,7.82176415333069e-05,0.0007495274737378488,0.0017896840590340135,0.003470270794333358,0.00874462352501135,12424.737080115725,0.9999117663157823
beta_b[7],0.08306630506408742,0.0001297513481581076,0.013288736028354285,0.057954710013730044,0.0741480414234125,0.08274087970831318,0.09153883409171892,0.11012212675878952,10489.229581797623,0.9998817113982598
beta_b[8],0.1140887208996754,0.00032324335058971955,0.028579771308872102,0.059620787861872984,0.09466509600922596,0.1132551997620398,0.13229408322526026,0.1723730023769912,7817.327360933931,0.9998106284813557
beta_b[9],0.05593287038349925,0.00013703109761453806,0.013003016058931423,0.030800711506367626,0.047173225916276255,0.05559667049509942,0.06462178773148361,0.08186484407833083,9004.299353719567,0.9999118441356041
beta_b[10],0.09194079683428283,0.0002288292020750902,0.02092246733785373,0.053606329695939134,0.07732489165700658,0.09132511560862827,0.10555226102533102,0.13530493663035442,8359.935075763367,1.000841518946333
phi_b[1],0.020952692242014875,0.0006776817453271628,0.05774498721232399,-0.09363917262136197,-0.017182961962203216,0.021052614076190013,0.06022592361263424,0.1334959379822347,7260.675118816966,0.9996481329536709
phi_b[2],0.02068985528207204,0.0006054428744659628,0.05023004361744162,-0.0803270510971541,-0.011649213979664955,0.022032770909099934,0.054162029547628165,0.1155974080153598,6883.047489508095,1.0002257665481145
phi_b[3],0.19618131887080226,0.0009024594648971854,0.08475417139097348,0.03191771462464455,0.13820932123889798,0.1956412226976466,0.2518987641063684,0.36448786269213196,8819.962859525484,1.0000620346997153
phi_b[4],0.03710302667140988,0.000726836457674889,0.05841325144660425,-0.07804036990140625,-0.0012390637906633073,0.0374156200732913,0.07660386085673318,0.1507209513212665,6458.7631039893095,0.9998646707612221
phi_b[5],0.019295880489596337,0.0005721135855381941,0.045926876837589,-0.07338350056247481,-0.011452973263570386,0.020687568698330862,0.0505405222175645,0.10749548014612717,6444.204365251204,1.0000335293106826
phi_b[6],-0.10479802004912804,0.0005656895537741752,0.048344931979726405,-0.2030310755863085,-0.13657068206501155,-0.10338713925850096,-0.07198445390249524,-0.014444975911456662,7303.7447828506665,1.0003989945552183
phi_b[7],-0.11514441274102413,0.0005329116728368642,0.04569452781289363,-0.2084792586628181,-0.14548467299867204,-0.11428621576528361,-0.08376368858349308,-0.02796542161311712,7352.210310695701,0.9998182103588422
phi_b[8],-0.18584978661035356,0.0006721740301575204,0.05381160922511215,-0.2979464810778804,-0.22080670814072398,-0.18338614778099832,-0.14894595594253163,-0.08566320344093067,6408.973870931215,1.0003299991589594
phi_b[9],-0.2341431354594011,0.0006831536253083493,0.05924102256169245,-0.35605081804495864,-0.2725775260988473,-0.23241653061877832,-0.1923943253631642,-0.12460292504805925,7519.835457820824,0.9998610095411739
phi_b[10],-0.17783101306472218,0.0009127326526587941,0.0756640026643462,-0.3438030397370305,-0.22462854438939955,-0.17238558037875212,-0.1246402071197806,-0.046694201599569676,6872.131304382668,1.0008389577033536
persev_b[1],0.36621332200815554,0.002670480787568264,0.24041262284012616,-0.09962479818508947,0.20392975598462865,0.36807848998394976,0.5325133275900861,0.8200511734472515,8104.67524564649,0.9996911363554486
persev_b[2],0.6737212254717697,0.0030871002518553384,0.3027830876280765,0.08209740874709721,0.4689192378407281,0.670635122881615,0.877840631869207,1.2672134185488675,9619.705140153603,0.9999226659327178
persev_b[3],-0.7650729707747971,0.003666204814824128,0.33391071820040125,-1.440762796851014,-0.9861981086605038,-0.7545193361885235,-0.5373698950655809,-0.14424974390883455,8295.20785124901,1.0004722320362407
persev_b[4],0.5334562714963835,0.003077642815144231,0.27408668438874456,-0.007056126513133057,0.34937035359409385,0.5341194923617095,0.718954446863419,1.070438908734523,7931.209912157563,0.9999669389583998
persev_b[5],1.8209194367764954,0.003996324763885683,0.3237374477612236,1.19108042416913,1.5994253032498666,1.821926661468264,2.0364441072992143,2.4544333910769343,6562.424632623385,1.0001802137068239
persev_b[6],0.9193177868731262,0.0028124369662654216,0.24036869109898285,0.43892997858415594,0.7586815862424862,0.9194746413071659,1.0811086482149719,1.3932242868863702,7304.49509744449,1.0003326703022013
persev_b[7],0.2511052353429836,0.004002559763857147,0.34109441056597095,-0.4279633055746981,0.02157315162542567,0.2516533627161026,0.4804625026322046,0.9108749160207558,7262.289460333839,0.9999525760664217
persev_b[8],0.4447868802206951,0.004567174586772821,0.38874233249131196,-0.32222807273701376,0.1870021371175809,0.4419767995363688,0.706996986915116,1.2110066443962302,7244.8341068240115,1.000634053453252
persev_b[9],-0.3985704760444497,0.003193167976689819,0.2862587611638983,-0.9698364587577011,-0.591857840655449,-0.39417820674725446,-0.20599894199874702,0.1458981225657983,8036.63130040599,0.9999366085837124
persev_b[10],-0.48875859640433833,0.004569360080057066,0.431915791808187,-1.3633574236140649,-0.775441916256495,-0.47852998283233517,-0.1949592263160364,0.3411097353446809,8934.852756362347,1.0003251364481183
lp__,-1365.0637659505494,0.08653954553410574,4.874234643167724,-1375.6002163255175,-1368.033636674883,-1364.725790610095,-1361.5850069484743,-1356.4183294032546,3172.368608993697,1.0003149031348018
