,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.08015769001246836,6.782120588365392e-05,0.00868808173724247,0.06361375497549406,0.0742863852861832,0.07994682852936541,0.08579122386672387,0.09802708990139511,16410.30985524505,0.9998137632778901
beta_b[2],0.036214924945194765,6.32325323734953e-05,0.008039985246719408,0.021230471960862442,0.030606410248256735,0.03610021278091258,0.041599029443798424,0.05234858678636972,16166.996845079248,0.9995459035388129
beta_b[3],0.043352472927411526,5.872059387350173e-05,0.007826970189896615,0.028365727166966788,0.03789311378299044,0.04320510837880953,0.048593109500723555,0.05902948925616909,17766.688218555195,0.9996415372109634
beta_b[4],0.07709121404824716,8.231663378488486e-05,0.010537190134530692,0.05710812751377081,0.06995525327053786,0.076884153109118,0.0840215841062088,0.09857000097053159,16386.055767794922,0.9998363570847529
beta_b[5],0.11100258638027256,0.00010178919918476567,0.012460228440376357,0.08808440389942203,0.10235487794328829,0.11053664611613312,0.11942676684295095,0.13576720725920033,14984.719366259169,0.9997626004037854
beta_b[6],0.022795596669797958,9.737038704403694e-05,0.00952485632090288,0.004741826544718041,0.016153035144173378,0.02273315864982156,0.029258709467825668,0.04167007060476895,9568.923306814037,0.9998628397528888
beta_b[7],0.12572672976700539,0.00010186647966585726,0.01311011660014904,0.10174927013363305,0.11657801042383306,0.12522416824672278,0.1344812784666325,0.1525978022750863,16563.43900302842,0.9998493858686573
beta_b[8],0.06221791882562751,7.295279206425388e-05,0.009807252853554145,0.043416770610561116,0.05546468479672316,0.06207379458950674,0.06872903346510961,0.08226518850159177,18072.19521645901,0.9998568980526195
beta_b[9],0.13764617295316353,0.00012798687003384216,0.015158685050082384,0.10952580258365643,0.12717633012627666,0.1370335035067941,0.1471826986715406,0.1697856577500259,14027.885837391066,1.0001977213099174
beta_b[10],0.04927722349851206,8.035734319508038e-05,0.009692687113624265,0.030573760199455555,0.04258052982133155,0.049185878904985436,0.055694892609193344,0.06876752735652819,14549.13749968306,0.9996976552662497
beta_b[11],0.10674915832242585,0.00010688577242122424,0.013097473041363323,0.08225235463552066,0.09769050580153407,0.10638334754180923,0.11547956962796195,0.132587345706057,15015.341925638093,0.9997401110148294
beta_b[12],0.08762972726231487,7.701389904638244e-05,0.00973851813698764,0.06920682843163087,0.08103684841311193,0.08736037483622167,0.09393381152008962,0.10795517966590132,15989.965701315505,0.9997238019657028
beta_b[13],0.006622065471870932,4.482253411832774e-05,0.0045144412881498895,0.0004336655645691517,0.003030625186863728,0.0058608225124295865,0.00942456640445028,0.016957723652812246,10144.139328341094,0.9997147487178474
beta_b[14],0.0783986804893975,7.203953503091503e-05,0.00897677813729778,0.06145589802711883,0.07210322323630255,0.07832421996691175,0.08436894189260279,0.09626694235159282,15527.415738542853,0.9996356228506401
beta_b[15],0.08021056926757622,7.578164903570319e-05,0.00973699843662842,0.06193746556080364,0.07346362718414806,0.0799862820614839,0.08672133274614854,0.0995684891972689,16509.050562890334,0.9995735551549468
beta_b[16],0.1594148469806071,0.00012979095469608772,0.015771081223558855,0.13008344358411073,0.14858126200894342,0.15901703569232828,0.1695058455875802,0.19195497445731008,14765.021474195337,0.9998620514417256
beta_b[17],0.3201802350853756,0.00038980891048449585,0.049148029338300425,0.2350893485681472,0.28573788767726016,0.31592770428093353,0.34961868628520265,0.4295797491693746,15896.762768095754,0.9997864047575121
beta_b[18],0.13616229263032234,0.00010977055116865899,0.01415952485238619,0.10937578526788691,0.1264595894594302,0.13582445734900755,0.14530457566057137,0.16480690240225276,16638.94056709589,0.9997087301963458
beta_b[19],0.17131745633908632,0.00014076565842982263,0.018011014176867388,0.13884450524345712,0.15866907812260908,0.17042188209755615,0.18286723265115934,0.20917098122915195,16371.290088663862,0.9996718808523419
beta_b[20],0.12495323454068692,0.00010988480582596483,0.013673476777666888,0.09932032203897304,0.11549555493076163,0.12457781830935133,0.13406104171330277,0.1531038742665673,15483.980816980828,0.9995758978854251
beta_b[21],0.0026632677498768854,1.9843876052637215e-05,0.002258046403942165,9.086394552981658e-05,0.0009517007132387844,0.002082129985332415,0.0038146041866512666,0.008359984275372774,12948.298831586306,1.000020601988832
beta_b[22],0.06735828576068531,7.953110084423931e-05,0.009486912871452084,0.04900560219742359,0.06089900590900604,0.06724175186112402,0.07365760690439545,0.08624796082824951,14229.047733734824,0.999904524771196
beta_b[23],0.04444077849929167,4.962439876371958e-05,0.006347569003203728,0.032455912902578606,0.04002220276522318,0.04430437160668094,0.048676838335915094,0.05740472674631657,16361.546290244942,0.9997988343028498
beta_b[24],0.050598858855754755,5.4972560505272765e-05,0.00726158710739943,0.036705980914323685,0.04558662791482755,0.050517877361429486,0.05533180342028509,0.0654403513567089,17449.025239170947,1.0000162236488692
beta_b[25],0.1589989813867519,0.00012641294046749355,0.015548536663670879,0.129750445344274,0.14807235147553222,0.15868124264176386,0.16927077645321975,0.19051087466816818,15128.503746311804,0.9997317010946327
beta_b[26],0.19765232106893735,0.00018362283910698727,0.022701155925046023,0.15655674590461321,0.18178576092532095,0.19616534292026783,0.21226758079439156,0.24475630286644837,15284.19420708694,1.000105452605379
beta_b[27],0.04017108932736528,5.370601264654171e-05,0.0065217468257688285,0.027742169784746702,0.035632147743729956,0.04009775998078563,0.044580837407307006,0.053050065272543384,14746.265584660774,0.9998006065579398
beta_b[28],0.05553016111842935,7.272593932912295e-05,0.009351533534750586,0.03783073490859061,0.04916453084852901,0.055186884610220865,0.061649726049296,0.07446066621055308,16534.344898288164,0.9996861472025637
