,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.07765691470351285,0.00010240227884779205,0.010324538266958283,0.058522807268780896,0.07050517915560196,0.07743427643546708,0.08447578704855638,0.09841292716082792,10165.342915148913,0.9997860846077035
beta_b[2],0.02798045429538146,8.118112721841959e-05,0.008223335307132346,0.012265149882421948,0.022353235612417748,0.02769897746063027,0.033502605600766774,0.0445646541242186,10260.909174415829,0.9996603460822547
beta_b[3],0.052045585647151255,7.870960930092418e-05,0.008461661432031429,0.03589899683148712,0.0463198476862524,0.05201618186532614,0.05754541917844601,0.06940765323261855,11557.283733229706,0.9997125390685315
beta_b[4],0.06566045944985788,9.481981666606161e-05,0.010886486137173286,0.04518183714529401,0.05812648745493851,0.06540690266557225,0.07294345934189556,0.08748540305016289,13181.876097992421,0.9999715372035928
beta_b[5],0.08012199394405,0.00012860705203748688,0.013343517330217604,0.05528228586975826,0.07092123429545565,0.0796346884529493,0.08903684859833844,0.1068772715397388,10764.926808022927,0.9997677711678509
beta_b[6],0.02199967601813369,0.00011048725467667358,0.00955440325150078,0.004299290054505144,0.015234366846098612,0.02170098862509723,0.028582229213451067,0.04144901020888611,7477.953649814022,1.0005359425478655
beta_b[7],0.11163712785769761,0.00014879395466416669,0.014898502525033074,0.08359667519044664,0.10141387794520065,0.11119433515535737,0.1213466513148064,0.14244616044445335,10025.69906367586,0.9997320246818803
beta_b[8],0.05794149336257114,9.451518258769873e-05,0.010051942840101386,0.03881767602394134,0.051146063861047086,0.05756211374397174,0.0645114589435031,0.07816762517403747,11310.892253342605,0.9998496860004902
beta_b[9],0.08914686211028734,0.0001496520688586754,0.015876461541351868,0.06032876563364382,0.07818707400794708,0.08826292508930544,0.09946852792997819,0.12206876781159187,11254.908825816578,0.9998136969861944
beta_b[10],0.04013667035372883,9.164866764888812e-05,0.010400627514054855,0.020192991483096785,0.032962246770453285,0.03989429925318233,0.04713392901873302,0.06080159479635458,12878.544244860277,0.9996296078684697
beta_b[11],0.0702172981522196,0.0002019390746325363,0.02041202221407324,0.03128028890656437,0.05642606846125324,0.06966690890907856,0.08381376713224997,0.11105221905997335,10217.186972709174,0.999851186620273
beta_b[12],0.0855503946002845,0.0001177272382647671,0.011455759402862488,0.06376536801593373,0.07769750668408623,0.08532462415096653,0.09326661790793593,0.10850616165597018,9468.776279328245,0.9999917832467515
beta_b[13],0.007999935211438238,5.459910863450075e-05,0.005118074296459678,0.0005049658467915379,0.00399017318956032,0.007278375440641027,0.011355570296398089,0.019561396919015706,8787.029143401924,0.9997714362812187
beta_b[14],0.07180965038597212,9.915906486471929e-05,0.010031302306523934,0.052999365820164054,0.06488532269495134,0.07151540942944523,0.07843226910490533,0.09189729866593813,10234.103208791592,1.000223235631347
beta_b[15],0.08449539449084277,0.00010423056849054111,0.010558834509140273,0.06404827498884025,0.07722398606418665,0.08444294054474183,0.09155703850771098,0.10547910313566682,10262.230221033842,1.0000131712435136
beta_b[16],0.10152057015487648,0.0001520177892260745,0.016726033040825348,0.06917317736735484,0.09026211944114414,0.10141086919231418,0.11258814015143948,0.1352587246513469,12105.899829326714,0.9999158986902659
beta_b[17],0.24017559671839284,0.0006406808039203326,0.05770510248888766,0.1421017877434434,0.19877247348183955,0.23524157940804286,0.2764659671079058,0.3644698262088002,8112.318806715011,0.9999186766147742
beta_b[18],0.10565212044936564,0.0001520160040081467,0.016066841262397494,0.07544548615620836,0.0949127494123648,0.10547121138108578,0.11610491016907833,0.13805755206138035,11170.751261448182,0.9996777989917279
beta_b[19],0.14752446515644244,0.0003239172213985069,0.02687716481389143,0.10079607061125921,0.12827385938564484,0.14572150620827035,0.1645617159946284,0.20377037428974798,6884.9189527429735,0.9999624219935938
beta_b[20],0.08239880212081409,0.0001442069400224644,0.014288744674327601,0.05540223372752138,0.07265228953591474,0.0819157914026698,0.09183508736491618,0.11112443108252347,9817.837255509725,0.9996413152499972
beta_b[21],0.0024200577466708165,1.857585376427166e-05,0.002136532414957375,6.829884890330818e-05,0.0007965992888330275,0.0018237822469538978,0.0034528140091508843,0.007819390754171523,13228.829084999097,0.9996053129173014
beta_b[22],0.05267154384294112,9.369056135134387e-05,0.010206677932218668,0.032952227730185045,0.045612962764355836,0.05241767441796957,0.05950431629950294,0.07283189050825867,11867.989130214208,0.9997859787725545
beta_b[23],0.029343131254384723,6.429359689211689e-05,0.007020442721627645,0.015720353833786123,0.024611613851867012,0.029336924932573172,0.03388866371681799,0.04343395836565152,11923.219930664975,0.9999195195947065
beta_b[24],0.040270286741346015,7.471924507647867e-05,0.00778121852594057,0.025339382030356773,0.03498775463087701,0.04016068624641966,0.04545772193807293,0.055818686461037874,10845.017908277483,0.9997744314691124
beta_b[25],0.12045344880060421,0.00017411632029296003,0.017749945002368008,0.08726916007978469,0.10834115336656686,0.11994901655202023,0.13208021678093002,0.15593990298386728,10392.38106025259,0.9998888964376742
beta_b[26],0.12834866860012561,0.0002884541429137921,0.029566740514420462,0.07503768557789503,0.10765343811316791,0.12705440945888086,0.1466581602967138,0.1907492479883133,10506.385645846638,1.0000248372883085
beta_b[27],0.035721120669332494,6.400002888690278e-05,0.0068729174968556695,0.022630321484063083,0.03101219241692897,0.03562972449010837,0.04030904717287827,0.04953379608623915,11532.459052010785,0.999651938753929
beta_b[28],0.052500639660032204,8.810827908504304e-05,0.009815753694915401,0.033595379715673696,0.045735886415294844,0.052268498639805705,0.05896505170685416,0.07233774880339859,12411.202649845744,0.9997018462513937
beta_b[29],0.10643017535713122,0.00014148260220403784,0.014808219059326022,0.0785419252278602,0.09634335879279013,0.10594719287846277,0.11617069358506563,0.13631698889429056,10954.677150745512,0.9996559144132212
beta_b[30],0.07546855630015571,0.00011639077739216928,0.012498579590059013,0.0517948857820879,0.06683459628471405,0.07513308355013765,0.0839453807898928,0.10028625343724232,11531.456959996833,0.9997550033359427
beta_b[31],0.020075831991011796,4.6784995432517466e-05,0.00484958590970466,0.01069053250924364,0.016725155424820486,0.020056721930951982,0.023375801486691404,0.029575910577309177,10744.745458371595,0.9998799577814149
beta_b[32],0.12079011183531671,0.00018811513113375412,0.018107585660825046,0.08695651327726962,0.10834468935036293,0.12010030512672532,0.13277143751611914,0.15841923933698182,9265.601917370355,0.9998552443039649
beta_b[33],0.007572035936198482,5.344209965934153e-05,0.005827374862942926,0.00032560476759441073,0.002956302758932905,0.00640533269798832,0.010822098787264589,0.021608799299232137,11889.918763215725,1.0002538075525544
beta_b[34],0.08051176548101333,0.00011652878248288448,0.011657179941940161,0.05842292462639369,0.07249243576427114,0.08019430584087761,0.08818005920675778,0.10378033670867443,10007.384420486263,1.000112465281764
beta_b[35],0.07321458333298783,0.00012872810045349336,0.014159488003166777,0.04674335171614917,0.06355148917760983,0.07286861844612613,0.0825446367245935,0.10203939254447156,12098.969397883486,0.9999782879482825
beta_b[36],0.002164104525194845,1.7921657278392754e-05,0.0020547586125962167,5.9243749479820364e-05,0.0006589280670676434,0.0015535965082558723,0.0030260642978914678,0.007616515008806658,13145.142036919433,0.9999019261233918
beta_b[37],0.09211419429536687,0.00011560008652656584,0.012564939939667901,0.06861806356702002,0.08349736522034387,0.09151997791442468,0.10014805027702925,0.11808334066047038,11814.205360394384,0.9998634118431703
beta_b[38],0.1408352642952007,0.0002627899633882271,0.027756005713251635,0.08946606063852815,0.12168574527448434,0.13991626023072745,0.15861717691614052,0.19919186991762816,11155.688722214063,0.9997253335917364
beta_b[39],0.07839033506251655,0.00011780502095439581,0.01145410424480127,0.05713484610299047,0.07047302234434123,0.07823026480480333,0.08615600991167315,0.10178217027496705,9453.544241091735,0.9999027838018588
beta_b[40],0.1297981739537952,0.00020320460671621247,0.018090146907504323,0.09683629757295172,0.11736179513448991,0.12894163638536227,0.1416245255990087,0.16754903066239973,7925.325147422912,0.9998871083030918
beta_b[41],0.0628967080048674,9.531834955714691e-05,0.00925300195520486,0.045628673530512254,0.05642601384008761,0.06258033430827203,0.06902675680072244,0.08167568148588507,9423.50098012432,0.9997261515662659
beta_b[42],0.015118724743311223,9.103333364317601e-05,0.008282658835411022,0.001594462262292612,0.008798414753974582,0.014399477886829548,0.02048101906583281,0.033286122629330436,8278.252182367865,0.9999223448300983
beta_b[43],0.0994772868902759,0.00015655897746113265,0.01735248433051971,0.06625167216885076,0.08766852624432887,0.0990496215956912,0.1110013647705634,0.13400699316591472,12284.779607846276,0.999696576226213
beta_b[44],0.06402123510394428,8.843910179393682e-05,0.008630048732683533,0.04815526227747046,0.05800951817767502,0.0637005289752196,0.06956036406826463,0.08182611640197629,9522.212081027186,1.0002298751873264
beta_b[45],0.057853333978635846,0.00010263996754395663,0.010706310062305829,0.03764230911153441,0.05061897724153354,0.05769380046231193,0.06477365346581274,0.07930892553999354,10880.444082345668,0.9996722456080105
beta_b[46],0.11091968831059895,0.000199515814264794,0.016542527390528458,0.08066779585991393,0.09938548566623656,0.11008205743449134,0.12161786952928412,0.14497359723039763,6874.625978530897,1.0001860936895308
beta_b[47],0.056669215239344,7.54657551082746e-05,0.008207460293504457,0.04113693464304361,0.051060987856964474,0.056538991142551454,0.061988587207978674,0.0731700790896086,11828.174876218092,0.9995607175650236
beta_b[48],0.02730217598234662,7.21319715243e-05,0.007237046201561069,0.013004812764994277,0.022450388546698424,0.027265565234361244,0.03205904780696225,0.04168380843508833,10066.235470273132,0.9997920827583772
beta_b[49],0.004160856040659872,3.118124715592051e-05,0.0037121411601364683,0.00013626976721893167,0.001336967576235959,0.0030936414191098383,0.005984598879640646,0.01388735969070386,14173.007008198681,0.9996664082214659
beta_b[50],0.023290174559873086,0.0001027576091315633,0.00964182199984778,0.0050549720582473145,0.016532326796645368,0.023180122149117632,0.029596881450927228,0.043141625969161615,8804.206845598124,0.9999485141164188
