,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta[1],0.06820865070354068,6.821953650738463e-05,0.009419315043134913,0.050401880052453704,0.061767402592866484,0.06793001241805163,0.0743786268855267,0.08769446365065389,19064.311112300347,0.9999778311500153
beta[2],0.02876921981487527,5.056441684745899e-05,0.00757871154317217,0.014602981265223924,0.023572018330143732,0.028582480587113435,0.03372560487766394,0.04433811089421681,22464.70650870369,0.9998698548905837
beta[3],0.046848820696408194,6.031293110803438e-05,0.008264310022620912,0.031336029714531116,0.041203931917400446,0.046566183105300696,0.05216583575845614,0.06397170045747545,18775.53545706904,1.0002866919795113
beta[4],0.061650322166128216,7.024551766484312e-05,0.01008142504219078,0.0426153990104268,0.05473193158815762,0.061337137090227256,0.06810173730346883,0.08238325724327838,20597.12554398078,1.0000225661411533
beta[5],0.08616867188379246,8.328190946814942e-05,0.012766333690785595,0.06298289875630596,0.07715025617865984,0.08554695136527524,0.09449976857137979,0.11274491707224146,23498.00738303843,1.000040787302595
beta[6],0.027656735579247915,5.527982631012128e-05,0.007938133826570881,0.012345321950331015,0.022173766026338068,0.027549080405986692,0.03300474046213208,0.043510201136447504,20620.704223854187,0.9999655019809673
beta[7],0.1073359511592558,0.00011636390446446435,0.01604688163032836,0.07793222884529254,0.09618350472304174,0.10668527993995353,0.1176563435769569,0.14107172218611325,19017.11916681692,0.9999370277241322
beta[8],0.05419550756143352,5.945755221436916e-05,0.00893175898454302,0.03784666602432624,0.04796833473351188,0.053793640900446305,0.05996698065672614,0.072788932648038,22566.27826686195,0.9999029689493225
beta[9],0.08613945449167625,9.120783876031673e-05,0.01434905697396967,0.0594204469122599,0.07623650328578258,0.08550937084823396,0.09543587293841288,0.11623657294527523,24750.40957749335,0.9998970927877736
beta[10],0.04577744105195781,5.528336394258233e-05,0.008658785763635433,0.029077994854778622,0.03987506435106289,0.04560852983779856,0.051505967661771034,0.06295269810369256,24531.554301632408,0.9999189023410157
beta[11],0.07013775322986693,0.00011339893708902705,0.016900248031047956,0.03938453259831183,0.058321324973217875,0.06917562719202469,0.08117410907835385,0.10525408559790331,22211.003942030653,0.9999572524981745
beta[12],0.1072889343679689,8.688219472237607e-05,0.013245528441741655,0.08269991428601112,0.09816166477268601,0.10677323098937891,0.11597457028014457,0.13457104289915203,23242.18817106545,0.9998937922455696
beta[13],0.01196897713100516,4.928550038409158e-05,0.006085088637546793,0.0014485343441881801,0.0074866980262573764,0.011638595642224248,0.016021045467989166,0.0247415998497923,15243.87844329676,1.0000814708589163
beta[14],0.07227371474987908,6.57147782617486e-05,0.009734348007453065,0.05427625389659646,0.06561391705705641,0.07190188650255075,0.07862907010885978,0.09239474841236364,21942.577614077574,0.9999067712564442
beta[15],0.07423037969187574,7.36106967165233e-05,0.010362017111199176,0.05458919095498471,0.06711484135952758,0.07401299622557872,0.08105891609721388,0.09500888684902303,19815.578404547967,0.9998618874154294
beta[16],0.08899594256924383,0.00010982988649367401,0.015291016275739784,0.060714339433991724,0.07848529099057606,0.08826289728783931,0.09866208425063933,0.12152595413253767,19383.47469422513,0.9997722418589788
beta[17],0.22108954987016102,0.0004616860236457635,0.059923963795751864,0.11926117593528876,0.17867256968017212,0.21552971850391967,0.25770298609470516,0.3549978718320187,16846.41948683152,0.9999030765984673
beta[18],0.11111807446060078,9.134184279812936e-05,0.01447613670344431,0.0840981154976685,0.10118741666872091,0.11062227243570888,0.12054249224315003,0.14069000479953322,25116.887076305622,0.9997676055815661
beta[19],0.12756816531123857,0.0001851323539622872,0.024112075412333126,0.0848404914866705,0.11050369160501483,0.12595443559378539,0.14296755493598073,0.17857944057640324,16963.07335132401,1.0000619280866736
beta[20],0.0786623328879929,7.372413648491434e-05,0.011920857183454616,0.05635535164992603,0.07052426319643539,0.07818776404235844,0.08649590432540943,0.10313775114302683,26145.417492086493,0.9999138388751598
beta[21],0.0021605759512345786,1.1739340783239622e-05,0.0018998227396839185,6.723120360247912e-05,0.0007116771103591268,0.0016539624012780751,0.003081044022467938,0.007061716399133179,26190.195674981984,0.9999277564483341
