,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta[1],0.06069600074811655,8.148419830528679e-05,0.009750946885985013,0.043984484445293175,0.05375126416940501,0.059886940641310615,0.06673138362765843,0.08196579528406511,14320.124295462338,0.9999893831854392
beta[2],0.024102683980481873,5.481568200203978e-05,0.006711482589410976,0.011826820094864172,0.019537562767460326,0.023793404217378467,0.028272254770356907,0.03834974796975318,14990.885674250356,0.9998146277804664
beta[3],0.0405837487974203,5.955980287238628e-05,0.007302909450642926,0.02725833315764306,0.035547881698516574,0.040229831939599336,0.045229773380186813,0.056144903739866955,15034.373258854937,1.000069668319032
beta[4],0.05429063065585579,5.711807324532924e-05,0.008037642598398247,0.03940543549919137,0.048694087771510734,0.053949897261003577,0.05958936306345619,0.07075797895023324,19802.055977170436,1.0000990531453906
beta[5],0.07054696154883547,8.344836343623655e-05,0.011179786768433776,0.05023745542447623,0.0627574705199273,0.06989649891860866,0.07767059761336312,0.09415425514676203,17948.633639557247,1.0002544045858426
beta[6],0.017667148314830874,6.693990256431998e-05,0.007448138899316441,0.004087515164734499,0.012520157064853727,0.017353090062365073,0.022357966451627707,0.03355267478803679,12380.135058093942,0.9999462499181563
beta[7],0.09804385763971418,0.00010842238127130213,0.014002720003211998,0.07316141326690176,0.08822098375956311,0.09715631525690621,0.10707938596593974,0.12736681879337156,16679.64974794751,0.9999548062423617
beta[8],0.04771349578661415,6.256839020955807e-05,0.008398799660920638,0.032405511924614,0.04196677314284549,0.047254593464605144,0.053033138577655056,0.0655247698173771,18018.742596831322,1.000214775781339
beta[9],0.08246615197480475,9.199883511351165e-05,0.013225510931684448,0.058370655741453455,0.07330324252968781,0.0818321165508426,0.0908397811276486,0.11020401174134947,20666.18253158226,0.9998350499135061
beta[10],0.03659827550823121,5.257591783047899e-05,0.00788214367608366,0.02171221432437643,0.031188850334360856,0.03638430227085876,0.04171511983654021,0.05269425017844802,22475.790114224543,0.9998891713007707
beta[11],0.07797670724107884,0.00011068052538720196,0.016513745054515503,0.04768952746494879,0.0664413576624186,0.07737398439386228,0.08860234738274814,0.11230943342677008,22261.20797126195,0.9998587775732083
beta[12],0.08591696841899338,9.473423071272565e-05,0.01115818867000137,0.0654471442289303,0.07815067697478034,0.08553789273805007,0.09320418850239123,0.1089162750656568,13873.10059425458,0.9999473425359716
