,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a[1],0.00097608,2.04E-05,0.002441524,-0.003835689,-0.000662729,0.000973472,0.002634835,0.005747749,14346.07202,0.99997246
beta_a[2],-0.001000131,1.60E-05,0.001965339,-0.004795769,-0.002329855,-0.001023952,0.000295828,0.002939581,15079.83189,0.999877983
beta_a[3],-0.000395348,1.46E-05,0.001940363,-0.004243006,-0.001675912,-0.000394478,0.000911529,0.003385611,17711.13783,0.999976069
beta_a[4],0.007428459,2.34E-05,0.002859334,0.001864504,0.005475301,0.007405844,0.00934099,0.013084806,14922.81343,1.000151622
beta_a[5],0.013607663,0.0000354,0.003959006,0.006177491,0.010906477,0.013532319,0.016199946,0.021699156,12507.1907,1.000057183
beta_a[6],0.011833751,2.44E-05,0.002918234,0.006335375,0.009854048,0.011776728,0.013730457,0.017809236,14320.38328,0.999929466
beta_a[7],0.001699002,3.32E-05,0.003683112,-0.004960002,-0.000873774,0.001486636,0.004086498,0.009386842,12274.82883,0.999916296
beta_a[8],0.010883782,3.23E-05,0.003382057,0.004639713,0.008525343,0.010753844,0.013061722,0.017859418,10951.33106,0.999944568
beta_a[9],0.011808975,5.57E-05,0.005316793,0.002066654,0.008071774,0.011612026,0.01526127,2.27E-02,9114.39434,0.99991155
beta_a[10],0.00546067,3.03E-05,0.003082129,-0.000470788,0.003375009,0.005403656,0.007497853,0.011785759,10361.04673,1.000296727
beta_a[1],0.000794419,4.84E-05,0.006390499,-0.011556151,-0.003515167,0.000723945,0.005026964,0.013657154,17440.0924,0.999998811
beta_a[2],0.007767514,2.73E-05,0.003370309,0.001548417,0.005455504,0.007638416,0.009941407,0.014794564,15291.00717,0.999836467
beta_a[3],-0.001469065,0.0000128,0.001746334,-0.004900533,-0.002646022,-0.001505203,-0.000292485,0.001999962,18505.07387,1.000120172
beta_a[4],0.009611183,2.07E-05,0.002786039,0.004315422,0.007712233,0.009544464,0.011452953,0.015256953,18193.01282,0.999784657
beta_a[5],0.005569217,1.85E-05,0.002576711,0.000516102,0.003841026,0.005559937,0.007261828,0.010656032,19477.58069,0.999917902
beta_a[6],0.005823073,4.23E-05,0.00541006,-0.004543097,0.002161376,0.005708231,0.009411298,0.016721561,16369.31794,0.999963592
beta_a[7],0.007729267,1.17E-04,0.013941455,-0.018452365,-0.001636101,0.007218994,0.016601495,0.036444093,14171.75031,1.00007512
beta_a[8],0.011634529,3.40E-05,0.004629509,0.00282951,0.008513087,0.011585028,0.014679021,0.020982686,18575.31739,0.999923141
beta_a[9],0.006826233,0.0000577,0.006616297,-0.007316435,0.002722005,0.007089808,0.011418098,0.01874011,13154.64942,1.000150904
beta_a[10],0.013824823,3.84E-05,0.00461945,0.005202791,0.010628292,0.013625531,0.016829109,0.02332518,14505.35806,1.000176796
beta_a[1],0.001741767,0.00000825,0.001054569,-0.000254586,0.001013456,0.001723534,0.002445886,0.003866483,16332.44013,1.00000299
beta_a[2],0.012649176,4.32E-05,0.004343689,0.004638127,0.009645281,0.012435869,0.015495451,0.021655328,10122.36462,1.000102668
beta_a[3],0.002539273,1.59E-05,0.001891548,-0.001065144,0.001258764,0.002506041,0.003768153,0.006352499,14070.20718,1.000187753
beta_a[4],-0.002076027,1.62E-05,0.00204233,-0.006040587,-0.003454669,-0.002097837,-0.000704796,0.001937353,15829.31873,1.000133197
beta_a[5],0.017377162,4.85E-05,0.005875865,0.006403087,0.013335192,0.017144865,0.021216415,0.029457978,14654.34583,1.000031948
beta_a[6],0.011361612,0.000120484,0.011232743,-0.009789884,0.003560753,0.011076216,0.018630276,0.034583941,8691.856414,1.000165298
beta_a[7],0.008048473,1.87E-05,0.002022738,0.004187826,0.006663692,0.008006185,0.009400064,0.012143402,11736.1471,0.999927609
beta_a[8],0.003734259,0.0000272,0.002893225,-0.001771175,0.00177178,0.003665828,0.005655738,0.009582412,11335.56888,0.9998643
beta_a[9],0.007057873,3.34E-05,0.003961432,-0.000333514,0.004355347,0.006889914,0.009574308,0.015306049,14066.7998,1.000104841
beta_a[10],0.007342628,2.76E-05,0.003523605,0.000597226,0.004970748,0.007294899,0.009653737,0.014429239,16243.29623,1.000205493
beta_a[1],-0.000360819,9.01E-06,0.001099457,-0.002548848,-0.001090953,-0.000362293,0.000379461,0.00177861,14888.79426,1.000148292
beta_a[2],0.012931463,4.11E-05,0.004990583,0.003679185,0.009548118,0.012772339,0.016154722,0.023267733,14747.56924,0.99984388
beta_a[3],0.001081247,0.0000202,0.002606636,-0.004035179,-0.000686765,0.001070806,0.002846782,0.006110352,16667.52491,1.000051141
beta_a[4],0.009832184,0.0000248,0.003171463,0.003631786,0.007696457,0.009829919,0.011987088,0.016091363,16393.61263,0.999912134
beta_a[5],0.008734755,0.0000373,0.004767284,-0.000283405,0.005480643,0.008662361,0.011816663,0.018387171,16298.83811,0.999853101
beta_a[6],0.002251463,1.57E-05,0.001987389,-0.001545725,0.000886607,0.002220402,0.003565743,0.006304881,16088.99455,1.000202398
