,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
persev_a[1],0.107634599,0.000530531,0.065494975,-0.019235288,0.063874055,0.107705624,0.151586116,0.236046847,15240.32862,1.000046709
persev_a[2],0.106203849,0.000385454,0.049081905,0.01075727,0.073011805,0.10553111,0.138747522,0.205107825,16214.24558,1.000107075
persev_a[3],0.104906043,0.000385146,0.052034501,0.005231013,0.069692385,0.10435129,0.139333731,0.209041623,18252.90021,0.999860666
persev_a[4],0.172990487,0.000411675,0.054507595,0.068244973,0.13590917,0.172748644,0.209221821,0.282168962,17530.93737,1.000070348
persev_a[5],0.499521336,0.000782512,0.09150814,0.328890459,0.436500029,0.49678866,0.558919043,0.689989655,13675.31056,1.000005907
persev_a[6],0.285805225,0.00048233,0.063415462,0.164839849,0.242107848,0.284417651,0.327847555,0.412179928,17286.2937,0.999921288
persev_a[7],0.158954669,0.000654384,0.074469807,0.019366954,0.108197987,0.155990291,0.207077583,0.311583359,12950.75484,1.000124022
persev_a[8],0.18616974,0.0005113,0.057592268,0.075927453,0.146565541,0.184559291,0.224323428,0.302287641,12687.528,1.000010428
persev_a[9],0.331826009,0.000975296,0.09857207,0.152938377,0.263554431,0.327201049,0.394034011,0.540517438,10214.91223,1.000202136
persev_a[10],0.311706553,0.000606056,0.065256639,0.188665471,0.266814977,0.30952764,0.353865292,0.447173612,11593.73642,1.00019707
persev_a[1],0.321789268,0.000785685,0.091856299,0.152049893,0.258785707,0.318812239,0.38181541,0.510286752,13668.51171,1.000009947
persev_a[2],0.737636471,0.001139327,0.12284254,0.501926044,0.649911769,0.735882365,0.82912784,0.969266845,11625.205,0.999912118
persev_a[3],0.161406982,0.000516853,0.072319275,0.024264833,0.112654279,0.160017855,0.208393812,0.308724295,19578.28541,0.999823597
persev_a[4],0.333195453,0.000520576,0.067850081,0.20765237,0.28591506,0.330841397,0.378138167,0.471932577,16987.62997,1.00010179
persev_a[5],0.046479939,0.000406071,0.053020166,-0.058376382,0.010975749,0.046757724,0.08256462,0.149318146,17048.21314,1.000039186
persev_a[6],0.256077267,0.000752342,0.089198228,0.089911818,0.195206015,0.253650287,0.314354134,0.438171572,14056.64057,1.000118339
persev_a[7],0.200854731,0.001737107,0.202345648,-0.183964093,0.06435453,0.195753687,0.331106393,0.623354292,13568.58524,1.000359145
persev_a[8],0.60070845,0.000904507,0.102104975,0.413071118,0.529722132,0.596843317,0.667295869,0.813285882,12742.95197,1.000039721
persev_a[9],0.120949461,0.001023677,0.118621927,-0.117052926,0.041942736,0.124787836,0.201660689,0.345337115,13427.76529,0.999963983
persev_a[10],0.418376745,0.00077527,0.087290426,0.256576837,0.358309189,0.414631713,0.475119692,0.597424132,12677.3232,1.000008952
persev_a[1],0.084348457,0.000425171,0.055163448,-0.022332818,0.046803143,0.083771703,0.120932244,0.195801953,16833.51628,0.99987196
persev_a[2],0.250232253,0.000769186,0.080284448,0.101002902,0.194571931,0.247932459,0.302164746,0.418076402,10894.30768,1.000684041
persev_a[3],0.206334875,0.000512882,0.05942941,0.094782328,0.164923056,0.205127209,0.245154303,0.327498529,13426.65679,0.999802769
persev_a[4],0.059449977,0.000395575,0.048767414,-0.034014698,0.026230392,0.059281274,0.091631009,0.156609761,15198.50555,0.999895426
