,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a[1],-0.004000891,2.06E-05,0.003072505,-0.010043812,-0.006065059,-0.004005513,-0.001912157,0.002000109,22172.85705,1.000215177
beta_a[2],-0.002834573,1.38E-05,0.002107986,-0.006926602,-0.004281671,-0.002863823,-0.001411089,0.001285558,23317.74647,0.999901692
beta_a[3],-0.00348861,1.53E-05,0.002315837,-0.00810844,-0.005013363,-0.00349463,-0.00192335,0.001030096,23004.74482,0.999861981
beta_a[4],0.008127737,2.22E-05,0.003237063,0.001905741,0.005959479,0.008106516,0.01026343,0.014499968,21256.26778,0.999876648
beta_a[5],0.005224815,3.87E-05,0.005459289,-0.005137058,0.001500281,0.005042016,0.008836792,0.016223435,19924.70718,1.000033423
beta_a[6],0.010829615,2.12E-05,0.003257488,0.00458165,0.00860635,0.010774242,0.013014412,0.017328732,23670.11465,0.999873568
beta_a[7],-0.005088783,3.96E-05,0.005141207,-0.014935747,-0.008602549,-0.005206664,-0.001679006,0.005236731,16831.70626,0.999883557
beta_a[8],0.008263545,3.02E-05,0.003952243,0.000896688,0.005573462,0.008133999,0.010886469,0.016378434,17146.75415,0.999987679
beta_a[9],0.007952598,5.48E-05,0.00679283,-0.004630635,0.003219117,0.007645081,0.012393831,0.021913792,15370.07782,0.999803062
beta_a[10],-0.002364219,2.74E-05,0.003542224,-0.008985236,-0.004813558,-0.002472548,-3.10E-05,0.004862207,16715.61288,0.99997485
beta_a[1],-0.00201656,5.43E-05,0.007225701,-0.015528006,-0.006982629,-0.002261886,0.00274957,0.012576363,17729.85357,0.999885436
beta_a[2],-0.002279962,6.50E-05,0.006620625,-0.014840403,-0.006852136,-0.002416624,0.002154878,0.01082205,10381.41894,0.999894773
beta_a[3],-0.002122561,1.15E-05,0.001757354,-0.005542026,-0.003299852,-0.002111529,-0.000944271,0.001292608,23360.61921,0.999927873
beta_a[4],0.002414676,3.29E-05,0.003696478,-0.004813294,-4.63E-05,0.002407057,0.00484898,0.009730257,12625.42016,1.000407327
beta_a[5],9.20E-05,2.18E-05,0.003064819,-0.006057864,-0.001940517,0.000112713,0.00215427,0.006135689,19715.22946,0.999984128
beta_a[6],-0.010579051,7.32E-05,0.007748311,-0.025839214,-0.015804185,-0.010556918,-0.005319588,0.004638832,11197.25466,1.000202073
beta_a[7],0.001130795,0.000180519,0.020655084,-0.037240881,-0.013483352,0.000586176,0.015461194,0.041900005,13092.021,0.999979263
beta_a[8],-0.001255402,4.71E-05,0.006073618,-0.013067763,-0.00525125,-0.001389978,0.0027484,0.010950225,16657.23825,0.999912454
beta_a[9],-0.011382536,0.000100991,0.01015036,-0.03348377,-0.017717718,-0.010586347,-0.004251859,0.00623027,10101.7364,1.000203432
beta_a[10],-0.002593639,6.09E-05,0.006249387,-0.014581724,-0.00688827,-0.002645369,0.001554685,0.009831146,10532.07533,1.000328854
beta_a[1],0.001929683,6.20E-06,0.00105456,-9.42E-05,0.00121153,0.001909698,0.002620772,0.004054436,28938.6679,0.999838355
beta_a[2],0.008807228,4.50E-05,0.005223552,-0.000985598,0.005203233,0.008637423,0.012185242,0.019577662,13451.05471,0.999892987
beta_a[3],0.001292368,1.72E-05,0.002214284,-0.002958302,-0.000226228,0.001262652,0.002742874,0.005760821,16490.3424,0.999919846
beta_a[4],-0.003752339,1.81E-05,0.002623468,-0.008912285,-0.005489473,-0.003751982,-0.001943731,0.001332635,21022.67519,0.999934855
beta_a[5],0.010139375,6.73E-05,0.008452405,-0.005614467,0.00431456,0.009911276,0.015723318,0.027335703,15752.31362,0.999961153
beta_a[6],0.011654828,9.08E-05,0.012571917,-0.011499351,0.002963512,0.01109434,0.019924901,0.037667323,19154.13163,0.999991898
beta_a[7],0.006047341,1.69E-05,0.002280332,0.001686178,0.004464402,0.006031608,0.007555529,0.010667394,18155.16679,0.999950212
beta_a[8],-0.004134722,3.18E-05,0.003639869,-0.011158182,-0.006600661,-0.004171883,-0.001663473,0.003073135,13101.61593,0.999930816
beta_a[9],0.006678446,4.81E-05,0.005955864,-0.004633158,0.002680647,0.006498821,0.010493121,0.019035139,15309.35063,0.999868611
beta_a[10],0.00651628,2.76E-05,0.004179237,-0.00179911,0.003727211,0.006576975,0.009311666,0.014700555,22966.83845,0.999966106
beta_a[1],0.000136434,7.95E-06,0.001193784,-0.002211157,-0.000675974,0.000138645,0.00095067,0.002469298,22532.88858,0.99987874
beta_a[2],0.0082612,5.40E-05,0.006900624,-0.005221374,0.003525383,0.008280372,0.012935597,0.02182562,16309.5668,1.000303332
beta_a[3],0.001036646,1.58E-05,0.002656477,-0.004156071,-0.000758737,0.001021862,0.002822112,0.006355092,28234.35854,0.999927967
beta_a[4],0.002334051,2.96E-05,0.004357559,-0.006228636,-0.000578312,0.002393741,0.005238563,0.010913471,21742.81046,0.9998572
beta_a[5],0.005276742,4.39E-05,0.006581844,-0.007181253,0.000822911,0.005218707,0.009588975,0.018427071,22462.75628,1.000014878
beta_a[6],-0.000222157,1.44E-05,0.002264729,-0.004574041,-0.001763402,-0.000257293,0.001272885,0.004352511,24839.26812,0.999797759
beta_a[7],-0.005225378,2.56E-05,0.003789304,-0.012765835,-0.007771613,-0.00514114,-0.002663327,0.002086962,21934.77559,0.999808471
beta_a[8],-0.0019432,8.13E-05,0.011152204,-0.024853525,-0.009248254,-0.001547859,0.005790399,0.019000722,18800.15422,0.999885067
beta_a[9],0.00773019,2.40E-05,0.004048438,-4.30E-05,0.004925391,0.007701574,0.010461456,0.015743485,28414.72318,0.99992716
beta_a[10],0.01049452,5.15E-05,0.006615317,-0.001993218,0.005994065,0.010351909,0.014808682,0.023964855,16485.60332,1.000019846
beta_a[1],0.002171638,2.63E-05,0.002928682,-0.003457266,0.000181401,0.002166587,0.004145275,0.007952574,12391.80927,0.999957083
beta_a[2],-0.001371641,1.82E-05,0.00260223,-0.006459548,-0.003115854,-0.001375268,0.000380384,0.003730593,20387.72134,1.000046416
beta_a[3],-0.000397541,4.31E-05,0.005993786,-0.012043451,-0.00451593,-0.000460227,0.003654717,0.011483007,19312.26575,0.999897032
beta_a[4],-0.005204794,2.86E-05,0.003232903,-0.011688347,-0.007354281,-0.005172575,-0.003031135,0.001159128,12817.5816,1.000137981
beta_a[5],0.008330252,2.41E-05,0.003569548,0.001405691,0.005905353,0.008303291,0.010759099,0.015373256,21930.38539,0.999853306
beta_a[6],0.001003072,4.08E-05,0.005020288,-0.008867517,-0.002407491,0.001120692,0.00444421,0.010651316,15145.5642,0.999951354
beta_a[1],-0.002969777,3.00E-05,0.003236415,-0.009251228,-0.005180415,-0.002954253,-0.000813512,0.003334711,11639.84828,0.999988393
beta_a[2],0.004046825,1.28E-05,0.002039366,-7.67E-05,0.002703397,0.004088528,0.005427002,0.007964049,25324.62926,0.999863211
beta_a[3],0.003737736,1.26E-05,0.002257191,-0.000728514,0.002231551,0.003734326,0.005235728,0.008202618,32190.48865,1.000000754
beta_a[4],0.002163349,1.98E-05,0.002808953,-0.003173809,0.000240098,0.002084417,0.004030531,0.007915699,20051.71066,0.99987431
beta_a[5],-0.000487916,7.02E-06,0.00121875,-0.002863126,-0.001318414,-0.000491533,0.000339849,0.0019011,30142.04344,0.999927895
beta_a[6],0.003361376,1.37E-05,0.002172383,-0.000873081,0.001886765,0.003343144,0.004824975,0.007590982,25127.46712,1.000040813
beta_a[7],-0.001693182,8.76E-06,0.001564263,-0.004735287,-0.002751627,-0.001698261,-0.000626681,0.001376848,31905.98481,0.999927425
beta_a[8],-0.001145576,1.05E-05,0.001686404,-0.004520099,-0.002273414,-0.001126692,-5.04E-06,0.002183235,26027.83972,0.999850806
beta_a[9],-0.008589988,2.96E-05,0.004087277,-0.016610263,-0.011359923,-0.008576664,-0.00578749,-0.000628158,19037.06964,0.999944256
beta_a[10],-0.006840233,3.13E-05,0.004685873,-0.015845403,-0.010010002,-0.006905151,-0.003738461,0.002587338,22440.74048,0.999842689
beta_a[11],-0.000931035,1.79E-05,0.002917868,-0.006594032,-0.002889363,-0.000947587,0.001023375,0.00478024,26430.45533,0.999878012
beta_a[12],0.016935743,7.89E-05,0.010093118,-0.001774141,0.009951321,0.016591493,0.023500513,0.037778056,16381.17746,1.000005586
beta_a[13],0.000860538,2.68E-05,0.004149619,-0.007277399,-0.001955762,0.000895445,0.003681945,0.00892148,23888.56788,0.999943055
beta_a[14],0.009935539,3.03E-05,0.003772376,0.002741428,0.007352058,0.009873432,0.012404398,0.01758836,15455.33639,1.000028022
phi_a[1],-0.019855018,6.36E-05,0.009348239,-0.038987408,-0.025951171,-0.019558014,-0.013447959,-0.002146465,21597.14251,0.999938866
phi_a[2],-0.021605361,0.000107232,0.01495671,-0.050935826,-0.031625442,-0.021269021,-0.011514194,0.007513409,19454.49542,0.999859746
phi_a[3],-0.027345503,0.000111716,0.015480108,-0.057856689,-0.037707918,-0.027334401,-0.017067707,0.003146965,19200.58218,0.999847842
phi_a[4],0.017016722,8.53E-05,0.011670982,-0.005346313,0.008917124,0.016922154,0.024940052,0.040015824,18702.35179,1.000047349
phi_a[5],-0.008047097,0.000130084,0.018096127,-0.044039329,-0.020087892,-0.007957037,0.004173963,0.026869027,19351.95767,1.00022246
phi_a[6],0.031857382,8.88E-05,0.012805091,0.007537824,0.02306919,0.03165002,0.040364587,0.058006395,20808.30149,0.999959182
phi_a[7],0.002783718,8.89E-05,0.012793448,-0.021247898,-0.005992948,0.002415879,0.011115278,0.028997119,20716.82655,0.999862093
phi_a[8],-0.006082812,9.18E-05,0.013112585,-0.031624638,-0.014992892,-0.006187282,0.002607962,0.020425365,20406.72918,0.999798891
phi_a[9],0.016003239,8.53E-05,0.011720307,-0.005455985,0.007937398,0.015540997,0.023663411,0.040654802,18862.66858,0.999816824
phi_a[10],0.055920177,0.00010195,0.011444695,0.034870963,0.047938558,0.055467021,0.063220756,0.079950478,12601.72186,1.000030072
phi_a[1],-0.01071887,9.98E-05,0.011930806,-0.03448943,-0.018524284,-0.010609845,-0.002659276,0.012401628,14284.67377,0.999884149
phi_a[2],0.014483455,0.000165752,0.01834816,-0.01957787,0.002018307,0.013584073,0.026203914,0.052804978,12253.641,1.000024946
phi_a[3],-0.037549012,0.000177442,0.022470188,-0.081937529,-0.052718833,-0.037644186,-0.022211217,0.006464661,16036.12615,1.000238697
phi_a[4],-0.003966768,0.000135089,0.01572519,-0.034845593,-0.014595771,-0.00402752,0.006633815,0.027243165,13550.44221,1.000313244
phi_a[5],-0.051559331,0.000120304,0.014018567,-0.080195059,-0.060752135,-0.050978149,-0.041849345,-0.025369936,13578.34609,1.000013931
phi_a[6],-0.027319692,0.000125295,0.016079811,-0.058761947,-0.038025384,-0.027445704,-0.016588233,0.00424645,16470.11243,0.999872573
phi_a[7],0.008715902,0.000199539,0.022978404,-0.034592272,-0.007037995,0.008424038,0.024158892,0.054638711,13261.21834,1.000262949
phi_a[8],0.012183222,0.000126184,0.015411554,-0.018199706,0.001791799,0.012406438,0.022766594,0.041890072,14917.04502,1.000058893
phi_a[9],-0.066096408,0.000149767,0.016416278,-0.096339238,-0.078372944,-0.06583793,-0.054379352,-0.034606009,12014.8142,0.999938414
phi_a[10],-0.017357115,0.000138236,0.016988368,-0.05196714,-0.028604716,-0.01698505,-0.00597116,0.015374952,15102.9663,1.000321892
phi_a[1],0.00939255,0.000161033,0.020819878,-0.03105159,-0.004636132,0.009313265,0.0232581,0.050488883,16715.74305,0.999868947
