,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.07663465861204202,6.28462944171419e-05,0.009413260970748445,0.05868981615121509,0.07025367781634581,0.07644857947173844,0.0829393502812486,0.09547650060848431,22434.72998820704,1.0002306979045443
beta_b[2],0.030401583375836524,5.356109164050754e-05,0.008448172854100225,0.01424448688004067,0.024714785578927985,0.030298112206492422,0.035928473765100125,0.047624331577671764,24878.646117331533,1.000055741369613
beta_b[3],0.05017487731887159,6.537438234812914e-05,0.008946065652979706,0.03337112767005227,0.04400962419252652,0.050004354220791025,0.05600971668753732,0.0683738934850779,18726.17012701197,1.0000043887318462
beta_b[4],0.06687719764016971,7.213365925684209e-05,0.011121341611986864,0.045791309941520114,0.05924683945263125,0.06667732764152823,0.07421165403041596,0.08932491408914567,23770.506414209176,0.9998722979332866
beta_b[5],0.08614620845307301,0.00010085848970272481,0.014354353543877211,0.059446696694046106,0.07619730065460031,0.08562020925664932,0.09569056593022349,0.11568171234381996,20255.47145539381,0.999832378768415
beta_b[6],0.02127720903090596,8.2164436611415e-05,0.009536493526028504,0.0034389766543976583,0.014416080281579275,0.021021831702652427,0.027687254330404934,0.04070007441287977,13471.305129421235,0.9999456953243745
beta_b[7],0.11700080017483097,0.00010689354143616532,0.015546419724196233,0.0878992983966212,0.10635623658986323,0.11631469391209304,0.1272213941668553,0.14923606717767168,21152.312105264973,0.9998632099082357
beta_b[8],0.060054525265083925,6.531403445232233e-05,0.010373473682411666,0.0400277864683548,0.05301562570841202,0.05991643817156167,0.06686142130492302,0.08115670264964062,25225.245229927095,0.9998710006493087
beta_b[9],0.0906681393869502,0.00010231017037803236,0.015942307617739883,0.06042017705705764,0.07990671680369774,0.09008449793959955,0.10107958880632266,0.12327480813939301,24280.898525745702,0.999934746098957
beta_b[10],0.0399785455239907,7.10205500831464e-05,0.010380574001395004,0.01996705900582884,0.032911603499795494,0.039839885265549435,0.04681214362533332,0.06064830460423017,21363.61161855951,0.9998521307554064
beta_b[11],0.06951122133781829,0.00015079582098938667,0.021029103108158947,0.029259064219113153,0.055070490403334615,0.0689850228969151,0.08347650319541025,0.11163692379385506,19447.46007897739,1.0000702191866997
beta_b[12],0.08690824483459124,7.207797569177142e-05,0.011203624637650483,0.0656782270190274,0.07916700390440568,0.08661087179649168,0.0944806325888675,0.10964502501214385,24160.834913758812,0.9999911556378573
