,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.08017536910546294,4.665585346095627e-05,0.008683943161622656,0.0634538755598909,0.0743642948007151,0.07996147295631723,0.08577919041497345,0.09779959650489359,34643.49250558794,0.9997935034329943
beta_b[2],0.03615725485997128,4.6697527384046024e-05,0.008008785905841434,0.02103730853093441,0.030687703920462495,0.03600311148315832,0.04146507664459349,0.0521767957086161,29413.424936914253,0.9999069735872526
beta_b[3],0.04329464740812519,4.246899483256097e-05,0.007723034409304553,0.028601639715728485,0.0380300647806916,0.043158606317655446,0.04850646244939233,0.05879419728408862,33069.83099050364,0.9998284611938402
beta_b[4],0.07704507230227037,5.592623987045679e-05,0.010513396094964949,0.05698363944520152,0.06978310510438529,0.07683105791056,0.084087807112145,0.09784822866660486,35339.04521411748,0.9999116616479408
beta_b[5],0.11107518472991502,6.525485635701252e-05,0.012850125869342432,0.08737320376310154,0.10190077367326884,0.11062326710684106,0.11966832117590374,0.1374408538789209,38778.32867975258,0.999850169567336
beta_b[6],0.022551189291022164,7.954984109316698e-05,0.00947804115235466,0.004674614048507391,0.015856625977160487,0.0224435345782783,0.02889004747808747,0.04170915130563703,14195.756691348864,0.9999228004710914
beta_b[7],0.12588544012461686,6.60883765452297e-05,0.01303504862028286,0.10162769924825961,0.1168864740738583,0.1255318910071812,0.13437286971268408,0.1528195169289121,38902.28790534939,0.9998135993308478
beta_b[8],0.062180609789114515,5.0664453046777266e-05,0.00968528059862575,0.043966285368383796,0.055474463933237156,0.06197627231748626,0.06854630119262381,0.08170408958236058,36544.135947753,0.9998648047534459
beta_b[9],0.1373759291249429,7.904541753475785e-05,0.015348953843568738,0.10861330229465879,0.1269111403323569,0.13675535730640676,0.14733471707220014,0.16890101856578266,37705.45314786419,0.9997896223553012
beta_b[10],0.04922860027214668,5.538003207253907e-05,0.01003331875740617,0.029902999822751915,0.04244911398568643,0.04908692120690866,0.05583971589976522,0.06961958899710205,32823.34322315596,0.9998743318606724
beta_b[11],0.1068600919038021,6.719088993409794e-05,0.01287263900057876,0.0824355966996792,0.09815886375409746,0.1066203586998079,0.11520750521329455,0.13280012976513558,36704.08429254965,0.9998482282194345
beta_b[12],0.08760693284109584,5.069633438751536e-05,0.009820581965712224,0.06881475365613648,0.08087996034723502,0.08743435965860102,0.09402934969441712,0.1079237755468139,37525.05454023607,0.9998268511606238
beta_b[13],0.0066832428559982105,3.213658748088227e-05,0.004589945167255906,0.0003349828510034236,0.0030123972519756235,0.005948662831683271,0.009512608278490773,0.017212447598889166,20399.31004134279,0.9999384476841116
beta_b[14],0.0784297040331336,4.8114069156917925e-05,0.009218195487326225,0.0607735142356782,0.07217164413915605,0.07824452802391435,0.08451642985949664,0.09724804993966243,36706.89516522198,0.9997879383039687
beta_b[15],0.08022747177669314,5.014868856925869e-05,0.009638433277846588,0.0619689951609185,0.07358086738375552,0.08011060649180773,0.0865131245264587,0.09971715506909068,36939.73112011366,0.999856825733198
beta_b[16],0.15974462194333425,7.904600458196762e-05,0.01561338850282744,0.13054854494578166,0.14908490048754014,0.1593337645821813,0.1698152006888334,0.19190063983505534,39015.25826394763,0.999867448550247
beta_b[17],0.3206287193991117,0.0002742143796091483,0.049292658029532484,0.23474084352739807,0.28608878168025276,0.31656475117010535,0.35069984348395195,0.4291903681797868,32313.50177832532,0.9997852806090448
beta_b[18],0.13612202211801946,7.265241841504653e-05,0.01437189405379528,0.10944651529336039,0.12622047538062486,0.1357672335002036,0.14558184415896924,0.1653275705017715,39131.623213101055,0.999872092343476
beta_b[19],0.17131858866049451,9.756534495195789e-05,0.018803032821301267,0.13740183989019997,0.15809604851958875,0.17031905317533252,0.1833051150207019,0.21116426272043332,37141.94473722965,0.9998340275501125
beta_b[20],0.1251473050379654,6.939438687193384e-05,0.013751059120221874,0.09930972189095941,0.1157129312640224,0.12487093760864743,0.1342257697077705,0.15327533356069617,39266.62840947874,0.9998170176332499
