,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.08045024094571405,0.00024000841219662088,0.014049105321020406,0.060603037745836905,0.07297354326786143,0.07960239564768973,0.08642228913885375,0.10231545077676524,3426.4500793784177,1.0006102672814536
beta_b[2],0.16134807285935387,0.0022413132488434194,0.17799464059946465,0.030412922712349605,0.058837553743673776,0.09277201525944029,0.17767911996471988,0.7615722669377913,6306.795298704822,1.0004635264500616
beta_b[3],0.049750037196286914,5.888355767951719e-05,0.008935196898319364,0.033005480578940025,0.04359225900432931,0.04948192671147922,0.05563322942655583,0.06800321273040845,23026.088573724104,0.9999980779073521
beta_b[4],0.06729130803626607,7.724194179997654e-05,0.01205740747092629,0.04471362854694158,0.059030636507089077,0.06700688060601134,0.07509960883158619,0.0919785908428417,24366.96892855701,0.9998726692044725
beta_b[5],0.0873464218516604,8.561140484520789e-05,0.014320793436266802,0.060650273189318586,0.07728610724356265,0.08698702112867623,0.09666855910044009,0.11647254897431375,27981.494954518956,1.0000255153463655
beta_b[6],0.17356469224704985,0.0021615890007019613,0.19635686009837214,0.012619006556490963,0.054128365550719426,0.10130738333237604,0.19799106543070982,0.8002622715038852,8251.747190947146,1.000318397460727
beta_b[7],0.13931814782056423,0.00013152988452726395,0.018868639296162563,0.10437532867241117,0.12642342610201518,0.13837211034953695,0.15150883919992955,0.1794236598785625,20579.380021868583,0.9999961003064771
beta_b[8],0.14041108142916148,0.00031183630070364565,0.03086443190258928,0.0896712351300787,0.1194485370232066,0.137548230927657,0.1581701861346626,0.20648646760666556,9796.326150685165,0.9999912701227741
beta_b[9],0.1801352329635614,0.0002606124049814218,0.030307997855025286,0.12447656978137356,0.15956416083227454,0.17897377630060507,0.19957523578435082,0.24294747059916144,13524.596832424711,1.0002724832841983
beta_b[10],0.4392527882176983,0.0018609947981563812,0.1664150764915346,0.21301282121128262,0.3194761373152285,0.4013157983269708,0.519827923458485,0.872988903395592,7996.4093724039585,0.9999373208977863
beta_b[11],0.5660543419341695,0.001015722707466943,0.13397792085267907,0.32045481349428195,0.47270354589295527,0.5599739423486265,0.653794964495213,0.8445776893287109,17398.673747158817,1.0001598818624629
beta_b[12],0.09321484957866066,7.960546152988958e-05,0.011885875803779424,0.07098276593430351,0.08501088321147482,0.09295334342841016,0.10097941782247025,0.11755709440111622,22293.41736578322,1.0000530326077803
beta_b[13],0.02456659412302598,0.0014033040799734658,0.08150440585377869,0.0011282372788526383,0.006889783996791892,0.011527085585019414,0.017025688016436932,0.1399032305408146,3373.3281928511815,1.0010804844708594
