bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,52.044154600000184,None,space,6.583903800004919,52.044154600000184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
,,,,,,,,,,,,,58.66230540000106,None,s,18.212189099998795,58.66230540000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,76.90553640000144,None,None,None,None,None,None,77.96764599999733,None,77.96764599999733,None,77.96764599999733,None,77.96764599999733,None,j,0.6099230999971041,77.96764599999733,None,77.96764599999733,None,78.714221299997,None,78.714221299997,None,78.714221299997,None,78.714221299997,None,78.714221299997,None,78.714221299997,None,78.99530580000282,80.1251093000028,78.99530580000282,80.1251093000028,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,80.20839379999961,None,34,73,49,50,50,62,None,None,None,None,None,None,None,None,None,None,None,None,50,82.93115760000364,None,82.93115760000364,None,82.93115760000364,None,82.93115760000364,None,82.93115760000364,None,82.93115760000364,None,82.93115760000364,None,50,82.93115760000364,None,-0.14629629629629629,-0.28703703703703703,1,0,0,11.666346999998495,tijiao,0.015070879999257158,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,8.87037037037037,3.3597713999988628,94.93892939999932,None,94.93892939999932,None,94.93892939999932,None,94.93892939999932,None,None,None,98.40572119999706,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,100.14391949999845,None,100.14391949999845,None,100.14391949999845,None,100.14391949999845,None,i,0.6071762999999919,100.14391949999845,None,100.14391949999845,None,100.78605830000015,None,100.78605830000015,None,100.78605830000015,None,100.78605830000015,None,100.78605830000015,None,100.78605830000015,None,101.0680502000032,102.14822460000141,101.0680502000032,102.14822460000141,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,102.17456949999905,None,36,70,43,49,43,26,None,None,None,None,None,None,None,None,None,None,None,None,,104.6890349000023,None,104.6890349000023,None,104.6890349000023,None,104.6890349000023,None,104.6890349000023,None,104.6890349000023,None,104.6890349000023,None,,104.6890349000023,None,0.09814814814814815,-0.2935185185185185,1,0,0,0.5256091999981436,tijiao,0.009870940004475415,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,9.86111111111111,2.4693776999993133,105.24938359999942,None,105.24938359999942,None,105.24938359999942,None,105.24938359999942,None,None,None,107.73227059999772,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,109.26229949999833,None,109.26229949999833,None,109.26229949999833,None,109.26229949999833,None,f,0.38396949999878416,109.26229949999833,None,109.26229949999833,None,109.67929770000046,None,109.67929770000046,None,109.67929770000046,None,109.67929770000046,None,109.67929770000046,None,109.67929770000046,None,109.96070060000056,111.12390880000021,109.96070060000056,111.12390880000021,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,111.16285909999715,None,31,77,40,43,77,55,None,None,None,None,None,None,None,None,None,None,None,None,60,113.68478969999705,None,113.68478969999705,None,113.68478969999705,None,113.68478969999705,None,113.68478969999705,None,113.68478969999705,None,113.68478969999705,None,60,113.68478969999705,None,0.2222222222222222,-0.2861111111111111,1,0,0,5.359972899997956,tijiao,0.007924339995952323,None,0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,7.962962962962963,4.395213099996909,121.50589259999833,None,121.50589259999833,None,121.50589259999833,None,121.50589259999833,None,None,None,125.91579710000224,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,127.86117499999818,None,127.86117499999818,None,127.86117499999818,None,127.86117499999818,None,f,0.29701050000585383,127.86117499999818,None,127.86117499999818,None,128.19026110000414,None,128.19026110000414,None,128.19026110000414,None,128.19026110000414,None,128.19026110000414,None,128.19026110000414,None,128.47689060000266,130.37146609999763,128.47689060000266,130.37146609999763,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,130.39339489999838,None,37,73,53,39,73,39,132.90687040000194,None,6.0,3.580850999998802,132.90687040000194,None,132.90687040000194,None,132.90687040000194,None,132.90687040000194,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,136.654978700004,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,138.34935750000295,None,138.34935750000295,None,138.34935750000295,None,138.34935750000295,None,r,0.5231825999944704,138.34935750000295,None,138.34935750000295,None,138.91218939999817,None,138.91218939999817,None,138.91218939999817,None,138.91218939999817,None,138.91218939999817,None,138.91218939999817,None,139.1978453999982,140.7594093000007,139.1978453999982,140.7594093000007,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,140.78014699999767,None,29,67,48,38,29,54,143.28862579999986,None,3.0,3.069094500002393,143.28862579999986,None,143.28862579999986,None,143.28862579999986,None,143.28862579999986,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,146.41002290000324,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,147.95655650000117,None,147.95655650000117,None,147.95655650000117,None,147.95655650000117,None,r,0.5916619000054197,147.95655650000117,None,147.95655650000117,None,148.58608200000162,None,148.58608200000162,None,148.58608200000162,None,148.58608200000162,None,148.58608200000162,None,148.58608200000162,None,148.871415900001,150.5328303999995,148.871415900001,150.5328303999995,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,150.55339359999925,None,37,62,49,44,37,42,153.0622491000031,None,3.0,2.7852130999963265,153.0622491000031,None,153.0622491000031,None,153.0622491000031,None,153.0622491000031,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,155.89746890000242,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,157.61326420000114,None,157.61326420000114,None,157.61326420000114,None,157.61326420000114,None,j,0.6349245999954292,157.61326420000114,None,157.61326420000114,None,158.28705020000052,None,158.28705020000052,None,158.28705020000052,None,158.28705020000052,None,158.28705020000052,None,158.28705020000052,None,158.5783401000008,159.59182650000002,158.5783401000008,159.59182650000002,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,159.6128041999982,None,40,58,54,44,44,49,None,None,None,None,None,None,None,None,None,None,None,None,50,162.13662489999842,None,162.13662489999842,None,162.13662489999842,None,162.13662489999842,None,162.13662489999842,None,162.13662489999842,None,162.13662489999842,None,50,162.13662489999842,None,-0.17592592592592593,-0.24166666666666667,1,0,0,0.00998750000144355,tijiao,0.007406140000966843,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,6.027777777777778,5.210664600002929,166.1166052999979,None,166.1166052999979,None,166.1166052999979,None,166.1166052999979,None,None,None,171.3417679999984,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,173.12092320000374,None,173.12092320000374,None,173.12092320000374,None,173.12092320000374,None,i,0.47733019999577664,173.12092320000374,None,173.12092320000374,None,173.63106820000394,None,173.63106820000394,None,173.63106820000394,None,173.63106820000394,None,173.63106820000394,None,173.63106820000394,None,173.91920209999807,None,173.91920209999807,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,175.23582439999882,None,42,55,46,51,46,30,177.74486009999964,None,5.0,1.7224324999988312,177.74486009999964,None,177.74486009999964,None,177.74486009999964,None,177.74486009999964,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,,,,,,,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,179.51929199999722,None,,,,,,,,,225,F,19,2023_Mar_19_1632,RL,2021.2.3,60.10991699582852,
