bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,value_expect_self,expectself.text,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,expectself.started,tijiao_click.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,66.26510119999875,66.26510119999875,space,19.246007199995802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
,,,,,,,,,,,85.54243180000049,85.54243180000049,s,25.44135919999826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,111.01438719999715,None,112.04463779999787,112.04463779999787,112.04463779999787,112.04463779999787,112.04463779999787,112.04463779999787,f,0.837869299997692,112.9344643000004,112.9344643000004,112.9344643000004,112.9344643000004,112.9344643000004,112.9344643000004,113.20965850000357,113.20965850000357,114.75493060000008,114.75493060000008,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,114.77443479999783,117.28122129999974,117.28122129999974,117.28122129999974,117.28122129999974,117.28122129999974,47,42,71,37,42,53,3.0,2.857969700002286,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,120.33048319999943,121.90167140000267,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,121.90167140000267,121.90167140000267,121.90167140000267,121.90167140000267,121.90167140000267,121.90167140000267,i,0.5783111000055214,122.50697519999812,122.50697519999812,122.50697519999812,122.50697519999812,122.50697519999812,122.50697519999812,122.79969320000237,122.79969320000237,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,123.64857399999892,,,,,,60,41,65,45,65,49,None,None,56,56,[-0.012037037037037037],[-0.28425925925925927],[1],[0],[0],[5.264704699999129],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],2.925925925925926,5.884152399994491,137.35885009999765,138.95552540000062,126.1787323000026,126.1787323000026,126.1787323000026,126.1787323000026,126.1787323000026,126.1787323000026,126.1787323000026,126.1787323000026,0.0053883000000496395,131.46336310000333,131.46336310000333,131.46336310000333,131.46336310000333,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,138.95552540000062,138.95552540000062,138.95552540000062,138.95552540000062,138.95552540000062,138.95552540000062,i,0.7485218000001623,139.73688160000165,139.73688160000165,139.73688160000165,139.73688160000165,139.73688160000165,139.73688160000165,140.03613649999897,140.03613649999897,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,141.39907400000084,,,,,,52,38,81,46,81,42,None,None,88,88,[-0.09814814814814815],[-0.28425925925925927],[1],[0],[0],[6.339135600006557],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],2.009259259259259,2.4947679999968386,152.78322389999812,154.52962660000048,143.9098234999983,143.9098234999983,143.9098234999983,143.9098234999983,143.9098234999983,143.9098234999983,143.9098234999983,143.9098234999983,0.006879799999296665,150.27040670000133,150.27040670000133,150.27040670000133,150.27040670000133,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,154.52962660000048,154.52962660000048,154.52962660000048,154.52962660000048,154.52962660000048,154.52962660000048,r,0.780488599993987,155.33493050000106,155.33493050000106,155.33493050000106,155.33493050000106,155.33493050000106,155.33493050000106,155.6270153000005,155.6270153000005,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,156.93957260000025,159.44875389999652,159.44875389999652,159.44875389999652,159.44875389999652,159.44875389999652,55,35,74,44,55,68,4.0,1.4113581999990856,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,160.88889490000292,162.7738931999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,162.7738931999993,162.7738931999993,162.7738931999993,162.7738931999993,162.7738931999993,162.7738931999993,j,0.4794830000028014,163.27784399999655,163.27784399999655,163.27784399999655,163.27784399999655,163.27784399999655,163.27784399999655,163.57188689999748,163.57188689999748,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,164.41904169999907,,,,,,56,43,67,36,36,69,None,None,,,[],[],[],[],[],[],[],0.6,1,78,[0.09166666666666666],[-0.2861111111111111],[1],[0],[0],[4.718096399999922],['tijiao'],1.0925925925925926,2.303059999998368,173.99219620000076,175.62203130000125,,,,,,,,,,171.67196870000043,171.67196870000043,171.67196870000043,171.67196870000043,166.9411626000001,166.9411626000001,166.9411626000001,166.9411626000001,166.9411626000001,166.9411626000001,166.9411626000001,166.9411626000001,0.006386399996699765,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,175.62203130000125,175.62203130000125,175.62203130000125,175.62203130000125,175.62203130000125,175.62203130000125,r,0.3653727999990224,176.0215836999996,176.0215836999996,176.0215836999996,176.0215836999996,176.0215836999996,176.0215836999996,176.32045230000222,176.32045230000222,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,177.94942959999753,,,,,,56,40,66,38,56,54,None,None,34,34,[0.05185185185185185],[-0.29444444444444445],[1],[0],[0],[7.088197500001115],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1.5648148148148147,1.9791294000024209,189.56628430000274,191.3624334999986,180.45978430000105,180.45978430000105,180.45978430000105,180.45978430000105,180.45978430000105,180.45978430000105,180.45978430000105,180.45978430000105,0.005630899999232497,187.5688031000027,187.5688031000027,187.5688031000027,187.5688031000027,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,191.3624334999986,191.3624334999986,191.3624334999986,191.3624334999986,191.3624334999986,191.3624334999986,r,0.6259887000051094,192.01134820000152,192.01134820000152,192.01134820000152,192.01134820000152,192.01134820000152,192.01134820000152,192.30999639999936,192.30999639999936,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,194.23803690000204,196.74712269999873,196.74712269999873,196.74712269999873,196.74712269999873,196.74712269999873,72,35,68,51,72,33,4.0,2.6921233999964898,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,199.46400469999935,201.13561990000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,201.13561990000017,201.13561990000017,201.13561990000017,201.13561990000017,201.13561990000017,201.13561990000017,f,0.6175421000007191,201.78589929999725,201.78589929999725,201.78589929999725,201.78589929999725,201.78589929999725,201.78589929999725,202.0833724999975,202.0833724999975,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,203.56265700000222,206.07179000000178,206.07179000000178,206.07179000000178,206.07179000000178,206.07179000000178,56,34,72,51,34,68,4.0,3.8558713999955216,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,209.95308970000042,211.8562832000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,f,18,2023-03-19_17h54.59.053,RL,2022.2.4,60.02440592236418,
