bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,,,,24.8515074,None,space,7.0171897,24.8515074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
,,,,,,,,,,,,,31.8999325,None,s,28.6688806,31.8999325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,60.6001741,None,None,None,None,None,None,61.685586,None,61.685586,None,61.685586,None,61.685586,None,j,0.4833782,61.685586,None,61.685586,None,62.281067,None,62.281067,None,62.281067,None,62.281067,None,62.281067,None,62.281067,None,62.5748929,64.2095634,62.5748929,64.2095634,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,64.3016061,None,28,53,42,73,73,68,66.9390352,None,5,2.3838531,66.9390352,None,66.9390352,None,66.9390352,None,66.9390352,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69.8834437,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,71.7021573,None,71.7021573,None,71.7021573,None,71.7021573,None,r,0.6666184,71.7021573,None,71.7021573,None,72.4078623,None,72.4078623,None,72.4078623,None,72.4078623,None,72.4078623,None,72.4078623,None,72.6984771,None,72.6984771,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,73.850941,None,47,47,57,72,47,62,76.3662949,None,2,1.070901,76.3662949,None,76.3662949,None,76.3662949,None,76.3662949,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,77.4852114,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,79.3080241,None,79.3080241,None,79.3080241,None,79.3080241,None,j,0.5508539,79.3080241,None,79.3080241,None,79.9109127,None,79.9109127,None,79.9109127,None,79.9109127,None,79.9109127,None,79.9109127,None,80.1871686,81.9385227,80.1871686,81.9385227,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,81.9745498,None,49,60,61,82,82,59,84.494519,None,6,1.4837812,84.494519,None,84.494519,None,84.494519,None,84.494519,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,86.0284301,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,87.8963991,None,87.8963991,None,87.8963991,None,87.8963991,None,f,0.8627491,87.8963991,None,87.8963991,None,88.8061812,None,88.8061812,None,88.8061812,None,88.8061812,None,88.8061812,None,88.8061812,None,89.0771023,89.8940219,89.0771023,89.8940219,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,89.9261518,None,40,52,60,76,52,37,92.4489654,None,6,0.8978674,92.4489654,None,92.4489654,None,92.4489654,None,92.4489654,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93.3981318,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,95.101846,None,95.101846,None,95.101846,None,95.101846,None,i,0.4171324,95.101846,None,95.101846,None,95.5684441,None,95.5684441,None,95.5684441,None,95.5684441,None,95.5684441,None,95.5684441,None,95.8648634,None,95.8648634,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,97.4983585,None,46,63,61,80,61,32,100.0214956,None,7,1.6496157,100.0214956,None,100.0214956,None,100.0214956,None,100.0214956,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101.718288,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,103.5581014,None,103.5581014,None,103.5581014,None,103.5581014,None,f,0.4709307,103.5581014,None,103.5581014,None,104.0812748,None,104.0812748,None,104.0812748,None,104.0812748,None,104.0812748,None,104.0812748,None,104.3707498,105.4714933,104.3707498,105.4714933,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,105.5054206,None,45,63,66,82,63,56,108.0192301,None,6,1.7209213,108.0192301,None,108.0192301,None,108.0192301,None,108.0192301,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,109.7929701,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,111.346826,None,111.346826,None,111.346826,None,111.346826,None,r,0.402297,111.346826,None,111.346826,None,111.7973256,None,111.7973256,None,111.7973256,None,111.7973256,None,111.7973256,None,111.7973256,None,112.0925425,None,112.0925425,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,113.4400053,None,37,65,56,74,37,44,115.9665391,None,3,0.5769391,115.9665391,None,115.9665391,None,115.9665391,None,115.9665391,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,116.5945796,None,,,,,,,,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,118.3661217,None,118.3661217,None,118.3661217,None,118.3661217,None,j,0.5531613,118.3661217,None,118.3661217,None,118.9706766,None,118.9706766,None,118.9706766,None,118.9706766,None,118.9706766,None,118.9706766,None,119.2642542,120.3987825,119.2642542,120.3987825,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,120.4309525,None,45,58,53,77,77,66,None,None,None,None,None,None,None,None,None,None,None,None,80,123.0226337,None,123.0226337,None,123.0226337,None,123.0226337,None,123.0226337,None,123.0226337,None,123.0226337,None,80,123.0226337,None,0.01076672,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,7.979166667,1.7696247,128.5130718,None,128.5130718,None,128.5130718,None,128.5130718,None,None,None,130.2882117,None,0.122395833,-0.329427083,1,0,0,5.4157732,tijiao,,,,,,,,,231,m,19,2023_Mar_21_0943,RL,2021.2.3,59.78794412
