bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,value_expect_self,expectself.text,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,expectself.started,tijiao_click.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,44.05786719999742,44.05786719999742,space,7.2680468000035034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
,,,,,,,,,,,51.351490300003206,51.351490300003206,s,31.234004600002663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,82.60875149999629,None,83.64478539999982,83.64478539999982,83.64478539999982,83.64478539999982,83.64478539999982,83.64478539999982,j,0.6391747000016039,84.32671059999848,84.32671059999848,84.32671059999848,84.32671059999848,84.32671059999848,84.32671059999848,84.60355650000565,84.60355650000565,85.94961239999975,85.94961239999975,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,85.96840379999776,88.47593739999866,88.47593739999866,88.47593739999866,88.47593739999866,88.47593739999866,39,73,37,45,45,75,5.0,2.874595599991153,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,91.53376910000225,93.44562909999513,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,93.44562909999513,93.44562909999513,93.44562909999513,93.44562909999513,93.44562909999513,93.44562909999513,f,0.43868530000327155,93.91689920000499,93.91689920000499,93.91689920000499,93.91689920000499,93.91689920000499,93.91689920000499,94.21055210000486,94.21055210000486,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,96.20505839999532,,,,,,40,73,47,39,73,46,None,None,89,89,[0.03888888888888889],[-0.30185185185185187],[1],[0],[0],[6.775978799996665],['tijiao'],0.2,0,,[],[],[],[],[],[],[],8.944444444444445,3.7226259000017308,109.2679477000056,110.99788830000034,98.72958929999731,98.72958929999731,98.72958929999731,98.72958929999731,98.72958929999731,98.72958929999731,98.72958929999731,98.72958929999731,0.005669899997883476,105.53440679999767,105.53440679999767,105.53440679999767,105.53440679999767,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,110.99788830000034,110.99788830000034,110.99788830000034,110.99788830000034,110.99788830000034,110.99788830000034,r,0.7644241999951191,111.7958132000058,111.7958132000058,111.7958132000058,111.7958132000058,111.7958132000058,111.7958132000058,112.09501229999296,112.09501229999296,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,114.05630490000476,116.5654962999979,116.5654962999979,116.5654962999979,116.5654962999979,116.5654962999979,45,66,38,41,45,46,6.0,2.1594687000033446,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,118.74869059999764,120.3887798999931,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,120.3887798999931,120.3887798999931,120.3887798999931,120.3887798999931,120.3887798999931,120.3887798999931,i,1.1895641000010073,121.60832539999683,121.60832539999683,121.60832539999683,121.60832539999683,121.60832539999683,121.60832539999683,121.9017262999987,121.9017262999987,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,122.89857439999469,,,,,,46,72,33,48,33,27,None,None,68,68,[0.0],[-0.28703703703703703],[1],[0],[0],[5.69069909999962],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],8.018518518518519,3.5587362999940524,134.6986678999965,136.34482779999962,125.41009789999225,125.41009789999225,125.41009789999225,125.41009789999225,125.41009789999225,125.41009789999225,125.41009789999225,125.41009789999225,0.007019000011496246,131.12136520000058,131.12136520000058,131.12136520000058,131.12136520000058,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,136.34482779999962,136.34482779999962,136.34482779999962,136.34482779999962,136.34482779999962,136.34482779999962,i,1.007940099996631,137.3760784000042,137.3760784000042,137.3760784000042,137.3760784000042,137.3760784000042,137.3760784000042,137.67493449999893,137.67493449999893,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,138.95514849999745,141.46404489999986,141.46404489999986,141.46404489999986,141.46404489999986,141.46404489999986,39,59,45,46,45,67,4.0,2.359531199996127,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,143.85058679999202,145.81932029999734,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,145.81932029999734,145.81932029999734,145.81932029999734,145.81932029999734,145.81932029999734,145.81932029999734,r,0.7346241999912309,146.58409439999377,146.58409439999377,146.58409439999377,146.58409439999377,146.58409439999377,146.58409439999377,146.8830658999941,146.8830658999941,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,148.37917240000388,150.88861700000416,150.88861700000416,150.88861700000416,150.88861700000416,150.88861700000416,46,53,39,46,46,71,4.0,2.809165099999518,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,153.7195728999941,155.4431998999935,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,155.4431998999935,155.4431998999935,155.4431998999935,155.4431998999935,155.4431998999935,155.4431998999935,j,1.2465595999965444,156.70660399999178,156.70660399999178,156.70660399999178,156.70660399999178,156.70660399999178,156.70660399999178,157.00554670000565,157.00554670000565,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,158.88520780000545,,,,,,41,60,36,51,51,79,None,None,72,72,[0.025],[-0.28888888888888886],[1],[0],[0],[8.881615799997235],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],6.9907407407407405,3.525065199995879,173.84190830000443,175.68795949999185,161.3953138999932,161.3953138999932,161.3953138999932,161.3953138999932,161.3953138999932,161.3953138999932,161.3953138999932,161.3953138999932,0.007404199990560301,170.29795799999556,170.29795799999556,170.29795799999556,170.29795799999556,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,175.68795949999185,175.68795949999185,175.68795949999185,175.68795949999185,175.68795949999185,175.68795949999185,f,0.9784893000032753,176.68536180000228,176.68536180000228,176.68536180000228,176.68536180000228,176.68536180000228,176.68536180000228,176.9842815000011,176.9842815000011,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,178.2644702999969,,,,,,49,66,44,50,66,51,None,None,78,78,[-0.012962962962962963],[-0.2722222222222222],[1],[0],[0],[6.154847899990273],['tijiao'],0.2,0,,[],[],[],[],[],[],[],6.027777777777778,2.1452088999940315,189.1168192000041,190.96300489999703,180.77635060000466,180.77635060000466,180.77635060000466,180.77635060000466,180.77635060000466,180.77635060000466,180.77635060000466,180.77635060000466,0.007564799991087057,186.95295700000133,186.95295700000133,186.95295700000133,186.95295700000133,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,190.96300489999703,190.96300489999703,190.96300489999703,190.96300489999703,190.96300489999703,190.96300489999703,i,0.4503814999916358,191.44564930000342,191.44564930000342,191.44564930000342,191.44564930000342,191.44564930000342,191.44564930000342,191.744082899997,191.744082899997,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,192.9243504000042,,,,,,49,57,46,52,46,61,None,None,46,46,[-0.006481481481481481],[-0.30925925925925923],[1],[0],[0],[3.080531899991911],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],7.0092592592592595,2.5416645999939647,201.10085299999628,202.92976179999823,195.43611539999256,195.43611539999256,195.43611539999256,195.43611539999256,195.43611539999256,195.43611539999256,195.43611539999256,195.43611539999256,0.007590100009110756,198.54031810000015,198.54031810000015,198.54031810000015,198.54031810000015,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,9,9,9,,,,,,,,,,None,202.92976179999823,202.92976179999823,202.92976179999823,202.92976179999823,202.92976179999823,202.92976179999823,j,0.36144530000456143,203.31375139999727,203.31375139999727,203.31375139999727,203.31375139999727,203.31375139999727,203.31375139999727,203.61196959999506,203.61196959999506,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,205.5400379999919,208.04882830000133,208.04882830000133,208.04882830000133,208.04882830000133,208.04882830000133,48,65,41,54,54,64,3.0,1.8775830999948084,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,209.95166560000507,211.5899703000032,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,None,211.5899703000032,211.5899703000032,211.5899703000032,211.5899703000032,211.5899703000032,211.5899703000032,i,1.1716385999898193,212.78716120000172,212.78716120000172,212.78716120000172,212.78716120000172,212.78716120000172,212.78716120000172,213.08618929999648,213.08618929999648,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,214.1495234000031,,,,,,57,58,43,50,43,60,None,None,,,[],[],[],[],[],[],[],0.6,1,60,[-0.005555555555555556],[-0.2962962962962963],[1],[0],[0],[4.454589900007704],['tijiao'],6.083333333333333,2.0544284999923548,223.20727949999855,224.82036549999611,,,,,,,,,,221.13493529999687,221.13493529999687,221.13493529999687,221.13493529999687,216.66916960000526,216.66916960000526,216.66916960000526,216.66916960000526,216.66916960000526,216.66916960000526,216.66916960000526,216.66916960000526,0.005857399999513291,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,11,11,11,,,,,,,,,,None,224.82036549999611,224.82036549999611,224.82036549999611,224.82036549999611,224.82036549999611,224.82036549999611,f,1.0387494000024162,225.88457739999285,225.88457739999285,225.88457739999285,225.88457739999285,225.88457739999285,225.88457739999285,226.18365229999472,226.18365229999472,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,228.02847380000458,230.53785740000603,230.53785740000603,230.53785740000603,230.53785740000603,230.53785740000603,53,59,38,52,59,65,3.0,2.2261695000051986,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,232.78949439999997,234.7767290000047,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,None,234.7767290000047,234.7767290000047,234.7767290000047,234.7767290000047,234.7767290000047,234.7767290000047,r,1.0220839000103297,235.8268270999979,235.8268270999979,235.8268270999979,235.8268270999979,235.8268270999979,235.8268270999979,236.12332600000082,236.12332600000082,238.00106680000317,238.00106680000317,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,238.0178464000055,,,,,,39,55,39,44,39,68,None,None,,,[],[],[],[],[],[],[],-0.6,1,39,[0.05648148148148148],[-0.3],[1],[0],[0],[3.637246199999936],['tijiao'],4.981481481481481,2.635703400010243,246.84277160000056,248.65511769999284,,,,,,,,,,244.18864659999963,244.18864659999963,244.18864659999963,244.18864659999963,240.5382244999928,240.5382244999928,240.5382244999928,240.5382244999928,240.5382244999928,240.5382244999928,240.5382244999928,240.5382244999928,0.0058642000076361,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
0,0.3,0.225,0,13,13,13,,,,,,,,,,None,248.65511769999284,248.65511769999284,248.65511769999284,248.65511769999284,248.65511769999284,248.65511769999284,i,0.4204233999917051,249.10578589999932,249.10578589999932,249.10578589999932,249.10578589999932,249.10578589999932,249.10578589999932,249.40360150000197,249.40360150000197,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,250.71664299999247,253.22574069999973,253.22574069999973,253.22574069999973,253.22574069999973,253.22574069999973,54,54,44,57,44,67,2.0,2.110120999990613,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,255.36240499999258,256.96608600000036,,,,,,,,,,,,,,,,,,,,,,,,,,232,f,26,2023-03-21_09h43.20.387,RL,2022.2.4,60.14404498881359,
