trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,24.6566051,None,space,31.6208766,24.6566051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
,,,,,,,,,,56.3080352,None,s,21.216648,56.3080352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,0,0,,,,,,,,,,,,,77.5554033,None,None,None,None,None,None,78.5908971,None,78.5908971,None,78.5908971,None,78.5908971,None,r,0.17365,78.5908971,None,78.5908971,None,78.8152283,None,78.8152283,None,78.8152283,None,78.8152283,None,78.8152283,None,78.8152283,None,79.1105359,None,79.1105359,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,80.015822,None,35,67,60,54,35,50,None,None,None,None,None,None,None,None,None,None,None,None,30,82.5582669,None,30,82.5582669,None,82.5582669,None,82.5582669,None,82.5582669,None,82.5582669,None,82.5582669,None,82.5582669,None,-0.022135417,-0.252604167,1,0,0,5.7596856,tijiao,0.00501245,None,82.5582669,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,1.130208333,3.6615674,88.3725673,None,88.3725673,None,88.3725673,None,88.3725673,None,None,None,92.0554438,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,93.7747176,None,93.7747176,None,93.7747176,None,93.7747176,None,r,0.509928,93.7747176,None,93.7747176,None,94.3303552,None,94.3303552,None,94.3303552,None,94.3303552,None,94.3303552,None,94.3303552,None,94.6217859,95.8890502,94.6217859,95.8890502,95.923312,None,95.923312,None,95.923312,None,95.923312,None,95.923312,None,95.923312,None,95.923312,None,95.923312,None,95.923312,None,33,64,66,51,33,23,None,None,None,None,None,None,None,None,None,None,None,None,20,98.4560446,None,20,98.4560446,None,98.4560446,None,98.4560446,None,98.4560446,None,98.4560446,None,98.4560446,None,98.4560446,None,-0.106770833,-0.278645833,1,0,0,7.6991102,tijiao,0.00953695,None,98.4560446,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,1.9375,3.117565,106.2012035,None,106.2012035,None,106.2012035,None,106.2012035,None,None,None,109.3316471,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,111.1707464,None,111.1707464,None,111.1707464,None,111.1707464,None,j,0.7444852,111.1707464,None,111.1707464,None,111.9631442,None,111.9631442,None,111.9631442,None,111.9631442,None,111.9631442,None,111.9631442,None,112.2337379,113.5682416,112.2337379,113.5682416,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,113.6182635,None,36,69,74,52,52,54,116.1411705,None,4,3.5056528,116.1411705,None,116.1411705,None,116.1411705,None,116.1411705,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,119.702794,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,121.6765684,None,121.6765684,None,121.6765684,None,121.6765684,None,r,0.3289704,121.6765684,None,121.6765684,None,122.0482536,None,122.0482536,None,122.0482536,None,122.0482536,None,122.0482536,None,122.0482536,None,122.340358,123.7415517,122.340358,123.7415517,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,123.7736308,None,29,64,61,59,29,52,126.2986791,None,2,2.6343217,126.2986791,None,126.2986791,None,126.2986791,None,126.2986791,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,128.994503,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,130.9337384,None,130.9337384,None,130.9337384,None,130.9337384,None,None,,130.9337384,None,130.9337384,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23,61,65,50,0,**,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,132.5327382,None,138.5353345,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,140.2398931,None,140.2398931,None,140.2398931,None,140.2398931,None,i,0.3253939,140.2398931,None,140.2398931,None,140.613493,None,140.613493,None,140.613493,None,140.613493,None,140.613493,None,140.613493,None,140.9035978,None,140.9035978,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,142.2698634,None,24,65,58,51,58,36,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,1,144.8127002,None,144.8127002,None,144.8127002,None,144.8127002,None,144.8127002,None,144.8127002,None,20,144.8127002,None,144.8127002,None,0.00247555,None,144.8127002,None,1.846354167,1.8117097,150.1197795,None,150.1197795,None,150.1197795,None,150.1197795,None,None,None,151.9441471,None,-0.111979167,-0.295572917,1,0,0,5.2734759,tijiao_random_2,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
1,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,153.5992765,None,153.5992765,None,153.5992765,None,153.5992765,None,f,0.2757164,153.5992765,None,153.5992765,None,153.9225373,None,153.9225373,None,153.9225373,None,153.9225373,None,153.9225373,None,153.9225373,None,154.2128796,155.2468152,154.2128796,155.2468152,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,155.2799556,None,26,58,65,58,58,70,157.8027706,None,2,2.2326998,157.8027706,None,157.8027706,None,157.8027706,None,157.8027706,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,160.0867272,None,,,,,,,,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
0,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,161.6042336,None,161.6042336,None,161.6042336,None,161.6042336,None,j,0.4509061,161.6042336,None,161.6042336,None,162.1059502,None,162.1059502,None,162.1059502,None,162.1059502,None,162.1059502,None,162.1059502,None,162.4017643,None,162.4017643,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,163.5334679,None,22,56,69,57,57,61,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,1,166.0847571,None,166.0847571,None,166.0847571,None,166.0847571,None,166.0847571,None,166.0847571,None,20,166.0847571,None,166.0847571,None,0.0114929,None,166.0847571,None,1.9375,2.2332236,170.9793697,None,170.9793697,None,170.9793697,None,170.9793697,None,None,None,173.2410185,None,-0.061197917,-0.266927083,1,0,0,4.8652697,tijiao_random_2,,,,,,,233,f,22,2023_Mar_21_1053,RL,2021.2.3,59.98890206
