trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,36.2798849,None,space,2.4283601,36.2798849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
,,,,,,,,,,38.73937,None,s,25.6585401,38.73937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,0,0,,,,,,,,,,,,,64.4436004,None,None,None,None,None,None,65.4783139,None,65.4783139,None,65.4783139,None,65.4783139,None,r,0.2996696,65.4783139,None,65.4783139,None,65.827405,None,65.827405,None,65.827405,None,65.827405,None,65.827405,None,65.827405,None,66.112067,66.929242,66.112067,66.929242,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,66.9716187,None,63,63,44,37,63,32,None,None,None,None,None,None,None,None,None,None,None,None,38,69.5163442,None,38,69.5163442,None,69.5163442,None,69.5163442,None,69.5163442,None,69.5163442,None,69.5163442,None,69.5163442,None,-0.06640625,-0.268229167,1,0,0,17.1267491,tijiao,0.01403714,None,69.5163442,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,1.013020833,2.5420092,86.6976058,None,86.6976058,None,86.6976058,None,86.6976058,None,None,None,89.2788561,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,1,0,,,,,,,,,,,,,,,None,None,None,None,None,90.8669824,None,90.8669824,None,90.8669824,None,90.8669824,None,f,0.3110694,90.8669824,None,90.8669824,None,91.2263228,None,91.2263228,None,91.2263228,None,91.2263228,None,91.2263228,None,91.2263228,None,91.5131351,None,91.5131351,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,92.3483007,None,55,63,47,41,63,67,94.8709458,None,4,2.7499796,94.8709458,None,94.8709458,None,94.8709458,None,94.8709458,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,97.6871055,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,2,0,,,,,,,,,,,,,,,None,None,None,None,None,99.6724557,None,99.6724557,None,99.6724557,None,99.6724557,None,i,0.3056178,99.6724557,None,99.6724557,None,100.0216718,None,100.0216718,None,100.0216718,None,100.0216718,None,100.0216718,None,100.0216718,None,100.3189732,None,100.3189732,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,101.4700802,None,58,55,36,37,36,50,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,1,104.0188883,None,104.0188883,None,104.0188883,None,104.0188883,None,104.0188883,None,104.0188883,None,25,104.0188883,None,104.0188883,None,0.01281072,None,104.0188883,None,1,2.8423061,115.025211,None,115.025211,None,115.025211,None,115.025211,None,None,None,117.8806839,None,-0.026041667,-0.287760417,1,0,0,10.9717726,tijiao_random_2,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,3,0,,,,,,,,,,,,,,,None,None,None,None,None,119.6361418,None,119.6361418,None,119.6361418,None,119.6361418,None,j,0.2830855,119.6361418,None,119.6361418,None,119.970925,None,119.970925,None,119.970925,None,119.970925,None,119.970925,None,119.970925,None,120.2663258,121.3169557,120.2663258,121.3169557,121.351111,None,121.351111,None,121.351111,None,121.351111,None,121.351111,None,121.351111,None,121.351111,None,121.351111,None,121.351111,None,56,39,45,32,32,55,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,1,123.8953283,None,123.8953283,None,123.8953283,None,123.8953283,None,123.8953283,None,123.8953283,None,17,123.8953283,None,123.8953283,None,0.01349092,None,123.8953283,None,1,1.5486927,131.8136727,None,131.8136727,None,131.8136727,None,131.8136727,None,None,None,133.3901029,None,-0.079427083,-0.263020833,1,0,0,7.8870567,tijiao_random_2,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,4,0,,,,,,,,,,,,,,,None,None,None,None,None,135.2469125,None,135.2469125,None,135.2469125,None,135.2469125,None,r,0.3224824,135.2469125,None,135.2469125,None,135.6143861,None,135.6143861,None,135.6143861,None,135.6143861,None,135.6143861,None,135.6143861,None,135.9105979,None,135.9105979,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,137.7257615,None,60,55,38,39,60,37,140.2434179,None,5,2.1680866,140.2434179,None,140.2434179,None,140.2434179,None,140.2434179,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,142.4678685,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,5,0,,,,,,,,,,,,,,,None,None,None,None,None,144.4539558,None,144.4539558,None,144.4539558,None,144.4539558,None,j,0.5154513,144.4539558,None,144.4539558,None,145.0236498,None,145.0236498,None,145.0236498,None,145.0236498,None,145.0236498,None,145.0236498,None,145.3170205,146.9018752,145.3170205,146.9018752,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,146.9387118,None,58,52,36,30,30,52,149.4577645,None,2,3.4688765,149.4577645,None,149.4577645,None,149.4577645,None,149.4577645,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,152.9768313,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
1,0,6,0,,,,,,,,,,,,,,,None,None,None,None,None,154.8440311,None,154.8440311,None,154.8440311,None,154.8440311,None,i,0.3056443,154.8440311,None,154.8440311,None,155.1971457,None,155.1971457,None,155.1971457,None,155.1971457,None,155.1971457,None,155.1971457,None,155.4907795,156.9921104,155.4907795,156.9921104,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,157.0290376,None,57,54,50,32,50,46,159.5403251,None,4,4.1088532,159.5403251,None,159.5403251,None,159.5403251,None,159.5403251,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,163.7016065,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
0,0,7,0,,,,,,,,,,,,,,,None,None,None,None,None,165.601119,None,165.601119,None,165.601119,None,165.601119,None,f,0.3285098,165.601119,None,165.601119,None,165.9714629,None,165.9714629,None,165.9714629,None,165.9714629,None,165.9714629,None,165.9714629,None,166.2650319,167.2322415,166.2650319,167.2322415,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,167.2666899,None,54,52,35,31,52,54,169.7842672,None,4,3.469718,169.7842672,None,169.7842672,None,169.7842672,None,169.7842672,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,None,None,None,None,0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,173.3175275,None,,,,,,,,,237,f,22,2023_Mar_21_1515,RL,2021.2.3,59.84515664
