trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,59.3281057,59.3281057,space,12.0501198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
,,,,,,,,71.4164578,71.4164578,s,17.0412461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,0,0,,,,,,,,,88.478999,None,89.4931554,89.4931554,89.4931554,89.4931554,89.4931554,89.4931554,r,0.3179814,89.8543036,89.8543036,89.8543036,89.8543036,89.8543036,89.8543036,90.1409728,90.1409728,92.1187833,92.1187833,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,92.1362831,94.6449748,94.6449748,94.6449748,94.6449748,94.6449748,55,43,46,56,55,50,6,2.8238923,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,97.5433746,99.1659178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,1,0,,,,,,,,,,None,99.1659178,99.1659178,99.1659178,99.1659178,99.1659178,99.1659178,j,0.3467034,99.5369794,99.5369794,99.5369794,99.5369794,99.5369794,99.5369794,99.8313418,99.8313418,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,100.8950121,,,,,,40,32,38,69,69,69,None,None,67,67,[0.025925925925925925],[-0.2851851851851852],[1],[0],[0],[5.423003500007326],['tijiao'],0.6,0,,[],[],[],[],[],[],[],7.935185185,2.1799694,111.0495526,112.6627283,103.4164682,103.4164682,103.4164682,103.4164682,103.4164682,103.4164682,103.4164682,103.4164682,0.0073416,103.4164682,108.8582274,108.8582274,108.8582274,108.8582274,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,2,0,,,,,,,,,,None,112.6627283,112.6627283,112.6627283,112.6627283,112.6627283,112.6627283,j,0.348069,113.0287404,113.0287404,113.0287404,113.0287404,113.0287404,113.0287404,113.3277343,113.3277343,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,115.1392418,117.6484733,117.6484733,117.6484733,117.6484733,117.6484733,54,34,31,67,67,46,7,1.5618924,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,119.2367287,121.172799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,3,0,,,,,,,,,,None,121.172799,121.172799,121.172799,121.172799,121.172799,121.172799,i,0.421223,121.6259782,121.6259782,121.6259782,121.6259782,121.6259782,121.6259782,121.9207048,121.9207048,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,123.6661439,,,,,,34,37,38,66,38,63,None,None,,,[],[],[],[],[],[],[],0.6,1,65,[0.032407407407407406],[-0.2916666666666667],[1],[0],[0],[6.680279199994402],['tijiao_random_2'],8.046296296,3.5987479,136.4966732,138.3094025,,,,,,,,,,,132.8798094,132.8798094,132.8798094,132.8798094,126.1892213,126.1892213,126.1892213,126.1892213,126.1892213,126.1892213,126.1892213,126.1892213,0.0068268,126.1892213,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,4,0,,,,,,,,,,None,138.3094025,138.3094025,138.3094025,138.3094025,138.3094025,138.3094025,f,0.2743364,138.6146444,138.6146444,138.6146444,138.6146444,138.6146444,138.6146444,138.9079122,138.9079122,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,140.619973,143.1289267,143.1289267,143.1289267,143.1289267,143.1289267,29,37,26,68,37,44,5,3.7721983,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,146.9279134,148.6644977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,5,0,,,,,,,,,,None,148.6644977,148.6644977,148.6644977,148.6644977,148.6644977,148.6644977,r,0.6595525,149.346396,149.346396,149.346396,149.346396,149.346396,149.346396,149.6453004,149.6453004,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,151.2742508,,,,,,40,36,30,69,40,68,None,None,41,41,"[0.05648148148148148, 0.05462962962962963]","[-0.2462962962962963, -0.2777777777777778]","[1, 1]","[0, 0]","[0, 0]","[3.281190499998047, 4.211836099988432]",['tijiao'],0.2,0,,[],[],[],[],[],[],[],10.0462963,2.9944989,161.0296899,162.9586951,153.7841189,153.7841189,153.7841189,153.7841189,153.7841189,153.7841189,153.7841189,153.7841189,0.0058817,153.7841189,158.0162525,158.0162525,158.0162525,158.0162525,,,,,,,,,,,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
1,0,6,0,,,,,,,,,,None,162.9586951,162.9586951,162.9586951,162.9586951,162.9586951,162.9586951,i,0.4718419,163.45769,163.45769,163.45769,163.45769,163.45769,163.45769,163.7570488,163.7570488,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,165.5686499,,,,,,40,31,17,67,17,48,None,None,,,[],[],[],[],[],[],[],0.2,1,19,[0.06111111111111111],[-0.3148148148148148],[1],[0],[0],[6.646757299997262],['tijiao_random_2'],6.009259259,2.5186975,177.2852707,179.2309911,,,,,,,,,,,174.7480316,174.7480316,174.7480316,174.7480316,168.0872598,168.0872598,168.0872598,168.0872598,168.0872598,168.0872598,168.0872598,168.0872598,0.0058892,168.0872598,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
0,0,7,0,,,,,,,,,,None,179.2309911,179.2309911,179.2309911,179.2309911,179.2309911,179.2309911,i,0.235033,179.4975813,179.4975813,179.4975813,179.4975813,179.4975813,179.4975813,179.7964899,179.7964899,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,180.6608193,,,,,,31,21,30,65,30,56,None,None,,,[],[],[],[],[],[],[],0.2,1,37,[-0.023148148148148147],[-0.2898148148148148],[1],[0],[0],[8.908848399994895],['tijiao_random_2'],5.953703704,3.0678834,195.1864444,197.0158778,,,,,,,,,,,192.0999825,192.0999825,192.0999825,192.0999825,183.1780711,183.1780711,183.1780711,183.1780711,183.1780711,183.1780711,183.1780711,183.1780711,0.0060548,183.1780711,,,,,,,238,f,23,2023-03-21_15h15.13.561,RL,2022.2.4,60.27814749
