trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,60.1705196,60.1705196,space,11.4639899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
,,,,,,,,71.660896,71.660896,s,13.7577214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
1,0,0,0,,,,,,,,,85.4494292,None,86.4631092,86.4631092,86.4631092,86.4631092,86.4631092,86.4631092,i,0.3097575,86.8085439,86.8085439,86.8085439,86.8085439,86.8085439,86.8085439,87.0947736,87.0947736,88.1247606,88.1247606,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,88.1434854,51,64,51,25,51,61,None,None,,,[],[],[],[],[],[],[],0.2,1,90.6650146,90.6650146,90.6650146,90.6650146,90.6650146,90.6650146,90.6650146,90.6650146,0.0073334,90.6650146,60,[-0.04814814814814815],[-0.2814814814814815],[1],[0],[0],[6.529849999991711],['tijiao_random_2'],97.2120265,97.2120265,97.2120265,97.2120265,7.027777778,2.8507783,100.1139749,102.0535245,,,,,,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
0,0,1,0,,,,,,,,,,None,102.0535245,102.0535245,102.0535245,102.0535245,102.0535245,102.0535245,f,0.602147,102.6906943,102.6906943,102.6906943,102.6906943,102.6906943,102.6906943,102.9843789,102.9843789,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,104.8958351,53,54,49,29,54,71,None,None,,,[],[],[],[],[],[],[],-0.6,1,107.4132287,107.4132287,107.4132287,107.4132287,107.4132287,107.4132287,107.4132287,107.4132287,0.0058583,107.4132287,63,[-0.019444444444444445],[-0.30092592592592593],[1],[0],[0],[5.584656000006362],['tijiao_random_2'],113.0106856,113.0106856,113.0106856,113.0106856,7.009259259,2.4044781,115.4325512,117.2948187,,,,,,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
1,0,2,0,,,,,,,,,,None,117.2948187,117.2948187,117.2948187,117.2948187,117.2948187,117.2948187,f,0.443094,117.7608616,117.7608616,117.7608616,117.7608616,117.7608616,117.7608616,118.0601147,118.0601147,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,119.1569431,62,54,49,38,54,38,5,2.4586881,,,[],[],[],[],[],[],[],-0.6,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,124.1502678,125.9880345,121.6665089,121.6665089,121.6665089,121.6665089,121.6665089,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
0,0,3,0,,,,,,,,,,None,125.9880345,125.9880345,125.9880345,125.9880345,125.9880345,125.9880345,i,0.4332413,126.4538748,126.4538748,126.4538748,126.4538748,126.4538748,126.4538748,126.7529295,126.7529295,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,128.5812703,59,50,54,27,54,55,None,None,54,54,[0.03148148148148148],[-0.29814814814814816],[1],[0],[0],[5.773210500003188],['tijiao'],0.2,0,,,,,,,,,,,,[],[],[],[],[],[],[],136.886807,136.886807,136.886807,136.886807,8.101851852,2.6282498,139.5336386,141.5457305,,,,,,131.0974918,131.0974918,131.0974918,131.0974918,131.0974918,131.0974918,131.0974918,131.0974918,0.0079817,131.0974918,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
1,0,4,0,,,,,,,,,,None,141.5457305,141.5457305,141.5457305,141.5457305,141.5457305,141.5457305,j,0.4139048,141.9844003,141.9844003,141.9844003,141.9844003,141.9844003,141.9844003,142.2773357,142.2773357,143.7398125,143.7398125,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,143.7564188,63,46,60,29,29,63,None,None,39,39,[0.06481481481481481],[-0.3],[1],[0],[0],[4.728526000006241],['tijiao'],-0.2,0,,,,,,,,,,,,[],[],[],[],[],[],[],151.0172048,151.0172048,151.0172048,151.0172048,4.972222222,3.2076867,154.2435887,156.2222035,,,,,,146.2666643,146.2666643,146.2666643,146.2666643,146.2666643,146.2666643,146.2666643,146.2666643,0.0053688,146.2666643,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
0,0,5,0,,,,,,,,,,None,156.2222035,156.2222035,156.2222035,156.2222035,156.2222035,156.2222035,f,0.396189,156.6382832,156.6382832,156.6382832,156.6382832,156.6382832,156.6382832,156.9373668,156.9373668,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,158.3996829,72,48,53,30,48,55,None,None,,,[],[],[],[],[],[],[],0.2,1,160.9165085,160.9165085,160.9165085,160.9165085,160.9165085,160.9165085,160.9165085,160.9165085,0.0059251,160.9165085,50,[-0.002777777777777778],[-0.2972222222222222],[1],[0],[0],[4.205769200008945],['tijiao_random_2'],165.1349507,165.1349507,165.1349507,165.1349507,5.842592593,2.9018661,168.0556378,169.7186691,,,,,,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
1,0,6,0,,,,,,,,,,None,169.7186691,169.7186691,169.7186691,169.7186691,169.7186691,169.7186691,r,0.2889544,170.040997,170.040997,170.040997,170.040997,170.040997,170.040997,170.3342224,170.3342224,171.6635696,171.6635696,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,171.6799619,71,49,49,38,71,64,None,None,69,69,[0.03425925925925926],[-0.3148148148148148],[1],[0],[0],[5.6592158999992535],['tijiao'],-0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],179.8696166,179.8696166,179.8696166,179.8696166,6.925925926,3.1598002,183.0481374,184.860767,,,,,,174.190578,174.190578,174.190578,174.190578,174.190578,174.190578,174.190578,174.190578,0.0054414,174.190578,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
0,0,7,0,,,,,,,,,,None,184.860767,184.860767,184.860767,184.860767,184.860767,184.860767,i,0.544665,185.4261798,185.4261798,185.4261798,185.4261798,185.4261798,185.4261798,185.7254698,185.7254698,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,186.7387753,68,53,42,36,42,74,1,2.1094241,,,[],[],[],[],[],[],[],0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,191.3826176,192.9052143,189.2482399,189.2482399,189.2482399,189.2482399,189.2482399,,,,,,,,,,,,,,,,,239,f,18,2023-03-21_16h55.55.236,RL,2022.2.4,60.18447746
