bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,expectself.text,expectself.started,expectself.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,tijiao_click.started,tijiao_click.stopped,check.started,check.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,check_2.started,check_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,25.05539009999484,None,space,5.668323999969289,25.05539009999484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
,,,,,,,,,,,,,30.760711399954744,None,s,25.132446100004017,30.760711399954744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,,,,,55.927802499965765,None,None,None,None,None,None,57.04861980001442,None,57.04861980001442,None,57.04861980001442,None,57.04861980001442,None,r,0.7345151000190526,57.04861980001442,None,57.04861980001442,None,57.919345399946906,None,57.919345399946906,None,57.919345399946906,None,57.919345399946906,None,57.919345399946906,None,57.919345399946906,None,58.21039489994291,None,58.21039489994291,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,59.40398099995218,None,37,60,26,55,37,48,62.033452400006354,None,2.0,2.0547793000005186,62.033452400006354,None,62.033452400006354,None,62.033452400006354,None,62.033452400006354,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64.75283040001523,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
0,0.3,0.225,0,1,1,1,,,,,,,,,,,,,,,None,None,None,None,None,66.45575740002096,None,66.45575740002096,None,66.45575740002096,None,66.45575740002096,None,f,0.6974622000707313,66.45575740002096,None,66.45575740002096,None,67.19968379999045,None,67.19968379999045,None,67.19968379999045,None,67.19968379999045,None,67.19968379999045,None,67.19968379999045,None,67.48321990005206,68.43412860005628,67.48321990005206,68.43412860005628,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,68.46720870002173,None,45,54,33,54,54,44,None,None,None,None,None,None,None,None,None,None,None,None,60,71.07377260003705,None,60,71.07377260003705,None,71.07377260003705,None,71.07377260003705,None,71.07377260003705,None,71.07377260003705,None,71.07377260003705,None,71.07377260003705,None,0.014035960077308118,None,71.07377260003705,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,1.15625,3.0390316999983042,78.5069445000263,None,78.5069445000263,None,78.5069445000263,None,78.5069445000263,None,None,None,81.55902859999333,None,0.07552083333333333,-0.2877604166666667,1,0,0,7.336277199909091,tijiao,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,,,,,,None,None,None,None,None,83.0819174000062,None,83.0819174000062,None,83.0819174000062,None,83.0819174000062,None,i,0.4116394999437034,83.0819174000062,None,83.0819174000062,None,83.53649730002508,None,83.53649730002508,None,83.53649730002508,None,83.53649730002508,None,83.53649730002508,None,83.53649730002508,None,83.82804960000794,None,83.82804960000794,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,85.71324279997498,None,36,54,32,58,32,56,88.23607420001645,None,1.0,1.8510204999474809,88.23607420001645,None,88.23607420001645,None,88.23607420001645,None,88.23607420001645,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.14445120003074,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
0,0.3,0.225,0,3,3,3,,,,,,,,,,,,,,,None,None,None,None,None,91.93816310004331,None,91.93816310004331,None,91.93816310004331,None,91.93816310004331,None,j,0.5752968000015244,91.93816310004331,None,91.93816310004331,None,92.56077980005648,None,92.56077980005648,None,92.56077980005648,None,92.56077980005648,None,92.56077980005648,None,92.56077980005648,None,92.85103819996584,94.43552299996372,92.85103819996584,94.43552299996372,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,94.47003159997985,None,43,54,30,52,52,32,96.99159550003242,None,7.0,2.665630599949509,96.99159550003242,None,96.99159550003242,None,96.99159550003242,None,96.99159550003242,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99.71227050002199,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,,,,,,None,None,None,None,None,101.37802619999275,None,101.37802619999275,None,101.37802619999275,None,101.37802619999275,None,j,0.37537459994200617,101.37802619999275,None,101.37802619999275,None,101.79602620005608,None,101.79602620005608,None,101.79602620005608,None,101.79602620005608,None,101.79602620005608,None,101.79602620005608,None,102.09057430003304,None,102.09057430003304,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,103.54023729998153,None,46,54,28,49,49,47,106.06386240001302,None,7.0,1.7161968998843804,106.06386240001302,None,106.06386240001302,None,106.06386240001302,None,106.06386240001302,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,107.83134529995732,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
0,0.3,0.225,0,5,5,5,,,,,,,,,,,,,,,None,None,None,None,None,109.51671879994683,None,109.51671879994683,None,109.51671879994683,None,109.51671879994683,None,r,0.4868011000799015,109.51671879994683,None,109.51671879994683,None,110.05245199997444,None,110.05245199997444,None,110.05245199997444,None,110.05245199997444,None,110.05245199997444,None,110.05245199997444,None,110.34630370000377,None,110.34630370000377,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,111.26054819999263,None,37,47,30,52,37,49,113.77930529997684,None,2.0,2.1046014999737963,113.77930529997684,None,113.77930529997684,None,113.77930529997684,None,113.77930529997684,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,115.94844199996442,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,,,,,,None,None,None,None,None,117.83992900000885,None,117.83992900000885,None,117.83992900000885,None,117.83992900000885,None,f,0.6736408000579104,117.83992900000885,None,117.83992900000885,None,118.56296000001021,None,118.56296000001021,None,118.56296000001021,None,118.56296000001021,None,118.56296000001021,None,118.56296000001021,None,118.85220610001124,119.80301469995175,118.85220610001124,119.80301469995175,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,119.8348616999574,None,35,46,32,51,46,52,None,None,None,None,None,None,None,None,None,None,None,None,52,122.36382309999317,None,52,122.36382309999317,None,122.36382309999317,None,122.36382309999317,None,122.36382309999317,None,122.36382309999317,None,122.36382309999317,None,122.36382309999317,None,0.01598754001315683,None,122.36382309999317,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,5.010416666666667,1.8159704999998212,126.51445140002761,None,126.51445140002761,None,126.51445140002761,None,126.51445140002761,None,None,None,128.35699300002307,None,-0.032552083333333336,-0.27734375,1,0,0,4.103492000023834,tijiao,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
0,0.3,0.225,0,7,7,7,,,,,,,,,,,,,,,None,None,None,None,None,130.13103980000596,None,130.13103980000596,None,130.13103980000596,None,130.13103980000596,None,j,0.4935498000122607,130.13103980000596,None,130.13103980000596,None,130.66924950003158,None,130.66924950003158,None,130.66924950003158,None,130.66924950003158,None,130.66924950003158,None,130.66924950003158,None,130.944114599959,132.6618002000032,130.944114599959,132.6618002000032,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,132.694912499981,None,37,50,35,58,58,52,135.21741459995974,None,7.0,2.33191569999326,135.21741459995974,None,135.21741459995974,None,135.21741459995974,None,135.21741459995974,None,,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,137.6049767000368,None,,,,,,,,,,,,,,,,249,m,24,2023_Mar_22_1612,RL,2021.2.3,59.972928209557814,
