bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,34.048078100022394,34.048078100022394,space,11.667159999982687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
,,,,,,,,,,,45.75349840000854,45.75349840000854,s,45.67769070001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,91.4542453000031,None,92.48195700001088,92.48195700001088,92.48195700001088,92.48195700001088,92.48195700001088,92.48195700001088,f,0.7037969999946654,93.23790590002318,93.23790590002318,93.23790590002318,93.23790590002318,93.23790590002318,93.23790590002318,93.51534620000166,93.51534620000166,94.67866650002543,94.67866650002543,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,94.69677370000863,97.2049498000124,97.2049498000124,97.2049498000124,97.2049498000124,97.2049498000124,48,42,57,28,42,35,5.0,2.076840199995786,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,99.46679020000738,101.3270769000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,101.3270769000228,101.3270769000228,101.3270769000228,101.3270769000228,101.3270769000228,101.3270769000228,j,0.5761907999985851,101.93065580000984,101.93065580000984,101.93065580000984,101.93065580000984,101.93065580000984,101.93065580000984,102.22463170002447,102.22463170002447,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,103.58776640001452,,,,,,46,41,50,25,25,56,None,None,,,[],[],[],[],[],[],[],0.2,1,30,[0.09814814814814815],[-0.2935185185185185],[1],[0],[0],[8.215090199984843],['tijiao_random_2'],4.0,2.154512800014345,116.51810030001798,118.51318660000106,106.12070080000558,106.12070080000558,106.12070080000558,106.12070080000558,106.12070080000558,106.12070080000558,106.12070080000558,106.12070080000558,0.005355700006475672,106.12070080000558,114.35095020002336,114.35095020002336,114.35095020002336,114.35095020002336,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,118.51318660000106,118.51318660000106,118.51318660000106,118.51318660000106,118.51318660000106,118.51318660000106,i,0.5535298000031617,119.10157540001092,119.10157540001092,119.10157540001092,119.10157540001092,119.10157540001092,119.10157540001092,119.39467800001148,119.39467800001148,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,120.24227919999976,,,,,,42,43,47,35,47,60,None,None,,,[],[],[],[],[],[],[],-0.6,1,40,[-0.01574074074074074],[-0.30092592592592593],[1],[0],[0],[4.8515558000071906],['tijiao_random_2'],2.9537037037037037,4.0325489999959245,131.67664990000776,133.67219460001797,122.76147210001363,122.76147210001363,122.76147210001363,122.76147210001363,122.76147210001363,122.76147210001363,122.76147210001363,122.76147210001363,0.006308299984084442,122.76147210001363,127.62561220000498,127.62561220000498,127.62561220000498,127.62561220000498,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,133.67219460001797,133.67219460001797,133.67219460001797,133.67219460001797,133.67219460001797,133.67219460001797,i,0.463201200007461,134.156532300025,134.156532300025,134.156532300025,134.156532300025,134.156532300025,134.156532300025,134.4536091000191,134.4536091000191,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,135.4175824999984,137.92666100000497,137.92666100000497,137.92666100000497,137.92666100000497,137.92666100000497,34,32,44,34,44,64,3.0,2.6585167000012007,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,140.61063900002046,142.44792920001782,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,142.44792920001782,142.44792920001782,142.44792920001782,142.44792920001782,142.44792920001782,142.44792920001782,r,0.625406799983466,143.10118210001383,143.10118210001383,143.10118210001383,143.10118210001383,143.10118210001383,143.10118210001383,143.39578950000578,143.39578950000578,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,144.82537570002023,147.33406049999758,147.33406049999758,147.33406049999758,147.33406049999758,147.33406049999758,30,41,43,23,30,62,2.0,3.855172000010498,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,151.21521799999755,153.0858384000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,153.0858384000021,153.0858384000021,153.0858384000021,153.0858384000021,153.0858384000021,153.0858384000021,i,0.4452473999990616,153.55175350001082,153.55175350001082,153.55175350001082,153.55175350001082,153.55175350001082,153.55175350001082,153.85076580001623,153.85076580001623,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,155.59592400002293,158.10497680000844,158.10497680000844,158.10497680000844,158.10497680000844,158.10497680000844,42,47,41,27,41,65,2.0,3.091088999994099,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,161.22168210000382,163.05845110001974,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,163.05845110001974,163.05845110001974,163.05845110001974,163.05845110001974,163.05845110001974,163.05845110001974,j,0.480133900011424,163.5576300000248,163.5576300000248,163.5576300000248,163.5576300000248,163.5576300000248,163.5576300000248,163.85690100002103,163.85690100002103,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,164.87072890001582,167.37987870001234,167.37987870001234,167.37987870001234,167.37987870001234,167.37987870001234,49,43,45,23,23,62,2.0,2.192617099994095,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],None,None,169.59803260001354,171.4523501000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,171.4523501000076,171.4523501000076,171.4523501000076,171.4523501000076,171.4523501000076,171.4523501000076,f,0.4997866000048816,171.98477619999903,171.98477619999903,171.98477619999903,171.98477619999903,171.98477619999903,171.98477619999903,172.28378970001359,172.28378970001359,173.164617500006,173.164617500006,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,173.1811273000203,,,,,,48,45,46,23,45,70,None,None,40,40,[0.025925925925925925],[-0.2777777777777778],[1],[0],[0],[6.174272900010692],['tijiao'],0.2,0,,[],[],[],[],[],[],[],5.0,1.8470158000127412,183.75131170000532,185.2814435000182,,,,,,,,,,,181.88610750000225,181.88610750000225,181.88610750000225,181.88610750000225,175.69423040002584,175.69423040002584,175.69423040002584,175.69423040002584,175.69423040002584,175.69423040002584,175.69423040002584,175.69423040002584,0.005201099993428215,175.69423040002584,,,,250,f,23,2023-03-22_16h11.37.144,RL,2022.2.4,60.04091187084148,
