bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,43.26209689999814,43.26209689999814,space,6.9833096000074875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
,,,,,,,,,,,50.28357190001407,50.28357190001407,s,35.10394960001577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,85.41446140001062,None,86.44148030001088,86.44148030001088,86.44148030001088,86.44148030001088,86.44148030001088,86.44148030001088,j,0.6253285999991931,87.1140696000075,87.1140696000075,87.1140696000075,87.1140696000075,87.1140696000075,87.1140696000075,87.39180380001199,87.39180380001199,89.23648580000736,89.23648580000736,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,89.25415019999491,91.7628079999995,91.7628079999995,91.7628079999995,91.7628079999995,91.7628079999995,66,50,32,50,50,59,5.0,2.193422299984377,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,94.13802030001534,95.95139450000715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,95.95139450000715,95.95139450000715,95.95139450000715,95.95139450000715,95.95139450000715,95.95139450000715,i,0.7131679999874905,96.68741640000371,96.68741640000371,96.68741640000371,96.68741640000371,96.68741640000371,96.68741640000371,96.98210230001132,96.98210230001132,98.79367810001713,98.79367810001713,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,98.81031850000727,,,,,,63,42,37,42,37,52,None,None,37,37,[0.017592592592592594],[-0.2935185185185185],[1],[0],[0],[5.663372799986973],['tijiao'],0.6,0,,[],[],[],[],[],[],[],7.027777777777778,1.843976100004511,108.8816190000216,110.59476360000554,101.34316650000983,101.34316650000983,101.34316650000983,101.34316650000983,101.34316650000983,101.34316650000983,101.34316650000983,101.34316650000983,0.005424600007245317,101.34316650000983,107.02455140001257,107.02455140001257,107.02455140001257,107.02455140001257,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,110.59476360000554,110.59476360000554,110.59476360000554,110.59476360000554,110.59476360000554,110.59476360000554,j,0.82121689998894,111.44274170001154,111.44274170001154,111.44274170001154,111.44274170001154,111.44274170001154,111.44274170001154,111.74181599999429,111.74181599999429,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,113.61985380001715,,,,,,59,51,38,51,51,39,None,None,60,60,[0.06851851851851852],[-0.27685185185185185],[1],[0],[0],[5.325268700020388],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],7.0,2.6427985000191256,124.14012389999698,125.9194774000207,116.13093400001526,116.13093400001526,116.13093400001526,116.13093400001526,116.13093400001526,116.13093400001526,116.13093400001526,116.13093400001526,0.0067125000059604645,116.13093400001526,121.47860689999652,121.47860689999652,121.47860689999652,121.47860689999652,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,125.9194774000207,125.9194774000207,125.9194774000207,125.9194774000207,125.9194774000207,125.9194774000207,r,0.7618270000093617,126.70582240002113,126.70582240002113,126.70582240002113,126.70582240002113,126.70582240002113,126.70582240002113,127.00019580000662,127.00019580000662,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,127.83125020001899,130.34043999999994,130.34043999999994,130.34043999999994,130.34043999999994,130.34043999999994,67,54,30,52,67,51,5.0,2.1600779999862425,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,132.52587850001873,134.11376580002252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,134.11376580002252,134.11376580002252,134.11376580002252,134.11376580002252,134.11376580002252,134.11376580002252,f,0.6773863999987952,134.81754290001118,134.81754290001118,134.81754290001118,134.81754290001118,134.81754290001118,134.81754290001118,135.1114645000198,135.1114645000198,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,136.49089070002083,,,,,,55,52,35,55,52,47,None,None,50,50,[0.01574074074074074],[-0.287962962962963],[1],[0],[0],[5.027356000005966],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],7.027777777777778,2.0956361000135075,146.16326800000388,147.67694520001533,139.00137310000719,139.00137310000719,139.00137310000719,139.00137310000719,139.00137310000719,139.00137310000719,139.00137310000719,139.00137310000719,0.005246499989880249,139.00137310000719,144.04899640000076,144.04899640000076,144.04899640000076,144.04899640000076,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,147.67694520001533,147.67694520001533,147.67694520001533,147.67694520001533,147.67694520001533,147.67694520001533,r,0.41507889999775216,148.10928360000253,148.10928360000253,148.10928360000253,148.10928360000253,148.10928360000253,148.10928360000253,148.40852739999536,148.40852739999536,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,150.1037436000188,,,,,,61,58,44,47,61,56,None,None,50,50,[0.03333333333333333],[-0.2851851851851852],[1],[0],[0],[3.77883669998846],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],7.962962962962963,2.910257500014268,159.34391060000053,161.05687540001236,152.61517649999587,152.61517649999587,152.61517649999587,152.61517649999587,152.61517649999587,152.61517649999587,152.61517649999587,152.61517649999587,0.00743920000968501,152.61517649999587,156.41505330000655,156.41505330000655,156.41505330000655,156.41505330000655,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,161.05687540001236,161.05687540001236,161.05687540001236,161.05687540001236,161.05687540001236,161.05687540001236,r,0.647406999982195,161.72472769999877,161.72472769999877,161.72472769999877,161.72472769999877,161.72472769999877,161.72472769999877,162.02132880000863,162.02132880000863,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,163.46744969999418,,,,,,54,46,45,42,54,64,None,None,50,50,[0.03333333333333333],[-0.2953703703703704],[1],[0],[0],[3.896682000020519],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],8.13888888888889,1.896893800003454,171.81008990001283,173.60618760000216,165.97747020001407,165.97747020001407,165.97747020001407,165.97747020001407,165.97747020001407,165.97747020001407,165.97747020001407,165.97747020001407,0.005841400008648634,165.97747020001407,169.89421580001363,169.89421580001363,169.89421580001363,169.89421580001363,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,173.60618760000216,173.60618760000216,173.60618760000216,173.60618760000216,173.60618760000216,173.60618760000216,i,0.8294419999874663,174.45408140000654,174.45408140000654,174.45408140000654,174.45408140000654,174.45408140000654,174.45408140000654,174.753288900014,174.753288900014,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,176.29852350000874,178.8076714000199,178.8076714000199,178.8076714000199,178.8076714000199,178.8076714000199,63,41,45,42,45,48,5.0,2.3092579999938607,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,181.14213059999747,182.88089670002228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
