bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,25.022349399980158,25.022349399980158,space,16.120462999970187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
,,,,,,,,,,,41.168793499993626,41.168793499993626,s,49.90602819999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,91.09180450002896,None,92.1260903000366,92.1260903000366,92.1260903000366,92.1260903000366,92.1260903000366,92.1260903000366,j,0.5921759000048041,92.7594478999963,92.7594478999963,92.7594478999963,92.7594478999963,92.7594478999963,92.7594478999963,93.03650360001484,93.03650360001484,94.94759180000983,94.94759180000983,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,94.96681700000772,67,40,55,45,45,39,None,None,97.49844049999956,97.49844049999956,97.49844049999956,97.49844049999956,97.49844049999956,97.49844049999956,97.49844049999956,97.49844049999956,0.006740200042258948,97.49844049999956,54,54,[0.10740740740740741],[-0.2824074074074074],[1],[0],[0],[7.422717500012368],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],105.03804680000758,105.03804680000758,105.03804680000758,105.03804680000758,6.944444444444445,3.3266405999893323,108.41677270003129,110.35547200002475,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,110.35547200002475,110.35547200002475,110.35547200002475,110.35547200002475,110.35547200002475,110.35547200002475,r,0.5499622999923304,110.93800460000057,110.93800460000057,110.93800460000057,110.93800460000057,110.93800460000057,110.93800460000057,111.23665390000679,111.23665390000679,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,112.2334779999801,76,34,51,44,76,64,None,None,114.74392119998811,114.74392119998811,114.74392119998811,114.74392119998811,114.74392119998811,114.74392119998811,114.74392119998811,114.74392119998811,0.005960899987258017,114.74392119998811,80,80,[0.017592592592592594],[-0.287962962962963],[1],[0],[0],[6.206872799957637],['tijiao'],0.2,0,,[],[],[],[],[],[],[],120.97227440000279,120.97227440000279,120.97227440000279,120.97227440000279,7.027777777777778,2.3119303999701515,123.30261220003013,124.98225400003139,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,124.98225400003139,124.98225400003139,124.98225400003139,124.98225400003139,124.98225400003139,124.98225400003139,r,0.6646875999867916,125.66600279998966,125.66600279998966,125.66600279998966,125.66600279998966,125.66600279998966,125.66600279998966,125.96327960002236,125.96327960002236,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,127.87444610003149,73,25,63,47,73,60,5.0,3.7384285000152886,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,134.1546467000153,136.00207350001438,130.38407110003754,130.38407110003754,130.38407110003754,130.38407110003754,130.38407110003754,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,136.00207350001438,136.00207350001438,136.00207350001438,136.00207350001438,136.00207350001438,136.00207350001438,j,0.4493438000208698,136.48595110001042,136.48595110001042,136.48595110001042,136.48595110001042,136.48595110001042,136.48595110001042,136.7835885999957,136.7835885999957,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,138.4787846999825,73,37,57,52,52,54,4.0,3.0074059999897145,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,144.02093490003608,146.00787860003766,140.98807070002658,140.98807070002658,140.98807070002658,140.98807070002658,140.98807070002658,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,146.00787860003766,146.00787860003766,146.00787860003766,146.00787860003766,146.00787860003766,146.00787860003766,i,0.5335701000294648,146.57390250003664,146.57390250003664,146.57390250003664,146.57390250003664,146.57390250003664,146.57390250003664,146.87290760001633,146.87290760001633,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,148.58477080002194,63,44,68,61,68,35,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,46,[0.018518518518518517],[-0.28703703703703703],[1],[0],[0],[8.292187799990643],['tijiao_random_2'],159.40914529998554,159.40914529998554,159.40914529998554,159.40914529998554,6.037037037037036,2.786025099980179,162.2129253000021,164.0252988000284,,,,,,151.10708079999313,151.10708079999313,151.10708079999313,151.10708079999313,151.10708079999313,151.10708079999313,151.10708079999313,151.10708079999313,0.007013199967332184,151.10708079999313,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,164.0252988000284,164.0252988000284,164.0252988000284,164.0252988000284,164.0252988000284,164.0252988000284,i,0.7746541000087745,164.82562060002238,164.82562060002238,164.82562060002238,164.82562060002238,164.82562060002238,164.82562060002238,165.12287369999103,165.12287369999103,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,166.25314440001966,66,41,58,51,58,61,4.0,3.024577700009104,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,171.8145477999933,173.3669373000157,168.76219799998216,168.76219799998216,168.76219799998216,168.76219799998216,168.76219799998216,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,173.3669373000157,173.3669373000157,173.3669373000157,173.3669373000157,173.3669373000157,173.3669373000157,f,0.5442255000234582,173.93855830002576,173.93855830002576,173.93855830002576,173.93855830002576,173.93855830002576,173.93855830002576,174.23143699998036,174.23143699998036,175.72723690001294,175.72723690001294,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,175.7438584000338,68,43,54,49,43,48,3.0,3.0239137000171468,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],,,,,None,None,181.30399819999002,183.15677350002807,178.25277580000693,178.25277580000693,178.25277580000693,178.25277580000693,178.25277580000693,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,183.15677350002807,183.15677350002807,183.15677350002807,183.15677350002807,183.15677350002807,183.15677350002807,j,0.3700636000139639,183.55661510000937,183.55661510000937,183.55661510000937,183.55661510000937,183.55661510000937,183.55661510000937,183.8551816000254,183.8551816000254,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,185.58377409999957,74,42,63,50,50,64,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,47,"[0.03981481481481482, 0.040740740740740744]","[-0.2462962962962963, -0.29907407407407405]","[1, 1]","[0, 0]","[0, 0]","[7.992732599959709, 8.891092699952424]",['tijiao_random_2'],197.00845429999754,197.00845429999754,197.00845429999754,197.00845429999754,6.111111111111111,4.778704199998174,201.8050717000151,203.46810380002717,,,,,,188.10249590000603,188.10249590000603,188.10249590000603,188.10249590000603,188.10249590000603,188.10249590000603,188.10249590000603,188.10249590000603,0.006783700024243444,188.10249590000603,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
