bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate
,,,,,,,19.2905722,19.2905722,space,5.6853941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
,,,,,,,,,,,25.0074451,25.0074451,s,9.9308489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,0,0,0,,,,,,,,,34.9644737,None,36.0018574,36.0018574,36.0018574,36.0018574,36.0018574,36.0018574,j,0.6396097,36.6890867,36.6890867,36.6890867,36.6890867,36.6890867,36.6890867,36.9592194,36.9592194,37.856552,37.856552,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,37.896799,65,41,47,51,51,51,None,None,40.4259048,40.4259048,40.4259048,40.4259048,40.4259048,40.4259048,40.4259048,40.4259048,0.00731,40.4259048,30,30,[0.06481481481481481],[-0.2712962962962963],[1],[0],[0],[12.141169300011825],['tijiao'],0.6,0,,[],[],[],[],[],[],[],52.6884646,52.6884646,52.6884646,52.6884646,3.851851852,2.1767525,54.9176734,56.8713065,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,56.8713065,56.8713065,56.8713065,56.8713065,56.8713065,56.8713065,f,0.4353117,57.3412541,57.3412541,57.3412541,57.3412541,57.3412541,57.3412541,57.6359574,57.6359574,59.4144822,59.4144822,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,59.4338343,54,42,55,40,42,49,None,None,61.9422311,61.9422311,61.9422311,61.9422311,61.9422311,61.9422311,61.9422311,61.9422311,0.0066494,61.9422311,45,45,[0.04259259259259259],[-0.29259259259259257],[1],[0],[0],[7.302752399991732],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],69.268316,69.268316,69.268316,69.268316,4.037037037,2.9244985,72.2116238,73.7749675,,,,,,,,,,,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,73.7749675,73.7749675,73.7749675,73.7749675,73.7749675,73.7749675,r,0.2968595,74.0986174,74.0986174,74.0986174,74.0986174,74.0986174,74.0986174,74.3902536,74.3902536,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,76.1850734,55,52,54,47,55,52,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,35,[0.06111111111111111],[-0.2861111111111111],[1],[0],[0],[10.633229199971538],['tijiao_random_2'],89.35576,89.35576,89.35576,89.35576,5.916666667,1.570673,90.9437135,92.6069705,78.7109199,78.7109199,78.7109199,78.7109199,78.7109199,78.7109199,78.7109199,78.7109199,0.0074767,78.7109199,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,92.6069705,92.6069705,92.6069705,92.6069705,92.6069705,92.6069705,j,0.3319676,92.9577442,92.9577442,92.9577442,92.9577442,92.9577442,92.9577442,93.2555122,93.2555122,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,94.5031279,57,53,47,44,44,43,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,50,[0.0824074074074074],[-0.28703703703703703],[1],[0],[0],[5.929245000006631],['tijiao_random_2'],102.9630198,102.9630198,102.9630198,102.9630198,5.083333333,3.237171,106.2186984,108.1644665,97.0226696,97.0226696,97.0226696,97.0226696,97.0226696,97.0226696,97.0226696,97.0226696,0.0076747,97.0226696,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,108.1644665,108.1644665,108.1644665,108.1644665,108.1644665,108.1644665,j,0.3049023,108.500771,108.500771,108.500771,108.500771,108.500771,108.500771,108.7964584,108.7964584,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,110.0759655,59,50,51,35,35,76,3,3.2561844,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],,,,,None,None,115.87425,117.7384884,,,,,,,,,,,112.5857972,112.5857972,112.5857972,112.5857972,112.5857972,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,117.7384884,117.7384884,117.7384884,117.7384884,117.7384884,117.7384884,i,0.3869713,118.1561497,118.1561497,118.1561497,118.1561497,118.1561497,118.1561497,118.4533442,118.4533442,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,119.6165601,65,51,57,31,57,56,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,70,[0.07222222222222222],[-0.2796296296296296],[1],[0],[0],[7.925163300009444],['tijiao_random_2'],130.0769626,130.0769626,130.0769626,130.0769626,4.046296296,1.5550208,131.6493337,133.2955331,122.1373098,122.1373098,122.1373098,122.1373098,122.1373098,122.1373098,122.1373098,122.1373098,0.0073385,122.1373098,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,133.2955331,133.2955331,133.2955331,133.2955331,133.2955331,133.2955331,r,0.267104,133.5954408,133.5954408,133.5954408,133.5954408,133.5954408,133.5954408,133.8945526,133.8945526,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,135.7727541,67,55,63,38,67,52,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,50,[-0.041666666666666664],[-0.2851851851851852],[1],[0],[0],[9.653614400012884],['tijiao_random_2'],147.9599078,147.9599078,147.9599078,147.9599078,3.962962963,2.3036916,150.2818361,151.8116202,138.2935906,138.2935906,138.2935906,138.2935906,138.2935906,138.2935906,138.2935906,138.2935906,0.007179,138.2935906,,,,,,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,151.8116202,151.8116202,151.8116202,151.8116202,151.8116202,151.8116202,f,0.414933,152.2467757,152.2467757,152.2467757,152.2467757,152.2467757,152.2467757,152.5437309,152.5437309,154.0560279,154.0560279,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,154.0730006,62,45,62,38,45,59,4,3.9211173,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,160.5322501,162.1006973,,,,,,,,,,,156.5816323,156.5816323,156.5816323,156.5816323,156.5816323,,,,259,f,22,2023-03-26_10h39.54.249,RL,2022.2.4,60.11306065
