bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,71.6296724001877,71.6296724001877,space,39.86684580007568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
,,,,,,,,,,,111.52576560014859,111.52576560014859,s,70.39264870015904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,181.94272900000215,None,182.97040490014479,182.97040490014479,182.97040490014479,182.97040490014479,182.97040490014479,182.97040490014479,f,0.8510737998876721,183.8715145001188,183.8715145001188,183.8715145001188,183.8715145001188,183.8715145001188,183.8715145001188,184.153064600192,184.153064600192,185.8152211001143,185.8152211001143,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,185.83273420017213,59,41,58,29,41,76,None,None,,,[],[],[],[],[],[],[],0.6,1,188.41732350015081,188.41732350015081,188.41732350015081,188.41732350015081,188.41732350015081,188.41732350015081,188.41732350015081,188.41732350015081,0.008046300150454044,188.41732350015081,34,[0.03888888888888889],[-0.287962962962963],[1],[0],[0],[8.512297000037506],['tijiao_random_2'],196.9923058000859,196.9923058000859,196.9923058000859,196.9923058000859,2.0185185185185186,5.813032400095835,202.85785750020295,204.38116300012916,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,204.38116300012916,204.38116300012916,204.38116300012916,204.38116300012916,204.38116300012916,204.38116300012916,f,1.231546799885109,205.64506330015138,205.64506330015138,205.64506330015138,205.64506330015138,205.64506330015138,205.64506330015138,205.94376440020278,205.94376440020278,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,207.53918920014985,63,44,63,21,44,63,2.0,2.2933686999604106,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,212.37487450009212,213.90506440005265,210.04887980013154,210.04887980013154,210.04887980013154,210.04887980013154,210.04887980013154,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,213.90506440005265,213.90506440005265,213.90506440005265,213.90506440005265,213.90506440005265,213.90506440005265,i,1.0703739000018686,215.0064824000001,215.0064824000001,215.0064824000001,215.0064824000001,215.0064824000001,215.0064824000001,215.30154200014658,215.30154200014658,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,217.07989940000698,67,50,58,32,58,64,1.0,3.0409062998369336,,,[],[],[],[],[],[],[],-0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,222.6600279000122,224.17638190020807,219.58909880020656,219.58909880020656,219.58909880020656,219.58909880020656,219.58909880020656,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,224.17638190020807,224.17638190020807,224.17638190020807,224.17638190020807,224.17638190020807,224.17638190020807,r,1.0350429001264274,225.2490373000037,225.2490373000037,225.2490373000037,225.2490373000037,225.2490373000037,225.2490373000037,225.53994800010696,225.53994800010696,226.5706124000717,226.5706124000717,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,226.58751219999976,61,46,59,30,61,56,None,None,,,[],[],[],[],[],[],[],0.6,1,229.10762180015445,229.10762180015445,229.10762180015445,229.10762180015445,229.10762180015445,229.10762180015445,229.10762180015445,229.10762180015445,0.006909199990332127,229.10762180015445,61,[0.018518518518518517],[-0.2953703703703704],[1],[0],[0],[10.068944599945098],['tijiao_random_2'],239.19250130001456,239.19250130001456,239.19250130001456,239.19250130001456,2.888888888888889,4.247767399996519,243.45710410014726,245.15315860020928,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,245.15315860020928,245.15315860020928,245.15315860020928,245.15315860020928,245.15315860020928,245.15315860020928,j,0.8651209000963718,246.05209550005384,246.05209550005384,246.05209550005384,246.05209550005384,246.05209550005384,246.05209550005384,246.35018370021135,246.35018370021135,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,248.27775090001523,56,42,56,32,32,56,None,None,,,[],[],[],[],[],[],[],-0.6,1,250.79733820003457,250.79733820003457,250.79733820003457,250.79733820003457,250.79733820003457,250.79733820003457,250.79733820003457,250.79733820003457,0.0072870999574661255,250.79733820003457,21,[-0.053703703703703705],[-0.30925925925925923],[1],[0],[0],[8.008974500000477],['tijiao_random_2'],258.81913910014555,258.81913910014555,258.81913910014555,258.81913910014555,2.0185185185185186,4.680780899943784,263.51861400017515,265.06534460000694,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,265.06534460000694,265.06534460000694,265.06534460000694,265.06534460000694,265.06534460000694,265.06534460000694,j,1.1406935001723468,266.2299756000284,266.2299756000284,266.2299756000284,266.2299756000284,266.2299756000284,266.2299756000284,266.52836690004915,266.52836690004915,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,267.50887290015817,57,48,56,27,27,65,None,None,,,[],[],[],[],[],[],[],0.6,1,270.0290801001247,270.0290801001247,270.0290801001247,270.0290801001247,270.0290801001247,270.0290801001247,270.0290801001247,270.0290801001247,0.006799699971452355,270.0290801001247,33,[0.12407407407407407],[-0.2898148148148148],[1],[0],[0],[8.890391399851069],['tijiao_random_2'],278.9339045002125,278.9339045002125,278.9339045002125,278.9339045002125,2.1018518518518516,2.434304299997166,281.3870899002068,282.99982840009034,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,282.99982840009034,282.99982840009034,282.99982840009034,282.99982840009034,282.99982840009034,282.99982840009034,f,1.0453790000174195,284.06487650005147,284.06487650005147,284.06487650005147,284.06487650005147,284.06487650005147,284.06487650005147,284.3625193000771,284.3625193000771,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,286.1248812000267,59,47,50,46,47,55,None,None,,,[],[],[],[],[],[],[],0.2,1,288.647026500199,288.647026500199,288.647026500199,288.647026500199,288.647026500199,288.647026500199,288.647026500199,288.647026500199,0.00672670011408627,288.647026500199,46,[-0.08703703703703704],[-0.3277777777777778],[1],[0],[0],[7.374312500003725],['tijiao_random_2'],296.03433310007676,296.03433310007676,296.03433310007676,296.03433310007676,1,3.234981399960816,299.28770930017345,301.13371230009943,,,,,,,,,,,,,,,,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,301.13371230009943,301.13371230009943,301.13371230009943,301.13371230009943,301.13371230009943,301.13371230009943,j,1.126191799994558,302.28173840022646,302.28173840022646,302.28173840022646,302.28173840022646,302.28173840022646,302.28173840022646,302.57962290011346,302.57962290011346,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,304.3583288001828,72,48,46,43,43,49,None,None,49,49,[-0.02962962962962963],[-0.2518518518518518],[1],[0],[0],[5.324014100013301],['tijiao'],-0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],312.21609570016153,312.21609570016153,312.21609570016153,312.21609570016153,2.0370370370370368,4.920767999952659,317.15575210005045,319.0013467001263,,,,,,306.87398780020885,306.87398780020885,306.87398780020885,306.87398780020885,306.87398780020885,306.87398780020885,306.87398780020885,306.87398780020885,0.00854190019890666,306.87398780020885,,,,,,273,f,29,2023-04-04_13h34.56.582,RL,2022.2.4,60.17538724417507,
