bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,35.57550753000032,35.57550753000032,space,46.239253884999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
,,,,,,,,,,,81.8609019710002,81.8609019710002,s,67.68379218600057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,149.58841677199962,None,150.62665723300051,150.62665723300051,150.62665723300051,150.62665723300051,150.62665723300051,150.62665723300051,i,0.52018355600012,151.22616315300002,151.22616315300002,151.22616315300002,151.22616315300002,151.22616315300002,151.22616315300002,151.4795192970014,151.4795192970014,153.02346576400123,153.02346576400123,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,153.09015325099972,64,38,29,55,29,48,None,None,155.62611613599984,155.62611613599984,155.62611613599984,155.62611613599984,155.62611613599984,155.62611613599984,155.62611613599984,155.62611613599984,0.012304537000090932,155.62611613599984,30,30,[-0.055],[-0.28125],[1],[0],[0],[34.83109841500118],['tijiao'],0.2,0,,[],[],[],[],[],[],[],190.66722901600042,190.66722901600042,190.66722901600042,190.66722901600042,1,10.663917452999158,201.33806324800025,202.87859646499965,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,202.87859646499965,202.87859646499965,202.87859646499965,202.87859646499965,202.87859646499965,202.87859646499965,i,0.6553716350008472,203.59012477200122,203.59012477200122,203.59012477200122,203.59012477200122,203.59012477200122,203.59012477200122,203.85098926400133,203.85098926400133,205.50865828600035,205.50865828600035,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,205.55133363000095,69,36,28,50,28,41,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,50,[-0.1425],[-0.34],[1],[0],[0],[16.294203106999703],['tijiao_random_2'],224.39432644100089,224.39432644100089,224.39432644100089,224.39432644100089,1.0124999999999997,5.5251255680013855,229.93775205600105,231.92530022500068,208.08419856100045,208.08419856100045,208.08419856100045,208.08419856100045,208.08419856100045,208.08419856100045,208.08419856100045,208.08419856100045,0.011233039998842287,208.08419856100045,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,231.92530022500068,231.92530022500068,231.92530022500068,231.92530022500068,231.92530022500068,231.92530022500068,f,0.4444691700009571,232.42091645500113,232.42091645500113,232.42091645500113,232.42091645500113,232.42091645500113,232.42091645500113,232.68146784500095,232.68146784500095,234.27202659400064,234.27202659400064,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,234.31268443800036,76,29,27,68,29,40,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,28,[-0.09875],[-0.30375],[1],[0],[0],[20.61093319399879],['tijiao_random_2'],257.47844909000014,257.47844909000014,257.47844909000014,257.47844909000014,1.9749999999999996,6.981398588999582,264.4803034590004,266.30804119800086,236.84880446900024,236.84880446900024,236.84880446900024,236.84880446900024,236.84880446900024,236.84880446900024,236.84880446900024,236.84880446900024,0.009803994998947019,236.84880446900024,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,266.30804119800086,266.30804119800086,266.30804119800086,266.30804119800086,266.30804119800086,266.30804119800086,r,0.4467392179994931,266.7970653550001,266.7970653550001,266.7970653550001,266.7970653550001,266.7970653550001,266.7970653550001,267.06509769399963,267.06509769399963,268.4477776929998,268.4477776929998,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,268.49488029799977,72,41,30,45,72,56,7.0,7.601956361000703,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,278.64382980700066,280.1820407480009,,,,,,,,,,,270.9856528190012,270.9856528190012,270.9856528190012,270.9856528190012,270.9856528190012,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,280.1820407480009,280.1820407480009,280.1820407480009,280.1820407480009,280.1820407480009,280.1820407480009,i,0.9585282299995015,281.18644366900116,281.18644366900116,281.18644366900116,281.18644366900116,281.18644366900116,281.18644366900116,281.4555685280011,281.4555685280011,283.16856485100107,283.16856485100107,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,283.21033044700016,65,32,25,60,25,59,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,25,[0.105],[-0.28625],[1],[0],[0],[12.84823800599952],['tijiao_random_2'],298.61448906700025,298.61448906700025,298.61448906700025,298.61448906700025,10.9375,2.0075843579998036,300.64422442700015,302.3423389470008,285.75169691799965,285.75169691799965,285.75169691799965,285.75169691799965,285.75169691799965,285.75169691799965,285.75169691799965,285.75169691799965,0.01076494399967487,285.75169691799965,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,302.3423389470008,302.3423389470008,302.3423389470008,302.3423389470008,302.3423389470008,302.3423389470008,i,0.8702121680016717,303.2528283850006,303.2528283850006,303.2528283850006,303.2528283850006,303.2528283850006,303.2528283850006,303.53152423600113,303.53152423600113,305.17240946899983,305.17240946899983,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,305.19655441600116,64,42,24,58,24,38,4.0,3.3656004599997686,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,311.1162923310003,313.01402284600044,,,,,,,,,,,307.7047033279996,307.7047033279996,307.7047033279996,307.7047033279996,307.7047033279996,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,313.01402284600044,313.01402284600044,313.01402284600044,313.01402284600044,313.01402284600044,313.01402284600044,f,0.9758463950001897,314.0346515800011,314.0346515800011,314.0346515800011,314.0346515800011,314.0346515800011,314.0346515800011,314.3027473530001,314.3027473530001,315.95422672099994,315.95422672099994,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,315.99333628299973,61,49,15,67,49,55,None,None,318.50841792600113,318.50841792600113,318.50841792600113,318.50841792600113,318.50841792600113,318.50841792600113,318.50841792600113,318.50841792600113,0.008459912998660002,318.50841792600113,60,60,[0.01875],[-0.2675],[1],[0],[0],[13.3415093349995],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],331.88225740300004,331.88225740300004,331.88225740300004,331.88225740300004,2.0125,19.18674292599826,351.0867786630006,352.6157863460012,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,352.6157863460012,352.6157863460012,352.6157863460012,352.6157863460012,352.6157863460012,352.6157863460012,f,0.48142629100038903,353.1378219970011,353.1378219970011,353.1378219970011,353.1378219970011,353.1378219970011,353.1378219970011,353.40533254100046,353.40533254100046,354.4414164360005,354.4414164360005,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,354.4828946680009,53,48,21,54,48,53,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,58,[-0.05625],[-0.3125],[1],[0],[0],[22.589734301000135],['tijiao_random_2'],379.6150392640011,379.6150392640011,379.6150392640011,379.6150392640011,8.9625,1.9842168880004465,381.61856188800084,383.4139937550008,357.00625930299975,357.00625930299975,357.00625930299975,357.00625930299975,357.00625930299975,357.00625930299975,357.00625930299975,357.00625930299975,0.009804887000427698,357.00625930299975,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
