bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,31.60343482999815,31.60343482999815,space,6.435953735999647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
,,,,,,,,,,,38.079957461999584,38.079957461999584,s,13.95925376300147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,52.07413882900073,None,53.118677711998316,53.118677711998316,53.118677711998316,53.118677711998316,53.118677711998316,53.118677711998316,i,1.001729694999085,54.20176438499766,54.20176438499766,54.20176438499766,54.20176438499766,54.20176438499766,54.20176438499766,54.45637396099846,54.45637396099846,56.10812761499983,56.10812761499983,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,56.167634943998564,41,61,65,30,65,46,None,None,,,[],[],[],[],[],[],[],0.2,1,58.794131237998954,58.794131237998954,58.794131237998954,58.794131237998954,58.794131237998954,58.794131237998954,58.794131237998954,58.794131237998954,0.01834201000019675,58.794131237998954,60,[0.03375],[-0.30125],[1],[0],[0],[8.123215180999978],['tijiao_random_2'],67.04278819699903,67.04278819699903,67.04278819699903,67.04278819699903,9.0875,2.8550040859990986,69.90060928299863,71.82277710999915,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,71.82277710999915,71.82277710999915,71.82277710999915,71.82277710999915,71.82277710999915,71.82277710999915,f,1.0208784820024448,72.89568537800005,72.89568537800005,72.89568537800005,72.89568537800005,72.89568537800005,72.89568537800005,73.16369196199958,73.16369196199958,74.1490784689995,74.1490784689995,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,74.19330303099923,35,51,72,36,51,58,None,None,50,50,[0.09625],[-0.29875],[1],[0],[0],[5.395563218000461],['tijiao'],0.2,0,,,,,,,,,,,,[],[],[],[],[],[],[],82.14700693199848,82.14700693199848,82.14700693199848,82.14700693199848,9.0125,3.261963853998168,85.42336330100079,87.21376315899761,76.71808142900045,76.71808142900045,76.71808142900045,76.71808142900045,76.71808142900045,76.71808142900045,76.71808142900045,76.71808142900045,0.008724067000002833,76.71808142900045,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,87.21376315899761,87.21376315899761,87.21376315899761,87.21376315899761,87.21376315899761,87.21376315899761,j,0.6975316520001797,87.95041974199921,87.95041974199921,87.95041974199921,87.95041974199921,87.95041974199921,87.95041974199921,88.2196816680007,88.2196816680007,89.63910704500086,89.63910704500086,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,89.68088672799786,36,58,65,42,42,41,None,None,40,40,[0.0325],[-0.2625],[1],[0],[0],[5.5350164550000045],['tijiao'],-0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],97.76269461300035,97.76269461300035,97.76269461300035,97.76269461300035,8.0875,1.6409412079992762,99.4210580359977,101.07052133599791,92.19402825299767,92.19402825299767,92.19402825299767,92.19402825299767,92.19402825299767,92.19402825299767,92.19402825299767,92.19402825299767,0.009028934000525624,92.19402825299767,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,101.07052133599791,101.07052133599791,101.07052133599791,101.07052133599791,101.07052133599791,101.07052133599791,r,0.40071268799874815,101.52301324899963,101.52301324899963,101.52301324899963,101.52301324899963,101.52301324899963,101.52301324899963,101.79246502399837,101.79246502399837,102.86353205399791,102.86353205399791,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,102.90618606299904,30,58,74,46,30,60,4.0,1.77086753399999,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,107.22870248899926,109.19131071299853,,,,,,,,,,,105.39857283699894,105.39857283699894,105.39857283699894,105.39857283699894,105.39857283699894,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,109.19131071299853,109.19131071299853,109.19131071299853,109.19131071299853,109.19131071299853,109.19131071299853,i,1.1671907099989767,110.41175748800015,110.41175748800015,110.41175748800015,110.41175748800015,110.41175748800015,110.41175748800015,110.6804145549977,110.6804145549977,112.41685167099786,112.41685167099786,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,112.45700193800076,19,58,64,38,64,48,None,None,80,80,[0.1025],[-0.32625],[1],[0],[0],[5.450361302999227],['tijiao'],-0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],120.4572855769984,120.4572855769984,120.4572855769984,120.4572855769984,8.9375,2.5716747139995277,123.04427417999977,124.99809394999829,114.9713006130005,114.9713006130005,114.9713006130005,114.9713006130005,114.9713006130005,114.9713006130005,114.9713006130005,114.9713006130005,0.009038170999701833,114.9713006130005,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,124.99809394999829,124.99809394999829,124.99809394999829,124.99809394999829,124.99809394999829,124.99809394999829,r,0.48097428099936224,125.51759286599918,125.51759286599918,125.51759286599918,125.51759286599918,125.51759286599918,125.51759286599918,125.78663484500066,125.78663484500066,126.92189893500108,126.92189893500108,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,126.9642386509986,27,58,63,35,27,62,None,None,,,[],[],[],[],[],[],[],-0.2,1,129.49021845400057,129.49021845400057,129.49021845400057,129.49021845400057,129.49021845400057,129.49021845400057,129.49021845400057,129.49021845400057,0.010051949000626337,129.49021845400057,40,[0.02125],[-0.2775],[1],[0],[0],[6.040282959998876],['tijiao_random_2'],135.54699871900084,135.54699871900084,135.54699871900084,135.54699871900084,8.0875,2.1715353809995577,137.7409153669978,139.47152052099773,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,139.47152052099773,139.47152052099773,139.47152052099773,139.47152052099773,139.47152052099773,139.47152052099773,i,0.96470810000028,140.47015369400106,140.47015369400106,140.47015369400106,140.47015369400106,140.47015369400106,140.47015369400106,140.74468275400068,140.74468275400068,142.48198450699783,142.48198450699783,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,142.52133146599954,29,53,81,46,81,51,7.0,2.7828387040026428,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,147.86115218199848,149.51021871500052,,,,,,,,,,,145.03378328100007,145.03378328100007,145.03378328100007,145.03378328100007,145.03378328100007,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,149.51021871500052,149.51021871500052,149.51021871500052,149.51021871500052,149.51021871500052,149.51021871500052,i,1.051449152000714,150.61163653900076,150.61163653900076,150.61163653900076,150.61163653900076,150.61163653900076,150.61163653900076,150.88264005100064,150.88264005100064,151.84662708500036,151.84662708500036,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,151.86986196100042,35,61,75,47,75,57,7.0,1.1825519879967032,,,[],[],[],[],[],[],[],-0.2,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,155.59905976499795,157.42735427400112,,,,,,,,,,,154.37208054800067,154.37208054800067,154.37208054800067,154.37208054800067,154.37208054800067,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
