bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,27.633211500011384,27.633211500011384,space,1.7689418999943882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
,,,,,,,,,,,29.442884600022808,29.442884600022808,s,8.156474400078878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,37.62338130013086,None,38.649146400159225,38.649146400159225,38.649146400159225,38.649146400159225,38.649146400159225,38.649146400159225,j,0.25312020001001656,38.94963930011727,38.94963930011727,38.94963930011727,38.94963930011727,38.94963930011727,38.94963930011727,39.23401390016079,39.23401390016079,40.56366640003398,40.56366640003398,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,40.58230540016666,45,49,39,64,64,37,None,None,43.115885000210255,43.115885000210255,43.115885000210255,43.115885000210255,43.115885000210255,43.115885000210255,43.115885000210255,43.115885000210255,0.006587299983948469,43.115885000210255,60,60,[-0.037037037037037035],[-0.3101851851851852],[1],[0],[0],[7.587922299979255],['tijiao'],0.2,0,,[],[],[],[],[],[],[],50.81814830005169,50.81814830005169,50.81814830005169,50.81814830005169,4.944444444444445,3.195513099897653,54.06721060001291,56.07130160019733,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,56.07130160019733,56.07130160019733,56.07130160019733,56.07130160019733,56.07130160019733,56.07130160019733,r,0.38492240011692047,56.493583200033754,56.493583200033754,56.493583200033754,56.493583200033754,56.493583200033754,56.493583200033754,56.78589770011604,56.78589770011604,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,57.96605370007455,46,54,39,57,46,62,4.0,3.490222299937159,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],,,,,None,None,64.0003439001739,65.92750300001353,60.475893900031224,60.475893900031224,60.475893900031224,60.475893900031224,60.475893900031224,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,65.92750300001353,65.92750300001353,65.92750300001353,65.92750300001353,65.92750300001353,65.92750300001353,j,0.3740934000816196,66.33011630014516,66.33011630014516,66.33011630014516,66.33011630014516,66.33011630014516,66.33011630014516,66.62619090010412,66.62619090010412,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,68.4378959001042,40,50,37,62,62,31,5.0,2.974400900071487,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,73.94987270003185,75.8673117000144,70.9468843000941,70.9468843000941,70.9468843000941,70.9468843000941,70.9468843000941,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,75.8673117000144,75.8673117000144,75.8673117000144,75.8673117000144,75.8673117000144,75.8673117000144,r,0.5499283999670297,76.44963000016287,76.44963000016287,76.44963000016287,76.44963000016287,76.44963000016287,76.44963000016287,76.7484552001115,76.7484552001115,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,78.19458870007657,40,38,30,61,40,64,None,None,80.70694710011594,80.70694710011594,80.70694710011594,80.70694710011594,80.70694710011594,80.70694710011594,80.70694710011594,80.70694710011594,0.00840090005658567,80.70694710011594,30,30,[0.13055555555555556],[-0.29074074074074074],[1],[0],[0],[7.94948359997943],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],88.67851800005883,88.67851800005883,88.67851800005883,88.67851800005883,6.0,4.6711933999322355,93.36843330017291,95.31383980019018,,,,,,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,95.31383980019018,95.31383980019018,95.31383980019018,95.31383980019018,95.31383980019018,95.31383980019018,j,0.4441994000226259,95.78018220001832,95.78018220001832,95.78018220001832,95.78018220001832,95.78018220001832,95.78018220001832,96.0790606001392,96.0790606001392,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,97.79074640013278,40,40,30,64,64,67,4.0,0.8807308000978082,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,101.20846480014734,103.14291590009816,100.29978690017015,100.29978690017015,100.29978690017015,100.29978690017015,100.29978690017015,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,103.14291590009816,103.14291590009816,103.14291590009816,103.14291590009816,103.14291590009816,103.14291590009816,i,0.8224271000362933,103.99834670010023,103.99834670010023,103.99834670010023,103.99834670010023,103.99834670010023,103.99834670010023,104.28987410012633,104.28987410012633,105.83528030011803,105.83528030011803,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,105.8519020001404,42,40,32,57,32,44,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,44,[0.018518518518518517],[-0.29814814814814816],[1],[0],[0],[9.903936799848452],['tijiao_random_2'],118.28786150016822,118.28786150016822,118.28786150016822,118.28786150016822,5.111111111111111,3.2855085998307914,121.59181990008801,123.5207620000001,,,,,,108.37458110018633,108.37458110018633,108.37458110018633,108.37458110018633,108.37458110018633,108.37458110018633,108.37458110018633,108.37458110018633,0.00693949987180531,108.37458110018633,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,123.5207620000001,123.5207620000001,123.5207620000001,123.5207620000001,123.5207620000001,123.5207620000001,f,0.7104636998847127,124.25969030009583,124.25969030009583,124.25969030009583,124.25969030009583,124.25969030009583,124.25969030009583,124.55142970010638,124.55142970010638,126.26282680011354,126.26282680011354,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,126.27969120000489,39,52,25,58,52,68,3.0,2.293161999899894,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,131.1091202001553,133.0113946001511,128.78866550000384,128.78866550000384,128.78866550000384,128.78866550000384,128.78866550000384,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,133.0113946001511,133.0113946001511,133.0113946001511,133.0113946001511,133.0113946001511,133.0113946001511,r,0.2908058001194149,133.3290176000446,133.3290176000446,133.3290176000446,133.3290176000446,133.3290176000446,133.3290176000446,133.62650650017895,133.62650650017895,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,135.22222260013223,33,48,28,56,33,70,3.0,2.176595199853182,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,139.93383900006302,141.90352599998005,137.73134630010463,137.73134630010463,137.73134630010463,137.73134630010463,137.73134630010463,,,,,,,,,,,,,,,,276,f,23,2023-04-04_14h48.37.235,RL,2022.2.4,60.30261049138401,
