bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,slider_2.started,image_7.started,confi.started,notconfi.started,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,52.924081300152466,52.924081300152466,space,8.170412600040436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
,,,,,,,,,,,61.12140960013494,61.12140960013494,s,62.462699400028214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,123.60995930014178,None,124.64138040016405,124.64138040016405,124.64138040016405,124.64138040016405,124.64138040016405,124.64138040016405,r,0.7006928999908268,125.39669069997035,125.39669069997035,125.39669069997035,125.39669069997035,125.39669069997035,125.39669069997035,125.67076840018854,125.67076840018854,126.66830290015787,126.66830290015787,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,126.70559140015393,129.2109833001159,129.2109833001159,129.2109833001159,129.2109833001159,129.2109833001159,45,74,55,40,45,33,6.0,2.3090747999958694,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,131.7083954999689,133.4330220001284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,133.4330220001284,133.4330220001284,133.4330220001284,133.4330220001284,133.4330220001284,133.4330220001284,f,1.0951567001175135,134.55397040001117,134.55397040001117,134.55397040001117,134.55397040001117,134.55397040001117,134.55397040001117,134.84585280017927,134.84585280017927,136.49134599999525,136.49134599999525,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,136.5105848000385,139.01705360016786,139.01705360016786,139.01705360016786,139.01705360016786,139.01705360016786,50,82,52,42,82,41,7.0,1.4950252999551594,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,140.53760979999788,142.0924780999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,142.0924780999776,142.0924780999776,142.0924780999776,142.0924780999776,142.0924780999776,142.0924780999776,i,1.0334865001495928,143.1617009001784,143.1617009001784,143.1617009001784,143.1617009001784,143.1617009001784,143.1617009001784,143.4559739001561,143.4559739001561,144.2697629001923,144.2697629001923,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,144.28645030013286,146.79560970002785,146.79560970002785,146.79560970002785,146.79560970002785,146.79560970002785,51,75,48,47,48,34,7.0,2.14316810015589,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,148.96539660007693,150.96830130019225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,150.96830130019225,150.96830130019225,150.96830130019225,150.96830130019225,150.96830130019225,150.96830130019225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,78,50,45,0,**,None,None,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,158.53051499999128,160.3760295000393,152.52453160006553,158.53051499999128,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,160.3760295000393,160.3760295000393,160.3760295000393,160.3760295000393,160.3760295000393,160.3760295000393,r,0.8316634998191148,161.24063240014948,161.24063240014948,161.24063240014948,161.24063240014948,161.24063240014948,161.24063240014948,161.53946370002814,161.53946370002814,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,163.41752140014432,,,,,,56,71,56,40,56,80,None,None,,,[],[],[],[],[],[],[],0.2,1,80,[-0.003703703703703704],[-0.29907407407407405],[1],[0],[0],[5.180840699933469],['tijiao_random_2'],4.925925925925926,3.8812990998849273,175.0348823000677,176.71446850011125,,,165.94249390019104,165.94249390019104,165.94249390019104,165.94249390019104,165.94249390019104,165.94249390019104,165.94249390019104,165.94249390019104,0.007223699940368533,165.94249390019104,171.14180230000056,171.14180230000056,171.14180230000056,171.14180230000056,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,176.71446850011125,176.71446850011125,176.71446850011125,176.71446850011125,176.71446850011125,176.71446850011125,r,0.7327282000333071,177.4799683999736,177.4799683999736,177.4799683999736,177.4799683999736,177.4799683999736,177.4799683999736,177.7784387001302,177.7784387001302,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,179.35765919997357,,,,,,51,74,65,48,51,43,None,None,50,50,[-0.03333333333333333],[-0.28425925925925927],[1],[0],[0],[5.640569299925119],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],6.972222222222222,2.710971200140193,190.26002480019815,191.83981620008126,,,,,,,,,,,,,187.5303440000862,187.5303440000862,187.5303440000862,187.5303440000862,181.87253150017932,181.87253150017932,181.87253150017932,181.87253150017932,181.87253150017932,181.87253150017932,181.87253150017932,181.87253150017932,0.007254899945110083,181.87253150017932,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,191.83981620008126,191.83981620008126,191.83981620008126,191.83981620008126,191.83981620008126,191.83981620008126,f,0.8127733999863267,192.67348880018108,192.67348880018108,192.67348880018108,192.67348880018108,192.67348880018108,192.67348880018108,192.97069370001554,192.97069370001554,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,194.28370130015537,196.79251409997232,196.79251409997232,196.79251409997232,196.79251409997232,196.79251409997232,48,82,49,43,82,34,6.0,1.9773794999346137,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,198.7975155999884,200.74922090000473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,200.74922090000473,200.74922090000473,200.74922090000473,200.74922090000473,200.74922090000473,200.74922090000473,i,0.4960517999716103,201.26607970008627,201.26607970008627,201.26607970008627,201.26607970008627,201.26607970008627,201.26607970008627,201.56363440002315,201.56363440002315,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,202.76034560007975,,,,,,51,76,55,47,55,71,None,None,80,80,[0.019444444444444445],[-0.30462962962962964],[1],[0],[0],[6.888471600133926],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],8.064814814814815,2.9915899999905378,215.1920435000211,216.8050979000982,,,,,,,,,,,,,212.18132480001077,212.18132480001077,212.18132480001077,212.18132480001077,205.2705318001099,205.2705318001099,205.2705318001099,205.2705318001099,205.2705318001099,205.2705318001099,205.2705318001099,205.2705318001099,0.005765100009739399,205.2705318001099,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,216.8050979000982,216.8050979000982,216.8050979000982,216.8050979000982,216.8050979000982,216.8050979000982,j,0.5978884999640286,217.4220771000255,217.4220771000255,217.4220771000255,217.4220771000255,217.4220771000255,217.4220771000255,217.71985520003363,217.71985520003363,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,218.78571570012718,,,,,,61,86,43,42,42,69,None,None,50,50,[0.018518518518518517],[-0.29074074074074074],[1],[0],[0],[5.475334299961105],['tijiao'],0.2,0,,[],[],[],[],[],[],[],7.037037037037037,2.343264700146392,229.15385460015386,231.14964290009812,,,,,,,,,,,,,226.79163100011647,226.79163100011647,226.79163100011647,226.79163100011647,221.2944716999773,221.2944716999773,221.2944716999773,221.2944716999773,221.2944716999773,221.2944716999773,221.2944716999773,221.2944716999773,0.006531999912112951,221.2944716999773,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
0,0.3,0.225,0,9,9,9,,,,,,,,,,None,231.14964290009812,231.14964290009812,231.14964290009812,231.14964290009812,231.14964290009812,231.14964290009812,r,1.298658800078556,232.48092450015247,232.48092450015247,232.48092450015247,232.48092450015247,232.48092450015247,232.48092450015247,232.77871690015309,232.77871690015309,234.24127520015463,234.24127520015463,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,234.2576498000417,,,,,,42,78,54,51,42,70,None,None,,,[],[],[],[],[],[],[],-0.6,1,50,[0.006481481481481481],[-0.29074074074074074],[1],[0],[0],[6.097029000055045],['tijiao_random_2'],10.00925925925926,2.137567500118166,245.04379590018652,246.839910000097,,,236.77763790008612,236.77763790008612,236.77763790008612,236.77763790008612,236.77763790008612,236.77763790008612,236.77763790008612,236.77763790008612,0.006797099951654673,236.77763790008612,242.88819060008973,242.88819060008973,242.88819060008973,242.88819060008973,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,None,246.839910000097,246.839910000097,246.839910000097,246.839910000097,246.839910000097,246.839910000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,71,43,42,0,**,None,None,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,254.3856342001818,255.93203350016847,248.3765498001594,254.3856342001818,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,m,23,2023-04-04_17h36.54.912,RL,2022.2.4,60.160978782174794,
