bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,41.893334202992264,41.893334202992264,space,12.092882128999918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
,,,,,,,,,,,54.04460157599533,54.04460157599533,s,46.88435979699716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,100.97325630299747,None,102.03242541699728,102.03242541699728,102.03242541699728,102.03242541699728,102.03242541699728,102.03242541699728,j,0.650842699003988,102.75203487199906,102.75203487199906,102.75203487199906,102.75203487199906,102.75203487199906,102.75203487199906,103.00978585299163,103.00978585299163,104.40634678700007,104.40634678700007,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,104.4511132609914,41,47,54,62,62,49,None,None,106.99830068199662,106.99830068199662,106.99830068199662,106.99830068199662,106.99830068199662,106.99830068199662,106.99830068199662,106.99830068199662,0.014341987000079826,106.99830068199662,62,62,[0.075],[-0.27875],[1],[0],[0],[12.594765132002067],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],119.81364387000212,119.81364387000212,119.81364387000212,119.81364387000212,2.15,6.663815274994704,126.48169869100093,128.37849078800355,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,128.37849078800355,128.37849078800355,128.37849078800355,128.37849078800355,128.37849078800355,128.37849078800355,r,0.4749475500138942,128.907861751999,128.907861751999,128.907861751999,128.907861751999,128.907861751999,128.907861751999,129.18382630999258,129.18382630999258,130.0064929969958,130.0064929969958,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,130.0489461840043,30,35,56,66,30,33,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,62,[0.06625],[-0.27875],[1],[0],[0],[8.38022809199174],['tijiao_random_2'],140.97161346000212,140.97161346000212,140.97161346000212,140.97161346000212,2.0625,2.5670699479960604,143.5579732329934,145.28549162700074,132.57273844600422,132.57273844600422,132.57273844600422,132.57273844600422,132.57273844600422,132.57273844600422,132.57273844600422,132.57273844600422,0.010244376986520365,132.57273844600422,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,145.28549162700074,145.28549162700074,145.28549162700074,145.28549162700074,145.28549162700074,145.28549162700074,f,0.766041327995481,146.09553730899643,146.09553730899643,146.09553730899643,146.09553730899643,146.09553730899643,146.09553730899643,146.36151220899774,146.36151220899774,147.8941498639906,147.8941498639906,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,147.95110774399654,35,31,44,65,31,42,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,42,[-0.0475],[-0.2825],[1],[0],[0],[4.451927804999286],['tijiao_random_2'],154.94848574599018,154.94848574599018,154.94848574599018,154.94848574599018,6.9375,1.6548977569909766,156.62560765499074,158.5923605220014,150.4806856649957,150.4806856649957,150.4806856649957,150.4806856649957,150.4806856649957,150.4806856649957,150.4806856649957,150.4806856649957,0.010100886996951886,150.4806856649957,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,158.5923605220014,158.5923605220014,158.5923605220014,158.5923605220014,158.5923605220014,158.5923605220014,i,0.6361666119919391,159.27829538600054,159.27829538600054,159.27829538600054,159.27829538600054,159.27829538600054,159.27829538600054,159.54805696599942,159.54805696599942,161.18680902699998,161.18680902699998,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,161.22720863399445,30,37,40,54,40,38,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,30,"[0.03625, 0.0275]","[-0.23875, -0.26]","[1, 1]","[0, 0]","[0, 0]","[5.303697897994425, 6.0197815540013835]",['tijiao_random_2'],169.7906881069939,169.7906881069939,169.7906881069939,169.7906881069939,3.1500000000000004,2.706010226989747,172.51695052700234,174.51639102600166,163.7501320099982,163.7501320099982,163.7501320099982,163.7501320099982,163.7501320099982,163.7501320099982,163.7501320099982,163.7501320099982,0.010609722012304701,163.7501320099982,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,174.51639102600166,174.51639102600166,174.51639102600166,174.51639102600166,174.51639102600166,174.51639102600166,j,0.49264440800470766,175.0525114429911,175.0525114429911,175.0525114429911,175.0525114429911,175.0525114429911,175.0525114429911,175.32381706299202,175.32381706299202,177.03248491999693,177.03248491999693,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,177.07320934699965,29,36,36,55,55,48,None,None,179.59780560400395,179.59780560400395,179.59780560400395,179.59780560400395,179.59780560400395,179.59780560400395,179.59780560400395,179.59780560400395,0.008343616995261982,179.59780560400395,55,55,[-0.11],[-0.2575],[1],[0],[0],[5.947041046994855],['tijiao'],0.2,0,,[],[],[],[],[],[],[],185.57797574499273,185.57797574499273,185.57797574499273,185.57797574499273,3.0250000000000004,1.2753056999936234,186.87215751799522,188.68952726499992,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,188.68952726499992,188.68952726499992,188.68952726499992,188.68952726499992,188.68952726499992,188.68952726499992,f,0.6307303520006826,189.36295047900057,189.36295047900057,189.36295047900057,189.36295047900057,189.36295047900057,189.36295047900057,189.63397087500198,189.63397087500198,190.79170780700224,190.79170780700224,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,190.83225893299095,23,31,43,56,31,85,None,None,193.3660329300037,193.3660329300037,193.3660329300037,193.3660329300037,193.3660329300037,193.3660329300037,193.3660329300037,193.3660329300037,0.008816269008093514,193.3660329300037,31,31,[-0.0325],[-0.29],[1],[0],[0],[8.995830311003374],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],202.41282909999427,202.41282909999427,202.41282909999427,202.41282909999427,2.9875,3.3902710039983504,205.80397872399772,207.36448256300355,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,207.36448256300355,207.36448256300355,207.36448256300355,207.36448256300355,207.36448256300355,207.36448256300355,j,0.3694876069930615,207.7751311460015,207.7751311460015,207.7751311460015,207.7751311460015,207.7751311460015,207.7751311460015,208.05143115099054,208.05143115099054,209.25028295199445,209.25028295199445,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,209.29072233800252,30,21,46,54,54,42,4.0,8.975628150001285,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,220.8456196229963,222.45430389599642,,,,,,,,,,,211.8010756970034,211.8010756970034,211.8010756970034,211.8010756970034,211.8010756970034,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,222.45430389599642,222.45430389599642,222.45430389599642,222.45430389599642,222.45430389599642,222.45430389599642,f,0.4682186829886632,222.97624915499182,222.97624915499182,222.97624915499182,222.97624915499182,222.97624915499182,222.97624915499182,223.2448555329902,223.2448555329902,225.11756163999962,225.11756163999962,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,225.15404169500107,36,23,51,55,23,46,2.0,3.6477037019940326,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,231.3481252539932,233.27764453199052,,,,,,,,,,,227.6563147889974,227.6563147889974,227.6563147889974,227.6563147889974,227.6563147889974,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
