bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,67.84835190000013,67.84835190000013,space,9.151531499810517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
,,,,,,,,,,,77.03641770011745,77.03641770011745,s,52.78648599982262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,129.85178490006365,None,130.88982879999094,130.88982879999094,130.88982879999094,130.88982879999094,130.88982879999094,130.88982879999094,r,0.631837299792096,131.57015580008738,131.57015580008738,131.57015580008738,131.57015580008738,131.57015580008738,131.57015580008738,131.8460783001501,131.8460783001501,133.42452240013517,133.42452240013517,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,133.46302070003003,135.9677556999959,135.9677556999959,135.9677556999959,135.9677556999959,135.9677556999959,73,46,48,54,73,52,7.0,2.159884100081399,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,138.31743609998375,140.13966420013458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,140.13966420013458,140.13966420013458,140.13966420013458,140.13966420013458,140.13966420013458,140.13966420013458,i,0.47461070003919303,140.64524139999412,140.64524139999412,140.64524139999412,140.64524139999412,140.64524139999412,140.64524139999412,140.93798650009558,140.93798650009558,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,142.7362508000806,,,,,,80,43,39,48,39,46,None,None,50,50,[0.05277777777777778],[-0.28703703703703703],[1],[0],[0],[5.310058200033382],['tijiao'],0.6,0,,[],[],[],[],[],[],[],1.1203703703703702,1.6292905998416245,152.23904770007357,154.00167930009775,145.2687634001486,145.2687634001486,145.2687634001486,145.2687634001486,145.2687634001486,145.2687634001486,145.2687634001486,145.2687634001486,0.006620500003919005,145.2687634001486,150.59780470002443,150.59780470002443,150.59780470002443,150.59780470002443,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,154.00167930009775,154.00167930009775,154.00167930009775,154.00167930009775,154.00167930009775,154.00167930009775,f,0.7320769000798464,154.76700290013105,154.76700290013105,154.76700290013105,154.76700290013105,154.76700290013105,154.76700290013105,155.06598820001818,155.06598820001818,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,155.9964644999709,,,,,,76,52,49,59,52,67,None,None,55,55,[0.012037037037037037],[-0.2796296296296296],[1],[0],[0],[6.720202399883419],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],3.1203703703703702,2.2772894999943674,167.54728260007687,169.49253139994107,158.50855010002851,158.50855010002851,158.50855010002851,158.50855010002851,158.50855010002851,158.50855010002851,158.50855010002851,158.50855010002851,0.0075777999591082335,158.50855010002851,165.25309250014834,165.25309250014834,165.25309250014834,165.25309250014834,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,169.49253139994107,169.49253139994107,169.49253139994107,169.49253139994107,169.49253139994107,169.49253139994107,j,0.9529973000753671,170.47910150000826,170.47910150000826,170.47910150000826,170.47910150000826,170.47910150000826,170.47910150000826,170.77313060010783,170.77313060010783,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,172.43508359999396,174.94389320001937,174.94389320001937,174.94389320001937,174.94389320001937,174.94389320001937,67,55,39,52,52,53,3.0,1.9770885000471026,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,176.94864420010708,178.75063170003705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,178.75063170003705,178.75063170003705,178.75063170003705,178.75063170003705,178.75063170003705,178.75063170003705,r,0.44298629998229444,179.21665369998664,179.21665369998664,179.21665369998664,179.21665369998664,179.21665369998664,179.21665369998664,179.51584220002405,179.51584220002405,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,181.5099266001489,184.01935030007735,184.01935030007735,184.01935030007735,184.01935030007735,184.01935030007735,70,59,41,50,70,61,6.0,2.924353800015524,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,186.96851329994388,188.67404399998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,188.67404399998486,188.67404399998486,188.67404399998486,188.67404399998486,188.67404399998486,188.67404399998486,f,0.7461395999416709,189.43882949999534,189.43882949999534,189.43882949999534,189.43882949999534,189.43882949999534,189.43882949999534,189.7377232001163,189.7377232001163,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,190.90099730016664,,,,,,71,54,38,45,54,52,None,None,,,[],[],[],[],[],[],[],0.6,1,53,[0.12685185185185185],[-0.2851851851851852],[1],[0],[0],[4.68674619984813],['tijiao_random_2'],7.027777777777778,1.8882298998069018,200.02520190016367,201.73803180013783,,,,,,,,,,,198.11856350000016,198.11856350000016,198.11856350000016,198.11856350000016,193.42311850003898,193.42311850003898,193.42311850003898,193.42311850003898,193.42311850003898,193.42311850003898,193.42311850003898,193.42311850003898,0.006258300039917231,193.42311850003898,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,201.73803180013783,201.73803180013783,201.73803180013783,201.73803180013783,201.73803180013783,201.73803180013783,j,0.9472409998998046,202.71956440014765,202.71956440014765,202.71956440014765,202.71956440014765,202.71956440014765,202.71956440014765,203.01841789996251,203.01841789996251,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,204.5140691001434,207.0231964001432,207.0231964001432,207.0231964001432,207.0231964001432,207.0231964001432,72,57,43,49,49,72,2.0,3.0410011000931263,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],None,None,210.09100920008495,212.01001510000788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,7,7,7,,,,,,,,,,None,212.01001510000788,212.01001510000788,212.01001510000788,212.01001510000788,212.01001510000788,212.01001510000788,r,1.196080300025642,213.22378810006194,213.22378810006194,213.22378810006194,213.22378810006194,213.22378810006194,213.22378810006194,213.5230096001178,213.5230096001178,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,214.5702364000026,217.07923949998803,217.07923949998803,217.07923949998803,217.07923949998803,217.07923949998803,74,56,45,58,74,70,6.0,2.5756759999785572,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],None,None,219.68001620005816,221.45116730011068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,221.45116730011068,221.45116730011068,221.45116730011068,221.45116730011068,221.45116730011068,221.45116730011068,r,1.0229575000703335,222.50047550001182,222.50047550001182,222.50047550001182,222.50047550001182,222.50047550001182,222.50047550001182,222.7977138001006,222.7977138001006,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,224.70989189995453,,,,,,81,54,51,46,81,58,None,None,80,80,[0.018518518518518517],[-0.2962962962962963],[1],[0],[0],[8.914869399974123],['tijiao'],0.6,0,,[],[],[],[],[],[],[],8.00925925925926,2.5602963999845088,238.73627600003965,240.61522010015324,227.22172180004418,227.22172180004418,227.22172180004418,227.22172180004418,227.22172180004418,227.22172180004418,227.22172180004418,227.22172180004418,0.007893200032413006,227.22172180004418,236.15723030013032,236.15723030013032,236.15723030013032,236.15723030013032,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
