bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,expectself.started,tijiao_click.started,value_expect_self,expectself.text,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,11.675358750000015,11.675358750000015,space,5.277223292000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
,,,,,,,,,,,16.99698220900001,16.99698220900001,s,575.401232959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
1,-0.3,-0.225,0,0,0,0,,,,,,,,,592.6859365,None,593.475400542,593.475400542,593.475400542,593.475400542,593.475400542,593.475400542,r,0.4315280419999681,594.0398319589999,594.0398319589999,594.0398319589999,594.0398319589999,594.0398319589999,594.0398319589999,594.295881792,594.295881792,596.139679917,596.139679917,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,596.191987209,57,67,38,25,57,46,None,None,598.737106625,598.737106625,598.737106625,598.737106625,598.737106625,598.737106625,598.737106625,598.737106625,0.012931875000049331,🎂3,🎂3,[0.0962962962962963],[-0.337037037037037],[1],[0],[0],[6.219113333999985],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],605.1287527500001,605.1287527500001,605.1287527500001,605.1287527500001,6.842592592592593,1.1025482500000408,606.2201432500001,607.8267343750001,,,,,,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
0,0.3,0.225,0,1,1,1,,,,,,,,,,None,607.8267343750001,607.8267343750001,607.8267343750001,607.8267343750001,607.8267343750001,607.8267343750001,f,0.3215950000000021,608.2196767089999,608.2196767089999,608.2196767089999,608.2196767089999,608.2196767089999,608.2196767089999,608.4632448340001,608.4632448340001,609.8166141250001,609.8166141250001,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,609.8776945,59,52,33,35,52,68,4.0,5.004099457999928,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,617.428902875,618.940539042,612.377925542,612.377925542,612.377925542,612.377925542,612.377925542,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
1,-0.3,-0.225,0,2,2,2,,,,,,,,,,None,618.940539042,618.940539042,618.940539042,618.940539042,618.940539042,618.940539042,r,0.5933775409999953,619.6013190000001,619.6013190000001,619.6013190000001,619.6013190000001,619.6013190000001,619.6013190000001,619.8483599589999,619.8483599589999,620.8143735839999,620.8143735839999,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,620.8867310420001,61,60,33,32,61,40,4.0,0.8883385829999497,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,624.3094686249999,626.024016542,623.3966700840001,623.3966700840001,623.3966700840001,623.3966700840001,623.3966700840001,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
0,0.3,0.225,0,3,3,3,,,,,,,,,,None,626.024016542,626.024016542,626.024016542,626.024016542,626.024016542,626.024016542,f,0.32681587500007936,626.4032574170001,626.4032574170001,626.4032574170001,626.4032574170001,626.4032574170001,626.4032574170001,626.656358667,626.656358667,627.5632252089999,627.5632252089999,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,627.616499792,57,55,25,34,55,76,None,None,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,分3,[-0.000925925925925926],[-0.28703703703703703],[1],[0],[0],[5.258084457999985],['tijiao'],635.42467025,635.42467025,635.42467025,635.42467025,6.2592592592592595,1.0348269170000322,636.463476375,638.134269459,,,,,,630.153172417,630.153172417,630.153172417,630.153172417,630.153172417,630.153172417,630.153172417,630.153172417,0.011317875000031563,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
1,-0.3,-0.225,0,4,4,4,,,,,,,,,,None,638.134269459,638.134269459,638.134269459,638.134269459,638.134269459,638.134269459,r,0.23121212499995636,638.4318163749999,638.4318163749999,638.4318163749999,638.4318163749999,638.4318163749999,638.4318163749999,638.684828834,638.684828834,640.3302035419999,640.3302035419999,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,640.3681696250001,62,63,25,33,62,33,4.0,0.6523977499999773,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,643.553842459,645.3600558339999,642.8611646249999,642.8611646249999,642.8611646249999,642.8611646249999,642.8611646249999,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
0,0.3,0.225,0,5,5,5,,,,,,,,,,None,645.3600558339999,645.3600558339999,645.3600558339999,645.3600558339999,645.3600558339999,645.3600558339999,f,0.3525184170000557,645.7885008339999,645.7885008339999,645.7885008339999,645.7885008339999,645.7885008339999,645.7885008339999,646.0339407920001,646.0339407920001,647.401192,647.401192,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,647.4822951670001,58,58,35,40,58,36,4.0,0.8396326669999326,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,650.8788844590001,652.5525104589999,649.978073,649.978073,649.978073,649.978073,649.978073,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
1,-0.3,-0.225,0,6,6,6,,,,,,,,,,None,652.5525104589999,652.5525104589999,652.5525104589999,652.5525104589999,652.5525104589999,652.5525104589999,f,0.21407779099990876,652.8265779589999,652.8265779589999,652.8265779589999,652.8265779589999,652.8265779589999,652.8265779589999,653.097541417,653.097541417,654.714180292,654.714180292,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,654.739792417,65,60,36,37,60,56,None,None,657.263764625,657.263764625,657.263764625,657.263764625,657.263764625,657.263764625,657.263764625,657.263764625,0.014020167000012407,饭4,饭4,[0.04814814814814815],[-0.2796296296296296],[1],[0],[0],[102.61076491699998],['tijiao'],0.6,0,,[],[],[],[],[],[],[],759.9019264589999,759.9019264589999,759.9019264589999,759.9019264589999,6.888888888888889,1.0884282920000032,760.9993402919999,762.544956125,,,,,,,,,,,,,,,1,f,1,2023-03-18_21h40.49.956,RL,2022.2.4,116.68600134260419,
,,,,,,,,,,,,,,,,None,762.544956125,762.544956125,762.544956125,762.544956125,762.544956125,762.544956125,f,0.18033100000002378,762.807249,762.807249,762.807249,762.807249,762.807249,762.807249,763.075697542,763.075697542,764.7105630000001,764.7105630000001,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,764.7516257919999,57,52,27,48,52,24,None,None,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,,,,,,,,,,,,,,,,,,,,,,767.281218959,767.281218959,767.281218959,767.281218959,767.281218959,767.281218959,767.281218959,767.281218959,0.011072958999989169,,,,,,,,
