,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a_1[1],-0.06616611978264939,0.0004434880291112132,0.03700403127196433,-0.14645538194621047,-0.08861378455859055,-0.06327990805515242,-0.040378323540199754,-0.0007687588760627098,6962.004111398387,0.9998945534117334
phi_a_1[2],-0.023800496917471648,0.00038074872126526044,0.029618411553054943,-0.08268782077134607,-0.0436104213504673,-0.023299124001262883,-0.003413289736007208,0.033246006405521396,6051.27123915913,0.9996408868949196
phi_a_1[3],-0.013015355957038715,0.00037533060319189086,0.02875302279837832,-0.07135117738200994,-0.03209350804996905,-0.01229060577929732,0.006561706280196449,0.041493586304745686,5868.661546160831,1.000205796434071
phi_a_1[4],-0.031271735627344865,0.0003628111640870179,0.02978996816835757,-0.09312422624139303,-0.05016247739903657,-0.029817393914795605,-0.010654352178483817,0.023934671693753885,6741.845468291916,1.0000687568395494
phi_a_1[5],-0.006999373724082774,0.00028644855469260144,0.021688934973155632,-0.0493429054611095,-0.021576412846220118,-0.007237727373423448,0.007423482778438404,0.03629659521323904,5733.016381463315,0.9999867377242069
phi_a_0[1],0.007345795520467998,0.0002925819720509888,0.022285493171994335,-0.038599512503309785,-0.007276531364678169,0.007867512761807603,0.022605934139929305,0.04967271083096468,5801.621249431344,1.000628299763524
phi_a_0[2],-0.008110751250926094,0.00028373970031043256,0.021383441183627585,-0.05014253953527592,-0.02224544473534469,-0.008260852883041497,0.0066392315079444805,0.03344595305493438,5679.563787019271,0.9997597260869945
phi_a_0[3],-0.04238860880519866,0.00036119708183498595,0.027635569888952626,-0.09872375003468249,-0.060765857041730216,-0.04210111043956222,-0.023475118873341527,0.010500897245954731,5853.9415773907685,1.0004731214690308
phi_a_0[4],-0.01450278835290466,0.0003112452864288436,0.02259777989770566,-0.0600214614535344,-0.029399127896954848,-0.013922625178384678,0.0009251389107112716,0.028535475052067914,5271.400123429928,1.0003493172126827
phi_a_0[5],-0.004193023979665386,0.00027372911562194866,0.020241900876763908,-0.04397736749466126,-0.01742842834834516,-0.004553323487235987,0.009258215402567584,0.03635473972715737,5468.404085374657,0.9999264488686278
beta_b[1],0.09407580951148037,0.00024280889734157053,0.022143683296286222,0.05374992543812761,0.07889360079925307,0.09313149434123436,0.10821996757095173,0.14017670371417304,8317.073308390438,0.9999636143549524
beta_b[2],0.008009169364742306,5.8724885876917526e-05,0.00535047043343208,0.00035950967707587767,0.0038105268164404012,0.007256830170120188,0.011393312030994258,0.02042496284040697,8301.175087930413,1.0000619204712484
beta_b[3],0.05500333365409772,0.00013803532426629904,0.01309516111835477,0.029625944872363662,0.04621421787199116,0.05480620146130194,0.06382943097862756,0.08117221315211805,8999.97312906749,1.0000425621805193
beta_b[4],0.039555832545805955,9.525539706120092e-05,0.009361052211245452,0.022344005235811253,0.032804787128744906,0.039377044414149964,0.045776123350349744,0.058161450646728494,9657.620857669659,0.999811117670964
beta_b[5],0.03540449279692488,8.356831530583881e-05,0.008142960106136474,0.019925008801448776,0.029827444528450393,0.035172883196348426,0.04067143869259986,0.052175479183637866,9494.701594680177,1.000173736583669
phi_b[1],0.0070533804887988475,0.0012528314478106397,0.09167962031623501,-0.18120635566249177,-0.05341163864921476,0.00974684017726056,0.06969070323957935,0.18199941388899799,5355.010411793041,1.0006871322787771
phi_b[2],-0.07843034630507262,0.001225621642532676,0.09098905129391567,-0.26107609176328717,-0.1375057540628161,-0.07640020971098815,-0.015197318250028881,0.09409411047148586,5511.444406358437,0.9996574174159453
phi_b[3],-0.1592811494416969,0.0014042091627342163,0.10128223055490701,-0.3677496322614196,-0.226141681643685,-0.15505936919173263,-0.08873532512038276,0.02741323865271363,5202.390039578783,1.0003340582120586
phi_b[4],-0.22043039204506146,0.0013756593892896723,0.09535026667963933,-0.4211667233380121,-0.28223914955737245,-0.21332878546577266,-0.1516156527016907,-0.05406318734610023,4804.210086175761,1.0004132889165898
phi_b[5],-0.012401294860699973,0.0013126952188320115,0.09347684445656669,-0.20316299188203316,-0.0727062354732389,-0.009428470877376569,0.05144607146129807,0.160595767253572,5070.844345753982,0.9998264190585064
persev_b[1],1.2117969657626595,0.004193097090041162,0.3901123169606754,0.4513712408186955,0.9472304839390355,1.2085032312078727,1.4696642365183383,1.989373659949325,8655.845338336774,1.0000542395527274
persev_b[2],1.0221154014654261,0.002612635194759647,0.24845342986035102,0.5330550646312174,0.8554845675690474,1.0189913561966693,1.189123891394919,1.5052603657767862,9043.41471196,0.9997001315699137
persev_b[3],0.7311032685803298,0.0027676362482706835,0.26975577696352004,0.2009758911921732,0.5468347744654434,0.7338706145864182,0.9141356784077508,1.247477574561631,9499.997438467282,0.9996545866334271
persev_b[4],-0.1964450176801731,0.0023217699737534407,0.2230548162668317,-0.6344535502035985,-0.3469670260258369,-0.19749503532976023,-0.045206616585075854,0.2397086647750431,9229.641436900629,1.0000213799396622
persev_b[5],0.5437758038104791,0.00247141770024984,0.23633656735567515,0.0856826885979291,0.3826321161888978,0.5417051251195285,0.7047752067796712,1.0143815285052025,9144.7016550688,0.9998672251678393
lp__,-749.8342991548005,0.06688086291695057,3.6922779064168476,-757.9278584918129,-752.0999045779563,-749.5327682030555,-747.1574458679925,-743.6379588195441,3047.78991360538,1.002905826670577
