,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
phi_a_1[1],-0.058313760144861664,0.0006517490758590763,0.05044328452726113,-0.16434567160668895,-0.09074543748114917,-0.05647210951723587,-0.02331859973227904,0.034331361998206626,5990.262667741953,1.0002673517288634
phi_a_1[2],0.010370656238327074,0.0004464804632868702,0.03328437327443426,-0.05503355527271005,-0.011788577495253146,0.011067899326155952,0.03290587960726171,0.07436088476797947,5557.453625596322,1.0002556137916554
phi_a_1[3],-0.0005165289784214327,0.00041122297056515113,0.02832624308030067,-0.05673339306547705,-0.019481270256931763,-0.0004635679933906997,0.01835552007536575,0.05611205789258231,4744.858040181884,1.0009772980091558
phi_a_1[4],0.016373442365721403,0.0006778974155309832,0.05628226200483747,-0.09356964430450615,-0.021624126483464845,0.016964605814382992,0.05390373990258057,0.12861550699226182,6893.108758547116,0.9998434928968023
phi_a_1[5],-0.03137194302171496,0.000526326604617796,0.039867240676425275,-0.11143116709021986,-0.05772702380118631,-0.03053067457223981,-0.0046972459271107415,0.04491190341665956,5737.486934673577,1.0002035620220924
persev_a_1[1],0.05152175121861387,0.0037445006259887,0.27358121870473256,-0.4761627639159012,-0.1364598325941731,0.046176862906386104,0.23053148405370083,0.6061875090933193,5338.075900944066,1.0000838458031487
persev_a_1[2],0.2790105582082412,0.00242326019521286,0.16227976430457203,-0.026306555120387688,0.16982821894936045,0.2749701688215415,0.3857364046837941,0.6045792425061661,4484.650874832047,1.000179673051244
persev_a_1[3],0.30691021503530724,0.0025184422890103557,0.17424255483683776,-0.030126726141329697,0.18561215751208537,0.30476359711393186,0.42540255357816775,0.6512316448586674,4786.7908702259865,1.000468176544445
persev_a_1[4],-0.19005112767305188,0.0032064843572479997,0.25346853013220166,-0.6920055678261197,-0.35810287742975566,-0.1876844146369122,-0.02453805587828644,0.29760320170166576,6248.702401285381,1.000128397307943
persev_a_1[5],-0.23621530056626322,0.0029024729125993742,0.21356249258731946,-0.6612523160535806,-0.3801893087312839,-0.23584680639374786,-0.0971291874582342,0.18394708706648144,5413.942156809675,1.0005586716178314
phi_a_0[1],-0.023285215769981535,0.00041417057069523635,0.02769402240419416,-0.07809298879089108,-0.0423648418410736,-0.023262608955714463,-0.004172121103839728,0.03041141964667573,4471.091992702045,1.0001060615351165
phi_a_0[2],-0.04744008408251048,0.0005098604510164953,0.03932418831199838,-0.12648453222167655,-0.07401840768663215,-0.04735667568488064,-0.020394092815462152,0.027626765932376895,5948.628981870867,1.0003107521133734
phi_a_0[3],-0.011876060919587893,0.0005447584471654663,0.04189404645827044,-0.09624364871196014,-0.03948362017370544,-0.011781362034447882,0.01650032163125017,0.06875055940722453,5914.209076644296,1.0002034028475657
