,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_0[1],-0.003525180368986956,0.00011093922332323485,0.00888043875549976,-0.021260220585817797,-0.009330573640084328,-0.003486166506589174,0.0024610511474861467,0.013698182285206115,6407.647391101652,0.9998011442741432
beta_a_0[2],0.07488619365534743,0.0011278595068799874,0.06218241715289997,-0.002768975956039906,0.025536182592941842,0.06233313229845476,0.11207778535792387,0.22622652890560208,3039.6612745484035,1.0013722606446354
beta_a_0[3],-0.0010516851963675836,0.00015668057827852668,0.00737376286197811,-0.0135497153001997,-0.005602441635462819,-0.0013916946763477224,0.0030165301767772065,0.012653488839047102,2214.8687817608243,1.0027868851107506
beta_a_0[4],0.0668783687022082,0.0012273211288366882,0.05942877605032431,0.002401538586821474,0.01693925900616109,0.05186777006817808,0.10130456593492129,0.21625225277336768,2344.645292744725,1.001715731788186
beta_a_0[5],-0.00487740309363832,4.026045945100291e-05,0.0033603096100724024,-0.011483625200473264,-0.0071688613054377275,-0.00484001750990907,-0.0026393933566357776,0.001769509934880438,6966.2833389098605,1.0013835868191479
beta_a_0[6],0.014216246041568804,0.0001234086761440391,0.006892720741286601,0.0036193138365040465,0.009612333143779486,0.013282930824241902,0.01773879123456867,0.029967762502085788,3119.5358420323532,1.001198599516567
beta_a_0[7],0.01323691701605707,0.00014681238993729024,0.009606943784906244,-0.0025542420350811684,0.007075317011999215,0.012532337566363242,0.01821746010184546,0.03363724031301722,4281.9844101986855,1.0004506382600242
beta_a_0[8],0.070757718173522,0.001602084586570889,0.061110147190048904,0.0007352233769038006,0.01490755477452312,0.05887205139726233,0.10787154541112196,0.21687090043225798,1454.9758176674968,1.0026174979241633
beta_a_0[9],0.013121142993402604,0.0022327782154107274,0.041223800273835,-0.006337040545040027,-0.003448780621721711,-0.0016385161683266573,0.0009889603428960558,0.15121830085362115,340.8826349781168,1.0213526720338009
beta_a_0[10],0.02591439690203954,0.0001603131999197507,0.012473627968329683,0.0013129248987283166,0.017648601727523482,0.026115022106489326,0.03403106962867376,0.05034608324786104,6054.064002681867,0.999887146256811
