,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_0[1],0.029141621615559565,0.00033415982618226344,0.014158246445419886,0.008567528886441505,0.019560394224780585,0.028276225467412028,0.03621315302573752,0.057643451246275734,1795.1901741397858,1.0021980547123812
beta_a_0[2],0.022356381831111653,0.0020219616128170537,0.04257223738421901,-0.00011965627402939523,0.0040943310781419145,0.006605817890877479,0.011139762860737222,0.16338516282878018,443.3096017100894,1.0081714537790294
beta_a_0[3],0.07981758869100869,0.0010624314647109715,0.061297955403353116,0.002819484201562716,0.03130113279528182,0.06723638813593935,0.11538783322000887,0.2236264444114511,3328.818599222448,1.0006421885717711
beta_a_0[4],0.008154664022504313,0.0004744234928139506,0.01617577958528281,-0.015438048416823221,-0.00014253632334997783,0.007115562634686363,0.01440321653449507,0.03591654699246939,1162.513668376738,1.0025809209925662
beta_a_0[5],0.004700402496160914,0.0013121538758141087,0.02283486176076459,-0.012137332722994047,-0.003704767675177682,0.0007849735737230769,0.005869436714593642,0.0771360586905659,302.84976319218265,1.0072950537258085
phi_a_0[1],0.05659159739178286,0.00040145092385667874,0.025426630955459398,0.007204102698892019,0.039261228284421607,0.05611939978541308,0.07366252602448609,0.10799123628210633,4011.5546774573936,1.0000043329068253
phi_a_0[2],-0.04010240328557009,0.00026934249903061056,0.016367245397739517,-0.07238946540439503,-0.050831942017767015,-0.03998994779710391,-0.028670578946068653,-0.008744074007394062,3692.6778152087313,0.9999258263946061
phi_a_0[3],-0.05000106591758826,0.00038075088763118883,0.026304864946872557,-0.1009413524955748,-0.06802913990550435,-0.04955451412773847,-0.031955713948178824,-8.96037923096976e-06,4772.987575725669,1.001028746663646
phi_a_0[4],-0.05034140329506811,0.0004981563609900614,0.03691815678805372,-0.12625945963352544,-0.07441477347870558,-0.04931305460880386,-0.02501764706713098,0.019232828042187993,5492.229282682838,1.0002705279350097
phi_a_0[5],-0.2131873977273756,0.0007327316896570824,0.040646458474062744,-0.2932749231861585,-0.24049606864905165,-0.21255274507592892,-0.18537496427057537,-0.13476385707359534,3077.1982289291004,1.0004408605846193
beta_b[1],0.11873127549415827,0.0003497043472132411,0.021614974238611827,0.07860766299012256,0.10392239823778822,0.11810429450146326,0.13278919544827972,0.16281467642206318,3820.3872088243183,1.0007468575848033
beta_b[2],0.04497524070568149,0.00028967487474710317,0.013322764394716365,0.01913385831029811,0.03599786343872528,0.04480642758787318,0.05373118599596288,0.0716422898959542,2115.2759894248925,1.0011949056772238
beta_b[3],0.014680630957685837,0.00012559106253476237,0.011053300478005696,0.0005833151066660341,0.0059308255676463585,0.012336046876364637,0.021165808336506865,0.0409336595368954,7745.803637727935,1.0002634360554585
beta_b[4],0.10391937136454663,0.00022346128396419652,0.01658059490419225,0.07158356157105655,0.09276998830063829,0.10357513636853188,0.11475803817261102,0.13784114003121117,5505.485687517269,1.0005493618793055
beta_b[5],0.06544971369940075,0.0003104472410426622,0.0215511991064016,0.02530939071643411,0.05052221310063057,0.06462554309834084,0.07976754488386163,0.10982387123945689,4819.1147691548385,1.0002626811803692
phi_b[1],0.22017523137939723,0.0013857931096671965,0.08843278113114951,0.04715741786108457,0.16106346427716672,0.22043746697774902,0.27902608422248687,0.39546466823089366,4072.2063005900895,1.000053989643969
phi_b[2],-0.059734532074626666,0.0017426041566975426,0.07900800576678366,-0.21887349318199079,-0.1120733537284677,-0.05719732455345902,-0.004076084952372707,0.08774885644174117,2055.62887085423,1.0007049115880282
phi_b[3],0.08023969578919052,0.0018994385574357406,0.12640589608905853,-0.16807599584166288,-0.0056007975518696275,0.08260808590636076,0.16644601402815457,0.3215143106011325,4428.780579657424,1.0012242823667998
phi_b[4],0.042323673052285356,0.0007899788021781208,0.05969853504253838,-0.08010835676954664,0.0022007950681073515,0.04435676287473772,0.08210032670833746,0.157588001360276,5710.793707341405,1.000676497039226
phi_b[5],-0.2519370912558934,0.0014573280975710844,0.10111367300515096,-0.46041832450164555,-0.3177816140576164,-0.24789118529910784,-0.1810895433367964,-0.06741138562934791,4813.989035227942,1.0003037624428437
persev_b[1],0.37251073926662687,0.0034048467047558635,0.2737745563456131,-0.1550434572563054,0.18599173979878186,0.3707817154393583,0.5571767551318172,0.9159551314654866,6465.3351166836155,1.0004086583279415
persev_b[2],1.136722764516106,0.0038390826689389573,0.31493419076442863,0.5115354969825405,0.9290959590605059,1.1345524577306532,1.346454768508924,1.7620800229611113,6729.529423995556,0.9995726403207892
persev_b[3],-0.012500081602504147,0.0035638683394723088,0.29043666924359907,-0.5894326534871166,-0.20333772448556686,-0.009303400578980627,0.17926724896135737,0.5589075069535847,6641.399303047775,1.0001403868554744
persev_b[4],-0.3462224873596874,0.0031238255210444717,0.2554819251253135,-0.8546300206708062,-0.5179433606546333,-0.34567888139352365,-0.17139761561798533,0.1464416930977813,6688.778626567568,0.9996449975691849
persev_b[5],0.024459683265703358,0.00448850568444504,0.35215547482193016,-0.6837615965497825,-0.2095340185593519,0.025696410348728823,0.2649600771818207,0.7128815864394544,6155.528268740226,0.999778982846187
lp__,-787.9296480096494,0.1400955687766824,4.317397245934876,-797.7378001043344,-790.6347908985467,-787.4500193380445,-784.7961829670483,-780.8000815207158,949.7192104169551,1.0046254756804966
