,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_0[1],0.07856642222151348,0.0010975956331536248,0.06011072215671505,0.00350187935479423,0.03170644427312075,0.06561560663532712,0.11243782755795548,0.22317013126540527,2999.294768701275,1.0000711663313857
beta_a_0[2],0.03846315402943712,0.0017419276561217386,0.06073607625093799,-0.01594751446937773,-0.005552725631253912,0.008119423109688263,0.06961210037177315,0.19490001286223063,1215.719084921908,1.0016999190449967
beta_a_0[3],-0.0005949878727864383,0.0001495007078053876,0.008698275659040971,-0.018349672568956858,-0.0063744977262413655,-0.0004593203400278048,0.005315487887809831,0.01618562692060464,3385.1649544684683,0.9999423478187283
beta_a_0[4],0.05014676386737078,0.002001697130886402,0.061356439885945975,-0.002184149588536938,0.00398882308413641,0.021505097833021593,0.08120517465696392,0.206199614758169,939.557949512535,1.0079750135139451
beta_a_0[5],-0.0036174245857603115,0.00018340335882714327,0.010152071366898439,-0.024354005386899753,-0.010081909075116968,-0.0034011324821843257,0.0032030958537151363,0.01599710730521927,3064.04228291162,1.0010426692334389
phi_a_0[1],0.013831767121640415,0.0003424339736780285,0.01850152139958701,-0.02285650838500878,0.0015651037878530272,0.013618226902660173,0.026411764941136093,0.05093316607423077,2919.1821427452364,0.9998739759928376
phi_a_0[2],-0.008574040597937932,0.0004353962849044963,0.02274983158782154,-0.05311728973685001,-0.023955503702789795,-0.008777645319429539,0.0066062344112473165,0.03649234234815627,2730.1526733403352,1.0001461000668137
phi_a_0[3],-0.05724336580135231,0.0005356944746829043,0.027701328788184754,-0.11311941616436941,-0.07577653980283251,-0.056763505131405406,-0.038166213929622814,-0.004728420909785114,2674.033661877385,1.0004087220549693
phi_a_0[4],-0.015597361289617256,0.00043495195941166203,0.023572467926252682,-0.06169684584402352,-0.031223940548071726,-0.015470627616786642,0.0003672475771695705,0.030385564255251192,2937.1594496007806,1.000042100425281
phi_a_0[5],-0.01478917525579664,0.0005163850951298849,0.0265038598019352,-0.06506755599888235,-0.03282609416670262,-0.015361591236091716,0.0025668396786274134,0.03880735610288345,2634.3341050853965,1.0007731856237647
persev_a_0[1],0.023933457003014778,0.0014666411663550268,0.07827380525132809,-0.1285373131694871,-0.0287019883533943,0.022445318457632646,0.07607050602859222,0.1794857302207281,2848.2962177935824,1.0000470864575253
persev_a_0[2],0.4142547993176991,0.003183013936868988,0.15935739440290833,0.10197191373494416,0.3046529617860333,0.4149378411549708,0.5209210076293289,0.7325161528163424,2506.497985499694,1.0000465613583904
persev_a_0[3],-0.15164930990907924,0.0028579581309787667,0.15268794667365457,-0.45315388420287156,-0.253242956341363,-0.15228112888418444,-0.047008261725153586,0.14044118345839274,2854.2879589708377,1.0005996919699092
persev_a_0[4],0.24810062742932973,0.002074942605309584,0.11318516630084947,0.02644188582027593,0.1736842913164181,0.24680027224004908,0.32319005986211646,0.4715010496700821,2975.547243499472,1.0003895519860986
persev_a_0[5],-0.08180739003366452,0.0034643350458048302,0.19959382118998725,-0.47309890669119714,-0.2167373957308787,-0.08320045153542231,0.05188863464553198,0.316913886882752,3319.360418648141,0.999999046563132
beta_b[1],0.00338972640538734,3.551357412834586e-05,0.0028678682456414546,0.00011623237057294234,0.0011682176563106495,0.0026480722200167284,0.004852400373743355,0.010947901865245663,6521.231620941544,1.0001877225608453
beta_b[2],0.01624808149599823,0.00017328996428922586,0.013410888817701486,0.0005996945074322563,0.005835626944267225,0.012874440912947094,0.023411049398140288,0.05029803344638189,5989.192879887028,1.0004133575911043
beta_b[3],0.13548656480760848,0.0005255387425135347,0.03094471080943934,0.07721006374137047,0.11429554800092874,0.13425334289451923,0.15577927171606537,0.1978537902626977,3467.076159247692,0.9999931503594695
beta_b[4],0.020907993083820804,0.00030316742321276395,0.013503938284627407,0.0014987980796116018,0.01013508087140564,0.01904289774934298,0.02967364228056958,0.05112949305698343,1984.0646714458549,1.0037217120744675
beta_b[5],0.10236228709178999,0.00040368864530998175,0.023581177721498647,0.0591386986454549,0.08606619563294016,0.10139181541198933,0.11801834307688935,0.15056931214635605,3412.226997058228,1.0001006831514705
phi_b[1],0.045263960353010106,0.0017731278230671214,0.09389603646080313,-0.1428072407840958,-0.01621892766060284,0.04468579320859332,0.10877653626831049,0.22745615896499655,2804.235166250414,1.0003903867765858
phi_b[2],-0.21142798827743328,0.0014564101657463509,0.07801437428227721,-0.3760285090824244,-0.26223073482146525,-0.2075863997496215,-0.15702474882468256,-0.0674343131157961,2869.3389639391667,1.000569845971814
phi_b[3],-0.07700488991309362,0.0017301078193797943,0.09332956064620217,-0.2639138202599352,-0.1372538170242496,-0.0754369302772257,-0.014833378994330518,0.10310656269468951,2909.9940755077546,0.9999085817621687
phi_b[4],-0.04395237135496831,0.001710705888109994,0.09081379965432422,-0.225146263529421,-0.10454160881040489,-0.04073729608322055,0.017987217913643664,0.12534665249116475,2818.077896242902,0.99998228934785
phi_b[5],-0.06550053756313799,0.001111549519370875,0.06180326942060051,-0.18977133289483725,-0.10638286508585687,-0.064280784044037,-0.022811576127174,0.05363591255477174,3091.471660600517,1.000407637304989
persev_b[1],0.11755449269410059,0.007472298492660604,0.39588071825309795,-0.6732295514308648,-0.1473615157801057,0.11865250391847879,0.38317979225938026,0.8828553494841429,2806.856918934281,1.0003039005641226
