,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_1[1],-0.010017155650154687,0.0015042242860619569,0.05105940999458136,-0.1709128679459168,-0.006057939072487698,0.0069798649358670025,0.016005230545602545,0.029723453641020303,1152.1960760227892,1.003819913043113
beta_a_1[2],0.0003693941159701564,0.00010132056663356328,0.006316252768884628,-0.011928812802035612,-0.0038023979045790014,0.0002986510213207965,0.004538338482390993,0.012819175691135191,3886.1877945534793,0.9996938230389502
beta_a_1[3],-0.017635968253800205,0.0013073852028726476,0.031907063730381276,-0.12433566645096533,-0.017637223059216015,-0.010636367952026996,-0.004553060234372661,0.005896306596303828,595.6162651946346,1.0034043229453917
beta_a_1[4],-0.07656943338304185,0.001070599988020459,0.06129282788284416,-0.22626485014521858,-0.1128429727364339,-0.0630080676450819,-0.027119799697322804,-0.0011610779386175135,3277.667158143795,1.0003036340301326
beta_a_1[5],0.005492270617795894,0.0024200807638655036,0.021549466151440783,-0.019768396260121432,0.0025703088751767933,0.008623214812697155,0.01383382469336282,0.022930974367386496,79.28906786208243,1.0257270894562172
beta_a_1[6],-0.09816874660704482,0.0009208166508616089,0.05848722285487334,-0.23213135398076876,-0.13322730357412332,-0.08895258247750656,-0.05297214625948155,-0.013032070497188793,4034.369507825783,1.001420733066851
beta_a_1[7],-0.032217664355427,0.0003532688649511199,0.014062911096670625,-0.06060992928538694,-0.04004080341656556,-0.03125211696944226,-0.022856326001576055,-0.008825234098137543,1584.673285292552,1.000762589931633
phi_a_1[1],0.0034527631088476195,0.0006738960791303702,0.028213872863160013,-0.053494137976550366,-0.015551502990282294,0.004862431083248139,0.023391703612231758,0.055191281426018604,1752.8290040464958,1.000868276214592
phi_a_1[2],0.004981694066504767,0.0005902868740749104,0.03666887154382986,-0.06586540721541123,-0.01981167631339311,0.004984084622845269,0.029229906196188215,0.07841506560828282,3858.947213625212,1.0000693567956065
phi_a_1[3],-0.016349619315004622,0.0005519563336064794,0.034595305039627475,-0.08170429016882998,-0.04049500156607462,-0.0171336648612491,0.006343554381148224,0.05412664769474508,3928.48307347978,1.0006348544291346
phi_a_1[4],0.015719225111687423,0.00042563044188759176,0.028235415468571973,-0.03929801341232051,-0.0035545623649010085,0.015478435258835108,0.03441642095118814,0.07303491926264977,4400.712543086141,1.0003558315640253
phi_a_1[5],-0.06867591019045828,0.0005578120840512892,0.026431876961800976,-0.12422700423537042,-0.08558507933575965,-0.06736667461634696,-0.050848132988215576,-0.020242722240796426,2245.3299611051207,1.0016893261153816
phi_a_1[6],0.006484023712713538,0.0007213647481002247,0.04082701762298414,-0.0760061909552593,-0.021045018579027415,0.00753073625222046,0.03455261138440498,0.08538729469125858,3203.210519309641,1.0017321941794275
phi_a_1[7],-0.10936915541285845,0.0005707974505378652,0.03393711304662396,-0.17799739058045155,-0.13180381991772117,-0.10871378721678103,-0.08661953458625679,-0.04456461343258028,3534.97006846161,1.0005196694224836
beta_a_0[1],-0.0055756147621506815,0.0008111152216994476,0.0322174176688324,-0.047980173242480106,-0.023944458738748807,-0.011377339752402696,0.004386730750308649,0.08153862272775941,1577.6706689736745,1.0022504752380315
beta_a_0[2],0.004405275876332602,8.645431053345935e-05,0.0046063780371697295,-0.0038555494426298085,0.001415154585580371,0.004239648387846356,0.007081123000717175,0.013533635027759573,2838.8722549750482,0.9998684798502643
beta_a_0[3],-0.0027043410349001863,0.00015967415770279175,0.008216040327149152,-0.018756206514382458,-0.008326207393982236,-0.0028310891144299184,0.002825646186919489,0.013486165077631748,2647.6212416766643,1.0012810343407832
beta_a_0[4],0.06864320398365502,0.0013098383627921258,0.0622926226418027,-0.0019635789932085632,0.015007835797754705,0.05619689063994099,0.10571076389347432,0.21702664609035588,2261.714695468743,1.00094763051192
beta_a_0[5],0.06970001822959775,0.0011109333625807859,0.0623124455601943,-0.00959241457200429,0.02097692372507441,0.056849482892193534,0.10602027328965964,0.21891847722289715,3146.107614365266,1.0008455820495983
