,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_1[1],-0.02501942103349353,0.0004884776340829224,0.025510862963644753,-0.09127968185511756,-0.03144500405100438,-0.02088642570169095,-0.011702820722869586,0.0045303007917804495,2727.4759686894818,1.0031988956232765
beta_a_1[2],-0.09295102753122314,0.0005770285714687825,0.05964858416996392,-0.2315021823678434,-0.12857017344169727,-0.08377090168544558,-0.04783154931022759,-0.006606505352022837,10685.765611601033,1.0000076136049987
beta_a_1[3],-0.10489035017800029,0.0005624562626441438,0.05783208139348287,-0.23958925456952618,-0.13883992352267954,-0.09699863074749272,-0.0626502446988062,-0.014756580257493811,10572.072491890789,1.0000430908514224
beta_a_1[4],-0.013200679898255362,0.00013967802103668228,0.012427191082443327,-0.03839296124828226,-0.021330513651494687,-0.0130604700741234,-0.004769228090806259,0.010975599890310092,7915.708737169544,1.0000607167505384
beta_a_1[5],-0.02018020712953576,0.0007866212932801479,0.04099859835560213,-0.15189363310132456,-0.019357893869888725,-0.006361315852979572,0.0003178012643286371,0.009236186527311074,2716.4806912038102,1.0017092781476538
phi_a_1[1],-0.14361002637081655,0.00044282721398375413,0.04775617089440416,-0.24021624386485035,-0.17529591143795648,-0.14272558335664287,-0.11093963843694471,-0.053099763957625445,11630.285877893577,0.999812220263821
phi_a_1[2],0.006970625909175524,0.000591763667648631,0.0590236307959461,-0.10876404187600094,-0.03297688479912293,0.007822404283768628,0.046346374426469265,0.12161822277671802,9948.446020190531,1.0002710974913849
phi_a_1[3],-0.021564399183038575,0.0004605266601714,0.04646294056745655,-0.11618830662322095,-0.05130319979080947,-0.020300166033370624,0.010245021533613128,0.06584933954871199,10178.969912235467,1.000068019614078
phi_a_1[4],0.011997095725882194,0.0003995192921567332,0.034847975213801334,-0.055852841948189666,-0.011513835795782553,0.012214543340757998,0.03516487734768846,0.08098897622553687,7608.159123868759,1.0000675497603688
phi_a_1[5],-0.08198288879830759,0.0005479799711178211,0.052280632853057285,-0.18588485278699524,-0.11713395141508731,-0.08147782311028542,-0.04534520383837035,0.01715923812561821,9102.324241252067,0.9999460795644692
persev_a_1[1],-0.10448416043459688,0.002059521872180771,0.1980536872334024,-0.490657508188527,-0.23936992267335538,-0.10422854060551429,0.025460117336968832,0.2927741110858082,9247.68540964707,1.000060471410816
persev_a_1[2],0.2250334186924909,0.0021170326713661224,0.20354387036825206,-0.16702637311555452,0.08669070765317437,0.2229729839826084,0.36163321330113474,0.6309911999622424,9244.021266077072,1.0000397736801945
persev_a_1[3],0.0370026187624171,0.0027331862349814625,0.26299791067606854,-0.5063355947163776,-0.13378389324758608,0.044125913278535406,0.21678261895634549,0.5324193907251265,9259.043981113411,1.000141287795818
