,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a_1[1],-0.08373117318196824,0.0010009592869926628,0.060276085693469345,-0.2259263339940173,-0.11849510537308539,-0.07103324338026012,-0.03631807790684281,-0.005318917226104888,3626.2459483995963,1.0007034457627972
beta_a_1[2],-0.10358767129474807,0.0008477657786920179,0.059442609260241544,-0.24566671285729544,-0.13884880131526306,-0.0952147906761974,-0.059371846163787795,-0.012542782389709689,4916.36327826241,1.0003492211368965
beta_a_1[3],-0.08387377044826891,0.0008630464298466008,0.04239429071254388,-0.1738411290459497,-0.10992940094167533,-0.08221629976492072,-0.05512578512636167,-0.010485752921981763,2412.939464289981,1.0008216453231789
beta_a_1[4],-0.1416958793549736,0.0008770703751382,0.05582065998430906,-0.26860291989640983,-0.17390442620487717,-0.13501585332696783,-0.10165192234878073,-0.050499932724380775,4050.615775953242,1.0015947906998033
beta_a_1[5],-0.0071697523787109,0.0002348668532280447,0.01207741843848016,-0.032968516484478246,-0.014190730854254,-0.0066361803416375275,0.0005370228047839987,0.01536308675591929,2644.263731916982,1.0016706589906135
persev_a_1[1],0.10722797462360831,0.002065203279526051,0.12926088802918048,-0.15398549864056013,0.021406555944827134,0.10973704484182098,0.19538444873292438,0.35552993249161124,3917.496872112391,1.0017250973313372
persev_a_1[2],0.04025562010413632,0.0028071413579945225,0.17426938720576618,-0.2928684621694968,-0.07748271655826669,0.03862170355147353,0.15537814484626483,0.3873330394905995,3854.017147390715,0.9996480778162553
persev_a_1[3],0.4660702119844509,0.004699445498128238,0.24733645115958572,-0.09239899170494068,0.3239894515576467,0.4820909603335777,0.6314120399585254,0.9059508355449073,2770.0207083833875,1.0005444724260042
persev_a_1[4],0.40056602867367647,0.002630732068877401,0.17400942052660942,0.07118757819542545,0.2827085566800249,0.3954175170718501,0.5151635644476055,0.74460706020942,4375.143315698361,1.000180489069509
persev_a_1[5],0.06513821071879947,0.0037613800051907015,0.20408382713409956,-0.3306188923048917,-0.07162721614161587,0.06359923443379328,0.19679354164736762,0.47767749277487465,2943.897986973572,1.0016916920442236
beta_a_0[1],0.08375031794086778,0.0011139966230248718,0.0609857417862261,0.005678740835466953,0.03542562768837644,0.07135270759259132,0.11796501874149357,0.23261280137084173,2997.0146966007123,1.0002926601604365
beta_a_0[2],0.04123223430306353,0.0012463139377435263,0.05150276326317019,-0.008992174173034119,0.006857069604119021,0.02158874588222741,0.059148785256597045,0.18593230326787855,1707.6786856263552,1.0059435465000908
beta_a_0[3],0.043591633102932036,0.0005025544343227133,0.025387684517202292,0.006628804869505591,0.025374023924355622,0.03887265158558041,0.057004212853794096,0.10367861891238343,2551.995868758374,1.0005143252821107
beta_a_0[4],0.03323527739686733,0.0002520031640167704,0.014712350136641789,0.01072920025216358,0.023196913049852382,0.031171751550327795,0.040905736738060056,0.06747244609034825,3408.4122454518683,1.0004117494812723
beta_a_0[5],0.005496411070022671,0.000208243238006151,0.012264456168513403,-0.01846030181280258,-0.002509756039098067,0.00531449089843271,0.013509886238073317,0.02961147564798043,3468.6044327152467,1.0009539569891288
persev_a_0[1],-0.055922434136039784,0.0014594920694676213,0.09063148658597563,-0.23267163540266533,-0.11746362862469764,-0.05640000025197994,0.0058139219792967675,0.12135201975077539,3856.157183822911,1.0018594619723524
persev_a_0[2],0.46470347876881724,0.0027792207891872843,0.17048308864186246,0.13344172561968892,0.3524471547725816,0.46144140990239557,0.5807889961859292,0.7959856022655789,3762.846569828609,0.9996943164390972
persev_a_0[3],0.0016004215652957489,0.002600309982569724,0.15535324120736235,-0.3001660661104686,-0.10520984367551925,0.00044794252411562905,0.10629167700152983,0.3126107515129575,3569.360314400415,0.9999769256098308
persev_a_0[4],0.14539960670956248,0.0018734772204473322,0.11880473830119093,-0.07923213763930986,0.06422606041457668,0.1421406582283814,0.22460008089166494,0.3844447400072891,4021.3390410381207,1.0003254146259608
persev_a_0[5],-0.05293851546947744,0.003717732684953577,0.21734462286968217,-0.46723328654942586,-0.19914618494781727,-0.05522206800003522,0.09039776903114002,0.3809865306714223,3417.7593581287524,1.0014970814657216
beta_b[1],0.01095654084706711,9.73692434321185e-05,0.008845601467649207,0.00042072271210437384,0.004087750076310941,0.008876695874510343,0.015707663743250826,0.033096695635029615,8252.98671962208,0.9998501459312864
beta_b[2],0.07990024659295022,0.0006591604342796126,0.05032634949992025,0.005579870694021527,0.04086291606775025,0.07360422708556463,0.11041614557944522,0.19636537836934148,5829.19516800114,1.000042023578739
beta_b[3],0.31813199055933106,0.0019081864619721848,0.09722752573119774,0.16001422211527655,0.2480748254735764,0.30686911622126345,0.37661091266073804,0.535739286670114,2596.192237531801,1.0004293879300235
beta_b[4],0.14149340991249057,0.0006835733423371838,0.044344446475283766,0.065644398285599,0.11030805568063883,0.1376594834207337,0.16892203600007732,0.24035689437195862,4208.315004184993,1.0007935555983085
beta_b[5],0.13264942111542363,0.0008598952779080923,0.04505344483728741,0.04894398200908824,0.10230751567544,0.13024589867630898,0.1608774854414734,0.226514373418165,2745.1424041862633,1.0017871077419458
phi_b[1],-0.008275707643078969,0.0007136543232797969,0.05685596630376899,-0.12456282945941055,-0.044866655657576346,-0.007488515309766975,0.030658486733869155,0.10028621472753924,6347.113842759959,0.9999049704548127
phi_b[2],-0.18435783109191026,0.0006948159772997369,0.05047656861431334,-0.28919224309912434,-0.21708616394610375,-0.18193129610467856,-0.14948581954418105,-0.09150594131573703,5277.643552598566,1.000073706907743
phi_b[3],0.0703456912409815,0.000748846445204835,0.06307574488708784,-0.05386249095785831,0.027902058764580795,0.06941415055634853,0.113979346563189,0.1939796910113854,7094.784865358811,0.9997736347867088
phi_b[4],0.04294128828311816,0.0006543895045864215,0.05659473735169962,-0.06837401806740953,0.005662109776121232,0.042756256349412006,0.08060880818589625,0.15482734634909823,7479.618496756622,0.9998117225999674
phi_b[5],-0.0398758990351667,0.0006081145722197461,0.04881977348097154,-0.1397249799379629,-0.07142547750219796,-0.03871415422855835,-0.006708532700737485,0.05365693151473387,6444.96701461955,1.0003252719317675
