,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_a[1],0.0012100973257986737,2.441635888724502e-05,0.0022887798657536605,-0.0031268792516323204,-0.00030686178931197924,0.001194688194112017,0.0027273821815535873,0.0057683883939254575,8787.113761512323,1.0005659208263653
beta_a[2],0.0031112274246231867,2.6376664224895775e-05,0.00253069619180086,-0.0018063068941069661,0.0014458777448537966,0.0030747335749457304,0.004751791766203132,0.008189584854705813,9205.349488807844,0.9998818884803239
beta_a[3],0.003721719394398584,3.86347106193142e-05,0.0032810897118226304,-0.002318256523213464,0.0015656376857817508,0.0035995877583973454,0.005727135227992104,0.01044945118240114,7212.417904448923,1.0001556399992508
beta_a[4],0.004821063953069864,3.0449792316100345e-05,0.0027626356649465525,0.0002981498930362151,0.002814874888128729,0.004513780875722514,0.006497842462398359,0.011048444931697328,8231.491964672465,1.0002000467714047
beta_a[5],0.002638830767874305,3.59177143986401e-05,0.003125956623136471,-0.0029444978860661856,0.00048774059408871286,0.002430309446216018,0.004619591049022665,0.009278160453334414,7574.404756531441,0.9998389577212781
beta_a[6],0.0031790192573349324,2.9218606708760014e-05,0.0029259048932938365,-0.002183385130414185,0.0011178728154172888,0.0030430619582341783,0.00507712901845596,0.00928122407397618,10027.701671843884,0.9996434687675537
beta_a[7],0.00021112205778016908,2.243928499108371e-05,0.002245646066482684,-0.003863388040653612,-0.001244074828937682,1.084401231417217e-05,0.001530930040730447,0.005203361881049443,10015.314433706024,0.9996196982357414
beta_a[8],-0.0018941935144059102,1.6972079112935996e-05,0.001764396430789706,-0.005430574218174097,-0.0030527889613119604,-0.0018836571738079827,-0.0006887421222497894,0.0015221551907787412,10807.425392752213,0.9999870515590549
beta_a[9],0.007779977395851581,3.4506667923737496e-05,0.0030099441439771406,0.0022066892754044505,0.005693683098054308,0.007628878925017613,0.009736431959314404,0.014061587765449902,7608.7063614204135,0.9996757139402341
beta_a[10],0.003519533527635745,6.896171200487568e-05,0.005134563127261589,-0.004529098744251325,-6.001794440012056e-05,0.002660260319675967,0.00630634151176744,0.01591441117577842,5543.5877496068715,1.0003719361687762
persev_a[1],-0.06264030473444779,0.0007624550013641867,0.060081602464939945,-0.18157530613545197,-0.10270210040276456,-0.061689477549124516,-0.022140283797958384,0.05514581154617418,6209.470665628383,1.0000600781699975
persev_a[2],0.10401751040782585,0.0006144724260324109,0.05557251209767712,-0.002408204194095649,0.06614496331650387,0.10312479713537945,0.14172772954967028,0.21497092979849283,8179.283474185606,0.9996320655255113
persev_a[3],0.1186530018274981,0.0007097691206481494,0.06426039491297379,-0.0028164980610809656,0.07473450696175155,0.11731777844220523,0.16096256732187336,0.2491880136514794,8196.955521672538,0.9999019459915648
persev_a[4],0.07730136000452378,0.0005051698237449579,0.04586040711412659,-0.011597495290753336,0.04575866248368534,0.07662137615330966,0.10834630261475994,0.1668236502348444,8241.400339835252,0.999746410427458
persev_a[5],0.10699884025931558,0.0005269139970755368,0.04885236766052901,0.010828145742096569,0.0745685021176287,0.10656466354273686,0.14010396264117875,0.20374492532194816,8595.908084673043,0.9998261009630863
persev_a[6],-0.0866882219731561,0.0006569497796899813,0.061669398431825354,-0.21038311931685444,-0.12813422530523508,-0.0854788089734295,-0.043790082564532345,0.029413186324080298,8812.012030318985,1.0002756203293772
persev_a[7],-0.027659006559879067,0.0005761111717273596,0.05191317651442977,-0.1301455126976509,-0.06224546831425548,-0.026925568828286492,0.0072864743478109764,0.07377561756865747,8119.749169831335,1.0002665128450845
persev_a[8],0.08671246038602858,0.000818317579648503,0.0750784493638929,-0.053853349898461855,0.03525906177689725,0.08393571343840278,0.13630107078158413,0.23486849804300042,8417.571741226117,0.9997235776342607
persev_a[9],0.13729024397159167,0.0006854551061725295,0.06320828987203318,0.016585138316663882,0.0943164218006256,0.13590233204332253,0.1790623658070173,0.26480394678122676,8503.349879706786,1.000135490712745
persev_a[10],-0.06829902152133895,0.001250636132867817,0.11300369041056817,-0.30671225484803455,-0.14189912230458074,-0.0640383091062716,0.010297307000372003,0.1385242261254532,8164.381864604178,1.0000093222797277
beta_b[1],0.057724200241099886,0.0001394766852585498,0.011041397353196447,0.03593777739835398,0.050408488814835645,0.0576722624603212,0.06518893981952159,0.07957820648198015,6266.785697661529,1.000409339204683
beta_b[2],0.08613470650068751,0.00016895497538568498,0.014161308311455303,0.05945205330029736,0.07650223977524416,0.08567334885196992,0.09547896245739586,0.11474241637524063,7025.298557098625,0.999771756644165
beta_b[3],0.04877780044726241,0.0001913290113752204,0.013634656024074286,0.021145890098829733,0.03995592722888315,0.04901557420347147,0.05782190142335384,0.07517857970779507,5078.39780213384,1.000605645503744
beta_b[4],0.008005144934201748,7.340012627484721e-05,0.005648199470748002,0.00034770847374526016,0.0035066664760935173,0.006985879796068295,0.011602261746093134,0.02078215277269705,5921.427788253468,0.9999087791810687
beta_b[5],0.009806569086318846,8.553020005056474e-05,0.006933161841897131,0.0004198795516558518,0.004312015952363951,0.008570030064680934,0.01407602742178595,0.02577231920138454,6570.882490316827,1.0000678135567829
beta_b[6],0.006485781182252415,5.486613194495985e-05,0.005010114683244375,0.00022812674160080425,0.002508856725151315,0.005386833235626776,0.009432448379813652,0.018505393711544853,8338.475309154384,0.9997735281346193
beta_b[7],0.0061226537067084795,5.156403949045563e-05,0.0047907383341830746,0.00022818078121611683,0.0023751260597010327,0.005070476783281597,0.008764998531626511,0.018047570026778655,8631.99215130154,0.9998684411581981
beta_b[8],0.05169505453094473,0.00012332367872370883,0.009996571620535745,0.03244220505684897,0.044946896865608585,0.05146530757883483,0.05828218332764067,0.07187962496237597,6570.663422431405,1.0000261738127685
beta_b[9],0.014378591691378286,0.00011440697564686084,0.009450736948380379,0.00075309871297844,0.006927821351231728,0.013032037496569893,0.02050858752415004,0.03526051222130503,6823.800793918162,1.0000131954478553
beta_b[10],0.016256528113335916,0.00015094565106969703,0.011454099242451962,0.0007122057449821329,0.0068761997018460756,0.014500944473569088,0.02345101347185302,0.042493912597661734,5758.119496223529,1.0010916288726972
phi_b[1],-0.030097022520351062,0.0006121976251993237,0.05237505992383239,-0.13304365907748467,-0.06446226367533484,-0.02879031030721215,0.005349520293079602,0.070307023075825,7319.236571108863,1.0002854435011632
phi_b[2],0.06547363035482792,0.0007389610213990921,0.05882989645210626,-0.05049549304426357,0.02576811929875253,0.06571604716042907,0.10556316215459269,0.18045806562247738,6338.012715510269,1.0002175090684136
phi_b[3],-0.18652495505686614,0.0006378121831026927,0.05394049186681483,-0.30126690352515983,-0.22155529523411374,-0.1839245551581444,-0.14858034640995121,-0.08873948202438028,7152.274654208846,0.9996894931303941
phi_b[4],-0.16204220264406458,0.00062938464717521,0.0526203194685089,-0.2700264355928371,-0.1973815855731455,-0.16066083499128822,-0.12564032399725683,-0.06315863015952876,6989.959691035065,1.0003528644596122
phi_b[5],-0.05006804848755569,0.000541383824072018,0.04791473864626646,-0.14863189721017034,-0.08134229873570623,-0.04826655842730299,-0.017252591702448083,0.03945573067894155,7832.992241853186,1.0003329013336253
phi_b[6],0.00433198216341192,0.0007035259567302665,0.06312610093582434,-0.11999716050893902,-0.03762747183605735,0.005294942014685515,0.04617358029781174,0.12790313537536588,8051.145586082115,1.000030773656428
phi_b[7],0.12501231261974005,0.0008733532072513887,0.0712656086699962,-0.015968288232547125,0.07691692466610242,0.1246074827125736,0.1728184128382859,0.2653313911567633,6658.557562947018,1.0007624256492649
phi_b[8],0.07838761782622908,0.0007865007864769018,0.06476422203500393,-0.049913417900483495,0.035704784416780586,0.07837783954410607,0.12202213552445876,0.2049773975446778,6780.66023919911,1.0000147558351957
phi_b[9],0.04459027026089873,0.0006572973667106892,0.05790665274410622,-0.06998966954180924,0.006372930000596935,0.044777375775395374,0.083308147141609,0.1590893483773379,7761.27618913885,0.9999755526827904
phi_b[10],2.5376008474818277,0.0032579844290330923,0.2644201331040239,2.040846130505085,2.351684717175471,2.5283515065660547,2.7128480896453655,3.0711141486985936,6587.051066263563,1.0000212077761674
