,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
comparison_level[1],0.08679837355965217,0.0006904413157063883,0.06267949927107064,0.003489781647754822,0.037327131878667805,0.07514718876085932,0.12434055904946852,0.2378826828370394,8241.333590539121,0.9998402561922205
comparison_level[2],0.07965645682973246,0.0006234657518729347,0.05976988251117622,0.0028828302628011453,0.031513003081512225,0.0678888379761773,0.11531101295705057,0.21988667301792508,9190.509759182723,0.9998925342565802
comparison_level[3],0.0926478849602429,0.0006626001977873606,0.06550330283182106,0.004064608286992089,0.040663391204980665,0.08169361126996288,0.13209227346094254,0.24551762878636535,9772.895951884786,0.9997381819712504
comparison_level[4],0.07826604856372044,0.0006026811739450786,0.05939925779469179,0.002773669319754841,0.0310131522582517,0.06613573371541343,0.11275509031816197,0.2195829122675498,9713.746953113245,0.999707464208298
comparison_level[5],0.08215259509647532,0.0006525874714846362,0.060920368692743115,0.0033412598039516605,0.033455871187401405,0.07061632711837273,0.11813481189335057,0.2237243699546191,8714.602499908531,0.9998217584676988
comparison_level[6],0.09730887615149321,0.0007509970028941944,0.06873330892339283,0.004977057650471652,0.04091320100850181,0.08633844476716568,0.13969066054860269,0.2545179683589096,8376.413274424309,1.000421506743435
comparison_level[7],0.10736560918356995,0.0007941337587642652,0.07257376611611567,0.005160219177832298,0.04949293954622351,0.09719516521834565,0.1539544800700423,0.2719225542547081,8351.644600028982,0.9999683047258014
comparison_level[8],0.08418130975457525,0.0006382747354210373,0.06226373408447179,0.003177001645757296,0.03457421627699832,0.07230263589386463,0.1210686890199561,0.23127265414848144,9516.012783934168,0.9999345730604101
comparison_level[9],0.07859609042830826,0.0006016837228215568,0.059762430362807185,0.002668884070119449,0.030838582800114714,0.06664459402370185,0.11417732202310063,0.22315903141889817,9865.519871499244,0.9998740528365505
comparison_level[10],0.09392620250764944,0.0006769504943878877,0.06616697886299383,0.0042215602166794704,0.04029631491191304,0.08269319654288053,0.1342781660778555,0.24866684613215406,9553.638226105651,0.9999505810849304
beta_b[1],0.10734198641461591,0.00020911467881801492,0.02083699304674239,0.06858047458094127,0.0931437149547634,0.10670495288069431,0.12073218335594821,0.15116424886764357,9928.898136816946,0.999609771948659
beta_b[2],0.010681755678175324,6.749249002454168e-05,0.005769204218259059,0.0011248858756827428,0.006345888372173908,0.010197900751193256,0.014474491320086581,0.02282043808687062,7306.694050466413,1.0001589599767011
beta_b[3],0.06047146198150027,0.00012780277250826595,0.012679675573368637,0.03604767497604389,0.051900802455374345,0.0601847284366438,0.06888225834474146,0.0860078045929018,9843.186926778399,0.9997068798743132
beta_b[4],0.04350599290261812,9.750271387402482e-05,0.009159769269688428,0.02632903371305574,0.0371505177285939,0.04325118495365343,0.049538820768269626,0.06234078831540704,8825.425645834232,0.9997128096751035
