,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_b[1],0.015985416544432182,0.00010223567499771269,0.007671240195090939,0.002320275501084157,0.010372253414504966,0.015651218401640188,0.021057544874391897,0.03187822544520092,5630.231146783466,0.9998640752814058
beta_b[2],0.05172343149965393,0.0001006118590280764,0.01107456043918584,0.030330542994159097,0.044199538957647,0.051561929578266386,0.05919011383664269,0.073657213303642,12115.871204872146,0.9999523907283229
beta_b[3],0.01157536087360348,8.810923457460579e-05,0.00720176481636091,0.0008067279002125177,0.00597265838118804,0.010645032151424982,0.016331300412706737,0.027805186739971732,6680.9006369715535,0.9998714578362038
beta_b[4],0.04154329086729517,7.021628376427767e-05,0.0077977999616077815,0.026791452277205773,0.036086087949144224,0.04147436523616577,0.04678133896492027,0.056838081545574765,12332.993397369717,1.0000031605597652
beta_b[5],0.00920101159190373,7.330686547534507e-05,0.006299623535912043,0.00041215819108712917,0.004118948127744599,0.008202197523194676,0.013125098042837551,0.02384078639960198,7384.819656191444,0.9998014733746132
beta_b[6],0.0016935835708402128,1.4571431790342136e-05,0.0014330366630525126,4.670820508689777e-05,0.0005871275757541427,0.0013268205210670847,0.002438065035174397,0.005292569537180106,9671.863259054871,0.9999662513394801
beta_b[7],0.043321022593271634,0.00013912319310783634,0.013984693200553955,0.015541625423188148,0.033966274671928254,0.043266300761898524,0.05243878771128592,0.07168964590009858,10104.313504960715,0.9998177007011609
beta_b[8],0.1378533541393826,0.00016235221012994547,0.020849875364009257,0.09928431376514865,0.12331480635075825,0.13743877727941683,0.15181200402965003,0.18050115840998032,16492.652790300817,0.9997059454939325
beta_b[9],0.025952510076325788,8.575933494727909e-05,0.007630609274091043,0.011641085962969096,0.020610678911883326,0.0258921821680122,0.03105251195694598,0.04106932202264863,7916.908455647217,1.000165109540071
beta_b[10],0.1046010825753859,0.00014348035519068467,0.01763581348432563,0.07162259619293701,0.09232840201229621,0.10408538199477058,0.11630855595696978,0.14095583079086263,15107.969797754302,0.9995664781951671
beta_b[11],0.014543786294945843,9.702743492743633e-05,0.007904239758932513,0.0013485164713121739,0.008581736103289283,0.01409108275849158,0.019808384609336087,0.031318353009323036,6636.377922582993,1.0011791197287325
beta_b[12],0.04644762926107046,6.561550790729944e-05,0.008291824456250606,0.030858874906826213,0.040796441977305434,0.046255800856329854,0.05192024861979949,0.06322051304124698,15969.348866389295,0.9996079443760324
beta_b[13],0.15618552031993027,0.00019633681334760893,0.025764957944479836,0.10827783613371667,0.13824987870210032,0.15526551980598557,0.1726046464515958,0.2097543145063676,17220.882363015135,0.999668175929723
beta_b[14],0.09597956281337408,0.00012035837042447664,0.01562007419028057,0.06705232656833436,0.08517138265993551,0.0952826416258914,0.10645794443471998,0.1278334143029495,16842.772654362197,0.9996466335769634
beta_b[15],0.03516872414255943,0.00013891067063257512,0.012375516556037908,0.01203248347387902,0.026448025174506302,0.034882405543025796,0.043462650415212994,0.060096605747713056,7936.983089509016,0.9996627868625765
beta_b[16],0.06356887968822757,9.476176185708435e-05,0.011350941266881267,0.04214320214822552,0.055735933490061326,0.06342458810944901,0.07126884373170578,0.08634628015251333,14348.202572074559,0.9995971474607832
beta_b[17],0.03981625105176817,6.276326011144028e-05,0.0072511241293282454,0.025812238032918107,0.03491607890804231,0.03987188864305352,0.04449902399781601,0.05406020417825534,13347.49267912887,0.999653480514682
beta_b[18],0.00869221304314376,6.834107349631085e-05,0.005812711746626911,0.0004654701870859246,0.004087470360320755,0.007820133127128093,0.012334850216644157,0.022137190667583004,7234.257792087908,0.9998244037661425
beta_b[19],0.09942000488183472,0.00010583716103237722,0.01419037216618298,0.07202541496128279,0.0898739775218022,0.09916957229435347,0.10858686864949346,0.12829809141326998,17976.751196351626,0.9998535509068036
beta_b[20],0.06554344410644242,9.509804568794211e-05,0.011469126413893147,0.043447540450917546,0.057553181511640426,0.06536793667859103,0.07330048562388924,0.0886500363789454,14545.126245262529,0.999892374692352
beta_b[21],0.10812597392264355,0.00017174970469845385,0.021455469704697347,0.06859277749058938,0.09310990934580196,0.10719778125641233,0.12185259750108102,0.15315265556688712,15605.728790892492,0.9997871376044547
beta_b[22],0.010640598724898833,7.811729691543268e-05,0.005828399707820836,0.0009664177898308863,0.0062215953457767145,0.010168576072493607,0.014621144531392283,0.022649101418928803,5566.782347969511,1.0006229380885625
beta_b[23],0.060026877082870224,0.00011699299093489777,0.012773229448035708,0.03534597803265664,0.051232920064664754,0.05989255415180056,0.06861805634467522,0.08536003774781195,11920.150517827544,0.999794126582698
beta_b[24],0.04388831158456466,7.322101399412508e-05,0.009234783438633364,0.02633288358854996,0.03770275676295639,0.04362325258038019,0.04989690631160529,0.06268159255081526,15906.768225603211,0.9995833637755679
beta_b[25],0.03677221112599113,6.638966569448329e-05,0.007911699301692731,0.021677978453011094,0.031283459799790234,0.03669902839060685,0.04207824560406305,0.0527606510759438,14201.642699889686,0.9997897430975895
beta_b[26],0.07138808171195068,9.771026728315814e-05,0.01195946903784294,0.04870279092161364,0.06323063793884853,0.07094297224337853,0.07935010482173499,0.09569793413243582,14981.089377057073,0.9999319156547111
beta_b[27],0.0967218953471192,0.00013291896203723293,0.015556981408787083,0.06649940327281575,0.08633371254163924,0.09654428624090217,0.10701334050899214,0.1281964296076754,13698.618879800775,1.000007361167357
beta_b[28],0.03332855170346582,6.088785937801664e-05,0.0070238593652063135,0.019991618360651227,0.028561794337154327,0.033332552029019635,0.038006404893036166,0.047295478194858465,13307.307817391,1.0001512375037789
beta_b[29],0.019997898803719116,6.694291680654817e-05,0.006473422615423889,0.007775138944920432,0.015520448713201036,0.01988435765563351,0.02441052987915336,0.032852250852165914,9351.012958127087,0.999994026146553
