,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta[1],0.017182337,5.70E-05,0.007191417,0.00379742,0.012130627,0.01695953,0.021883343,0.032000852,15920.41224,0.999925369
beta[2],0.056178815,5.66E-05,0.009212768,0.038804134,0.049837706,0.05579491,0.062255977,0.075093149,26494.03201,0.999835475
beta[3],0.011809059,5.06E-05,0.006393526,0.001182581,0.00700563,0.011315859,0.016077828,0.025334311,15995.1685,0.999890439
beta[4],0.040762086,3.85E-05,0.006469182,0.028786896,0.036274216,0.040534886,0.045029535,0.054047433,28283.94574,0.999825872
beta[5],0.008260403,4.10E-05,0.005537131,0.000406423,0.003849379,0.007465101,0.011771495,0.020837788,18227.63196,0.999850456
beta[6],0.001593071,8.33E-06,0.001399194,5.43E-05,0.000531026,0.001221508,0.002251591,0.005243334,28224.76989,0.999904197
beta[7],0.049996959,7.16E-05,0.011459237,0.028077355,0.042236599,0.049743401,0.057540735,0.073045001,25628.04712,0.999873234
beta[8],0.13097538,0.000131203,0.02044443,0.092555974,0.116946209,0.130532815,0.144154052,0.173076085,24280.7762,1.000001822
beta[9],0.028857989,4.24E-05,0.006789345,0.015914672,0.024222632,0.028697413,0.033438414,0.042577498,25595.14741,0.999853631
beta[10],0.11146836,0.000106639,0.016423815,0.080506778,0.100182332,0.111173889,0.122185305,0.145173156,23719.87126,0.999846853
beta[11],0.025116779,5.30E-05,0.007615273,0.010166816,0.019936527,0.025098172,0.03018236,0.040327299,20657.14844,0.999901113
beta[12],0.050179914,4.59E-05,0.007270518,0.036562053,0.045172981,0.049967323,0.054990199,0.065010417,25037.62836,1.00004295
beta[13],0.145433851,0.000161996,0.022465349,0.1049902,0.129760967,0.144310253,0.159901275,0.19220632,19231.70892,0.999888613
beta[14],0.093684902,9.75E-05,0.014559042,0.066979375,0.083575664,0.093136376,0.102851586,0.123771501,22286.13133,0.999941979
beta[15],0.046963357,5.61E-05,0.009360166,0.029519735,0.040576224,0.046685976,0.053121854,0.066024926,27863.5366,0.999804702
beta[16],0.060846114,8.06E-05,0.010846412,0.040512212,0.053413551,0.060576913,0.067977758,0.083157153,18113.92927,1.000018402
beta[17],0.036651828,4.09E-05,0.006315456,0.025111881,0.032272097,0.036373924,0.040670308,0.049769742,23821.80418,0.999904403
beta[18],0.01090403,4.94E-05,0.006328033,0.000865776,0.006043664,0.010278218,0.015064075,0.024540049,16409.87559,0.999933152
beta[19],0.08800635,0.000108331,0.013993626,0.061839596,0.078250331,0.087592218,0.097468039,0.116417256,16686.227,0.999957984
beta[20],0.074303647,5.28E-05,0.009209693,0.057412352,0.067988084,0.073854623,0.0802995,0.093480036,30437.8674,0.999812591
beta[21],0.096342737,0.000122571,0.018511715,0.063377673,0.08338757,0.095021672,0.107957214,0.136474621,22809.68291,1.000091508
beta[22],0.010404412,4.39E-05,0.005542434,0.001060227,0.006323641,0.00996583,0.014025438,0.022340246,15975.68304,1.000119653
beta[23],0.058845259,6.49E-05,0.011124726,0.037852663,0.051304117,0.058612305,0.065947031,0.081950772,29380.42468,0.999870986
beta[24],0.054281645,5.18E-05,0.008525416,0.038193621,0.04842622,0.054115584,0.059907803,0.071808924,27081.58612,0.999797876
beta[25],0.036277543,4.40E-05,0.007103626,0.023190434,0.031403023,0.035980316,0.040870891,0.050900319,26041.56267,0.99979563
beta[26],0.066463476,7.04E-05,0.010273369,0.047509288,0.059276071,0.066038565,0.073250676,0.087608718,21304.91019,0.999887634
beta[27],0.085324139,9.19E-05,0.013115347,0.061246792,0.076283554,0.084859633,0.093697127,0.112752032,20384.48362,0.99983253
beta[28],0.034445504,3.71E-05,0.006008878,0.023056653,0.030360368,0.034211711,0.038364108,0.046827447,26238.64376,0.999847122
beta[29],0.018677232,4.72E-05,0.006244353,0.00685073,0.014341657,0.01858959,0.022839681,0.031241907,17530.58862,1.000066032
beta[1],0.149749175,0.000177273,0.025016796,0.102406381,0.132321633,0.14919932,0.166227563,0.201143986,19914.83467,0.999871976
beta[2],0.05272124,5.72E-05,0.008950618,0.035547465,0.046573883,0.052605754,0.058743662,0.070564913,24455.22879,0.999946144
beta[3],0.081285223,8.88E-05,0.012539211,0.058243588,0.072529023,0.08081581,0.089445117,0.107264895,19949.31799,0.999986422
beta[4],0.071697423,6.91E-05,0.010360587,0.052486019,0.064552563,0.071234774,0.078486342,0.09299521,22472.09464,0.999942068
beta[5],0.009807003,3.85E-05,0.004684207,0.001434401,0.006381996,0.009627709,0.013028611,0.019430573,14789.04882,1.000059639
beta[6],0.020205134,5.00E-05,0.00652518,0.007394543,0.015854318,0.020166518,0.024546128,0.033182035,17020.76431,0.999979178
beta[7],0.005589088,2.78E-05,0.00400432,0.00025126,0.002447132,0.004865785,0.007968198,0.014996545,20721.31823,0.99997282
beta[8],0.005172568,2.54E-05,0.004059106,0.000185084,0.001972573,0.004263903,0.007499238,0.014937238,25486.85065,0.999824055
beta[9],0.049074175,5.58E-05,0.007848748,0.034863118,0.043545106,0.048618685,0.054205508,0.065446208,19756.83088,1.000039553
beta[10],0.037881169,4.98E-05,0.007769142,0.023143034,0.032521005,0.037661287,0.042962046,0.053843057,24367.25181,1.000031446
beta[11],0.015925844,7.46E-05,0.00928864,0.001396662,0.008855155,0.015015843,0.021942873,0.036307266,15504.84653,0.999937563
beta[12],0.092845941,9.45E-05,0.014941216,0.065412952,0.082601744,0.092203268,0.10228807,0.124424384,24980.37493,0.999827427
beta[13],0.00334137,1.62E-05,0.002847409,9.70E-05,0.001137232,0.002614158,0.004808556,0.010636538,30737.63005,0.999843461
beta[14],0.003725246,1.91E-05,0.003193089,0.000118072,0.00128609,0.002882768,0.005368956,0.011874943,27891.56334,0.99996578
beta[15],0.074982166,9.27E-05,0.016010777,0.045106018,0.063931994,0.074507828,0.085445719,0.10786627,29802.77741,0.99981025
beta[16],0.021400809,6.58E-05,0.008483057,0.005342487,0.015436613,0.021208632,0.027065927,0.03856189,16606.32802,1.000402063
beta[17],0.076357338,9.36E-05,0.013404777,0.051133585,0.067148748,0.075956103,0.084978791,0.103952782,20517.83238,0.999919279
