,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta[1],0.01602568,4.88E-05,0.006420417,0.004219511,0.011585965,0.015793605,0.020181305,0.029348624,17286.61377,1.000071556
beta[2],0.041170462,7.00E-05,0.00930201,0.025043036,0.034641863,0.040337624,0.046788057,0.062094989,17644.90282,1.000117532
beta[3],0.008452347,3.95E-05,0.005463539,0.000557811,0.004203018,0.007724093,0.011753712,0.021081817,19169.2208,0.999858898
beta[4],0.036048664,6.41E-05,0.008079164,0.02192949,0.030099206,0.03555924,0.041515487,0.052788119,15882.97332,1.000072158
beta[5],0.007472721,3.79E-05,0.005127612,0.000346465,0.003440406,0.006667035,0.010600621,0.01926426,18338.36869,0.999788021
beta[6],0.001380232,7.36E-06,0.001203007,4.44E-05,0.000456032,0.001054505,0.00198499,0.004461092,26697.32451,0.999860697
beta[7],0.04084943,6.95E-05,0.009965377,0.02209927,0.034092713,0.040601248,0.047314439,0.061048231,20570.18987,1.000171247
beta[8],0.115434043,0.000159576,0.020808587,0.078287125,0.100655642,0.114095625,0.128976659,0.159425681,17004.007,1.000111487
beta[9],0.022949835,4.95E-05,0.007001075,0.010165219,0.018059375,0.02263525,0.027423911,0.037764314,20034.22853,0.999956929
beta[10],0.097274305,0.00012039,0.015893029,0.068744903,0.086089207,0.096373666,0.107516287,0.130767104,17427.32584,1.000065524
beta[11],0.016481961,5.17E-05,0.006810576,0.004124787,0.011710891,0.016142994,0.020842988,0.030887233,17386.26521,0.999880696
beta[12],0.042928227,6.37E-05,0.007923409,0.029284815,0.03732443,0.042303557,0.047930467,0.059981002,15460.67242,1.000211384
beta[13],0.134442222,0.00023795,0.026831409,0.086073263,0.115095179,0.133301017,0.151907782,0.190366506,12715.0202,1.000036695
beta[14],0.093245566,0.000116838,0.015312806,0.064419039,0.082840207,0.092755671,0.103217856,0.124319788,17176.68914,1.000026065
beta[15],0.039421816,7.76E-05,0.010365209,0.021455132,0.032057688,0.038560807,0.045845783,0.06246244,17858.21643,0.999895724
beta[16],0.052944742,9.32E-05,0.011120448,0.033647277,0.044854684,0.052133309,0.060190784,0.076600391,14226.45904,0.999861972
beta[17],0.03377944,5.71E-05,0.007049421,0.021529797,0.028708846,0.033215747,0.038380172,0.048842923,15219.10401,0.999994211
beta[18],0.00834253,3.69E-05,0.005148888,0.000564944,0.004399755,0.007686735,0.011571631,0.019940425,19518.83142,0.999857569
beta[19],0.077763901,0.000123764,0.01482294,0.051636116,0.067097964,0.076803356,0.087567146,0.10894078,14344.31472,1.000246622
beta[20],0.058574069,7.91E-05,0.009872345,0.041990653,0.051519574,0.057527491,0.064541581,0.08053082,15585.15882,0.999971208
beta[21],0.089996214,0.000125752,0.01730758,0.06015827,0.077816051,0.088622628,0.100694377,0.128259251,18942.65112,0.999922839
beta[22],0.009426207,4.24E-05,0.004984846,0.001069361,0.005740584,0.009028981,0.012611112,0.020145194,13837.07665,0.999908475
beta[23],0.05060842,9.53E-05,0.012829351,0.028025788,0.041353277,0.049826455,0.058986035,0.07779717,18113.11326,0.99999087
beta[24],0.053595173,5.83E-05,0.008706405,0.037139326,0.047566313,0.053425519,0.059448208,0.071034339,22285.69528,0.999958388
beta[25],0.03109508,5.14E-05,0.006894414,0.019127393,0.026249807,0.030465193,0.035355416,0.046229976,17970.54743,0.999851189
beta[26],0.056533965,7.47E-05,0.00980603,0.039035473,0.049663603,0.055849182,0.062649365,0.077528242,17229.68459,0.999865453
beta[27],0.073291296,0.000122674,0.014890893,0.048065077,0.062517952,0.071909165,0.082754314,0.106081571,14734.57107,1.000001124
beta[28],0.030542738,4.88E-05,0.006560569,0.019027072,0.025813991,0.030052702,0.034779633,0.044574192,18092.14592,1.000098241
beta[29],0.016434953,4.70E-05,0.006121323,0.00531155,0.012100596,0.016065731,0.020389381,0.029298936,16954.46107,0.999894493
beta[1],0.150551546,0.00016814,0.024928264,0.10253907,0.133420011,0.150428713,0.167135812,0.200495726,21980.80612,0.999871529
beta[2],0.049912071,6.56E-05,0.009478163,0.031890627,0.043357263,0.049729042,0.056290263,0.068940511,20885.16721,0.999963013
beta[3],0.079578641,0.000102521,0.013461544,0.054259082,0.070222956,0.079289899,0.088439614,0.106561611,17241.17319,1.000215002
beta[4],0.063824598,8.52E-05,0.011531078,0.043882829,0.055486248,0.062978952,0.071320832,0.088139018,18318.64266,1.000085169
