,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_1[1],0.011305972,5.74E-05,0.008066186,0.000534685,0.004874763,0.00995021,0.016225661,0.030237648,19738.33114,1.000027607
beta_1[2],0.099344444,0.000158693,0.026050197,0.052960255,0.081182473,0.097744824,0.115884021,0.154983606,26946.87556,0.999783846
beta_1[3],0.014837091,7.25E-05,0.010013268,0.000758894,0.00689083,0.013401757,0.021153066,0.037786621,19055.75054,0.999904497
beta_1[4],0.054354558,8.78E-05,0.012046059,0.031515717,0.046170111,0.05402668,0.062293286,0.078875202,18831.64236,0.999923833
beta_1[5],0.029459614,0.000139568,0.016443279,0.00243223,0.017055165,0.028105993,0.040382113,0.064616418,13880.44571,1.000235636
beta_1[6],0.003764736,1.92E-05,0.003114618,0.000117653,0.001335141,0.00302824,0.005452246,0.011578244,26442.36615,0.999900528
beta_1[7],0.044441499,0.000164331,0.020372412,0.008048124,0.029616267,0.043650607,0.057859226,0.086666467,15368.97709,0.999985135
beta_1[8],0.17266366,0.000202012,0.029300099,0.119427166,0.152478155,0.171033158,0.191426677,0.233886604,21036.95626,0.999803567
beta_1[9],0.052223032,9.81E-05,0.015150424,0.024608437,0.041704593,0.051662519,0.061887019,0.083836801,23857.20405,0.999884771
beta_1[10],0.13959089,0.0001657,0.023736709,0.096717135,0.123033479,0.138257965,0.155309068,0.189059608,20520.82649,0.999842781
beta_1[11],0.02491997,9.83E-05,0.012785382,0.003128962,0.015320311,0.024257347,0.033415093,0.051947733,16923.22941,1.000018747
beta_1[12],0.052018638,6.72E-05,0.009979273,0.032752414,0.045268472,0.051822475,0.058611794,0.071838371,22046.14802,0.999897227
beta_1[13],0.144266128,0.000211246,0.028007954,0.094700426,0.124323272,0.142577187,0.16221738,0.20426273,17578.60589,0.999893458
beta_1[14],0.103493857,0.000119215,0.017128073,0.072178069,0.091508073,0.102477879,0.11464006,0.139134142,20642.29354,0.999971197
beta_1[15],0.056444705,9.80E-05,0.015428988,0.027016646,0.04575245,0.056140151,0.066495456,0.087523271,24783.35348,0.999831278
beta_1[16],0.074886633,0.000109904,0.015965972,0.045884965,0.063747151,0.074096873,0.085360966,0.107849335,21104.13851,0.999872171
beta_1[17],0.053955559,0.000109566,0.012995153,0.030206789,0.044906429,0.053476673,0.062463715,0.080816057,14067.42447,0.999822052
beta_1[18],0.018207241,9.03E-05,0.012866073,0.000778519,0.007957139,0.01601884,0.026003826,0.048156958,20319.29152,0.999930461
beta_1[19],0.102703857,0.00010847,0.015296477,0.074582438,0.09205051,0.102211411,0.11268986,0.134354397,19886.76649,0.99989865
beta_1[20],0.096428963,0.000112891,0.016504116,0.06545619,0.085153364,0.095880414,0.107254722,0.130543044,21373.18584,1.000005799
beta_1[21],0.195844174,0.000384881,0.056805011,0.10334632,0.154794575,0.189677751,0.229486334,0.32373307,21783.1502,0.999984414
beta_1[22],0.031170292,9.92E-05,0.011190684,0.009626098,0.023609692,0.030887462,0.038681739,0.053738236,12716.84749,1.000132495
beta_1[23],0.06178247,0.000150166,0.020830489,0.021431013,0.047504856,0.061298609,0.075408934,0.104289243,19242.28815,0.999871401
beta_1[24],0.050538276,9.09E-05,0.013526028,0.02572095,0.041163485,0.050082888,0.059537345,0.078365572,22155.32256,0.99987407
beta_1[25],0.036571206,6.10E-05,0.009457318,0.019102051,0.030051521,0.036282,0.042798197,0.056230361,24033.28952,0.999903081
beta_1[26],0.065674736,0.000130144,0.018591822,0.032114274,0.052713472,0.064746088,0.077559953,0.105336535,20407.65512,0.999955606
beta_1[27],0.097118165,0.000156325,0.021377473,0.057395518,0.082388419,0.096403812,0.110874487,0.141421386,18700.64922,0.999961396
beta_1[28],0.040576149,5.93E-05,0.008245051,0.024919848,0.034993438,0.040426923,0.046031708,0.057342017,19320.60279,0.999913996
beta_1[29],0.021424651,9.32E-05,0.011027125,0.002098584,0.013301496,0.020811511,0.02879127,0.044347629,14005.60829,1.000205989
beta_1[1],0.152316702,0.000242589,0.032402591,0.093827977,0.129464862,0.150993357,0.17362899,0.21947122,17840.85701,0.999857439
beta_1[2],0.056790425,9.40E-05,0.013363597,0.031645659,0.047711271,0.056340097,0.065381508,0.084274951,20210.66278,0.999829388
beta_1[3],0.10656884,0.00017201,0.022148874,0.066015112,0.091279145,0.105461328,0.121008508,0.153546452,16580.39753,0.999961866
beta_1[4],0.098966381,9.90E-05,0.014744363,0.071148516,0.088859215,0.098657907,0.108538872,0.12923435,22167.80903,0.99993535
beta_1[5],0.022530649,8.28E-05,0.010007756,0.004320184,0.015462862,0.022206687,0.029095814,0.04329728,14592.73639,0.99982852
beta_1[6],0.015867856,7.79E-05,0.009647521,0.001204856,0.008357566,0.014751835,0.022236777,0.037124467,15342.44088,0.999915901
beta_1[7],0.007577514,3.97E-05,0.006003506,0.000242888,0.002847382,0.00624757,0.010871905,0.022147836,22872.15394,1.0000023
beta_1[8],0.008446969,4.34E-05,0.006800972,0.000320199,0.003142341,0.006788443,0.012205149,0.025290038,24564.22273,0.999904729
beta_1[9],0.071442216,9.43E-05,0.011476514,0.050889808,0.063314291,0.070872066,0.078844292,0.095581667,14817.71411,0.999875113
beta_1[10],0.050396978,7.92E-05,0.011590818,0.028771815,0.042408837,0.050223416,0.057963253,0.073864689,21438.84418,1.000092019
beta_1[11],0.01600321,7.85E-05,0.011835499,0.000678253,0.006671496,0.013684328,0.023024196,0.044332369,22738.22702,0.999845541
beta_1[12],0.105021489,0.000200898,0.027109339,0.056163203,0.086326015,0.103418567,0.122364858,0.16178935,18209.07659,1.000260218
beta_1[13],0.008077455,4.08E-05,0.006349185,0.000268544,0.003087826,0.006666818,0.011758932,0.023499676,24180.95767,0.999973438
beta_1[14],0.009871404,5.03E-05,0.007669112,0.000371238,0.003801705,0.008183058,0.014098821,0.028720496,23248.54125,0.999890288
beta_1[15],0.096287105,0.000209221,0.030627431,0.038174643,0.075536444,0.095559731,0.116041518,0.158369961,21429.42612,0.99987088
beta_1[16],0.06038209,0.000187185,0.02178433,0.019054739,0.045510009,0.05977758,0.07474962,0.104565959,13544.01447,0.999927047
beta_1[17],0.086386367,0.00015078,0.021225252,0.047117939,0.071769185,0.085603893,0.100159213,0.130171119,19816.07867,0.999946508
beta_1[18],0.02703631,0.000121093,0.014176297,0.003063878,0.016380371,0.026083787,0.036283551,0.057103113,13705.35081,1.000216089
beta_1[19],0.015677237,8.01E-05,0.01295776,0.000445195,0.005649618,0.012486439,0.022583124,0.048966788,26168.66734,0.999997406
beta_1[20],0.109480307,0.000183091,0.023134623,0.068114417,0.093438704,0.108050013,0.124168089,0.158233584,15965.72087,1.00010778
beta_1[21],0.049451693,0.000100541,0.012789157,0.025847647,0.040511974,0.048978311,0.057858942,0.075743277,16180.82383,0.999789389
beta_1[22],0.057528305,0.000104834,0.015319313,0.028698086,0.046961583,0.057039674,0.067652108,0.089012578,21353.7331,1.000082028
beta_1[23],0.060220196,7.70E-05,0.011795751,0.037763147,0.052062787,0.059948421,0.068045398,0.084251812,23485.69049,0.999893459
beta_1[24],0.006252964,3.30E-05,0.004390595,0.000325994,0.002770037,0.005526152,0.008908245,0.016490482,17669.47332,0.999966872
beta_1[25],0.089968565,0.000156664,0.021736824,0.050323542,0.074744831,0.088976432,0.104164115,0.135828604,19250.9703,1.000158786
beta_1[26],0.143011519,0.000231866,0.031814285,0.087533972,0.120556058,0.140544361,0.162967098,0.21167744,18826.54729,1.000007184
beta_1[27],0.136170531,0.000191892,0.024865205,0.090636718,0.118862512,0.135106801,0.152306144,0.188482542,16790.84269,1.000088062
beta_1[28],0.048426386,9.01E-05,0.011745242,0.026513722,0.040364939,0.047957127,0.056018816,0.072948004,16998.0552,1.000062193
beta_1[29],0.052696744,0.000110503,0.01421328,0.025953614,0.042986932,0.052230755,0.062130123,0.081685992,16543.98724,1.000483045
beta_1[30],0.009296382,4.54E-05,0.005826492,0.000575752,0.004718433,0.008587563,0.013036509,0.022150679,16496.05183,1.00004073
beta_1[31],0.085652427,0.000114515,0.016533737,0.054616065,0.074431425,0.085174862,0.096297458,0.120153245,20845.62839,0.99988159
beta_1[32],0.01902017,9.00E-05,0.012314588,0.001092349,0.009272338,0.017460382,0.026807042,0.046737847,18713.77422,1.000182909
beta_1[33],0.052858107,8.30E-05,0.01233772,0.029835555,0.044322169,0.052517965,0.060917362,0.07826722,22076.24594,0.999825907
phi_1[1],0.03502092,0.000219226,0.030522484,0.001083384,0.011587996,0.026566526,0.050468153,0.114274543,19384.51188,0.99993438
phi_1[2],0.147258059,0.000785058,0.081929943,0.014685652,0.084770609,0.140595326,0.201942795,0.321535368,10891.34408,0.999968263
phi_1[3],0.021723751,0.000128273,0.019973771,0.000714451,0.006868372,0.016025762,0.03071351,0.074094915,24246.37275,0.999827584
phi_1[4],0.100912837,0.000625638,0.065371026,0.00553992,0.049296909,0.09244993,0.143787853,0.244257676,10917.51278,1.000085779
phi_1[5],0.070258647,0.000478914,0.057710812,0.002191007,0.024849744,0.056417644,0.100805395,0.214738122,14521.0866,1.000305729
phi_1[6],0.090862939,0.000476477,0.06517862,0.003876855,0.038633908,0.079206358,0.130476668,0.240827051,18712.24544,0.999866364
phi_1[7],0.010333905,6.64E-05,0.009988591,0.00027816,0.003022928,0.007326103,0.014573036,0.037354003,22642.60515,0.999949028
phi_1[8],0.054560123,0.000336025,0.042287104,0.002055584,0.021141569,0.045195903,0.078714602,0.155436077,15837.03887,0.999982683
phi_1[9],0.077459317,0.000485101,0.058470884,0.002843392,0.030766641,0.066052684,0.111217975,0.217238851,14528.31061,0.999908114
phi_1[10],0.048137292,0.000299935,0.037070603,0.001924322,0.019127808,0.04007497,0.069058926,0.139079844,15275.88584,0.999966842
phi_1[11],0.020152304,0.000115867,0.018308042,0.000614309,0.006358245,0.014937839,0.028741785,0.067802956,24966.93332,0.999821873
phi_1[12],0.034768252,0.000235199,0.029916547,0.001069346,0.011931883,0.026803217,0.050005642,0.111280709,16178.96485,1.00001192
phi_1[13],0.120487894,0.000696681,0.076094669,0.007255794,0.060422808,0.111291694,0.170732423,0.286161234,11929.98706,1.000304275
phi_1[14],0.060063785,0.000356443,0.039191437,0.003504488,0.02893172,0.055087831,0.084322984,0.147144877,12089.35042,1.000520286
phi_1[15],0.006551399,4.09E-05,0.006382958,0.000169857,0.001945148,0.004627492,0.009112769,0.023545569,24296.9499,1.000083784
phi_1[16],0.082768406,0.000533126,0.063232224,0.003389268,0.032290485,0.068828421,0.12016137,0.234077782,14067.51401,0.999972296
phi_1[17],0.155058924,0.000758046,0.073727004,0.023435501,0.101559824,0.152017117,0.204084943,0.309460984,9459.364774,1.000017047
phi_1[18],0.238066884,0.001104253,0.133722434,0.021797903,0.13714303,0.227235546,0.322987536,0.532217423,14664.63244,0.999946417
phi_1[19],0.07991385,0.000440137,0.045483281,0.005846858,0.045023111,0.076526889,0.110261707,0.177078493,10678.9198,0.999975345
phi_1[20],0.024952745,0.0001533,0.022334559,0.000761479,0.008229399,0.018702711,0.035200343,0.083939663,21226.08108,1.000160942
phi_1[21],0.083410803,0.000626184,0.07216081,0.002722494,0.028226772,0.063401119,0.119753516,0.265400508,13280.0075,0.999998926
phi_1[22],0.04676949,0.000290302,0.036006517,0.001850364,0.018303445,0.038872247,0.06768928,0.134262939,15383.76504,1.000090437
phi_1[23],0.032146342,0.000197926,0.029054808,0.000909304,0.01035986,0.024053071,0.045317661,0.107687087,21549.10008,1.000022812
phi_1[24],0.017867913,0.000101135,0.016392489,0.000420498,0.005437879,0.013227909,0.02543429,0.060456634,26271.67416,0.999976999
phi_1[25],0.038281758,0.00024859,0.031859088,0.00116396,0.013296029,0.030230007,0.054922057,0.118292301,16424.77947,0.999864419
phi_1[26],0.057608548,0.00037679,0.047080448,0.001856966,0.020612646,0.046079252,0.083307978,0.174478478,15612.8581,1.000117838
phi_1[27],0.099030568,0.000561804,0.060158279,0.006799385,0.051566854,0.093184748,0.137813816,0.232673937,11466.26062,1.000133049
phi_1[28],0.031030505,0.000203653,0.026433582,0.000957612,0.010415189,0.02404893,0.044858303,0.09823439,16847.33489,0.999999658
phi_1[29],0.186526953,0.000832752,0.109602413,0.014033337,0.103020066,0.176782253,0.257042519,0.425349497,17322.42553,0.999986952
phi_1[1],0.037548477,0.00023629,0.031954527,0.001099212,0.012802546,0.0294429,0.053809478,0.1187793,18288.2805,0.999924042
phi_1[2],0.050467308,0.000331106,0.041336751,0.001790475,0.017851677,0.040543521,0.072547678,0.153668137,15586.17937,0.999969815
phi_1[3],0.219729779,0.00115198,0.110869309,0.02860208,0.138527701,0.212331353,0.291156656,0.456279996,9262.59914,1.000131211
phi_1[4],0.017334123,0.000108491,0.016034453,0.000467931,0.005398152,0.012752424,0.024698549,0.059527199,21843.33981,1.000026604
phi_1[5],0.02217469,0.000132958,0.020512918,0.000566562,0.006904734,0.016271209,0.031412569,0.076265453,23802.52753,1.000194831
phi_1[6],0.041753239,0.000259964,0.035331157,0.001352181,0.014209021,0.033066248,0.060345649,0.13102395,18470.97185,0.999980377
phi_1[7],0.100835958,0.000486993,0.063739128,0.006499389,0.050831731,0.092834098,0.14141641,0.242695781,17130.4047,1.000170425
phi_1[8],0.163763805,0.000862759,0.102384572,0.010771744,0.083742665,0.151512938,0.228974438,0.393950086,14082.83431,1.000452866
phi_1[9],0.136652236,0.000707591,0.067187559,0.016437143,0.087967885,0.133852134,0.182070659,0.276430768,9015.980847,1.000165759
phi_1[10],0.059495819,0.000389644,0.043893404,0.002704962,0.024654144,0.050496119,0.085720224,0.163587636,12690.02244,0.999965862
phi_1[11],2.597292088,0.002444951,0.280550519,1.960455254,2.416825539,2.644011001,2.825969382,2.98046723,13166.84317,0.999976336
phi_1[12],0.123878019,0.000729831,0.071082603,0.010265356,0.069275741,0.117537585,0.170174872,0.277486457,9485.988495,1.000034846
phi_1[13],0.172096052,0.000591309,0.070499214,0.039628672,0.122245799,0.170359282,0.21963481,0.314877762,14214.74939,1.000044532
phi_1[14],0.081867765,0.000527998,0.058623497,0.003659043,0.0346943,0.071566521,0.118393656,0.218786614,12327.60319,1.00038012
phi_1[15],0.020731816,0.000145817,0.018099933,0.000543726,0.006955763,0.015804162,0.029628474,0.067071323,15407.68655,1.000129532
phi_1[16],0.37140129,0.001601014,0.155910502,0.084734063,0.260982787,0.365640917,0.473413478,0.694278975,9483.327109,1.000274556
phi_1[17],0.06517391,0.000421357,0.048643049,0.002666509,0.026561488,0.055193375,0.093817284,0.180844375,13327.29058,1.000310211
phi_1[18],0.388644897,0.001373876,0.145628166,0.117985952,0.286187355,0.38353157,0.484567025,0.688790939,11235.58081,1.000493081
phi_1[19],0.093502502,0.000466365,0.069670234,0.003822826,0.038186084,0.079602403,0.13492803,0.259402868,22317.38987,0.999925866
phi_1[20],0.130494483,0.000722123,0.069366143,0.013477447,0.078568797,0.126220285,0.176454186,0.276887116,9227.254242,1.000081042
phi_1[21],0.183344882,0.000807762,0.085517484,0.027668118,0.122149489,0.180061931,0.240350989,0.358928149,11208.38388,0.999941474
phi_1[22],0.047411611,0.000296804,0.038333199,0.001757232,0.017537181,0.038414885,0.067662589,0.142438388,16680.54116,1.000134575
phi_1[23],0.032097335,0.000209586,0.027213492,0.00106439,0.011188222,0.025263065,0.045570979,0.101167014,16859.44973,1.00032403
phi_1[24],0.209226095,0.000759025,0.086198238,0.050354672,0.148923264,0.20643274,0.266266783,0.384734708,12896.89157,0.999875263
phi_1[25],0.034246991,0.000198271,0.029166317,0.001147589,0.011558436,0.026693322,0.049187796,0.108609309,21639.28152,0.999977555
phi_1[26],0.187009801,0.000855944,0.088314123,0.029347489,0.123032859,0.182505403,0.245926618,0.370833322,10645.57614,1.000151231
phi_1[27],0.016167265,9.98E-05,0.014586576,0.000469245,0.005177462,0.012121942,0.023011212,0.054526492,21359.66298,0.999946597
phi_1[28],0.099395149,0.000588178,0.065967706,0.004594904,0.047582525,0.089677589,0.141214155,0.250208826,12578.96063,1.000095251
phi_1[29],0.145504601,0.000868718,0.08799497,0.010014009,0.076661761,0.136141327,0.203160397,0.339454804,10260.24519,1.001076757
phi_1[30],0.126575069,0.000639357,0.067927139,0.011754044,0.074996657,0.122881564,0.172203828,0.270709075,11287.53992,1.00002382
phi_1[31],0.015693494,0.000100883,0.014201456,0.000437755,0.004940685,0.011650993,0.022527358,0.05336376,19816.5565,0.999869184
phi_1[32],0.071294884,0.000423101,0.061065269,0.00245011,0.024171244,0.055165694,0.102050783,0.224432519,20830.57323,0.999806075
phi_1[33],0.05149163,0.000339021,0.039007726,0.001952063,0.020661059,0.043337291,0.074352852,0.146214872,13238.74858,1.000047145
persev_1[1],1.148850629,0.001737618,0.255675191,0.65299069,0.974393979,1.145145532,1.316063647,1.665203085,21650.53514,0.999943501
persev_1[2],1.873634579,0.003730007,0.437396352,1.090246967,1.563888898,1.852158127,2.158212212,2.789029624,13750.89958,0.99993475
persev_1[3],1.316578064,0.001822227,0.284663063,0.758819988,1.126267973,1.314089834,1.506286024,1.880946115,24403.7931,0.999975577
persev_1[4],1.051702726,0.003153127,0.358287613,0.374003398,0.808398364,1.040526893,1.287329989,1.778933162,12911.61519,0.999951651
persev_1[5],2.388290598,0.003090179,0.465445671,1.544436616,2.066956004,2.358839683,2.683062063,3.376521596,22686.66976,0.99994567
persev_1[6],0.394004631,0.002134782,0.272718728,0.019235678,0.175696322,0.347818884,0.562411082,1.019435752,16320.10624,0.999930682
persev_1[7],2.679427681,0.001945789,0.31167692,2.095636849,2.464937592,2.670927123,2.881431014,3.321713158,25657.6922,0.999868472
persev_1[8],0.477336054,0.002561919,0.33227098,0.020525745,0.210678879,0.425253993,0.683840791,1.231830893,16821.09239,0.999806969
