,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
persev_a[1],0.047588423,0.00037072,0.046689351,-0.044199234,0.016314656,0.047069771,0.0787494,0.139349681,15861.50452,1.000031836
persev_a[2],0.274309472,0.000450993,0.057144709,0.164903297,0.235606665,0.273416245,0.311630304,0.389421463,16055.10506,1.000214928
persev_a[3],0.086994001,0.000325881,0.042157262,0.003951763,0.058689457,0.086932648,0.115286198,0.170024846,16735.07125,0.999873999
persev_a[4],0.155264764,0.000440737,0.054089988,0.052714956,0.11847581,0.154213343,0.191007664,0.265249347,15061.744,0.999976794
persev_a[5],-0.010402303,0.000474335,0.054087622,-0.116163698,-0.046902402,-0.00998321,0.025911365,0.096871379,13002.45029,0.999990024
persev_a[6],0.008636437,0.000311175,0.038361903,-0.065779689,-0.016928562,0.008240377,0.033946481,0.085296044,15198.12771,1.000440895
persev_a[7],0.263914651,0.000550089,0.067211239,0.135670875,0.218119494,0.262617459,0.308684458,0.39980854,14928.53428,0.999956656
persev_a[8],0.045814243,0.000530711,0.063758026,-0.078291732,0.00293489,0.045464429,0.087636675,0.17134022,14432.88326,1.000133599
persev_a[9],0.198829471,0.000508945,0.058686152,0.08654571,0.158305733,0.198170883,0.238132892,0.314827443,13296.26772,1.000381416
persev_a[1],-0.022665144,0.000430692,0.068370449,-0.157745302,-0.068286644,-0.022339732,0.022862903,0.110720347,25200.21308,0.999934825
persev_a[2],0.243770193,0.000401757,0.060762863,0.127129191,0.203199078,0.242912556,0.283425837,0.365997352,22874.43662,0.999900163
persev_a[3],0.115025002,0.000349212,0.054179151,0.011035909,0.078422636,0.115089224,0.150601269,0.223927979,24070.59783,0.999862364
persev_a[4],0.458769322,0.000767363,0.104812233,0.264295214,0.385128497,0.455862986,0.528165328,0.672757603,18656.16655,0.999940751
persev_a[5],0.076046722,0.000406154,0.057990273,-0.0344456,0.036543215,0.075324055,0.115036433,0.191176213,20385.86573,0.999858053
persev_a[6],0.209523451,0.000460144,0.064443622,0.085925515,0.166487613,0.209318391,0.25168114,0.337036269,19614.26323,0.999889436
persev_a[7],-0.043274759,0.000352288,0.054847004,-0.150627491,-0.079897277,-0.043759839,-0.006804352,0.065110754,24238.8071,0.999968174
persev_a[8],0.155579862,0.000464085,0.062699742,0.034509792,0.112530961,0.154936887,0.197664085,0.280354489,18253.11412,0.999844541
persev_a[9],0.134128996,0.000328086,0.052404805,0.031148419,0.098863161,0.134104358,0.169079737,0.236572065,25513.36583,0.999965433
persev_a[10],0.09312606,0.00035366,0.055388092,-0.016271878,0.056272609,0.093428572,0.12998398,0.20175862,24527.97687,0.999859394
persev_a[1],0.495201262,0.000739462,0.089099986,0.327299406,0.434006299,0.492136236,0.553233376,0.677988414,14518.57405,0.999894338
persev_a[2],0.236100834,0.001194045,0.11506876,0.029499117,0.156796806,0.228122502,0.306864421,0.475550596,9286.964926,0.999882683
persev_a[3],-0.009452805,0.000490402,0.053973789,-0.117335376,-0.045020683,-0.008458278,0.027583666,0.092778616,12113.26766,1.000581508
persev_a[4],0.191520877,0.000555884,0.061766336,0.074221495,0.14905389,0.189843104,0.232130588,0.316723412,12346.2464,0.999967255
persev_a[5],-0.034686024,0.000374503,0.046846198,-0.127497148,-0.066360807,-0.034957372,-0.002724684,0.055924343,15647.21682,0.999942091
persev_a[6],0.057630875,0.000449087,0.053271516,-0.046892393,0.021563706,0.057294449,0.093409779,0.163622696,14071.14191,1.000042571
persev_a[7],0.232099432,0.000593149,0.065744949,0.108832259,0.186972837,0.230387584,0.275724428,0.367544313,12285.63686,1.000199889
persev_a[8],0.24735292,0.000511717,0.063509421,0.125690781,0.203280071,0.246518516,0.289442023,0.376078969,15403.40611,0.999953154
persev_a[9],0.144440458,0.000575357,0.063699619,0.022573415,0.100660966,0.14368291,0.186232596,0.273439382,12257.40712,1.000120157
persev_a[10],-0.011851029,0.000437635,0.052338293,-0.114323969,-0.046950771,-0.012185224,0.023231518,0.091561365,14302.57235,0.999933135
persev_a[11],0.115356646,0.00048552,0.0628554,-0.006629214,0.073363455,0.114892931,0.156990575,0.241096659,16759.88008,1.000286847
persev_a[12],-0.029652068,0.000416988,0.050276733,-0.127726331,-0.063666963,-0.029694341,0.003752632,0.069496032,14537.44251,1.000010072
persev_a[1],0.126956396,0.000304321,0.050616277,0.03006442,0.092923694,0.126168748,0.160152222,0.228059773,27664.15437,0.999795352
persev_a[2],0.119202384,0.000393039,0.057914115,0.008600238,0.080114845,0.118360083,0.157846269,0.235303101,21711.88607,0.999902096
persev_a[3],0.11057076,0.000292736,0.04486744,0.022620466,0.080573681,0.110433248,0.139979771,0.199748281,23491.42055,0.999855145
persev_a[4],0.121201335,0.000295992,0.046462925,0.032393676,0.089250074,0.121228036,0.152410669,0.213504639,24640.64216,0.999955897
persev_a[5],-0.017200849,0.000311836,0.048709354,-0.111503029,-0.049739396,-0.017725099,0.015757187,0.078801631,24399.00317,1.000159909
persev_a[6],-0.0232779,0.000338351,0.051585814,-0.12434521,-0.05860251,-0.022849864,0.011593633,0.078663914,23244.74387,0.999993047
persev_a[7],0.061540652,0.000519332,0.067885808,-0.071859513,0.016482902,0.061125689,0.106728782,0.194442035,17087.10421,0.999921742
persev_a[8],0.166482645,0.000486321,0.062420163,0.043117897,0.124434615,0.165975965,0.208488354,0.290318735,16474.17385,1.000033235
persev_a[9],-0.049638146,0.000789135,0.112979601,-0.285807954,-0.121510362,-0.044611561,0.025838865,0.16120055,20497.34032,0.999966933
persev_a[10],0.447458134,0.000748649,0.100597858,0.263868024,0.378083339,0.442021083,0.511886132,0.655959804,18055.98489,1.000046946
persev_a[11],0.051289333,0.000307274,0.051755589,-0.04949601,0.015890962,0.051300544,0.08625315,0.152824433,28370.19029,0.999857472
persev_a[12],-0.072221608,0.000355097,0.053434374,-0.178993237,-0.10801324,-0.072014586,-0.035543121,0.030943819,22643.71008,0.999786338
persev_a[13],0.332798778,0.000571571,0.087730282,0.165071293,0.273662903,0.3308661,0.390668804,0.509583948,23559.05865,1.00000001
persev_a[14],-0.012330162,0.000385028,0.051492701,-0.114916149,-0.046553598,-0.011811349,0.022454832,0.086818107,17885.75722,1.000001244
persev_a[15],0.100024937,0.000389015,0.059453096,-0.015860164,0.060141752,0.099397376,0.139117976,0.218445467,23356.96095,0.999985239
persev_a[1],0.155135367,0.000348569,0.051771637,0.055463414,0.120257337,0.154165058,0.189904081,0.258866697,22060.06391,1.000056506
persev_a[2],0.069748184,0.000312719,0.046075788,-0.019208848,0.037972799,0.069341494,0.10102722,0.161135896,21708.84562,0.999820264
persev_a[3],0.088767002,0.000455245,0.063429123,-0.033640415,0.045170407,0.088694559,0.131724157,0.212178852,19412.7165,1.000126561
persev_a[4],0.051217029,0.000440359,0.062995654,-0.069595489,0.008108489,0.050857475,0.093733304,0.177355606,20464.79692,1.000072666
persev_a[5],0.071108792,0.000383949,0.054873296,-0.035135703,0.034317876,0.070785473,0.107980887,0.178097659,20425.57256,0.999890811
persev_a[6],0.042775659,0.000414889,0.053963693,-0.063077932,0.006952449,0.04318824,0.079629848,0.145904361,16917.66084,0.999923175
persev_a[7],-0.035830075,0.000322478,0.044579202,-0.124340219,-0.065750996,-0.035713025,-0.005501881,0.050803007,19110.13358,1.000023638
persev_a[8],0.179607091,0.00038912,0.053028575,0.077878603,0.143032045,0.178856631,0.214450829,0.287028141,18571.72222,0.999914145
persev_a[9],0.242055576,0.000498571,0.065607124,0.117463085,0.197492052,0.240611424,0.285376442,0.376302772,17316.01851,0.999990753
persev_a[10],0.23532412,0.000703431,0.092392389,0.06028193,0.171654002,0.234509808,0.296916126,0.421462495,17251.6016,1.000058894
persev_a[11],0.06700493,0.000344007,0.051679919,-0.033018665,0.032524505,0.06670088,0.101223304,0.171395715,22568.89367,0.999979423
persev_a[12],0.022230829,0.000396597,0.055238595,-0.084693863,-0.015396516,0.022039193,0.060087774,0.129757897,19399.28029,1.00000032
persev_a[1],-0.001255416,0.000412798,0.048069219,-0.095828303,-0.033790367,-0.001429402,0.031641525,0.09094818,13559.98565,0.999968212
persev_a[2],0.428725325,0.00079862,0.082999513,0.271205181,0.371619011,0.427420826,0.483741485,0.594842858,10801.15899,1.000178254
persev_a[3],0.111937188,0.000393001,0.046102165,0.022709773,0.080887703,0.111713792,0.142779106,0.204788242,13761.15436,1.000122986
persev_a[4],0.123904459,0.000478122,0.059114977,0.010360103,0.083923317,0.122544269,0.162687854,0.243721515,15286.82555,1.000048588
beta_b[1],0.015679983,7.49E-05,0.008211761,0.001536725,0.009634238,0.01521684,0.021245677,0.032747297,12007.16982,1.000101923
beta_b[2],0.038305239,9.61E-05,0.010658867,0.01796422,0.031045611,0.038023052,0.045333749,0.059754741,12312.41617,0.99992791
beta_b[3],0.007874028,4.28E-05,0.005717874,0.000337068,0.00331816,0.006866132,0.011224056,0.021454042,17840.19152,0.999888651
beta_b[4],0.033762592,7.43E-05,0.008239909,0.017782594,0.02817656,0.033580832,0.03926754,0.050153698,12294.73016,0.999830078
beta_b[5],0.009434613,5.60E-05,0.006291272,0.000490797,0.004417174,0.008567413,0.013464261,0.023712723,12624.78397,0.999996534
beta_b[6],0.00159053,1.01E-05,0.001401962,4.88E-05,0.0005172,0.00121551,0.00227646,0.005178135,19308.4831,1.000081557
beta_b[7],0.025543511,0.000125701,0.014047418,0.002360793,0.014943598,0.024544072,0.034805301,0.055856983,12488.7241,1.000198268
beta_b[8],0.136999778,0.0001849,0.021196026,0.09734212,0.1224625,0.136428447,0.150756817,0.1804543,13141.19424,1.000116998
beta_b[9],0.01841039,7.18E-05,0.007814405,0.003936577,0.012837454,0.018188196,0.023667814,0.03436417,11851.39219,1.000118889
beta_b[1],0.118809394,0.000121673,0.017109096,0.086861178,0.106958417,0.11830169,0.130103145,0.153703995,19772.8389,0.999936165
beta_b[2],0.010610303,5.69E-05,0.007119342,0.000610718,0.004882526,0.009527982,0.015163236,0.026690531,15640.10496,1.000090434
