,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
phi_a[1],-0.006613335,7.44E-05,0.009163955,-0.024307034,-0.012901656,-0.00664494,-0.000383143,0.01137137,15169.09621,0.999956151
phi_a[2],-0.059514922,0.000102576,0.012329476,-0.083878891,-0.06802349,-0.059253282,-0.050887189,-0.036031422,14447.68221,1.000417567
phi_a[3],-0.023405287,7.90E-05,0.009522177,-0.042453601,-0.0296943,-0.023296099,-0.017045785,-0.004874601,14538.53928,0.999986189
phi_a[4],-0.016473456,7.24E-05,0.009000562,-0.034170862,-0.022586024,-0.016449605,-0.01033774,0.000828758,15451.85656,1.000024277
phi_a[5],0.009806903,8.59E-05,0.010080708,-0.009714971,0.002971234,0.009801661,0.016499573,0.029692642,13764.51206,1.000005257
phi_a[6],0.006637764,7.23E-05,0.008647334,-0.010133387,0.000872817,0.006524635,0.012356834,0.024149627,14310.62313,0.999909143
phi_a[7],-0.013572752,5.06E-05,0.006260289,-0.026188208,-0.017764655,-0.013518178,-0.009336531,-0.001587243,15324.12943,1.000053511
phi_a[8],-0.014072019,8.12E-05,0.009941814,-0.033900576,-0.020735251,-0.013899887,-0.007349419,0.005107657,14994.21143,1.000168974
phi_a[9],-0.02583253,8.08E-05,0.010140039,-0.046045529,-0.032614369,-0.025771957,-0.018982049,-0.005980954,15750.13262,0.999926945
phi_a[1],-0.002459286,5.44E-05,0.008365918,-0.01902974,-0.007941196,-0.002384477,0.003176315,0.013944795,23669.81198,0.999964336
phi_a[2],0.001624549,4.71E-05,0.007389437,-0.012417638,-0.003387497,0.001456389,0.006532178,0.016619716,24652.22433,0.99998217
phi_a[3],-0.006111904,4.24E-05,0.006827331,-0.019393132,-0.010701527,-0.006131505,-0.001536946,0.007304451,25940.65273,0.999830266
phi_a[4],-0.046438718,9.13E-05,0.013221662,-0.073209654,-0.055182646,-0.04607007,-0.037384864,-0.021379941,20950.71914,0.999851317
phi_a[5],0.003892584,6.08E-05,0.008274693,-0.012634369,-0.001647466,0.004030771,0.00960133,0.019670078,18506.74676,0.999905148
