,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_a[1],0.00053338,1.62E-05,0.002350492,-0.004049198,-0.001032346,0.000528717,0.002116973,0.005144534,21126.07535,0.999999362
beta_a[2],0.011125089,3.11E-05,0.004178241,0.003219142,0.008247614,0.011061763,0.013921417,0.019515436,18078.57377,0.999901014
beta_a[3],-0.00249289,1.39E-05,0.00211924,-0.00667961,-0.003897962,-0.002490846,-0.001094089,0.001675789,23142.47174,1.000155422
beta_a[4],0.001659343,1.64E-05,0.002284186,-0.002758697,0.000104275,0.001640396,0.003207718,0.006114622,19427.54529,0.999978427
beta_a[5],-0.000182591,1.61E-05,0.002410787,-0.004735809,-0.001804865,-0.000218333,0.001422597,0.004613281,22520.36631,0.999933697
beta_a[6],0.000309661,4.27E-06,0.000675883,-0.001011053,-0.000149999,0.000307896,0.000760446,0.001647219,25060.34325,0.999829258
beta_a[7],-0.01191551,3.10E-05,0.004569191,-0.021073545,-0.014925285,-0.011887164,-0.008839462,-0.003113228,21676.2515,0.999921173
beta_a[8],-0.002531397,4.25E-05,0.005814936,-0.014086069,-0.006412653,-0.002555621,0.001399944,0.008860045,18761.97406,0.999969836
beta_a[9],-0.000161866,1.72E-05,0.002226658,-0.004434785,-0.001679136,-0.000210022,0.001320571,0.004275741,16807.04967,0.999880508
beta_a[1],-0.003178862,3.32E-05,0.004857724,-0.012648914,-0.006427748,-0.003150238,7.67E-05,0.006272695,21350.55241,1.00001557
beta_a[2],0.005074701,1.85E-05,0.002914866,-0.000546554,0.003080849,0.005036149,0.00703398,0.010855312,24747.09295,0.999943541
beta_a[3],-0.003665658,1.64E-05,0.002501087,-0.008601775,-0.005326227,-0.003665663,-0.001966815,0.001173586,23206.13513,0.999904214
beta_a[4],0.004472143,5.53E-05,0.007420881,-0.010372709,-0.0004414,0.004554439,0.009507359,0.018699077,18018.90239,0.999898496
beta_a[5],-0.000559606,2.71E-05,0.003988346,-0.008350167,-0.003263216,-0.000522942,0.002161916,0.007222645,21604.26017,0.99994474
beta_a[6],-0.007152116,2.26E-05,0.003320003,-0.013641107,-0.009407602,-0.007139802,-0.004895111,-0.000624523,21657.6742,0.999918069
beta_a[7],0.009732835,2.54E-05,0.003133285,0.003764644,0.007585208,0.00969285,0.011795825,0.016082914,15272.62769,0.999973045
beta_a[8],0.003201675,1.46E-05,0.001992905,-0.00064692,0.001853977,0.003178729,0.004511637,0.007196832,18655.3074,0.999932648
beta_a[9],0.000777604,1.14E-05,0.001824276,-0.002738554,-0.000450776,0.000756231,0.00194345,0.004488029,25677.09413,1.000089231
