,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_b[1],0.023395943,7.75E-05,0.008195989,0.007589604,0.017752327,0.023326317,0.028819914,0.039696654,11171.18654,0.999965664
beta_b[2],0.0617003,7.54E-05,0.010356962,0.042381929,0.054499368,0.061322003,0.068547311,0.082833448,18845.37221,0.999974963
beta_b[3],0.010523792,5.54E-05,0.006423325,0.000713705,0.005433062,0.009830359,0.01471218,0.024523558,13461.35075,0.999856927
beta_b[4],0.048805961,4.99E-05,0.006846189,0.035498874,0.044146036,0.048725835,0.053364655,0.062464373,18847.89784,0.999917791
beta_b[5],0.009279538,4.72E-05,0.005759635,0.000612141,0.004766851,0.008585297,0.013059294,0.022037649,14875.33686,1.000243211
beta_b[6],0.001573196,9.48E-06,0.001372178,5.04E-05,0.000520463,0.001200753,0.002244145,0.004991611,20967.85841,0.99981767
beta_b[7],0.074337595,7.79E-05,0.010900511,0.05346934,0.067014597,0.074258547,0.081580437,0.095774147,19602.76411,0.999842384
beta_b[8],0.167333375,0.000135644,0.017519726,0.134897818,0.155225963,0.166676635,0.178546264,0.203564633,16682.25618,0.999971727
beta_b[9],0.028850349,5.96E-05,0.00729125,0.01468037,0.023918722,0.028806328,0.033746273,0.043398415,14980.25304,0.999873939
beta_b[10],0.137855941,0.000105528,0.014362679,0.11123376,0.128023242,0.13726219,0.147049073,0.167484119,18523.92475,0.999931138
beta_b[11],0.020540053,7.69E-05,0.008487473,0.004509753,0.014658326,0.020366872,0.02618578,0.037692207,12168.66521,0.999997934
beta_b[12],0.066019898,4.83E-05,0.006851206,0.053117231,0.061330758,0.065813355,0.070516367,0.079844335,20083.3995,0.999878266
beta_b[13],0.161918385,0.000219037,0.023442759,0.122041595,0.14487229,0.160065465,0.176633965,0.213672488,11454.68509,0.999988251
beta_b[14],0.114118714,0.000100571,0.012747228,0.090640712,0.105452373,0.113600947,0.122175753,0.140981759,16065.08031,1.000071563
beta_b[15],0.077743038,7.80E-05,0.01083282,0.057219965,0.070388288,0.077426612,0.084817913,0.099643033,19276.78544,0.999917714
beta_b[16],0.066945986,7.05E-05,0.009032033,0.050223736,0.060660373,0.066676817,0.0728573,0.085494138,16404.08318,0.999950971
beta_b[17],0.053821928,4.06E-05,0.005617246,0.043105646,0.049933535,0.05373436,0.057580714,0.065141359,19181.33009,0.999857246
beta_b[18],0.008588799,4.66E-05,0.005825978,0.000452041,0.003977891,0.007687245,0.012300877,0.021776119,15599.37376,1.000235408
beta_b[19],0.097810403,0.000111985,0.01353927,0.072921243,0.088342196,0.097181266,0.106780727,0.125630974,14617.53362,0.999942712
beta_b[20],0.082844058,6.68E-05,0.009116207,0.065741875,0.076572233,0.082611494,0.088815033,0.101367285,18649.75137,1.000096892
beta_b[21],0.177249522,0.000143977,0.019729446,0.1415488,0.163526191,0.176252483,0.190020416,0.218667171,18777.66471,0.999972752
beta_b[22],0.015899295,5.71E-05,0.00607556,0.004108576,0.011723374,0.01583371,0.019967114,0.028011376,11329.23902,1.000144057
beta_b[23],0.084446736,8.34E-05,0.011816418,0.061599939,0.076393824,0.084243015,0.092189467,0.108131708,20075.78753,0.999986989
beta_b[24],0.063551967,5.92E-05,0.008240257,0.048201968,0.057918864,0.063346796,0.069004111,0.080143038,19360.67017,1.000027887
beta_b[25],0.046082905,5.08E-05,0.007020526,0.032708493,0.041293971,0.045881875,0.050721407,0.060469263,19065.67918,1.000209383
beta_b[26],0.080591209,7.25E-05,0.009850151,0.062221511,0.073813782,0.080273965,0.087073425,0.100726223,18475.28428,0.999875235
beta_b[27],0.097417489,0.000131975,0.015209583,0.068472048,0.087080177,0.097051209,0.107372297,0.128449913,13281.52968,1.00013763
beta_b[28],0.046943166,4.50E-05,0.006046866,0.035460216,0.042803007,0.046882582,0.051025965,0.058978542,18080.39323,1.000025362
beta_b[29],0.020093521,5.33E-05,0.006505427,0.007594651,0.015591982,0.019997411,0.024469901,0.032856931,14912.16232,1.00006075
beta_b[1],0.178938521,0.000164554,0.022035046,0.137694071,0.163712502,0.178079753,0.193283145,0.22382838,17931.31813,1.000093135
beta_b[2],0.057670421,6.61E-05,0.008455377,0.041578692,0.051887743,0.057475839,0.063330779,0.07465958,16376.36018,1.000067155
beta_b[3],0.097282499,9.01E-05,0.010495584,0.078237685,0.089897476,0.096781517,0.104061206,0.119470785,13555.62631,0.999960686
beta_b[4],0.087178267,7.47E-05,0.009955075,0.068172697,0.080379101,0.08698608,0.093617499,0.107288502,17763.63565,1.000245067
beta_b[5],0.009788187,3.96E-05,0.004944356,0.001209628,0.006162906,0.009526666,0.013096568,0.020183199,15570.5011,0.999923562
beta_b[6],0.025549334,6.03E-05,0.007409049,0.011336751,0.020478002,0.025484279,0.030584448,0.040301128,15075.23874,1.000218987
beta_b[7],0.00608052,3.18E-05,0.004406948,0.000286351,0.002547026,0.005277466,0.008677382,0.016566823,19244.45434,0.999948025
beta_b[8],0.006027991,3.15E-05,0.004538569,0.00023362,0.00245183,0.005097423,0.008622348,0.016891816,20741.43545,0.999892778
beta_b[9],0.06168692,5.40E-05,0.006502815,0.04993454,0.057198905,0.061372609,0.065820546,0.075621518,14515.32642,0.99999519
beta_b[10],0.049099253,6.30E-05,0.008340401,0.033001028,0.043419162,0.048864813,0.054713142,0.065820737,17500.29299,0.999863639
beta_b[11],0.013805441,6.82E-05,0.00837987,0.000967351,0.007281557,0.012893638,0.019281587,0.03222446,15109.30704,1.000085899
beta_b[12],0.139799805,0.000118925,0.015305389,0.112101645,0.129041198,0.138821018,0.149642789,0.171979753,16563.2364,0.999833858
beta_b[13],0.003198097,1.93E-05,0.002806187,9.55E-05,0.001041749,0.002449003,0.004577592,0.010351847,21176.52297,0.999790543
beta_b[14],0.00364692,2.18E-05,0.003201523,0.000115834,0.001193481,0.002796363,0.005213286,0.012070647,21655.9535,0.999940948
beta_b[15],0.124106723,0.000122322,0.01644818,0.093132689,0.112714236,0.123690751,0.134958237,0.157768794,18081.14038,1.000240677
beta_b[16],0.025962963,8.78E-05,0.008832048,0.008768376,0.019887068,0.02596616,0.031878657,0.043394301,10124.08292,1.000005272
beta_b[17],0.092353928,9.77E-05,0.012834224,0.06829015,0.083539944,0.091950761,0.100704448,0.118295979,17271.79447,0.999834208
beta_b[18],0.010004287,4.58E-05,0.005771611,0.000833319,0.005564839,0.009491907,0.013758087,0.022575109,15903.72243,1.000035133
beta_b[19],0.012286174,6.18E-05,0.008610036,0.000646162,0.005425744,0.010822755,0.017516031,0.032283458,19392.07957,1.000069626
beta_b[20],0.092863973,7.87E-05,0.010589658,0.073288209,0.085463011,0.092613607,0.09975712,0.114535464,18103.73126,0.999871248
beta_b[21],0.042335151,7.16E-05,0.008278186,0.026505621,0.036670684,0.042316708,0.047874338,0.059021668,13371.17532,1.000036969
beta_b[22],0.045456625,7.97E-05,0.009763399,0.026672004,0.038919187,0.045259848,0.051937109,0.065121323,15021.00965,1.000066144
beta_b[23],0.055567353,7.11E-05,0.009002197,0.038499355,0.049395203,0.055429074,0.061504441,0.073814406,16032.00068,0.999954956
beta_b[24],0.006025546,2.86E-05,0.00358952,0.000471772,0.003245803,0.005638481,0.008397074,0.013826203,15802.17571,1.000216458
beta_b[25],0.060130418,6.31E-05,0.008580494,0.043786518,0.054244295,0.059947543,0.065782143,0.077357975,18492.39994,0.999908852
beta_b[26],0.075046876,7.07E-05,0.009012069,0.058060154,0.068888716,0.074745682,0.080975165,0.093594084,16260.64839,0.999919027
beta_b[27],0.16130644,0.000139726,0.018027894,0.128362017,0.148662587,0.160553834,0.173073724,0.198806377,16646.90396,0.999907734
beta_b[28],0.049768516,6.18E-05,0.007779112,0.03528402,0.044355028,0.04950628,0.054931147,0.065582953,15846.19037,1.000156026
beta_b[29],0.072348162,7.42E-05,0.009593243,0.05431391,0.065816414,0.072065311,0.07863594,0.092048406,16727.30326,0.999848181
beta_b[30],0.009654182,3.95E-05,0.004728501,0.001277354,0.006209576,0.009454214,0.012796766,0.019494148,14334.39731,1.000010046
beta_b[31],0.109017582,9.06E-05,0.01217825,0.086358604,0.100512154,0.108659092,0.117139617,0.133840171,18087.6437,0.999919173
beta_b[32],0.016932674,5.34E-05,0.006356361,0.004926591,0.012478785,0.016751162,0.021245542,0.029661098,14187.11031,0.999978485
beta_b[33],0.073557576,8.34E-05,0.010573797,0.053782081,0.066281896,0.073248323,0.080392221,0.09543982,16082.90558,1.00008786
phi_b[1],0.007807663,5.20E-05,0.007518728,0.00019389,0.002248572,0.005532,0.010967796,0.027848968,20875.00755,0.999924008
phi_b[2],0.010767524,7.05E-05,0.010111696,0.00029023,0.003308752,0.007733965,0.015160196,0.037410098,20568.7624,1.000037195
phi_b[3],0.007165719,4.73E-05,0.006944308,0.000180896,0.00214508,0.005058935,0.010047603,0.025790408,21512.05093,0.999837617
phi_b[4],0.020597217,0.000135877,0.017897753,0.00063757,0.006988228,0.015687282,0.029434484,0.066371788,17350.122,1.000325518
phi_b[5],0.004746534,3.08E-05,0.004590102,0.000140959,0.001427349,0.003353777,0.006572422,0.017097489,22236.77069,0.999904594
phi_b[6],0.028423079,0.000166175,0.022899938,0.000958698,0.010390987,0.0231346,0.041125169,0.084776848,18990.46454,1.000168526
phi_b[7],0.001564734,9.94E-06,0.001532719,4.04E-05,0.000468864,0.001095292,0.002180617,0.005671397,23755.13891,0.999885461
phi_b[8],0.023019914,0.0001557,0.019784509,0.000727457,0.00775922,0.017808355,0.033066224,0.07413202,16146.23936,0.999868498
phi_b[9],0.021971324,0.000130587,0.018571261,0.000714804,0.007493558,0.017012471,0.031674852,0.068708602,20224.80803,0.999934027
phi_b[10],0.014627966,9.85E-05,0.01314016,0.000444867,0.00480434,0.010947597,0.020584736,0.049170482,17787.82992,1.000120697
phi_b[11],0.006959836,4.48E-05,0.00650503,0.000209635,0.002127993,0.005089485,0.009751491,0.024060754,21064.07025,0.999801549
phi_b[12],0.010260161,6.96E-05,0.009637601,0.000263979,0.003086469,0.007402769,0.014647868,0.035466549,19192.21106,0.999885161
phi_b[13],0.099502353,0.000600143,0.058888004,0.007781741,0.053217061,0.094106247,0.138287055,0.227411368,9628.168951,0.999870146
phi_b[14],0.027526531,0.000192569,0.022121257,0.000991447,0.010356729,0.022296338,0.039413358,0.082582983,13196.18905,0.999840212
phi_b[15],0.001545717,1.05E-05,0.001525675,3.81E-05,0.000452223,0.00108233,0.00213925,0.005678552,20977.97246,0.999874468
phi_b[16],0.035478025,0.000250634,0.028449614,0.001257282,0.012918313,0.028925081,0.051128234,0.105103083,12884.60889,0.999944332
phi_b[17],0.009607948,6.28E-05,0.008995695,0.000306907,0.003027558,0.007026785,0.013424866,0.033544213,20494.87754,0.999814521
phi_b[18],0.254400869,0.000474622,0.062394467,0.131253771,0.211982631,0.254339071,0.296233616,0.37702651,17282.08531,0.999850768
phi_b[19],0.099831764,0.000436715,0.044691139,0.016803421,0.067666434,0.098626286,0.130255783,0.189965776,10472.4069,1.000073647
phi_b[20],0.016536783,0.000109407,0.014709262,0.000450306,0.005374577,0.012462987,0.023663775,0.054170637,18075.46288,1.000040173
phi_b[21],0.00816647,5.41E-05,0.007757079,0.00021722,0.002550817,0.005861887,0.011525449,0.028953927,20581.63163,0.999805088
phi_b[22],0.004110426,2.67E-05,0.003996852,0.000117466,0.001189286,0.002943588,0.005707964,0.014900576,22333.87925,0.999880909
phi_b[23],0.006794483,4.41E-05,0.006609706,0.000171884,0.002008074,0.004765533,0.009446393,0.024521498,22514.97946,0.999979347
phi_b[24],0.003853754,2.55E-05,0.003786305,8.56E-05,0.001148622,0.002649196,0.005419052,0.014016199,22099.03244,0.999892764
phi_b[25],0.015155923,9.88E-05,0.013620813,0.000403436,0.004851863,0.011284253,0.021624314,0.050159147,19014.58457,0.999934223
phi_b[26],0.020494799,0.000130053,0.017411205,0.000619784,0.007064004,0.015885719,0.029510788,0.064546088,17923.33747,0.999907198
phi_b[27],0.098010295,0.000445615,0.044821036,0.015613883,0.065324533,0.096337195,0.128409439,0.18801707,10116.81227,1.000224332
