,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
beta_b[1],0.06090358,0.001754014,0.124689599,0.003632448,0.015701438,0.024370621,0.044201465,0.498089252,5053.526317,1.000210136
beta_b[2],0.078810062,0.000350574,0.02725734,0.042510516,0.061152244,0.074632319,0.091143992,0.139453381,6045.151899,0.999980862
beta_b[3],0.524154573,0.002240579,0.245422258,0.124382958,0.319951115,0.505652259,0.725763363,0.968507093,11997.95377,1.00076702
beta_b[4],0.04623877,6.93E-05,0.008340575,0.031084475,0.040607834,0.045766671,0.051394818,0.063892622,14486.11507,1.000003375
beta_b[5],0.073351179,0.001970834,0.16423089,0.000761396,0.006693067,0.013966969,0.037583784,0.674763571,6943.996169,1.000229418
beta_b[6],0.039709236,0.001683335,0.134553852,5.80E-05,0.000661014,0.00168156,0.004440633,0.531747949,6389.269289,1.000458343
beta_b[7],0.074015182,0.00016666,0.020707512,0.035755221,0.059899529,0.073288162,0.087351576,0.116885893,15438.09702,1.000062024
beta_b[8],0.165830219,0.000187449,0.023618917,0.122036488,0.149692781,0.164820373,0.181052083,0.214444073,15876.52242,1.000004504
beta_b[9],0.028826247,0.000523217,0.019369553,0.01284255,0.022620187,0.027911208,0.033191733,0.044915803,1370.487599,1.002698781
beta_b[10],0.121822032,0.000172662,0.021379248,0.084050366,0.106769634,0.120259173,0.135551314,0.167925252,15331.68937,1.000089363
beta_b[11],0.236330536,0.002568834,0.192015742,0.062784596,0.116888389,0.162913046,0.272153697,0.822095903,5587.295743,1.000179551
beta_b[12],0.061804306,0.000124838,0.013233747,0.041678702,0.05260342,0.059547841,0.068718505,0.094057948,11237.59031,1.000038226
beta_b[13],0.188777614,0.000334611,0.033857651,0.12834231,0.164933332,0.187002327,0.210210411,0.261018276,10238.39987,1.00010306
beta_b[14],0.104732231,0.000140568,0.015920353,0.075854637,0.093655511,0.103801803,0.115205472,0.137947417,12827.26984,0.999984271
beta_b[15],0.224864628,0.000237099,0.031182886,0.165775458,0.203502096,0.223931606,0.245749705,0.287297578,17297.13539,1.00000382
beta_b[16],0.087513579,0.001532304,0.046750398,0.056432273,0.072934904,0.082420704,0.093459352,0.130706047,930.8523716,1.002391607
beta_b[17],0.049126796,8.69E-05,0.010515012,0.031427506,0.041773693,0.048021009,0.055530439,0.072973355,14656.13539,0.999965089
